,city,rain_anamolies,pressure_anamolies
0,Abidjan,49,77
1,Acapulco,158,48
2,Ahmedabad,62,166
3,Algiers,142,133
4,Allentown-Bethlehem(PA),91,147
5,Amman,76,151
6,Antananarivo,153,124
7,Asuncion,131,143
8,Athens,101,148
9,Atlanta(GA),131,138
10,Auckland,100,167
11,Austin(TX),118,145
12,Baghdad,73,162
13,Baku,104,153
14,Baltimore(MD),142,150
15,Bamako,65,75
16,Bangkok,93,129
17,Barcelona,149,139
18,Beirut,99,147
19,Belgrade,128,140
20,Berlin,155,134
21,Birmingham(AL),136,130
22,Bishkek,54,145
23,Bogota,38,32
24,Bordeaux,165,137
25,Boston(MA),165,158
26,Brasilia,145,113
27,Bratislava,179,144
28,Brazzaville,14,84
29,Brussels,115,150
30,Bucharest,147,143
31,Budapest,172,146
32,Buffalo(NY),110,131
33,Bursa,128,131
34,Busan,146,126
35,Cairo,26,139
36,Cebu,27,86
37,Changchun,136,163
38,Changsha,126,170
39,Charlotte(NC),130,141
40,Chennai,136,135
41,Chicago(IL),119,137
42,Chittagong,151,130
43,Chongqing,161,169
44,Cleveland(OH),82,149
45,Columbus(OH),126,140
46,Conakry,152,56
47,Copenhagen,174,146
48,Cordoba,158,137
49,Cotonou,130,50
50,Dakar,54,78
51,Dalian,102,159
52,Damascus,48,142
53,Davao,74,45
54,Dayton(OH),139,148
55,Delhi,73,154
56,Denver-Aurora(CO),133,20
57,Detroit(MI),121,161
58,Douala,32,64
59,Dubai,24,164
60,Dublin,88,161
61,Edmonton,159,164
62,Freetown,145,61
63,Fukuoka-Kitakyushu,123,149
64,Fuzhou,103,165
65,Glasgow,64,170
66,Guadalajara,156,75
67,Guangzhou,136,154
68,Guayaquil,113,30
69,Gwangju,117,162
70,Hangzhou,144,165
71,Hanoi,120,155
72,Harbin,132,175
73,Hartford(CT),158,153
74,Havana,96,120
75,Hefei,156,166
76,Helsinki,102,165
77,Hiroshima,161,165
78,Honolulu(HI),77,108
79,Huambo,172,87
80,Hyderabad,141,147
81,Indianapolis(IN),136,153
82,Isfahan,92,160
83,Istanbul,157,149
84,Jaipur,67,156
85,Jakarta,108,29
86,Jeddah,64,136
87,Jerusalem,56,146
88,Jinan,96,170
89,Johannesburg,114,159
90,Kabul,61,138
91,Kampala,10,85
92,Kano,57,64
93,Kaohsiung,167,150
94,Karachi,73,156
95,Kathmandu,88,142
96,Kharkiv,171,139
97,Khartoum,66,101
98,Kigali,22,29
99,Kinshasa,14,84
100,Kolkata,137,148
101,Krakow,170,138
102,Kunming,111,144
103,Lahore,71,159
104,Leon,133,83
105,Lille,177,148
106,Lima,27,57
107,London,136,154
108,Luanda,103,85
109,Lubumbashi,117,67
110,Lucknow,78,155
111,Madrid,126,116
112,Managua,172,42
113,Manchester,84,151
114,Mandalay,101,146
115,Manila,143,129
116,Maputo,160,133
117,Maracaibo,103,25
118,Mecca,25,147
119,Melbourne,175,147
120,Memphis(TN),180,135
121,Miami(FL),83,129
122,Milwaukee(WI),104,141
123,Mogadishu,80,83
124,Mombasa,89,101
125,Montevideo,171,128
126,Montreal,122,153
127,Mosul,110,155
128,Mumbai,129,118
129,Nairobi,88,64
130,Nanjing,151,166
131,Naples,123,136
132,Nashville-Davidson(TN),111,129
133,Niamey,19,74
134,Nice,97,133
135,Novosibirsk,125,160
136,Orlando(FL),99,106
137,Ouagadougou,95,63
138,Paris,122,142
139,Patna,110,154
140,Philadelphia(PA),114,136
141,Phoenix-Mesa(AZ),56,113
142,Pittsburgh(PA),124,160
143,Port-au-Prince,172,95
144,Portland(OR),140,164
145,Porto,160,127
146,Prague,113,156
147,Pretoria,121,163
148,Providence(RI),178,154
149,Puebla,82,119
150,Pune,145,111
151,Pyongyang,107,166
152,Qingdao,98,166
153,Rabat,120,125
154,Raleigh(NC),148,158
155,Rangoon,167,112
156,Richmond(VA),177,149
157,Riyadh,51,160
158,Rochester(NY),86,150
159,Rotterdam-Hague,148,147
160,Sacramento(CA),58,128
161,Salvador,96,110
162,Samara,167,154
163,Santiago,39,97
164,Sendai,178,153
165,Sharjah,25,164
166,Shenyang,110,162
167,Shijiazhuang,60,168
168,Sofia,135,158
169,Surabaya,120,121
170,Surat,90,151
171,Suzhou,139,162
172,Sydney,172,145
173,Taichung,133,162
174,Taipei,116,161
175,Taiyuan,73,164
176,Tashkent,87,153
177,Tbilisi,107,145
178,Tegucigalpa,116,78
179,Thessaloniki,175,151
180,Tianjin,84,171
181,Tijuana,94,88
182,Toluca,29,79
183,Toronto,110,139
184,Tripoli,95,116
185,Tucson(AZ),82,130
186,Tunis,163,103
187,Turin,72,137
188,Ulsan,137,159
189,Urumqi,90,165
190,Vancouver,114,135
191,Vientiane,157,144
192,Warsaw,179,160
193,Washington(DC),181,133
194,Wuhan,176,172
195,Yaounde,26,48
196,Yekaterinburg,108,167
197,Zurich,150,135
