date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,25,0.0,11.6,7,97,05:50 PM,05:33 AM,06:25 AM,06:14 PM,23,31,31,28,13,20,78,0.0,1011,31,10,229,10,Abidjan
2018-01-02,31,25,0.0,11.6,7,100,06:53 PM,06:36 AM,06:25 AM,06:15 PM,23,31,31,28,12,19,76,0.0,1011,31,10,189,9,Abidjan
2018-01-03,31,25,0.0,11.6,7,89,07:57 PM,07:40 AM,06:26 AM,06:15 PM,23,33,33,29,10,4,72,0.0,1011,31,10,175,7,Abidjan
2018-01-04,31,25,0.0,11.6,7,81,08:57 PM,08:39 AM,06:26 AM,06:16 PM,23,31,31,28,10,11,74,0.0,1013,31,10,223,8,Abidjan
2018-01-05,30,25,0.0,11.6,7,74,09:53 PM,09:34 AM,06:26 AM,06:16 PM,23,30,30,27,15,14,77,0.0,1013,30,10,226,12,Abidjan
2018-01-06,29,25,0.0,10.2,7,67,10:46 PM,10:25 AM,06:27 AM,06:17 PM,22,29,29,27,20,29,78,0.0,1012,29,10,229,15,Abidjan
2018-01-07,28,25,0.0,11.6,7,59,11:36 PM,11:13 AM,06:27 AM,06:17 PM,22,29,29,27,20,14,78,0.4,1011,28,10,225,15,Abidjan
2018-01-08,31,25,0.0,11.6,7,52,No moonrise,11:58 AM,06:28 AM,06:18 PM,23,30,30,27,17,19,76,1.0,1012,31,10,237,12,Abidjan
2018-01-09,29,26,0.0,11.6,7,45,12:23 AM,12:42 PM,06:28 AM,06:18 PM,23,31,31,27,15,16,79,1.5,1012,29,10,225,11,Abidjan
2018-01-10,30,25,0.0,11.6,7,38,01:10 AM,01:25 PM,06:28 AM,06:19 PM,23,31,31,27,14,17,77,0.4,1012,30,10,202,10,Abidjan
2018-01-11,30,25,0.0,11.6,7,30,01:57 AM,02:08 PM,06:29 AM,06:19 PM,23,31,31,28,13,11,75,1.0,1012,30,10,231,10,Abidjan
2018-01-12,31,25,0.0,11.6,7,23,02:43 AM,02:53 PM,06:29 AM,06:19 PM,23,31,31,28,20,18,76,0.0,1012,31,10,238,15,Abidjan
2018-01-13,31,25,0.0,11.6,7,16,03:30 AM,03:38 PM,06:29 AM,06:20 PM,22,31,31,28,17,7,75,0.0,1011,31,10,246,13,Abidjan
2018-01-14,31,25,0.0,11.6,7,9,04:18 AM,04:25 PM,06:30 AM,06:20 PM,23,31,31,27,17,23,76,0.0,1011,31,10,229,12,Abidjan
2018-01-15,30,25,0.0,11.6,7,1,05:06 AM,05:13 PM,06:30 AM,06:21 PM,23,30,30,27,18,21,76,0.0,1012,30,10,217,13,Abidjan
2018-01-16,30,26,0.0,11.6,7,0,05:54 AM,06:01 PM,06:30 AM,06:21 PM,23,30,30,27,17,16,77,2.1,1012,30,10,222,13,Abidjan
2018-01-17,29,25,0.0,11.6,7,0,06:41 AM,06:49 PM,06:30 AM,06:22 PM,23,31,31,27,16,15,78,0.0,1011,29,10,223,12,Abidjan
2018-01-18,30,26,0.0,11.6,7,6,07:28 AM,07:37 PM,06:31 AM,06:22 PM,24,31,31,27,17,23,80,0.2,1011,30,10,225,12,Abidjan
