date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,23,0.0,11.1,7,97,06:12 PM,06:31 AM,07:09 AM,06:17 PM,20,28,28,26,10,7,67,0.0,1015,29,10,182,7,Acapulco
2018-01-02,30,23,0.0,11.1,7,100,07:17 PM,07:35 AM,07:09 AM,06:18 PM,19,28,28,27,9,11,65,0.0,1014,30,10,138,6,Acapulco
2018-01-03,29,23,0.0,11.1,7,89,08:21 PM,08:35 AM,07:10 AM,06:19 PM,20,28,28,26,10,8,66,0.0,1014,29,10,137,7,Acapulco
2018-01-04,29,23,0.0,11.1,7,81,09:24 PM,09:31 AM,07:10 AM,06:19 PM,20,28,28,26,10,21,69,0.0,1014,29,10,135,7,Acapulco
2018-01-05,29,23,0.0,11.1,7,74,10:23 PM,10:21 AM,07:10 AM,06:20 PM,20,28,28,26,11,11,69,0.0,1016,29,10,143,8,Acapulco
2018-01-06,29,23,0.0,11.1,7,67,11:19 PM,11:08 AM,07:11 AM,06:20 PM,19,28,28,26,11,8,68,0.0,1015,29,10,259,8,Acapulco
2018-01-07,29,23,0.0,11.1,7,59,No moonrise,11:51 AM,07:11 AM,06:21 PM,20,28,28,26,10,13,70,0.0,1014,29,10,262,7,Acapulco
2018-01-08,28,23,0.0,10.1,6,52,12:12 AM,12:31 PM,07:11 AM,06:22 PM,21,28,28,25,10,27,75,0.2,1014,28,10,208,7,Acapulco
2018-01-09,28,22,0.0,10.1,6,45,01:04 AM,01:11 PM,07:11 AM,06:22 PM,21,28,28,26,9,22,76,0.1,1014,28,10,174,7,Acapulco
2018-01-10,28,22,0.0,11.1,7,38,01:54 AM,01:51 PM,07:11 AM,06:23 PM,21,28,28,25,13,25,77,0.1,1014,28,10,215,9,Acapulco
2018-01-11,28,22,0.0,11.1,6,30,02:43 AM,02:31 PM,07:12 AM,06:24 PM,21,27,27,25,14,14,76,0.0,1013,28,10,292,10,Acapulco
2018-01-12,28,22,0.0,11.1,6,23,03:33 AM,03:13 PM,07:12 AM,06:24 PM,21,28,28,26,10,21,75,0.0,1013,28,10,204,7,Acapulco
2018-01-13,29,23,0.0,11.1,7,16,04:22 AM,03:57 PM,07:12 AM,06:25 PM,21,28,28,26,8,19,74,0.0,1015,29,10,177,6,Acapulco
2018-01-14,30,22,0.0,11.1,6,9,05:12 AM,04:43 PM,07:12 AM,06:25 PM,17,27,27,25,12,18,63,0.0,1016,30,10,113,9,Acapulco
2018-01-15,29,21,0.0,11.1,6,1,06:00 AM,05:31 PM,07:12 AM,06:26 PM,17,27,27,25,11,5,60,0.1,1015,29,10,172,8,Acapulco
