date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,16,0.0,10.8,6,97,05:31 PM,06:10 AM,07:21 AM,06:05 PM,5,23,23,23,13,0,32,0.0,1012,28,10,109,9,Ahmedabad
2018-01-02,28,16,0.0,10.9,6,100,06:34 PM,07:16 AM,07:21 AM,06:06 PM,2,22,22,22,22,0,28,0.0,1013,28,10,59,14,Ahmedabad
2018-01-03,27,15,0.0,10.9,6,89,07:41 PM,08:17 AM,07:21 AM,06:07 PM,2,22,21,22,21,0,27,0.0,1013,27,10,95,12,Ahmedabad
2018-01-04,28,16,0.0,10.9,6,81,08:46 PM,09:14 AM,07:22 AM,06:07 PM,2,24,23,24,13,0,25,0.0,1014,28,10,193,9,Ahmedabad
2018-01-05,27,15,0.0,10.9,6,74,09:49 PM,10:05 AM,07:22 AM,06:08 PM,4,23,23,23,11,0,30,0.0,1013,27,10,186,8,Ahmedabad
2018-01-06,26,16,0.0,10.9,6,67,10:49 PM,10:50 AM,07:22 AM,06:09 PM,5,23,23,23,10,0,33,0.0,1013,26,10,186,8,Ahmedabad
2018-01-07,26,15,0.0,10.9,5,59,11:46 PM,11:33 AM,07:22 AM,06:09 PM,4,22,22,22,14,0,31,0.0,1015,26,10,107,10,Ahmedabad
2018-01-08,27,14,0.0,10.9,6,52,No moonrise,12:12 PM,07:22 AM,06:10 PM,4,21,21,21,18,2,32,0.0,1015,27,10,57,12,Ahmedabad
2018-01-09,30,17,0.0,10.9,6,45,12:40 AM,12:50 PM,07:23 AM,06:11 PM,5,22,22,23,24,4,32,0.0,1016,30,10,76,14,Ahmedabad
2018-01-10,29,17,0.0,10.9,6,38,01:33 AM,01:27 PM,07:23 AM,06:11 PM,5,23,23,23,23,3,30,0.0,1017,29,10,73,14,Ahmedabad
2018-01-11,30,18,0.0,10.9,6,30,02:25 AM,02:05 PM,07:23 AM,06:12 PM,5,23,23,24,20,8,29,0.0,1016,30,10,58,12,Ahmedabad
2018-01-12,30,20,0.0,10.9,6,23,03:16 AM,02:45 PM,07:23 AM,06:13 PM,4,24,24,25,17,20,26,0.0,1015,30,10,55,10,Ahmedabad
2018-01-13,27,23,0.0,10.9,6,16,04:07 AM,03:27 PM,07:23 AM,06:14 PM,4,24,24,25,20,33,25,0.0,1014,27,10,70,11,Ahmedabad
