date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,13,10,0.0,3.8,4,97,04:20 PM,05:34 AM,06:39 AM,04:46 PM,7,10,12,10,26,52,71,1.9,1016,13,10,219,19,Allentown-Bethlehem(PA)
2018-01-02,15,13,0.0,3.8,3,100,05:24 PM,06:39 AM,06:39 AM,04:47 PM,10,12,14,12,22,69,78,0.7,1019,15,10,223,15,Allentown-Bethlehem(PA)
2018-01-03,18,12,0.0,8.7,4,89,06:32 PM,07:39 AM,06:39 AM,04:48 PM,8,15,15,15,11,14,62,0.0,1018,18,10,201,7,Allentown-Bethlehem(PA)
2018-01-04,15,12,0.0,8.7,4,81,07:40 PM,08:32 AM,06:39 AM,04:49 PM,6,12,14,12,30,23,58,0.1,1014,15,10,204,21,Allentown-Bethlehem(PA)
2018-01-05,14,12,0.0,5.4,3,74,08:46 PM,09:20 AM,06:40 AM,04:49 PM,8,11,13,11,48,66,71,6.0,1009,14,10,226,33,Allentown-Bethlehem(PA)
2018-01-06,16,12,0.0,8.7,4,67,09:50 PM,10:02 AM,06:40 AM,04:50 PM,10,14,14,14,14,23,77,2.5,1018,16,10,263,10,Allentown-Bethlehem(PA)
2018-01-07,17,11,0.0,8.7,4,59,10:50 PM,10:39 AM,06:40 AM,04:51 PM,9,16,16,16,8,2,65,0.0,1027,17,10,81,6,Allentown-Bethlehem(PA)
2018-01-08,19,12,0.0,8.7,4,52,11:48 PM,11:15 AM,06:40 AM,04:52 PM,5,16,16,16,13,2,49,0.0,1028,19,10,45,8,Allentown-Bethlehem(PA)
2018-01-09,19,12,0.0,8.7,4,45,No moonrise,11:49 AM,06:40 AM,04:53 PM,10,17,17,17,9,2,65,0.0,1027,19,10,214,6,Allentown-Bethlehem(PA)
2018-01-10,18,12,0.0,7.1,5,38,12:44 AM,12:23 PM,06:40 AM,04:54 PM,10,17,17,17,9,18,65,0.0,1023,18,10,98,6,Allentown-Bethlehem(PA)
2018-01-11,23,14,0.0,8.7,5,30,01:39 AM,12:59 PM,06:40 AM,04:54 PM,2,19,19,19,16,9,34,0.0,1018,23,10,156,9,Allentown-Bethlehem(PA)
2018-01-12,19,14,0.0,8.7,5,23,02:33 AM,01:36 PM,06:40 AM,04:55 PM,10,17,17,17,11,0,61,0.0,1020,19,10,195,8,Allentown-Bethlehem(PA)
2018-01-13,20,13,0.0,8.7,5,16,03:27 AM,02:15 PM,06:40 AM,04:56 PM,9,17,18,17,12,1,60,0.0,1017,20,10,155,8,Allentown-Bethlehem(PA)
2018-01-14,17,13,0.0,8.7,4,9,04:19 AM,02:58 PM,06:39 AM,04:57 PM,8,14,15,14,32,12,66,0.0,1017,17,10,248,23,Allentown-Bethlehem(PA)
2018-01-15,18,12,0.0,8.7,4,1,05:09 AM,03:45 PM,06:39 AM,04:58 PM,10,15,15,15,14,10,73,0.0,1024,18,10,277,10,Allentown-Bethlehem(PA)
2018-01-16,18,12,0.0,7.1,4,0,05:57 AM,04:33 PM,06:39 AM,04:59 PM,9,15,15,15,6,31,68,0.0,1023,18,10,266,5,Allentown-Bethlehem(PA)
2018-01-17,15,12,0.0,7.1,4,0,06:42 AM,05:25 PM,06:39 AM,05:00 PM,9,13,14,13,13,33,74,0.4,1017,15,10,234,10,Allentown-Bethlehem(PA)
2018-01-18,17,12,0.0,8.7,4,6,07:25 AM,06:18 PM,06:39 AM,05:01 PM,7,13,14,13,40,19,62,1.9,1011,17,10,207,28,Allentown-Bethlehem(PA)
2018-01-19,14,11,0.0,8.7,4,13,08:04 AM,07:13 PM,06:38 AM,05:02 PM,6,9,12,9,47,33,66,2.9,1013,14,10,277,34,Allentown-Bethlehem(PA)
2018-01-20,16,10,0.0,8.7,4,20,08:40 AM,08:08 PM,06:38 AM,05:02 PM,8,14,14,14,10,15,67,0.0,1022,16,10,207,7,Allentown-Bethlehem(PA)
2018-01-21,20,12,0.0,4.0,4,28,09:16 AM,09:04 PM,06:38 AM,05:03 PM,4,15,16,15,14,77,48,0.0,1018,20,10,99,8,Allentown-Bethlehem(PA)
2018-01-22,19,14,0.0,8.7,5,35,09:50 AM,10:01 PM,06:37 AM,05:04 PM,3,16,16,16,26,9,41,0.0,1012,19,10,218,16,Allentown-Bethlehem(PA)
2018-01-23,16,13,0.0,8.7,4,42,10:24 AM,10:59 PM,06:37 AM,05:05 PM,8,13,14,13,33,37,67,1.1,1013,16,10,232,23,Allentown-Bethlehem(PA)
2018-01-24,16,12,0.0,8.7,4,49,11:00 AM,11:59 PM,06:37 AM,05:06 PM,8,13,14,13,12,30,68,0.2,1015,16,10,226,9,Allentown-Bethlehem(PA)
2018-01-25,14,10,0.0,7.1,4,57,11:38 AM,No moonset,06:36 AM,05:07 PM,7,10,12,10,27,51,71,1.2,1013,14,10,214,20,Allentown-Bethlehem(PA)
2018-01-26,12,8,0.0,7.1,3,64,12:19 PM,01:01 AM,06:36 AM,05:08 PM,4,6,10,6,42,53,69,5.2,1016,12,10,213,32,Allentown-Bethlehem(PA)
2018-01-27,13,9,0.0,8.7,4,71,01:07 PM,02:05 AM,06:35 AM,05:09 PM,8,10,11,10,16,27,79,0.6,1021,13,10,212,11,Allentown-Bethlehem(PA)
2018-01-28,14,9,0.0,8.7,4,78,02:01 PM,03:11 AM,06:35 AM,05:10 PM,7,12,12,12,6,15,71,0.1,1025,14,10,229,5,Allentown-Bethlehem(PA)
