date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,9,6,0.0,3.8,2,97,04:16 PM,05:31 AM,06:37 AM,04:43 PM,4,4,8,4,31,60,76,0.0,1016,9,10,252,23,Amman
2018-01-02,12,9,0.0,3.8,2,100,05:21 PM,06:36 AM,06:37 AM,04:44 PM,7,7,10,7,29,76,85,0.3,1018,12,10,260,21,Amman
2018-01-03,15,8,0.0,8.7,4,89,06:28 PM,07:37 AM,06:37 AM,04:44 PM,5,11,11,11,13,18,65,0.0,1018,15,10,229,9,Amman
2018-01-04,11,8,0.0,5.4,3,81,07:37 PM,08:30 AM,06:37 AM,04:45 PM,3,7,9,7,28,33,66,0.1,1014,11,10,252,21,Amman
2018-01-05,10,8,0.0,3.8,2,74,08:43 PM,09:17 AM,06:37 AM,04:46 PM,5,5,9,5,46,73,78,4.3,1009,10,9,235,33,Amman
2018-01-06,13,8,0.0,7.1,3,67,09:46 PM,09:59 AM,06:37 AM,04:47 PM,7,8,10,8,21,39,82,0.0,1017,13,10,273,15,Amman
2018-01-07,13,7,0.0,8.7,3,59,10:47 PM,10:36 AM,06:37 AM,04:48 PM,5,11,11,11,6,8,69,0.0,1026,13,10,111,4,Amman
2018-01-08,15,7,0.0,8.7,4,52,11:45 PM,11:12 AM,06:37 AM,04:48 PM,2,12,13,12,6,0,49,0.0,1028,15,10,206,5,Amman
2018-01-09,15,7,0.0,8.7,4,45,No moonrise,11:46 AM,06:37 AM,04:49 PM,5,13,13,13,7,2,59,0.0,1027,15,10,258,5,Amman
2018-01-10,15,6,0.0,5.4,4,38,12:41 AM,12:20 PM,06:37 AM,04:50 PM,5,11,12,11,12,31,66,0.0,1023,15,10,128,8,Amman
2018-01-11,18,8,0.0,8.7,4,30,01:37 AM,12:55 PM,06:37 AM,04:51 PM,-3,13,13,13,16,14,37,0.0,1018,18,10,175,9,Amman
2018-01-12,16,9,0.0,8.7,4,23,02:30 AM,01:33 PM,06:37 AM,04:52 PM,3,12,13,12,17,2,55,0.0,1020,16,10,251,11,Amman
2018-01-13,17,8,0.0,8.7,4,16,03:24 AM,02:12 PM,06:37 AM,04:53 PM,3,13,13,13,14,3,55,0.0,1017,17,10,165,10,Amman
2018-01-14,13,9,0.0,8.7,3,9,04:16 AM,02:55 PM,06:37 AM,04:54 PM,5,7,10,7,34,40,73,0.5,1016,13,10,258,25,Amman
2018-01-15,13,8,0.0,5.4,2,1,05:07 AM,03:41 PM,06:37 AM,04:54 PM,7,8,10,8,19,53,82,0.2,1023,13,10,277,14,Amman
2018-01-16,13,6,0.0,8.7,3,0,05:55 AM,04:30 PM,06:37 AM,04:55 PM,6,10,10,10,6,33,81,0.0,1023,13,8,275,4,Amman
2018-01-17,12,7,0.0,7.1,3,0,06:40 AM,05:22 PM,06:36 AM,04:56 PM,5,8,10,8,18,40,77,0.1,1017,12,10,268,13,Amman
2018-01-18,13,7,0.0,8.7,4,6,07:22 AM,06:15 PM,06:36 AM,04:57 PM,4,7,10,7,42,29,68,0.1,1011,13,10,236,31,Amman
2018-01-19,9,5,0.0,7.1,3,13,08:01 AM,07:10 PM,06:36 AM,04:58 PM,3,1,7,1,61,57,76,2.9,1012,9,10,274,46,Amman
