date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,32,24,0.0,9.2,7,97,07:24 PM,05:28 AM,06:04 AM,07:45 PM,23,32,32,28,15,41,73,9.8,1005,32,9,132,9,Asuncion
2018-01-02,31,23,0.0,11.6,7,100,08:25 PM,06:31 AM,06:04 AM,07:45 PM,21,29,29,27,10,42,73,10.2,1006,31,8,188,8,Asuncion
2018-01-03,33,20,0.0,11.6,7,89,09:22 PM,07:38 AM,06:05 AM,07:45 PM,17,31,31,30,7,1,50,0.0,1009,33,10,179,5,Asuncion
2018-01-04,33,19,0.0,11.6,7,81,10:13 PM,08:43 AM,06:06 AM,07:46 PM,16,31,31,30,11,0,47,0.0,1009,33,10,34,8,Asuncion
2018-01-05,35,21,0.0,11.6,7,74,10:59 PM,09:48 AM,06:07 AM,07:46 PM,18,31,31,29,16,13,55,0.0,1007,35,10,40,11,Asuncion
2018-01-06,36,24,0.0,11.6,7,67,11:41 PM,10:49 AM,06:07 AM,07:46 PM,20,33,33,30,15,14,58,0.0,1010,36,10,113,11,Asuncion
2018-01-07,33,21,0.0,11.6,7,59,No moonrise,11:48 AM,06:08 AM,07:46 PM,16,29,29,28,16,10,51,0.0,1013,33,10,162,11,Asuncion
2018-01-08,36,19,0.0,11.6,7,52,12:19 AM,12:43 PM,06:09 AM,07:46 PM,17,31,31,29,13,11,51,0.0,1013,36,10,100,8,Asuncion
2018-01-09,34,23,0.0,11.6,7,45,12:56 AM,01:37 PM,06:09 AM,07:46 PM,19,31,31,29,18,15,58,0.0,1013,34,10,74,13,Asuncion
2018-01-10,30,23,0.0,11.6,7,38,01:33 AM,02:30 PM,06:10 AM,07:46 PM,22,30,30,27,15,42,75,5.3,1013,30,10,45,11,Asuncion
2018-01-11,32,22,0.0,10.4,7,30,02:10 AM,03:22 PM,06:11 AM,07:46 PM,22,31,31,28,12,32,75,0.8,1012,32,9,71,9,Asuncion
2018-01-12,32,23,0.0,11.6,7,23,02:48 AM,04:13 PM,06:12 AM,07:46 PM,22,31,31,28,14,32,72,2.8,1008,32,10,154,10,Asuncion
2018-01-13,33,24,0.0,11.6,7,16,03:30 AM,05:05 PM,06:12 AM,07:46 PM,21,31,31,29,19,26,65,0.7,1005,33,10,183,13,Asuncion
2018-01-14,28,23,0.0,7.9,6,9,04:12 AM,05:55 PM,06:13 AM,07:46 PM,23,29,29,26,12,70,86,9.6,1007,28,9,291,8,Asuncion
