date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-1,-6,0.0,8.7,2,97,05:35 PM,06:59 AM,07:43 AM,05:40 PM,-15,-8,-4,-8,15,29,41,0.0,1033,-1,10,295,12,Atlanta(GA)
2018-01-02,1,-8,0.0,8.7,2,100,06:40 PM,08:02 AM,07:43 AM,05:41 PM,-18,-5,-3,-5,7,29,30,0.0,1035,1,10,121,5,Atlanta(GA)
2018-01-03,2,-3,0.0,5.4,1,89,07:49 PM,09:00 AM,07:43 AM,05:42 PM,-17,-3,-1,-3,11,63,27,0.0,1023,2,10,218,8,Atlanta(GA)
2018-01-04,0,-5,0.0,8.7,2,81,08:57 PM,09:51 AM,07:43 AM,05:43 PM,-14,-9,-3,-9,24,1,42,0.0,1021,0,10,309,18,Atlanta(GA)
2018-01-05,2,-8,0.0,8.7,2,74,10:04 PM,10:35 AM,07:43 AM,05:44 PM,-17,-8,-3,-8,16,7,34,0.0,1028,2,10,303,13,Atlanta(GA)
2018-01-06,2,-5,0.0,8.7,2,67,11:07 PM,11:15 AM,07:43 AM,05:44 PM,-15,-4,-1,-4,12,6,33,0.0,1033,2,10,317,9,Atlanta(GA)
2018-01-07,3,-5,0.0,8.7,2,59,No moonrise,11:51 AM,07:43 AM,05:45 PM,-16,-5,-1,-5,16,22,32,0.0,1034,3,10,92,11,Atlanta(GA)
2018-01-08,3,-2,0.0,3.8,1,52,12:08 AM,12:24 PM,07:43 AM,05:46 PM,-6,-3,1,-3,16,88,69,0.4,1026,3,7,88,10,Atlanta(GA)
2018-01-09,14,3,0.0,5.4,2,45,01:06 AM,12:57 PM,07:43 AM,05:47 PM,8,7,8,7,13,75,95,0.0,1024,14,3,71,7,Atlanta(GA)
2018-01-10,17,9,0.0,8.7,4,38,02:03 AM,01:31 PM,07:43 AM,05:48 PM,11,12,13,12,20,75,86,0.0,1023,17,7,92,13,Atlanta(GA)
