date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,22,18,0.0,8.3,4,97,07:36 PM,04:57 AM,06:05 AM,08:43 PM,16,20,20,20,17,73,80,2.0,1012,22,10,253,11,Auckland
2018-01-02,23,18,0.0,10.5,6,100,08:41 PM,05:55 AM,06:06 AM,08:43 PM,17,20,22,20,13,44,83,1.4,1013,23,10,115,9,Auckland
2018-01-03,25,19,0.0,11.6,6,89,09:40 PM,07:00 AM,06:06 AM,08:44 PM,18,21,22,21,17,36,81,1.5,1012,25,10,50,12,Auckland
2018-01-04,21,20,0.0,7.2,5,81,10:30 PM,08:09 AM,06:07 AM,08:44 PM,19,20,21,20,37,81,91,21.5,1006,21,9,38,23,Auckland
2018-01-05,21,18,0.0,7.2,4,74,11:15 PM,09:20 AM,06:08 AM,08:44 PM,17,20,20,20,55,95,87,8.6,991,21,10,183,36,Auckland
2018-01-06,21,18,0.0,7.2,4,67,11:54 PM,10:27 AM,06:09 AM,08:44 PM,16,19,19,19,31,80,80,0.5,1005,21,10,250,22,Auckland
2018-01-07,21,17,0.0,11.6,5,59,No moonrise,11:34 AM,06:10 AM,08:44 PM,14,19,19,19,19,37,74,0.0,1013,21,10,236,14,Auckland
2018-01-08,22,17,0.0,11.6,5,52,12:28 AM,12:36 PM,06:11 AM,08:44 PM,14,19,20,19,16,22,73,0.0,1017,22,10,219,12,Auckland
2018-01-09,24,17,0.0,11.6,5,45,01:01 AM,01:37 PM,06:12 AM,08:43 PM,16,20,21,20,11,16,77,0.0,1020,24,10,237,8,Auckland
2018-01-10,24,18,0.0,11.6,6,38,01:33 AM,02:35 PM,06:13 AM,08:43 PM,16,20,21,20,16,22,76,0.0,1018,24,10,258,11,Auckland
2018-01-11,25,18,0.0,11.6,6,30,02:05 AM,03:32 PM,06:13 AM,08:43 PM,16,21,22,21,11,30,77,0.0,1018,25,10,261,8,Auckland
2018-01-12,25,18,0.0,11.6,6,23,02:38 AM,04:28 PM,06:14 AM,08:43 PM,17,22,23,22,7,17,73,0.0,1017,25,10,80,5,Auckland
2018-01-13,24,19,0.0,11.6,6,16,03:14 AM,05:23 PM,06:15 AM,08:43 PM,17,21,22,21,16,28,79,0.0,1017,24,10,43,12,Auckland
2018-01-14,24,19,0.0,10.5,6,9,03:53 AM,06:16 PM,06:16 AM,08:42 PM,17,21,22,21,19,42,77,0.4,1016,24,10,42,14,Auckland
2018-01-15,24,20,0.0,11.6,6,1,04:35 AM,07:07 PM,06:17 AM,08:42 PM,17,21,23,21,25,40,77,0.5,1018,24,10,51,18,Auckland
