date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,1,-4,0.0,7.1,2,97,05:38 PM,06:47 AM,07:28 AM,05:42 PM,-14,-8,-3,-8,27,48,41,0.0,1039,1,10,17,20,Austin(TX)
2018-01-02,1,-4,0.0,3.8,1,100,06:44 PM,07:51 AM,07:28 AM,05:43 PM,-12,-6,-2,-6,17,77,45,0.0,1035,1,10,112,13,Austin(TX)
2018-01-03,10,-5,0.0,8.7,2,89,07:52 PM,08:48 AM,07:28 AM,05:44 PM,-10,-0,2,-0,13,1,44,0.0,1031,10,10,333,9,Austin(TX)
2018-01-04,11,1,0.0,7.1,3,81,08:58 PM,09:40 AM,07:28 AM,05:44 PM,-5,5,6,5,11,43,47,0.0,1028,11,10,90,6,Austin(TX)
2018-01-05,15,6,0.0,8.7,3,74,10:03 PM,10:26 AM,07:29 AM,05:45 PM,-0,8,9,8,15,48,52,0.2,1027,15,9,166,9,Austin(TX)
2018-01-06,15,5,0.0,5.4,3,67,11:05 PM,11:07 AM,07:29 AM,05:46 PM,6,9,10,9,17,52,75,0.1,1026,15,10,158,10,Austin(TX)
2018-01-07,18,12,0.0,3.8,3,59,No moonrise,11:45 AM,07:29 AM,05:47 PM,13,13,14,13,31,86,90,3.0,1017,18,8,189,20,Austin(TX)
2018-01-08,18,9,0.0,8.7,4,52,12:03 AM,12:20 PM,07:29 AM,05:47 PM,5,11,13,11,30,2,61,0.0,1019,18,10,259,18,Austin(TX)
2018-01-09,18,6,0.0,8.7,4,45,01:00 AM,12:54 PM,07:29 AM,05:48 PM,5,12,12,12,12,9,63,0.0,1019,18,10,109,7,Austin(TX)
2018-01-10,16,8,0.0,5.5,3,38,01:55 AM,01:30 PM,07:29 AM,05:49 PM,9,10,12,10,25,46,86,0.1,1013,16,9,165,16,Austin(TX)
2018-01-11,20,7,0.0,8.7,3,30,02:49 AM,02:06 PM,07:29 AM,05:50 PM,6,11,13,11,30,41,70,2.4,1012,20,6,266,21,Austin(TX)
2018-01-12,11,1,0.0,8.7,3,23,03:43 AM,02:44 PM,07:29 AM,05:51 PM,-8,2,5,2,30,1,37,0.0,1025,11,10,226,20,Austin(TX)
2018-01-13,9,-0,0.0,8.7,2,16,04:35 AM,03:26 PM,07:29 AM,05:52 PM,-9,1,4,1,20,2,39,0.0,1034,9,10,37,13,Austin(TX)
2018-01-14,14,1,0.0,8.7,3,9,05:27 AM,04:10 PM,07:29 AM,05:52 PM,-2,5,7,5,15,1,53,0.0,1032,14,10,155,9,Austin(TX)
2018-01-15,17,4,0.0,5.5,4,1,06:16 AM,04:57 PM,07:28 AM,05:53 PM,8,10,11,10,18,44,83,0.9,1026,17,9,166,12,Austin(TX)
2018-01-16,2,-4,0.3,3.8,1,0,07:03 AM,05:47 PM,07:28 AM,05:54 PM,-9,-9,-3,-9,39,84,63,0.4,1039,2,10,51,28,Austin(TX)
2018-01-17,1,-7,0.0,8.7,2,0,07:48 AM,06:39 PM,07:28 AM,05:55 PM,-15,-7,-3,-7,15,1,41,0.0,1040,1,10,76,11,Austin(TX)
2018-01-18,7,-3,0.0,8.7,2,6,08:29 AM,07:33 PM,07:28 AM,05:56 PM,-10,-0,2,-0,10,44,41,0.1,1033,7,10,132,6,Austin(TX)
2018-01-19,9,2,0.0,3.9,2,13,09:08 AM,08:26 PM,07:28 AM,05:57 PM,1,4,6,4,12,96,73,0.3,1023,9,8,162,7,Austin(TX)
2018-01-20,19,8,0.0,7.1,4,20,09:44 AM,09:22 PM,07:27 AM,05:57 PM,11,11,13,11,24,61,89,0.0,1017,19,9,190,16,Austin(TX)
