date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,20,16,0.0,7.1,5,97,04:38 PM,05:59 AM,07:06 AM,05:06 PM,0,19,19,19,37,29,29,1.1,1011,20,10,185,23,Baghdad
2018-01-02,18,13,0.0,8.7,5,100,05:43 PM,07:04 AM,07:07 AM,05:07 PM,3,15,15,15,25,19,43,0.0,1014,18,10,266,16,Baghdad
2018-01-03,17,11,0.0,8.7,4,89,06:50 PM,08:04 AM,07:07 AM,05:07 PM,-0,15,15,15,13,19,37,0.0,1019,17,10,324,9,Baghdad
2018-01-04,18,9,0.0,8.7,4,81,07:59 PM,08:57 AM,07:07 AM,05:08 PM,-0,15,15,15,12,3,37,0.0,1017,18,10,109,8,Baghdad
2018-01-05,19,11,0.0,8.7,5,74,09:06 PM,09:44 AM,07:07 AM,05:09 PM,-1,14,15,14,29,23,34,0.1,1013,19,10,152,19,Baghdad
2018-01-06,19,13,0.0,7.1,5,67,10:10 PM,10:25 AM,07:07 AM,05:10 PM,3,16,16,16,14,50,42,0.0,1014,19,10,126,9,Baghdad
2018-01-07,20,14,0.0,8.7,5,59,11:11 PM,11:03 AM,07:07 AM,05:11 PM,2,16,16,16,30,23,38,0.0,1021,20,10,254,20,Baghdad
2018-01-08,20,12,0.0,8.7,5,52,No moonrise,11:37 AM,07:07 AM,05:11 PM,-4,14,15,14,39,0,27,0.0,1023,20,10,335,25,Baghdad
2018-01-09,19,11,0.0,8.7,4,45,12:10 AM,12:11 PM,07:07 AM,05:12 PM,-3,14,15,14,23,1,31,0.0,1024,19,10,318,14,Baghdad
2018-01-10,18,10,0.0,8.7,4,38,01:07 AM,12:44 PM,07:07 AM,05:13 PM,-2,16,16,16,10,1,30,0.0,1024,18,10,313,6,Baghdad
2018-01-11,19,9,0.0,8.7,4,30,02:03 AM,01:19 PM,07:07 AM,05:14 PM,-5,14,14,14,13,28,27,0.0,1024,19,10,148,8,Baghdad
2018-01-12,21,11,0.0,8.7,5,23,02:58 AM,01:55 PM,07:07 AM,05:15 PM,-7,14,15,14,33,1,21,0.0,1021,21,10,139,20,Baghdad
2018-01-13,21,10,0.0,8.7,4,16,03:52 AM,02:34 PM,07:07 AM,05:16 PM,-8,16,17,16,13,22,18,0.0,1020,21,10,106,7,Baghdad
2018-01-14,22,12,0.0,8.7,5,9,04:44 AM,03:17 PM,07:07 AM,05:17 PM,-9,16,17,16,30,6,16,0.0,1014,22,10,172,19,Baghdad
2018-01-15,19,12,0.0,8.7,5,1,05:35 AM,04:03 PM,07:06 AM,05:18 PM,3,15,15,15,16,13,43,0.0,1020,19,10,298,10,Baghdad
2018-01-16,18,11,0.0,8.7,4,0,06:23 AM,04:52 PM,07:06 AM,05:19 PM,4,14,15,14,18,8,50,0.0,1022,18,10,306,12,Baghdad
