date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-7,-12,0.0,5.2,1,97,04:48 PM,06:39 AM,07:27 AM,04:54 PM,-16,-15,-9,-15,21,43,56,0.1,1032,-7,10,307,15,Baltimore(MD)
2018-01-02,-6,-11,0.0,8.7,2,100,05:55 PM,07:44 AM,07:27 AM,04:55 PM,-17,-15,-8,-15,23,10,48,0.0,1033,-6,10,271,17,Baltimore(MD)
2018-01-03,-2,-9,0.0,7.0,2,89,07:05 PM,08:40 AM,07:27 AM,04:56 PM,-14,-7,-4,-7,9,51,46,0.0,1024,-2,10,139,7,Baltimore(MD)
2018-01-04,-5,-10,0.0,3.5,1,81,08:16 PM,09:29 AM,07:27 AM,04:57 PM,-10,-14,-6,-14,41,87,75,1.8,1007,-5,9,277,30,Baltimore(MD)
2018-01-05,-9,-12,0.0,8.7,2,74,09:25 PM,10:10 AM,07:27 AM,04:58 PM,-17,-20,-11,-20,38,34,58,0.0,1019,-9,10,287,27,Baltimore(MD)
2018-01-06,-9,-14,0.0,7.0,2,67,10:31 PM,10:47 AM,07:27 AM,04:59 PM,-18,-20,-12,-20,31,17,58,0.0,1030,-9,10,296,22,Baltimore(MD)
2018-01-07,-7,-15,0.0,8.7,2,59,11:35 PM,11:20 AM,07:27 AM,04:59 PM,-16,-15,-10,-15,14,22,60,0.0,1036,-7,10,250,10,Baltimore(MD)
2018-01-08,1,-9,0.0,5.3,2,52,No moonrise,11:51 AM,07:27 AM,05:00 PM,-8,-9,-4,-9,18,57,72,2.2,1024,1,9,210,12,Baltimore(MD)
2018-01-09,6,-2,0.0,8.7,2,45,12:36 AM,12:22 PM,07:26 AM,05:01 PM,-0,-0,2,-0,15,16,85,0.0,1024,6,9,298,8,Baltimore(MD)
2018-01-10,3,-2,0.0,7.0,2,38,01:36 AM,12:53 PM,07:26 AM,05:02 PM,-2,-1,1,-1,13,47,80,0.0,1031,3,10,110,8,Baltimore(MD)
2018-01-11,11,1,0.0,8.7,2,30,02:34 AM,01:26 PM,07:26 AM,05:03 PM,6,5,7,5,18,61,95,0.1,1027,11,5,165,9,Baltimore(MD)
2018-01-12,15,11,0.0,3.7,3,23,03:31 AM,02:01 PM,07:26 AM,05:05 PM,13,12,13,12,36,100,98,2.3,1009,15,10,167,18,Baltimore(MD)
2018-01-13,13,-5,0.0,7.0,2,16,04:26 AM,02:39 PM,07:25 AM,05:06 PM,-4,-4,2,-4,36,67,69,0.1,1016,13,9,306,25,Baltimore(MD)
2018-01-14,-5,-10,0.0,8.7,2,9,05:19 AM,03:22 PM,07:25 AM,05:07 PM,-17,-13,-7,-13,20,8,44,0.0,1038,-5,10,220,16,Baltimore(MD)
2018-01-15,-3,-9,0.0,3.7,1,1,06:10 AM,04:08 PM,07:25 AM,05:08 PM,-12,-8,-5,-8,9,64,58,0.0,1035,-3,10,41,7,Baltimore(MD)
