date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,14,12,0.0,5.4,3,97,04:14 PM,05:37 AM,06:43 AM,04:40 PM,9,11,13,11,26,66,76,1.8,1013,14,9,204,20,Beirut
2018-01-02,16,14,0.0,5.4,4,100,05:18 PM,06:42 AM,06:43 AM,04:41 PM,11,14,15,14,22,63,75,1.8,1016,16,10,223,16,Beirut
2018-01-03,16,14,0.0,7.0,5,89,06:26 PM,07:42 AM,06:43 AM,04:41 PM,11,15,15,15,27,25,73,1.6,1016,16,10,187,18,Beirut
2018-01-04,14,13,0.0,5.4,4,81,07:35 PM,08:35 AM,06:43 AM,04:42 PM,9,12,14,12,35,50,72,2.7,1011,14,10,182,26,Beirut
2018-01-05,13,11,0.0,7.0,3,74,08:42 PM,09:22 AM,06:44 AM,04:43 PM,8,11,13,11,24,60,72,7.5,1006,13,9,150,18,Beirut
2018-01-06,15,12,0.0,8.7,4,67,09:47 PM,10:02 AM,06:44 AM,04:44 PM,6,14,14,14,12,11,61,0.0,1017,15,10,116,8,Beirut
2018-01-07,16,13,0.0,8.7,4,59,10:48 PM,10:39 AM,06:44 AM,04:45 PM,7,16,16,16,11,0,54,0.0,1027,16,10,115,8,Beirut
2018-01-08,17,13,0.0,8.7,4,52,11:47 PM,11:14 AM,06:44 AM,04:46 PM,7,16,16,16,15,0,56,0.0,1029,17,10,106,11,Beirut
2018-01-09,16,13,0.0,8.7,4,45,No moonrise,11:47 AM,06:44 AM,04:46 PM,10,15,15,15,10,9,68,0.0,1027,16,10,174,8,Beirut
2018-01-10,16,13,0.0,7.1,5,38,12:44 AM,12:20 PM,06:44 AM,04:47 PM,11,16,16,16,11,21,69,0.0,1023,16,10,149,8,Beirut
2018-01-11,20,16,0.0,8.7,5,30,01:41 AM,12:54 PM,06:43 AM,04:48 PM,7,18,18,18,15,16,48,0.0,1017,20,10,146,9,Beirut
2018-01-12,17,14,0.0,8.7,5,23,02:35 AM,01:31 PM,06:43 AM,04:49 PM,9,17,17,17,15,1,61,0.1,1019,17,10,191,10,Beirut
2018-01-13,18,14,0.0,8.7,5,16,03:30 AM,02:10 PM,06:43 AM,04:50 PM,9,18,19,18,6,0,53,0.0,1016,18,10,88,5,Beirut
2018-01-14,15,13,0.0,7.1,4,9,04:22 AM,02:52 PM,06:43 AM,04:51 PM,8,12,14,12,22,21,70,6.0,1014,15,10,197,16,Beirut
2018-01-15,15,12,0.0,8.7,4,1,05:13 AM,03:39 PM,06:43 AM,04:52 PM,9,13,14,13,15,17,72,1.1,1022,15,10,185,11,Beirut
2018-01-16,15,13,0.0,8.7,4,0,06:01 AM,04:27 PM,06:43 AM,04:53 PM,8,14,14,14,14,12,65,0.1,1022,15,10,185,10,Beirut
2018-01-17,14,12,0.0,7.1,4,0,06:46 AM,05:20 PM,06:42 AM,04:54 PM,8,12,13,12,23,26,71,0.6,1015,14,10,185,16,Beirut
2018-01-18,15,12,0.0,5.4,3,6,07:28 AM,06:13 PM,06:42 AM,04:55 PM,10,12,14,12,55,71,77,14.8,1006,15,9,201,38,Beirut
2018-01-19,12,10,0.0,8.7,4,13,08:06 AM,07:09 PM,06:42 AM,04:56 PM,4,9,11,9,29,45,59,6.3,1008,12,9,218,21,Beirut
2018-01-20,15,10,0.0,8.7,4,20,08:42 AM,08:04 PM,06:41 AM,04:57 PM,5,14,14,14,8,3,54,0.0,1022,15,10,177,7,Beirut
2018-01-21,17,12,0.0,3.8,3,28,09:16 AM,09:01 PM,06:41 AM,04:58 PM,5,15,15,15,13,70,52,0.0,1019,17,10,81,7,Beirut
2018-01-22,17,14,0.0,8.7,5,35,09:49 AM,09:59 PM,06:41 AM,04:59 PM,6,14,15,14,38,5,56,0.0,1010,17,10,167,23,Beirut
2018-01-23,15,13,0.0,8.7,4,42,10:22 AM,10:58 PM,06:40 AM,05:00 PM,10,12,14,12,40,64,76,16.3,1010,15,9,224,27,Beirut
2018-01-24,14,12,0.0,7.1,4,49,10:57 AM,11:59 PM,06:40 AM,05:01 PM,9,12,13,12,23,53,74,2.2,1013,14,10,194,17,Beirut
2018-01-25,14,12,0.0,5.6,4,57,11:34 AM,No moonset,06:39 AM,05:02 PM,8,10,12,10,33,63,75,5.5,1010,14,10,188,25,Beirut
2018-01-26,12,10,0.0,7.1,4,64,12:15 PM,01:03 AM,06:39 AM,05:03 PM,6,8,10,8,30,52,72,4.0,1013,12,9,180,23,Beirut
2018-01-27,12,9,0.0,8.7,4,71,01:02 PM,02:08 AM,06:38 AM,05:04 PM,6,11,11,11,11,29,70,0.2,1020,12,10,145,8,Beirut
2018-01-28,14,10,0.0,8.7,4,78,01:55 PM,03:15 AM,06:37 AM,05:05 PM,7,14,13,14,5,6,63,0.0,1024,14,10,163,4,Beirut
2018-01-29,14,10,0.0,8.7,4,86,02:55 PM,04:20 AM,06:37 AM,05:06 PM,6,13,14,13,5,7,61,0.0,1023,14,10,159,4,Beirut
2018-01-30,14,10,0.0,8.7,4,93,04:00 PM,05:22 AM,06:36 AM,05:07 PM,7,14,14,14,4,3,62,0.0,1024,14,10,174,3,Beirut
2018-01-31,14,11,0.0,8.7,4,97,05:09 PM,06:18 AM,06:35 AM,05:08 PM,8,15,15,15,8,4,63,0.0,1023,14,10,164,6,Beirut
2018-02-01,16,12,0.0,8.7,4,88,06:18 PM,07:09 AM,06:35 AM,05:09 PM,6,16,16,16,12,1,54,0.0,1024,16,10,118,9,Beirut
