date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,10,3,0.0,8.7,3,97,03:48 PM,06:09 AM,07:16 AM,04:08 PM,0,5,7,5,15,23,65,0.0,1014,10,10,159,8,Belgrade
2018-01-02,7,5,0.0,3.3,2,100,04:52 PM,07:15 AM,07:16 AM,04:09 PM,3,2,6,2,27,98,86,7.2,1009,7,9,235,18,Belgrade
2018-01-03,8,2,0.0,8.7,3,89,06:03 PM,08:12 AM,07:16 AM,04:09 PM,1,2,5,2,23,53,73,1.2,1011,8,10,229,15,Belgrade
2018-01-04,9,4,0.0,8.7,3,81,07:17 PM,09:00 AM,07:16 AM,04:10 PM,1,4,6,4,16,44,73,0.1,1009,9,10,224,9,Belgrade
2018-01-05,12,5,0.0,8.7,3,74,08:30 PM,09:41 AM,07:16 AM,04:11 PM,1,6,8,6,18,57,64,0.0,1011,12,10,167,10,Belgrade
2018-01-06,14,6,0.0,8.7,3,67,09:41 PM,10:15 AM,07:16 AM,04:12 PM,4,7,9,7,20,25,70,0.0,1015,14,10,152,11,Belgrade
2018-01-07,15,7,0.0,8.7,3,59,10:49 PM,10:46 AM,07:15 AM,04:14 PM,6,9,10,9,16,11,75,0.0,1023,15,10,164,8,Belgrade
2018-01-08,13,7,0.0,8.7,3,52,11:54 PM,11:14 AM,07:15 AM,04:15 PM,5,8,10,8,17,13,72,0.0,1028,13,10,146,9,Belgrade
2018-01-09,10,6,0.0,6.9,3,45,No moonrise,11:42 AM,07:15 AM,04:16 PM,3,5,8,5,38,34,69,0.0,1028,10,10,126,25,Belgrade
2018-01-10,7,4,0.0,5.2,2,38,12:57 AM,12:09 PM,07:15 AM,04:17 PM,-0,2,6,2,41,58,65,0.1,1018,7,10,132,27,Belgrade
2018-01-11,7,3,0.0,8.7,2,30,01:58 AM,12:38 PM,07:14 AM,04:18 PM,1,3,5,3,12,48,75,0.0,1015,7,10,85,8,Belgrade
2018-01-12,7,4,0.0,3.4,2,23,02:58 AM,01:11 PM,07:14 AM,04:19 PM,2,4,5,4,15,88,78,0.3,1022,7,9,134,10,Belgrade
2018-01-13,5,1,0.0,8.7,2,16,03:56 AM,01:46 PM,07:13 AM,04:20 PM,-3,-2,3,-2,35,43,66,0.0,1026,5,10,115,24,Belgrade
2018-01-14,1,-3,0.1,6.9,2,9,04:52 AM,02:26 PM,07:13 AM,04:22 PM,-7,-7,-1,-7,38,56,62,0.1,1028,1,9,117,27,Belgrade
2018-01-15,-1,-4,0.1,5.2,2,1,05:44 AM,03:11 PM,07:12 AM,04:23 PM,-7,-7,-2,-7,24,75,70,0.1,1027,-1,9,120,17,Belgrade
2018-01-16,5,-5,0.0,3.4,1,0,06:32 AM,04:01 PM,07:12 AM,04:24 PM,-2,-3,1,-3,26,66,84,0.0,1013,5,10,154,14,Belgrade
2018-01-17,8,3,0.0,5.2,1,0,07:15 AM,04:55 PM,07:11 AM,04:25 PM,2,1,5,1,33,78,82,4.6,1000,8,9,218,20,Belgrade
2018-01-18,5,0,0.0,8.7,2,6,07:54 AM,05:53 PM,07:11 AM,04:27 PM,-3,-2,2,-2,31,12,67,0.0,1013,5,10,264,18,Belgrade
2018-01-19,8,2,0.0,5.2,2,13,08:28 AM,06:53 PM,07:10 AM,04:28 PM,-2,2,4,2,16,54,66,1.6,1011,8,9,203,9,Belgrade
2018-01-20,5,1,0.0,7.0,2,20,08:59 AM,07:54 PM,07:09 AM,04:29 PM,-0,1,3,1,12,46,79,1.4,1015,5,10,247,8,Belgrade
2018-01-21,4,1,0.1,3.5,1,28,09:28 AM,08:57 PM,07:08 AM,04:31 PM,-1,-2,2,-2,26,89,81,0.2,1008,4,9,203,16,Belgrade
2018-01-22,3,-1,0.1,7.0,2,35,09:55 AM,10:00 PM,07:08 AM,04:32 PM,-3,-3,1,-3,21,57,77,0.1,1017,3,9,280,15,Belgrade
2018-01-23,3,-0,0.0,7.0,2,42,10:22 AM,11:06 PM,07:07 AM,04:33 PM,-3,-0,1,-0,8,46,74,0.0,1024,3,10,264,5,Belgrade
2018-01-24,5,-1,0.0,8.7,2,49,10:51 AM,No moonset,07:06 AM,04:35 PM,-3,-1,1,-1,14,17,73,0.0,1034,5,10,158,9,Belgrade
2018-01-25,6,-1,0.0,8.7,2,57,11:22 AM,12:13 AM,07:05 AM,04:36 PM,-5,-2,2,-2,22,5,64,0.0,1028,6,10,134,13,Belgrade
2018-01-26,8,-0,0.0,8.7,2,64,11:58 AM,01:23 AM,07:04 AM,04:38 PM,-3,-0,3,-0,23,16,64,0.0,1025,8,10,137,13,Belgrade
2018-01-27,8,1,0.0,3.5,1,71,12:39 PM,02:34 AM,07:03 AM,04:39 PM,-1,3,4,3,12,71,67,0.0,1031,8,10,168,7,Belgrade
2018-01-28,6,1,0.0,8.7,2,78,01:30 PM,03:45 AM,07:02 AM,04:40 PM,1,3,4,3,9,16,79,0.0,1036,6,10,250,6,Belgrade
2018-01-29,10,2,0.0,8.7,3,86,02:28 PM,04:52 AM,07:01 AM,04:42 PM,-0,5,6,5,12,14,66,0.0,1031,10,10,191,6,Belgrade
2018-01-30,13,5,0.0,8.7,3,93,03:36 PM,05:53 AM,07:00 AM,04:43 PM,2,7,8,7,20,4,66,0.0,1027,13,10,281,12,Belgrade
2018-01-31,12,3,0.0,8.7,3,97,04:48 PM,06:46 AM,06:59 AM,04:45 PM,2,6,7,6,13,18,67,0.0,1023,12,10,148,8,Belgrade
2018-02-01,14,5,0.0,8.7,3,88,06:03 PM,07:32 AM,06:58 AM,04:46 PM,3,7,9,7,24,21,67,0.0,1013,14,10,178,13,Belgrade
2018-02-02,15,8,0.0,8.7,4,81,07:17 PM,08:10 AM,06:57 AM,04:48 PM,5,8,11,8,35,20,65,0.4,1008,15,10,154,21,Belgrade
2018-02-03,9,2,0.0,7.0,2,73,08:28 PM,08:43 AM,06:55 AM,04:49 PM,3,3,5,3,15,85,85,3.1,1003,9,10,249,11,Belgrade
2018-02-04,5,0,0.0,8.7,2,66,09:38 PM,09:14 AM,06:54 AM,04:50 PM,-1,0,3,0,14,47,76,0.0,1014,5,10,289,10,Belgrade
2018-02-05,6,0,0.0,8.7,2,58,10:43 PM,09:43 AM,06:53 AM,04:52 PM,-2,2,3,2,7,16,70,0.0,1024,6,10,232,5,Belgrade
2018-02-06,7,0,0.0,8.7,2,51,11:47 PM,10:11 AM,06:52 AM,04:53 PM,-3,1,3,1,16,24,64,0.0,1021,7,10,109,10,Belgrade
2018-02-07,10,5,0.0,8.7,3,43,No moonrise,10:40 AM,06:50 AM,04:55 PM,0,2,7,2,51,63,64,0.3,1012,10,9,131,35,Belgrade
2018-02-08,6,3,0.0,3.8,1,36,12:49 AM,11:11 AM,06:49 AM,04:56 PM,1,0,4,0,30,86,78,0.8,1013,6,10,238,21,Belgrade
2018-02-09,6,1,0.0,5.4,1,28,01:48 AM,11:46 AM,06:48 AM,04:58 PM,-1,1,3,1,14,60,75,0.0,1018,6,10,250,10,Belgrade
2018-02-10,5,0,0.0,8.7,2,20,02:45 AM,12:24 PM,06:46 AM,04:59 PM,-1,-0,2,-0,14,35,79,0.0,1015,5,10,41,9,Belgrade
2018-02-11,4,1,0.4,4.0,1,13,03:39 AM,01:07 PM,06:45 AM,05:01 PM,-1,-0,2,-0,12,90,80,0.4,1012,4,9,230,9,Belgrade
2018-02-12,6,0,0.0,8.7,2,5,04:28 AM,01:56 PM,06:43 AM,05:02 PM,-2,2,3,2,10,26,70,0.0,1013,6,10,113,7,Belgrade
2018-02-13,2,1,0.9,4.0,1,0,05:13 AM,02:48 PM,06:42 AM,05:03 PM,0,1,2,1,9,94,88,3.6,1012,2,8,104,6,Belgrade
2018-02-14,3,1,1.0,4.0,1,0,05:53 AM,03:45 PM,06:40 AM,05:05 PM,-0,-2,2,-2,20,99,87,1.1,1013,3,8,272,14,Belgrade
2018-02-15,4,0,0.1,4.0,1,0,06:29 AM,04:45 PM,06:39 AM,05:06 PM,-1,-1,2,-1,16,93,78,0.1,1023,4,9,308,11,Belgrade
2018-02-16,7,0,0.0,8.7,2,2,07:01 AM,05:47 PM,06:37 AM,05:08 PM,-1,3,4,3,7,24,73,0.0,1027,7,10,82,5,Belgrade
2018-02-17,8,1,0.0,8.7,2,10,07:31 AM,06:49 PM,06:36 AM,05:09 PM,-1,3,5,3,13,32,68,0.0,1025,8,10,85,8,Belgrade
2018-02-18,5,2,0.0,4.0,1,17,07:59 AM,07:54 PM,06:34 AM,05:10 PM,1,1,4,1,16,98,81,1.3,1022,5,8,281,11,Belgrade
2018-02-19,4,-1,0.6,4.0,1,25,08:26 AM,08:59 PM,06:33 AM,05:12 PM,-2,-2,2,-2,18,96,77,1.5,1022,4,9,188,13,Belgrade
2018-02-20,4,1,0.0,5.6,1,32,08:55 AM,10:05 PM,06:31 AM,05:13 PM,-1,-3,2,-3,37,94,82,8.5,1013,4,9,120,25,Belgrade
2018-02-21,4,1,0.0,5.6,1,40,09:25 AM,11:13 PM,06:29 AM,05:15 PM,0,-2,3,-2,26,91,85,2.7,1013,4,8,92,17,Belgrade
2018-02-22,4,2,0.0,7.2,1,47,09:58 AM,No moonset,06:28 AM,05:16 PM,0,-1,3,-1,25,88,85,3.8,1013,4,10,91,16,Belgrade
2018-02-23,7,1,0.0,5.6,1,55,10:36 AM,12:22 AM,06:26 AM,05:17 PM,-1,0,4,0,23,84,71,0.1,1015,7,10,100,16,Belgrade
2018-02-24,3,-2,0.2,7.2,2,62,11:21 AM,01:31 AM,06:24 AM,05:19 PM,-4,-3,1,-3,18,61,71,0.4,1017,3,8,221,13,Belgrade
