date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-3,-9,0.0,5.4,1,97,04:45 PM,06:08 AM,06:51 AM,04:50 PM,-17,-13,-6,-13,23,33,42,0.0,1036,-3,10,137,17,Birmingham(AL)
2018-01-02,1,-10,0.0,7.0,2,100,05:51 PM,07:12 AM,06:52 AM,04:51 PM,-19,-9,-5,-9,13,46,34,0.0,1035,1,10,62,9,Birmingham(AL)
2018-01-03,3,-4,0.0,8.7,2,89,07:00 PM,08:09 AM,06:52 AM,04:52 PM,-16,-4,-1,-4,11,50,33,0.0,1025,3,10,240,7,Birmingham(AL)
2018-01-04,-0,-6,0.0,8.7,2,81,08:08 PM,09:00 AM,06:52 AM,04:53 PM,-14,-8,-4,-8,17,2,45,0.0,1025,-0,10,332,12,Birmingham(AL)
2018-01-05,3,-7,0.0,8.7,2,74,09:14 PM,09:45 AM,06:52 AM,04:53 PM,-16,-4,-2,-4,8,6,36,0.0,1030,3,10,257,5,Birmingham(AL)
2018-01-06,5,-4,0.0,8.7,2,67,10:17 PM,10:24 AM,06:52 AM,04:54 PM,-12,-2,-0,-2,10,9,43,0.0,1033,5,10,33,6,Birmingham(AL)
2018-01-07,8,-3,0.0,7.1,2,59,11:18 PM,11:00 AM,06:52 AM,04:55 PM,-10,-1,2,-1,18,38,44,0.0,1030,8,10,118,11,Birmingham(AL)
2018-01-08,7,1,0.0,3.8,1,52,No moonrise,11:35 AM,06:52 AM,04:56 PM,3,2,5,2,18,95,89,3.3,1022,7,5,107,11,Birmingham(AL)
2018-01-09,15,7,0.0,5.4,2,45,12:16 AM,12:07 PM,06:52 AM,04:57 PM,9,9,10,9,14,80,94,0.1,1022,15,3,84,8,Birmingham(AL)
2018-01-10,18,10,0.0,3.8,3,38,01:13 AM,12:41 PM,06:52 AM,04:58 PM,12,14,14,14,20,96,90,0.0,1020,18,6,125,12,Birmingham(AL)
