date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,18,12,0.0,8.7,4,97,05:44 PM,05:24 AM,06:04 AM,05:56 PM,12,15,15,15,3,34,82,1.0,1015,18,10,202,2,Bogota
2018-01-02,18,12,0.0,8.7,4,100,06:47 PM,06:28 AM,06:04 AM,05:57 PM,12,15,15,15,3,41,81,1.1,1014,18,10,152,2,Bogota
2018-01-03,21,11,0.0,8.7,4,89,07:50 PM,07:31 AM,06:05 AM,05:57 PM,11,16,16,16,6,17,74,0.2,1014,21,10,126,4,Bogota
2018-01-04,21,11,0.0,8.7,4,81,08:49 PM,08:29 AM,06:05 AM,05:57 PM,11,16,16,16,4,19,75,3.6,1014,21,10,143,3,Bogota
2018-01-05,22,12,0.0,8.7,5,74,09:45 PM,09:24 AM,06:06 AM,05:58 PM,12,16,16,16,3,27,79,4.4,1015,22,10,166,2,Bogota
2018-01-06,19,13,0.0,8.7,4,67,10:36 PM,10:14 AM,06:06 AM,05:58 PM,12,15,15,15,2,33,83,4.1,1015,19,10,169,2,Bogota
2018-01-07,19,11,0.0,8.7,3,59,11:26 PM,11:02 AM,06:06 AM,05:59 PM,12,15,15,15,4,27,81,3.2,1014,19,10,201,3,Bogota
2018-01-08,21,11,0.0,8.7,4,52,No moonrise,11:47 AM,06:07 AM,05:59 PM,12,16,16,16,5,30,79,1.0,1013,21,10,154,4,Bogota
2018-01-09,20,12,0.0,11.6,4,45,12:13 AM,12:30 PM,06:07 AM,06:00 PM,12,15,15,15,3,31,82,1.8,1014,20,10,152,2,Bogota
2018-01-10,21,12,0.0,11.6,4,38,12:59 AM,01:14 PM,06:08 AM,06:00 PM,12,16,16,16,4,27,80,2.0,1014,21,10,151,3,Bogota
2018-01-11,20,12,0.0,11.6,4,30,01:45 AM,01:58 PM,06:08 AM,06:01 PM,12,16,15,16,5,31,80,1.8,1015,20,10,127,4,Bogota
2018-01-12,19,12,0.0,11.6,4,23,02:31 AM,02:42 PM,06:08 AM,06:01 PM,11,15,15,15,5,29,79,2.2,1014,19,10,128,3,Bogota
2018-01-13,19,12,0.0,11.6,4,16,03:19 AM,03:29 PM,06:09 AM,06:02 PM,11,15,15,15,3,38,79,1.4,1014,19,10,133,2,Bogota
2018-01-14,19,13,0.0,11.6,4,9,04:06 AM,04:15 PM,06:09 AM,06:02 PM,12,15,15,15,2,43,83,5.5,1013,19,10,217,2,Bogota
2018-01-15,20,12,0.0,11.6,4,1,04:54 AM,05:03 PM,06:09 AM,06:02 PM,11,15,15,15,5,34,80,10.6,1013,20,9,140,3,Bogota
2018-01-16,20,10,0.0,11.6,4,0,05:42 AM,05:51 PM,06:09 AM,06:03 PM,10,15,16,15,6,20,75,0.4,1014,20,10,126,4,Bogota
2018-01-17,19,12,0.0,11.6,4,0,06:29 AM,06:39 PM,06:10 AM,06:03 PM,11,15,15,15,3,33,79,2.3,1015,19,9,132,2,Bogota
