date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,12,9,0.0,5.1,3,97,05:15 PM,07:37 AM,08:40 AM,05:32 PM,6,8,10,8,39,59,77,9.3,1019,12,9,258,23,Bordeaux
2018-01-02,14,9,0.0,3.3,3,100,06:20 PM,08:42 AM,08:40 AM,05:33 PM,11,10,12,10,26,95,93,3.4,1023,14,8,246,16,Bordeaux
2018-01-03,15,12,0.0,5.1,3,89,07:32 PM,09:39 AM,08:40 AM,05:34 PM,12,12,14,12,38,87,85,1.5,1022,15,9,261,24,Bordeaux
2018-01-04,15,14,0.0,3.4,3,81,08:45 PM,10:27 AM,08:40 AM,05:35 PM,11,13,15,13,42,98,82,1.1,1017,15,9,264,26,Bordeaux
2018-01-05,14,10,0.0,3.4,3,74,09:59 PM,11:07 AM,08:40 AM,05:36 PM,9,10,12,10,19,95,86,3.7,1007,14,9,239,12,Bordeaux
2018-01-06,9,6,0.0,3.4,2,67,11:09 PM,11:41 AM,08:40 AM,05:37 PM,6,7,8,7,10,95,87,0.0,1005,9,10,189,7,Bordeaux
2018-01-07,13,6,0.0,3.4,3,59,No moonrise,12:11 PM,08:39 AM,05:38 PM,8,8,10,8,20,88,88,2.2,1004,13,10,67,12,Bordeaux
2018-01-08,11,6,0.0,6.9,2,52,12:17 AM,12:40 PM,08:39 AM,05:39 PM,7,8,9,8,16,59,85,0.3,1010,11,9,125,10,Bordeaux
2018-01-09,11,6,0.0,6.9,3,45,01:22 AM,01:07 PM,08:39 AM,05:40 PM,3,6,8,6,21,55,72,0.2,1011,11,9,187,12,Bordeaux
2018-01-10,12,9,0.0,8.7,3,38,02:25 AM,01:35 PM,08:39 AM,05:41 PM,7,8,10,8,22,55,78,1.9,1012,12,10,225,14,Bordeaux
2018-01-11,11,6,0.0,8.7,3,30,03:26 AM,02:04 PM,08:38 AM,05:43 PM,5,8,9,8,14,32,76,0.0,1017,11,10,227,8,Bordeaux
2018-01-12,10,4,0.0,8.7,3,23,04:26 AM,02:36 PM,08:38 AM,05:44 PM,4,6,7,6,8,18,85,0.0,1025,10,10,131,5,Bordeaux
2018-01-13,9,4,0.0,3.4,2,16,05:24 AM,03:12 PM,08:37 AM,05:45 PM,2,4,6,4,20,79,75,0.0,1016,9,10,140,12,Bordeaux
2018-01-14,10,5,0.0,6.9,2,9,06:19 AM,03:53 PM,08:37 AM,05:46 PM,5,5,7,5,13,77,87,0.0,1016,10,10,149,9,Bordeaux
2018-01-15,12,5,0.0,5.2,2,1,07:11 AM,04:38 PM,08:36 AM,05:47 PM,6,6,8,6,27,71,87,2.7,1020,12,6,213,16,Bordeaux
2018-01-16,13,12,0.0,3.4,3,0,07:59 AM,05:28 PM,08:36 AM,05:49 PM,10,10,13,10,42,99,85,1.0,1017,13,10,268,26,Bordeaux
2018-01-17,11,8,0.0,6.9,3,0,08:41 AM,06:22 PM,08:35 AM,05:50 PM,5,7,10,7,32,60,72,0.0,1024,11,10,283,20,Bordeaux
2018-01-18,12,9,0.0,3.4,3,6,09:20 AM,07:21 PM,08:34 AM,05:51 PM,8,9,11,9,27,97,84,1.6,1022,12,9,248,17,Bordeaux
2018-01-19,12,9,0.0,8.7,4,13,09:54 AM,08:20 PM,08:34 AM,05:53 PM,7,9,10,9,18,54,81,0.0,1021,12,10,286,12,Bordeaux
2018-01-20,14,8,0.0,3.5,3,20,10:24 AM,09:22 PM,08:33 AM,05:54 PM,9,9,12,9,41,92,86,12.4,1018,14,9,261,26,Bordeaux
