date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,19,0.0,13.0,6,97,06:26 PM,05:04 AM,05:44 AM,06:47 PM,19,25,25,23,7,42,79,1.2,1013,28,7,218,5,Brasilia
2018-01-02,27,19,0.0,13.0,6,100,07:29 PM,06:07 AM,05:45 AM,06:47 PM,19,24,24,23,10,47,82,5.6,1011,27,10,279,6,Brasilia
2018-01-03,26,19,0.0,12.0,6,89,08:27 PM,07:12 AM,05:45 AM,06:47 PM,19,22,23,22,15,64,86,4.2,1011,26,9,267,10,Brasilia
2018-01-04,25,18,0.0,13.0,6,81,09:22 PM,08:16 AM,05:46 AM,06:48 PM,19,22,23,22,11,52,86,6.1,1012,25,8,263,7,Brasilia
2018-01-05,22,19,0.0,9.4,5,74,10:11 PM,09:17 AM,05:46 AM,06:48 PM,19,21,22,21,8,74,90,8.9,1015,22,8,240,5,Brasilia
2018-01-06,22,18,0.0,12.0,5,67,10:56 PM,10:14 AM,05:47 AM,06:48 PM,19,20,21,20,7,72,91,5.2,1015,22,8,209,5,Brasilia
2018-01-07,24,18,0.0,12.0,5,59,11:39 PM,11:09 AM,05:48 AM,06:48 PM,19,21,22,21,9,74,88,8.7,1013,24,8,259,6,Brasilia
2018-01-08,25,17,0.0,13.0,5,52,No moonrise,12:01 PM,05:48 AM,06:49 PM,18,21,22,21,10,36,84,6.5,1014,25,9,86,7,Brasilia
2018-01-09,26,17,0.0,13.0,6,45,12:19 AM,12:52 PM,05:49 AM,06:49 PM,18,21,22,21,18,28,80,2.2,1015,26,10,76,12,Brasilia
2018-01-10,27,18,0.0,13.0,6,38,12:59 AM,01:42 PM,05:49 AM,06:49 PM,18,22,23,22,22,21,80,0.0,1016,27,10,84,14,Brasilia
2018-01-11,26,18,0.0,13.0,6,30,01:39 AM,02:30 PM,05:50 AM,06:49 PM,18,22,22,22,19,29,81,3.8,1016,26,8,80,13,Brasilia
2018-01-12,26,17,0.0,13.0,6,23,02:20 AM,03:20 PM,05:51 AM,06:49 PM,17,22,22,22,12,14,76,0.1,1014,26,10,158,8,Brasilia
2018-01-13,25,17,0.0,13.0,5,16,03:03 AM,04:09 PM,05:51 AM,06:50 PM,18,21,22,21,6,40,83,9.7,1013,25,9,224,4,Brasilia
2018-01-14,25,17,0.0,13.0,5,9,03:48 AM,04:58 PM,05:52 AM,06:50 PM,19,21,22,21,8,38,85,8.0,1014,25,10,55,5,Brasilia
2018-01-15,26,17,0.0,13.0,6,1,04:35 AM,05:47 PM,05:52 AM,06:50 PM,19,22,23,22,7,30,82,2.8,1014,26,10,55,5,Brasilia
2018-01-16,25,18,0.0,13.0,6,0,05:23 AM,06:33 PM,05:53 AM,06:50 PM,19,22,23,22,12,28,84,7.0,1015,25,9,75,8,Brasilia
2018-01-17,27,18,0.0,13.0,6,0,06:12 AM,07:19 PM,05:54 AM,06:50 PM,18,23,23,22,15,16,77,0.1,1014,27,7,88,10,Brasilia
2018-01-18,26,17,0.0,13.0,6,6,07:02 AM,08:03 PM,05:54 AM,06:50 PM,17,22,23,22,15,15,73,0.0,1015,26,10,77,10,Brasilia
2018-01-19,27,17,0.0,13.0,6,13,07:52 AM,08:45 PM,05:55 AM,06:50 PM,17,22,23,22,14,17,73,0.2,1014,27,10,83,9,Brasilia
2018-01-20,28,18,0.0,13.0,6,20,08:42 AM,09:26 PM,05:55 AM,06:50 PM,17,24,24,23,14,22,72,0.0,1013,28,10,76,9,Brasilia
2018-01-21,28,18,0.0,12.9,6,28,09:32 AM,10:06 PM,05:56 AM,06:50 PM,17,24,24,23,10,25,69,0.0,1013,28,10,70,6,Brasilia
2018-01-22,28,18,0.0,12.9,6,35,10:22 AM,10:46 PM,05:56 AM,06:50 PM,17,24,24,23,13,24,67,0.3,1011,28,10,70,8,Brasilia
2018-01-23,29,18,0.0,12.9,6,42,11:13 AM,11:28 PM,05:57 AM,06:50 PM,15,24,24,24,15,9,59,0.0,1011,29,10,75,9,Brasilia
2018-01-24,27,19,0.0,12.9,6,49,12:06 PM,No moonset,05:58 AM,06:50 PM,18,25,25,23,12,23,72,1.1,1012,27,10,106,8,Brasilia
2018-01-25,26,19,0.0,12.9,5,57,01:02 PM,12:11 AM,05:58 AM,06:50 PM,19,22,23,22,10,42,83,12.9,1010,26,9,110,6,Brasilia
2018-01-26,25,18,0.0,12.9,6,64,02:00 PM,12:58 AM,05:59 AM,06:50 PM,19,21,22,21,9,41,87,5.1,1010,25,7,185,5,Brasilia
2018-01-27,25,18,0.0,12.9,6,71,03:01 PM,01:49 AM,05:59 AM,06:50 PM,19,22,23,22,8,45,88,4.1,1010,25,9,226,5,Brasilia
2018-01-28,26,18,0.0,12.5,6,78,04:04 PM,02:44 AM,06:00 AM,06:49 PM,19,22,23,22,9,31,84,0.0,1010,26,8,104,6,Brasilia
2018-01-29,26,18,0.0,12.5,6,86,05:07 PM,03:45 AM,06:00 AM,06:49 PM,19,22,23,22,10,40,84,0.1,1010,26,6,324,7,Brasilia
