date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,7,2,0.0,5.1,1,97,03:50 PM,06:34 AM,07:42 AM,04:08 PM,2,2,4,2,13,65,89,0.0,1011,7,8,173,7,Bratislava
2018-01-02,8,3,0.0,6.9,2,100,04:55 PM,07:40 AM,07:42 AM,04:09 PM,1,2,5,2,25,47,78,0.0,1011,8,10,250,14,Bratislava
2018-01-03,4,1,0.0,6.9,2,89,06:07 PM,08:36 AM,07:42 AM,04:10 PM,-0,-1,3,-1,29,40,79,2.6,1006,4,10,215,17,Bratislava
2018-01-04,9,4,0.0,8.7,3,81,07:23 PM,09:23 AM,07:42 AM,04:11 PM,1,2,5,2,25,58,73,0.2,1005,9,10,215,14,Bratislava
2018-01-05,9,4,0.0,6.9,3,74,08:38 PM,10:01 AM,07:42 AM,04:12 PM,4,4,6,4,19,60,87,3.9,1006,9,9,169,11,Bratislava
2018-01-06,8,4,0.0,5.1,2,67,09:52 PM,10:33 AM,07:42 AM,04:13 PM,6,5,7,5,13,75,94,0.0,1011,8,5,115,8,Bratislava
2018-01-07,9,6,0.0,3.3,2,59,11:02 PM,11:01 AM,07:41 AM,04:15 PM,6,7,7,7,8,85,92,0.0,1021,9,7,197,5,Bratislava
2018-01-08,8,6,0.0,3.3,2,52,No moonrise,11:28 AM,07:41 AM,04:16 PM,6,5,7,5,13,95,93,0.2,1028,8,7,93,9,Bratislava
2018-01-09,7,5,0.0,5.1,2,45,12:09 AM,11:53 AM,07:41 AM,04:17 PM,3,3,6,3,28,68,82,0.0,1026,7,10,130,18,Bratislava
2018-01-10,5,2,0.0,3.3,1,38,01:15 AM,12:18 PM,07:40 AM,04:18 PM,2,1,4,1,20,97,87,2.7,1017,5,7,135,14,Bratislava
