date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,5,0.0,4.9,3,97,04:32 PM,07:38 AM,08:45 AM,04:47 PM,3,2,7,2,41,78,80,5.4,1000,8,10,227,27,Brussels
2018-01-02,9,5,0.0,4.9,2,100,05:38 PM,08:44 AM,08:45 AM,04:49 PM,3,2,6,2,38,85,82,2.0,1009,9,8,235,24,Brussels
2018-01-03,13,7,0.0,4.9,2,89,06:52 PM,09:39 AM,08:45 AM,04:50 PM,4,5,9,5,60,82,72,5.7,996,13,10,249,39,Brussels
2018-01-04,12,6,0.0,3.0,2,81,08:09 PM,10:23 AM,08:44 AM,04:51 PM,6,5,8,5,40,62,84,1.8,997,12,10,235,24,Brussels
2018-01-05,9,6,0.0,4.9,3,74,09:28 PM,10:59 AM,08:44 AM,04:52 PM,5,4,8,4,36,53,83,1.2,998,9,10,224,23,Brussels
2018-01-06,6,4,0.0,3.0,1,67,10:43 PM,11:29 AM,08:44 AM,04:53 PM,4,3,5,3,16,73,90,0.2,1008,6,9,158,10,Brussels
2018-01-07,4,2,0.0,4.9,1,59,11:55 PM,11:55 AM,08:44 AM,04:54 PM,-0,-2,3,-2,37,83,80,0.2,1022,4,10,52,25,Brussels
2018-01-08,6,1,0.0,4.9,1,52,No moonrise,12:19 PM,08:43 AM,04:56 PM,0,-1,3,-1,29,53,84,0.0,1021,6,10,70,18,Brussels
2018-01-09,6,1,0.0,3.1,1,45,01:05 AM,12:42 PM,08:43 AM,04:57 PM,3,1,4,1,19,63,91,0.1,1011,6,10,144,11,Brussels
2018-01-10,7,5,0.0,3.1,2,38,02:12 AM,01:06 PM,08:42 AM,04:59 PM,5,4,6,4,23,84,90,2.4,1008,7,8,190,14,Brussels
2018-01-11,8,4,0.0,8.6,3,30,03:18 AM,01:32 PM,08:41 AM,05:00 PM,4,4,6,4,11,60,91,0.1,1016,8,9,76,6,Brussels
2018-01-12,6,4,0.0,5.1,2,23,04:21 AM,02:00 PM,08:41 AM,05:01 PM,4,4,5,4,7,69,93,0.1,1026,6,5,56,5,Brussels
2018-01-13,6,2,0.0,8.6,2,16,05:22 AM,02:33 PM,08:40 AM,05:03 PM,2,1,4,1,17,15,87,0.0,1024,6,10,112,10,Brussels
2018-01-14,6,0,0.0,8.7,2,9,06:20 AM,03:11 PM,08:39 AM,05:04 PM,1,0,3,0,17,14,87,0.0,1019,6,10,126,11,Brussels
2018-01-15,8,2,0.0,3.3,1,1,07:13 AM,03:56 PM,08:39 AM,05:06 PM,3,0,5,0,46,79,87,6.2,1006,8,9,206,30,Brussels
2018-01-16,7,4,0.0,8.7,3,0,08:01 AM,04:46 PM,08:38 AM,05:07 PM,2,1,6,1,39,48,77,1.7,995,7,10,248,25,Brussels
2018-01-17,6,1,0.0,3.3,2,0,08:42 AM,05:43 PM,08:37 AM,05:09 PM,-1,-1,3,-1,40,70,72,0.0,1003,6,10,256,24,Brussels
2018-01-18,9,4,0.0,5.1,2,6,09:18 AM,06:43 PM,08:36 AM,05:11 PM,3,2,7,2,45,79,77,3.0,1001,9,10,245,29,Brussels
2018-01-19,5,2,0.0,6.9,2,13,09:49 AM,07:47 PM,08:35 AM,05:12 PM,0,-1,3,-1,29,35,81,0.2,1009,5,10,243,18,Brussels
2018-01-20,4,2,0.0,3.3,1,20,10:15 AM,08:52 PM,08:34 AM,05:14 PM,1,-0,3,-0,20,79,91,2.7,1005,4,10,186,13,Brussels
2018-01-21,4,1,0.0,5.1,2,28,10:40 AM,09:59 PM,08:33 AM,05:15 PM,1,-0,3,-0,21,80,86,6.1,1014,4,9,233,13,Brussels
2018-01-22,9,4,0.0,5.1,3,35,11:04 AM,11:07 PM,08:32 AM,05:17 PM,6,4,7,4,23,72,91,0.8,1011,9,8,263,14,Brussels
2018-01-23,10,5,0.0,6.9,2,42,11:27 AM,No moonset,08:31 AM,05:19 PM,6,5,8,5,34,76,85,0.2,1021,10,10,217,22,Brussels
2018-01-24,13,11,0.0,3.3,3,49,11:51 AM,12:17 AM,08:30 AM,05:21 PM,9,8,11,8,51,90,83,0.0,1015,13,10,209,33,Brussels
2018-01-25,9,7,0.0,3.4,2,57,12:18 PM,01:30 AM,08:28 AM,05:22 PM,6,5,8,5,24,79,86,1.0,1012,9,9,220,16,Brussels
2018-01-26,8,4,0.0,6.9,3,64,12:49 PM,02:44 AM,08:27 AM,05:24 PM,4,4,6,4,14,40,88,0.0,1019,8,9,236,9,Brussels
2018-01-27,7,2,0.0,8.7,2,71,01:28 PM,03:59 AM,08:26 AM,05:26 PM,2,1,5,1,25,36,83,0.7,1030,7,7,225,16,Brussels
2018-01-28,11,6,0.0,3.4,2,78,02:15 PM,05:13 AM,08:24 AM,05:27 PM,7,5,9,5,37,99,88,0.0,1031,11,10,233,24,Brussels
2018-01-29,10,8,0.0,3.4,2,86,03:14 PM,06:21 AM,08:23 AM,05:29 PM,7,6,10,6,39,85,84,0.1,1028,10,10,253,25,Brussels
2018-01-30,8,3,0.0,8.7,3,93,04:22 PM,07:22 AM,08:22 AM,05:31 PM,4,5,7,5,13,18,84,0.0,1028,8,10,234,9,Brussels
2018-01-31,10,4,0.0,3.4,2,97,05:39 PM,08:12 AM,08:20 AM,05:33 PM,5,4,8,4,44,83,85,6.6,1008,10,9,235,28,Brussels
2018-02-01,5,2,0.0,3.4,1,88,06:58 PM,08:53 AM,08:19 AM,05:34 PM,-0,-1,3,-1,30,46,78,0.1,1002,5,10,241,19,Brussels
2018-02-02,6,2,0.0,5.2,1,81,08:16 PM,09:27 AM,08:17 AM,05:36 PM,1,0,4,0,25,76,83,4.0,1006,6,9,290,16,Brussels
2018-02-03,5,1,0.7,3.5,1,73,09:33 PM,09:55 AM,08:16 AM,05:38 PM,1,1,3,1,11,78,85,1.2,1008,5,9,212,7,Brussels
2018-02-04,3,-2,0.1,5.2,2,66,10:46 PM,10:20 AM,08:14 AM,05:40 PM,-3,-3,1,-3,23,64,78,0.1,1019,3,9,31,16,Brussels
2018-02-05,3,-2,0.0,8.7,2,58,11:57 PM,10:45 AM,08:13 AM,05:42 PM,-4,-5,-0,-5,25,14,75,0.0,1024,3,10,62,17,Brussels
2018-02-06,1,-2,0.1,3.5,1,51,No moonrise,11:09 AM,08:11 AM,05:43 PM,-6,-5,-1,-5,20,76,67,0.1,1015,1,9,49,14,Brussels
2018-02-07,2,-3,0.0,8.7,2,43,01:05 AM,11:34 AM,08:09 AM,05:45 PM,-10,-4,-1,-4,14,44,50,0.0,1017,2,10,15,10,Brussels
2018-02-08,4,-2,0.0,7.0,1,36,02:10 AM,12:02 PM,08:08 AM,05:47 PM,-6,-2,0,-2,11,35,65,0.0,1020,4,10,197,7,Brussels
2018-02-09,1,-2,0.7,3.5,1,28,03:13 AM,12:33 PM,08:06 AM,05:49 PM,-3,-6,-0,-6,31,74,81,0.8,1014,1,8,196,20,Brussels
2018-02-10,5,0,0.0,7.0,2,20,04:12 AM,01:10 PM,08:04 AM,05:50 PM,-0,-2,3,-2,29,64,83,0.4,1015,5,8,237,19,Brussels
2018-02-11,6,2,0.0,5.3,1,13,05:07 AM,01:52 PM,08:03 AM,05:52 PM,0,-1,4,-1,40,70,78,0.9,1004,6,9,239,26,Brussels
2018-02-12,5,0,0.1,8.7,2,5,05:57 AM,02:40 PM,08:01 AM,05:54 PM,-2,-2,2,-2,26,37,75,0.1,1014,5,10,249,16,Brussels
2018-02-13,5,-1,0.0,7.0,2,0,06:40 AM,03:35 PM,07:59 AM,05:56 PM,-3,-3,2,-3,32,18,69,0.0,1011,5,10,171,21,Brussels
2018-02-14,5,-1,0.0,8.7,2,0,07:18 AM,04:34 PM,07:57 AM,05:57 PM,-4,-3,2,-3,32,34,63,0.0,1013,5,10,163,21,Brussels
