date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,9,2,0.0,8.7,2,97,04:25 PM,06:44 AM,07:52 AM,04:46 PM,-0,5,6,5,9,11,66,0.0,1015,9,10,193,5,Bucharest
2018-01-02,7,3,0.0,5.1,3,100,05:30 PM,07:50 AM,07:52 AM,04:47 PM,3,3,5,3,18,43,85,0.4,1008,7,9,126,11,Bucharest
2018-01-03,7,3,0.0,8.7,2,89,06:41 PM,08:47 AM,07:52 AM,04:48 PM,2,3,5,3,14,55,83,0.0,1009,7,10,243,9,Bucharest
2018-01-04,5,3,0.0,3.4,1,81,07:54 PM,09:36 AM,07:52 AM,04:49 PM,1,2,4,2,16,84,80,0.2,1007,5,10,255,9,Bucharest
2018-01-05,7,1,0.0,8.7,2,74,09:07 PM,10:17 AM,07:52 AM,04:50 PM,1,3,5,3,12,12,76,0.0,1013,7,10,242,7,Bucharest
2018-01-06,11,3,0.0,8.7,3,67,10:18 PM,10:52 AM,07:52 AM,04:51 PM,2,6,7,6,12,11,70,0.0,1018,11,10,243,7,Bucharest
2018-01-07,12,5,0.0,8.7,3,59,11:26 PM,11:23 AM,07:52 AM,04:52 PM,3,6,8,6,20,5,73,0.0,1023,12,10,250,11,Bucharest
2018-01-08,8,5,0.0,6.9,3,52,No moonrise,11:51 AM,07:51 AM,04:53 PM,4,6,7,6,12,39,82,0.0,1030,8,10,90,7,Bucharest
2018-01-09,6,2,0.0,8.7,2,45,12:30 AM,12:19 PM,07:51 AM,04:55 PM,-2,0,4,0,25,39,67,0.0,1035,6,10,69,17,Bucharest
2018-01-10,5,1,0.0,3.4,1,38,01:33 AM,12:47 PM,07:51 AM,04:56 PM,-1,-0,3,-0,19,100,73,0.0,1025,5,10,63,13,Bucharest
2018-01-11,6,5,0.0,3.4,2,30,02:34 AM,01:16 PM,07:51 AM,04:57 PM,4,2,6,2,24,100,92,1.7,1015,6,8,65,16,Bucharest
2018-01-12,5,3,0.0,5.2,1,23,03:34 AM,01:48 PM,07:50 AM,04:58 PM,-0,-1,4,-1,31,89,75,1.7,1023,5,9,61,22,Bucharest
2018-01-13,1,-2,0.0,3.4,1,16,04:32 AM,02:24 PM,07:50 AM,04:59 PM,-5,-6,0,-6,41,83,67,0.1,1032,1,9,56,29,Bucharest
2018-01-14,-2,-4,0.0,8.7,2,9,05:28 AM,03:04 PM,07:49 AM,05:01 PM,-12,-9,-3,-9,28,35,49,0.0,1034,-2,10,63,21,Bucharest
2018-01-15,-4,-6,0.1,5.3,1,1,06:19 AM,03:49 PM,07:49 AM,05:02 PM,-13,-10,-5,-10,18,85,55,0.2,1032,-4,9,70,14,Bucharest
2018-01-16,-3,-7,0.5,8.7,2,0,07:08 AM,04:39 PM,07:48 AM,05:03 PM,-7,-9,-5,-9,13,76,86,0.6,1018,-3,9,197,9,Bucharest
