date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,7,3,0.0,3.3,1,97,03:44 PM,06:23 AM,07:32 AM,04:03 PM,3,3,5,3,14,66,88,0.0,1012,7,9,209,9,Budapest
2018-01-02,7,3,0.0,3.3,1,100,04:49 PM,07:30 AM,07:32 AM,04:04 PM,1,2,5,2,21,77,79,0.8,1010,7,8,208,14,Budapest
2018-01-03,5,1,0.0,5.1,2,89,06:01 PM,08:26 AM,07:32 AM,04:05 PM,-0,0,4,0,23,47,77,1.9,1008,5,10,243,15,Budapest
2018-01-04,8,4,0.0,8.7,3,81,07:17 PM,09:13 AM,07:32 AM,04:06 PM,1,3,6,3,19,44,72,0.0,1006,8,10,237,11,Budapest
2018-01-05,9,4,0.0,8.7,3,74,08:31 PM,09:52 AM,07:31 AM,04:07 PM,4,4,6,4,15,62,86,0.5,1008,9,8,190,9,Budapest
2018-01-06,10,5,0.0,5.1,2,67,09:44 PM,10:24 AM,07:31 AM,04:08 PM,6,7,8,7,13,66,88,0.0,1013,10,10,152,7,Budapest
2018-01-07,10,6,0.0,5.1,2,59,10:54 PM,10:53 AM,07:31 AM,04:09 PM,7,8,9,8,11,63,89,0.1,1021,10,10,141,6,Budapest
2018-01-08,10,6,0.0,6.9,3,52,No moonrise,11:20 AM,07:31 AM,04:10 PM,6,6,8,6,16,68,90,0.0,1028,10,7,77,11,Budapest
2018-01-09,7,4,0.0,6.9,3,45,12:01 AM,11:45 AM,07:30 AM,04:12 PM,2,2,5,2,20,48,78,0.0,1028,7,10,94,13,Budapest
2018-01-10,6,3,0.0,5.1,2,38,01:06 AM,12:11 PM,07:30 AM,04:13 PM,1,2,5,2,16,79,76,0.5,1018,6,9,116,11,Budapest
2018-01-11,6,4,0.0,3.3,1,30,02:09 AM,12:39 PM,07:29 AM,04:14 PM,2,4,5,4,7,92,84,0.0,1015,6,10,225,5,Budapest
2018-01-12,6,4,0.0,3.3,2,23,03:11 AM,01:09 PM,07:29 AM,04:15 PM,2,4,5,4,11,96,79,0.5,1023,6,9,48,8,Budapest
2018-01-13,4,1,1.1,3.3,1,16,04:10 AM,01:44 PM,07:28 AM,04:17 PM,-1,-1,2,-1,17,100,80,1.4,1028,4,7,69,13,Budapest
2018-01-14,1,-2,1.7,5.1,1,9,05:06 AM,02:23 PM,07:28 AM,04:18 PM,-3,-4,-0,-4,14,78,79,2.0,1029,1,8,89,10,Budapest
2018-01-15,-1,-3,0.0,8.7,2,1,05:59 AM,03:08 PM,07:27 AM,04:19 PM,-8,-4,-2,-4,10,55,63,0.0,1027,-1,10,126,8,Budapest
2018-01-16,0,-4,0.3,3.4,1,0,06:47 AM,03:58 PM,07:27 AM,04:21 PM,-4,-6,-2,-6,17,97,86,2.8,1010,0,6,148,12,Budapest
2018-01-17,3,-0,0.0,5.1,2,0,07:30 AM,04:53 PM,07:26 AM,04:22 PM,-1,-1,2,-1,18,59,80,0.0,1000,3,10,288,11,Budapest
2018-01-18,6,0,0.0,5.1,2,6,08:07 AM,05:52 PM,07:25 AM,04:23 PM,-3,-2,3,-2,34,49,64,0.8,1009,6,10,263,22,Budapest
2018-01-19,5,3,0.0,3.4,1,13,08:39 AM,06:53 PM,07:24 AM,04:25 PM,1,2,5,2,17,81,77,1.2,1009,5,10,271,11,Budapest
2018-01-20,4,-0,0.0,8.7,2,20,09:09 AM,07:56 PM,07:23 AM,04:26 PM,-1,-0,2,-0,14,26,77,0.0,1013,4,10,250,9,Budapest
2018-01-21,1,-1,1.3,3.4,1,28,09:36 AM,09:00 PM,07:23 AM,04:28 PM,-1,-4,0,-4,19,80,88,1.6,1007,1,8,192,13,Budapest
2018-01-22,2,-1,0.0,8.7,2,35,10:02 AM,10:06 PM,07:22 AM,04:29 PM,-6,-2,1,-2,13,24,63,0.0,1016,2,10,260,9,Budapest
2018-01-23,1,-2,0.2,6.9,2,42,10:27 AM,11:13 PM,07:21 AM,04:31 PM,-2,-1,-0,-1,6,68,84,0.3,1025,1,9,184,4,Budapest
2018-01-24,2,-1,0.0,3.4,1,49,10:54 AM,No moonset,07:20 AM,04:32 PM,-0,-2,1,-2,13,82,92,0.0,1032,2,9,153,8,Budapest
2018-01-25,2,-2,0.0,6.9,2,57,11:24 AM,12:22 AM,07:19 AM,04:34 PM,-4,-3,1,-3,14,26,69,0.0,1027,2,10,117,10,Budapest
2018-01-26,2,-1,0.0,3.4,1,64,11:57 AM,01:34 AM,07:18 AM,04:35 PM,-3,-2,1,-2,15,78,77,0.0,1023,2,10,92,10,Budapest
2018-01-27,4,-0,0.0,5.2,2,71,12:37 PM,02:47 AM,07:16 AM,04:37 PM,0,1,2,1,8,51,85,0.0,1031,4,10,165,5,Budapest
2018-01-28,6,-0,0.0,8.7,2,78,01:26 PM,03:59 AM,07:15 AM,04:38 PM,0,1,3,1,16,39,81,0.0,1034,6,9,274,10,Budapest
2018-01-29,10,3,0.0,8.7,3,86,02:25 PM,05:07 AM,07:14 AM,04:40 PM,2,4,7,4,20,24,74,0.0,1028,10,10,253,12,Budapest
2018-01-30,9,3,0.0,8.7,3,93,03:33 PM,06:08 AM,07:13 AM,04:42 PM,0,4,7,4,30,3,61,0.0,1025,9,10,301,19,Budapest
2018-01-31,6,2,0.0,3.5,1,97,04:47 PM,07:00 AM,07:12 AM,04:43 PM,-1,3,5,3,9,71,68,0.0,1022,6,10,183,6,Budapest
2018-02-01,10,4,0.0,3.5,2,88,06:03 PM,07:44 AM,07:10 AM,04:45 PM,3,5,7,5,26,75,75,0.2,1008,10,9,197,16,Budapest
2018-02-02,6,3,0.0,3.5,1,81,07:20 PM,08:20 AM,07:09 AM,04:46 PM,1,3,5,3,14,100,79,5.1,1007,6,9,322,10,Budapest
2018-02-03,3,1,3.4,3.5,1,73,08:33 PM,08:51 AM,07:08 AM,04:48 PM,-1,-1,2,-1,16,86,81,4.8,1004,3,9,279,11,Budapest
2018-02-04,5,-0,0.0,8.7,2,66,09:44 PM,09:20 AM,07:06 AM,04:49 PM,-2,1,3,1,10,40,70,0.0,1014,5,10,309,7,Budapest
2018-02-05,3,-1,0.0,8.7,2,58,10:52 PM,09:47 AM,07:05 AM,04:51 PM,-3,1,2,1,6,20,67,0.0,1024,3,10,253,4,Budapest
2018-02-06,1,-2,0.0,5.3,2,51,11:57 PM,10:13 AM,07:03 AM,04:53 PM,-5,-3,-0,-3,12,49,72,0.0,1022,1,10,110,9,Budapest
2018-02-07,2,-1,0.0,3.6,1,43,No moonrise,10:41 AM,07:02 AM,04:54 PM,-2,-4,0,-4,22,80,82,1.3,1014,2,9,73,14,Budapest
2018-02-08,3,1,0.0,3.6,1,36,01:00 AM,11:11 AM,07:01 AM,04:56 PM,1,-1,2,-1,15,100,90,2.8,1013,3,8,228,10,Budapest
2018-02-09,3,-1,0.0,8.7,2,28,02:01 AM,11:44 AM,06:59 AM,04:57 PM,-2,-0,2,-0,8,48,76,0.0,1017,3,10,309,6,Budapest
2018-02-10,3,-0,0.1,3.8,1,20,02:59 AM,12:21 PM,06:57 AM,04:59 PM,-2,-0,2,-0,9,74,79,0.1,1016,3,10,225,6,Budapest
2018-02-11,4,-1,0.0,8.7,2,13,03:53 AM,01:04 PM,06:56 AM,05:01 PM,-3,1,3,1,7,30,66,0.0,1012,4,10,288,5,Budapest
2018-02-12,4,0,0.2,3.9,1,5,04:43 AM,01:52 PM,06:54 AM,05:02 PM,-2,1,2,1,8,78,73,0.3,1013,4,9,259,6,Budapest
2018-02-13,2,1,2.3,3.9,1,0,05:28 AM,02:45 PM,06:53 AM,05:04 PM,-0,-2,1,-2,14,100,89,2.7,1014,2,7,48,10,Budapest
2018-02-14,1,-0,2.9,4.0,1,0,06:06 AM,03:43 PM,06:51 AM,05:05 PM,-0,-3,1,-3,16,100,93,3.4,1014,1,6,142,11,Budapest
2018-02-15,3,-3,0.0,8.7,2,0,06:41 AM,04:44 PM,06:49 AM,05:07 PM,-2,-1,1,-1,8,32,85,0.0,1023,3,10,274,5,Budapest
2018-02-16,3,-1,0.1,4.0,1,2,07:12 AM,05:48 PM,06:48 AM,05:08 PM,-2,-1,1,-1,10,56,80,0.1,1027,3,10,229,6,Budapest
2018-02-17,3,-1,0.5,5.6,1,10,07:40 AM,06:52 PM,06:46 AM,05:10 PM,-2,-1,1,-1,13,56,79,0.6,1026,3,9,120,9,Budapest
2018-02-18,4,-0,1.8,5.6,1,17,08:06 AM,07:58 PM,06:44 AM,05:12 PM,-1,-1,2,-1,13,77,84,2.1,1024,4,8,114,9,Budapest
2018-02-19,3,-2,0.0,7.1,2,25,08:32 AM,09:06 PM,06:43 AM,05:13 PM,-4,-2,1,-2,14,43,66,0.0,1024,3,10,61,11,Budapest
2018-02-20,1,-1,3.6,4.0,1,32,08:59 AM,10:14 PM,06:41 AM,05:15 PM,-2,-4,0,-4,18,100,85,4.2,1015,1,7,66,13,Budapest
2018-02-21,2,-1,1.2,4.0,1,40,09:27 AM,11:24 PM,06:39 AM,05:16 PM,0,-2,1,-2,13,100,94,1.4,1016,2,4,47,9,Budapest
2018-02-22,2,-2,0.8,4.1,1,47,09:58 AM,No moonset,06:37 AM,05:18 PM,-3,-4,0,-4,20,94,80,0.9,1017,2,8,44,14,Budapest
2018-02-23,2,-1,0.7,4.1,1,55,10:34 AM,12:34 AM,06:35 AM,05:19 PM,-2,-2,1,-2,11,100,85,0.8,1018,2,8,46,8,Budapest
2018-02-24,1,-3,0.6,5.6,1,62,11:18 AM,01:45 AM,06:34 AM,05:21 PM,-5,-3,-1,-3,11,75,71,0.7,1020,1,9,124,8,Budapest
2018-02-25,-3,-8,0.0,8.7,2,70,12:10 PM,02:52 AM,06:32 AM,05:22 PM,-12,-11,-6,-11,20,17,59,0.0,1024,-3,10,44,15,Budapest
2018-02-26,-4,-10,0.1,7.2,1,77,01:12 PM,03:54 AM,06:30 AM,05:24 PM,-13,-13,-7,-13,24,65,61,0.1,1019,-4,10,45,18,Budapest
2018-02-27,-6,-9,1.6,4.1,1,85,02:21 PM,04:48 AM,06:28 AM,05:26 PM,-10,-14,-8,-14,19,100,81,1.8,1013,-6,6,45,15,Budapest
