date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-11,-18,0.3,5.2,1,97,04:48 PM,06:59 AM,07:47 AM,04:52 PM,-15,-21,-14,-21,24,81,88,0.4,1031,-11,8,262,15,Buffalo(NY)
2018-01-02,-8,-13,0.0,3.4,1,100,05:55 PM,08:03 AM,07:47 AM,04:53 PM,-12,-19,-10,-19,39,76,84,0.2,1028,-8,8,250,26,Buffalo(NY)
2018-01-03,-7,-12,0.2,5.2,2,89,07:06 PM,08:58 AM,07:47 AM,04:54 PM,-12,-17,-9,-17,33,71,81,0.2,1020,-7,9,220,21,Buffalo(NY)
2018-01-04,-10,-16,0.5,3.4,1,81,08:19 PM,09:45 AM,07:47 AM,04:55 PM,-13,-19,-12,-19,22,93,89,0.6,1014,-10,8,296,15,Buffalo(NY)
2018-01-05,-16,-18,0.4,3.4,1,74,09:30 PM,10:25 AM,07:47 AM,04:56 PM,-19,-27,-17,-27,29,98,86,0.5,1019,-16,8,291,19,Buffalo(NY)
2018-01-06,-17,-20,0.1,3.4,1,67,10:39 PM,10:59 AM,07:47 AM,04:57 PM,-20,-26,-18,-26,22,74,87,0.1,1031,-17,10,285,13,Buffalo(NY)
2018-01-07,-3,-20,0.0,5.2,1,59,11:45 PM,11:31 AM,07:46 AM,04:58 PM,-15,-19,-12,-19,28,71,81,0.0,1029,-3,8,212,18,Buffalo(NY)
2018-01-08,1,-2,0.4,3.4,1,52,No moonrise,12:00 PM,07:46 AM,04:59 PM,-2,-6,-0,-6,42,98,87,3.0,1014,1,7,231,28,Buffalo(NY)
2018-01-09,0,-7,0.2,8.7,1,45,12:48 AM,12:28 PM,07:46 AM,05:00 PM,-4,-7,-2,-7,22,57,90,0.2,1024,0,9,250,14,Buffalo(NY)
2018-01-10,5,-8,0.0,5.3,2,38,01:49 AM,12:57 PM,07:46 AM,05:01 PM,-2,-4,-1,-4,24,50,93,0.4,1024,5,8,165,12,Buffalo(NY)
2018-01-11,13,7,0.0,3.6,2,30,02:49 AM,01:28 PM,07:46 AM,05:02 PM,7,6,9,6,46,91,86,4.7,1017,13,10,187,23,Buffalo(NY)
2018-01-12,13,-9,8.5,3.6,1,23,03:48 AM,02:02 PM,07:45 AM,05:03 PM,3,-0,4,-0,34,94,92,12.5,1009,13,8,229,22,Buffalo(NY)
2018-01-13,-10,-15,3.7,3.6,1,16,04:44 AM,02:39 PM,07:45 AM,05:04 PM,-14,-19,-12,-19,23,98,88,4.4,1026,-10,9,327,16,Buffalo(NY)
2018-01-14,-9,-18,0.0,7.0,2,9,05:39 AM,03:21 PM,07:44 AM,05:06 PM,-15,-18,-14,-18,12,46,88,0.0,1040,-9,10,182,6,Buffalo(NY)
