date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,1,0.0,8.7,2,97,05:25 PM,07:19 AM,08:26 AM,05:49 PM,0,4,5,4,9,11,72,0.0,1018,8,10,182,5,Bursa
2018-01-02,12,4,0.0,5.2,2,100,06:30 PM,08:25 AM,08:26 AM,05:50 PM,3,6,8,6,18,54,71,0.0,1012,12,10,162,10,Bursa
2018-01-03,9,6,0.0,5.2,2,89,07:40 PM,09:24 AM,08:26 AM,05:50 PM,4,6,7,6,13,66,82,1.8,1009,9,10,151,7,Bursa
2018-01-04,9,5,0.0,8.7,3,81,08:51 PM,10:14 AM,08:26 AM,05:51 PM,4,5,6,5,9,65,84,0.7,1006,9,8,111,6,Bursa
2018-01-05,5,2,0.0,5.2,2,74,10:01 PM,10:57 AM,08:26 AM,05:52 PM,3,3,4,3,8,76,93,1.6,1014,5,7,285,6,Bursa
2018-01-06,10,2,0.0,8.7,3,67,11:09 PM,11:35 AM,08:26 AM,05:53 PM,1,5,6,5,11,6,68,0.0,1022,10,10,123,6,Bursa
2018-01-07,13,4,0.0,8.7,3,59,No moonrise,12:08 PM,08:26 AM,05:54 PM,0,7,8,7,14,3,58,0.0,1028,13,10,183,8,Bursa
2018-01-08,12,5,0.0,8.7,3,52,12:14 AM,12:39 PM,08:26 AM,05:55 PM,3,8,9,8,9,15,69,0.0,1031,12,10,157,5,Bursa
2018-01-09,10,6,0.0,8.7,3,45,01:16 AM,01:10 PM,08:26 AM,05:56 PM,3,7,8,7,12,21,74,0.0,1031,10,10,91,7,Bursa
2018-01-10,11,6,0.0,8.7,3,38,02:16 AM,01:40 PM,08:26 AM,05:57 PM,1,7,8,7,14,43,61,0.0,1023,11,10,121,8,Bursa
2018-01-11,10,5,0.0,5.2,3,30,03:16 AM,02:11 PM,08:25 AM,05:58 PM,2,7,8,7,12,55,68,1.0,1013,10,10,147,7,Bursa
2018-01-12,7,6,0.0,3.5,2,23,04:13 AM,02:45 PM,08:25 AM,05:59 PM,6,6,7,6,5,97,94,1.2,1017,7,4,117,3,Bursa
2018-01-13,7,3,0.0,6.6,2,16,05:09 AM,03:23 PM,08:25 AM,06:00 PM,4,2,5,2,19,86,91,5.1,1019,7,7,55,14,Bursa
2018-01-14,3,-0,0.5,4.9,1,9,06:03 AM,04:04 PM,08:25 AM,06:01 PM,-0,-3,1,-3,19,97,91,2.7,1023,3,9,23,14,Bursa
2018-01-15,4,-1,0.0,9.8,2,1,06:55 AM,04:49 PM,08:24 AM,06:02 PM,-2,0,2,0,8,42,77,0.0,1028,4,10,78,6,Bursa
2018-01-16,6,2,0.0,4.9,1,0,07:43 AM,05:39 PM,08:24 AM,06:03 PM,1,1,4,1,18,77,83,4.0,1019,6,10,172,10,Bursa
2018-01-17,10,4,0.0,9.8,3,0,08:27 AM,06:32 PM,08:23 AM,06:04 PM,3,4,7,4,27,35,80,0.0,1007,10,10,188,16,Bursa
