date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,19,6,0.0,8.7,4,97,05:12 PM,05:25 AM,06:27 AM,05:44 PM,-3,16,16,16,4,0,29,0.0,1015,19,10,271,3,Busan
2018-01-02,19,7,0.0,8.7,4,100,06:16 PM,06:29 AM,06:28 AM,05:45 PM,1,16,16,16,5,1,42,0.0,1014,19,10,189,4,Busan
2018-01-03,19,7,0.0,8.7,4,89,07:21 PM,07:31 AM,06:28 AM,05:45 PM,-6,16,16,16,5,0,24,0.0,1016,19,10,104,4,Busan
2018-01-04,18,7,0.0,8.7,4,81,08:24 PM,08:29 AM,06:28 AM,05:46 PM,1,15,15,15,4,3,40,0.1,1017,18,10,233,4,Busan
2018-01-05,19,8,0.0,8.7,4,74,09:24 PM,09:22 AM,06:29 AM,05:46 PM,6,15,15,15,6,7,58,0.0,1015,19,10,301,5,Busan
2018-01-06,18,9,0.0,8.7,4,67,10:20 PM,10:11 AM,06:29 AM,05:47 PM,5,15,15,15,3,8,54,0.3,1015,18,10,304,3,Busan
2018-01-07,17,9,0.0,8.7,4,59,11:14 PM,10:56 AM,06:29 AM,05:48 PM,4,15,15,15,4,7,50,0.6,1016,17,10,151,4,Busan
2018-01-08,17,9,0.0,8.7,4,52,No moonrise,11:38 AM,06:30 AM,05:48 PM,1,13,14,13,7,5,42,0.2,1018,17,10,92,6,Busan
2018-01-09,13,6,0.0,8.7,4,45,12:05 AM,12:18 PM,06:30 AM,05:49 PM,1,11,11,11,6,10,49,0.3,1020,13,10,168,5,Busan
2018-01-10,15,6,0.0,8.7,4,38,12:55 AM,12:59 PM,06:30 AM,05:49 PM,0,11,11,11,7,10,48,0.0,1021,15,10,126,6,Busan
2018-01-11,17,4,0.0,8.7,3,30,01:44 AM,01:40 PM,06:30 AM,05:50 PM,-6,12,12,12,8,1,30,0.0,1021,17,10,69,7,Busan
2018-01-12,17,2,0.0,8.7,3,23,02:33 AM,02:21 PM,06:30 AM,05:50 PM,-13,12,12,12,8,0,17,0.0,1021,17,10,69,6,Busan
2018-01-13,19,4,0.0,8.7,4,16,03:22 AM,03:05 PM,06:31 AM,05:51 PM,-15,13,14,13,9,0,15,0.0,1019,19,10,70,7,Busan
2018-01-14,20,4,0.0,8.7,4,9,04:11 AM,03:50 PM,06:31 AM,05:52 PM,-17,15,15,15,8,0,11,0.0,1017,20,10,78,6,Busan
2018-01-15,19,4,0.0,8.7,4,1,05:00 AM,04:37 PM,06:31 AM,05:52 PM,-16,15,15,15,7,0,11,0.0,1017,19,10,53,5,Busan
2018-01-16,18,5,0.0,8.7,4,0,05:48 AM,05:26 PM,06:31 AM,05:53 PM,-14,15,15,15,7,0,13,0.0,1018,18,10,65,5,Busan
2018-01-17,19,6,0.0,8.7,4,0,06:35 AM,06:15 PM,06:31 AM,05:53 PM,-6,15,15,15,6,1,25,0.0,1016,19,10,198,5,Busan
2018-01-18,18,7,0.0,8.7,4,6,07:20 AM,07:05 PM,06:31 AM,05:54 PM,0,16,15,16,6,1,42,0.0,1015,18,10,226,5,Busan
2018-01-19,20,8,0.0,8.7,4,13,08:04 AM,07:54 PM,06:31 AM,05:54 PM,1,16,16,16,7,1,37,0.0,1015,20,10,221,6,Busan
2018-01-20,19,9,0.0,8.7,4,20,08:46 AM,08:44 PM,06:31 AM,05:55 PM,4,16,17,16,5,2,46,0.0,1016,19,10,189,4,Busan
2018-01-21,18,9,0.0,8.7,4,28,09:27 AM,09:34 PM,06:31 AM,05:55 PM,1,15,15,15,9,3,38,0.0,1018,18,10,72,7,Busan
2018-01-22,20,8,0.0,8.7,4,35,10:07 AM,10:24 PM,06:31 AM,05:56 PM,1,16,16,16,5,2,37,0.0,1017,20,10,192,4,Busan
2018-01-23,21,9,0.0,8.7,4,42,10:48 AM,11:15 PM,06:31 AM,05:57 PM,-0,18,18,18,4,0,32,0.0,1014,21,10,97,3,Busan
2018-01-24,22,9,0.0,8.7,5,49,11:30 AM,No moonset,06:31 AM,05:57 PM,0,18,18,18,4,0,32,0.0,1014,22,10,106,3,Busan
2018-01-25,21,9,0.0,8.7,4,57,12:14 PM,12:08 AM,06:31 AM,05:58 PM,2,18,18,18,3,0,35,0.1,1014,21,10,171,3,Busan
2018-01-26,22,10,0.0,8.7,5,64,01:03 PM,01:04 AM,06:31 AM,05:58 PM,0,19,19,19,3,0,30,0.0,1014,22,10,149,3,Busan
2018-01-27,21,10,0.0,8.7,5,71,01:55 PM,02:03 AM,06:31 AM,05:59 PM,5,17,17,17,5,2,46,0.0,1015,21,10,291,4,Busan
2018-01-28,20,11,0.0,8.7,5,78,02:52 PM,03:04 AM,06:31 AM,05:59 PM,7,17,17,17,4,6,54,0.1,1015,20,10,169,3,Busan
2018-01-29,19,10,0.0,8.7,4,86,03:53 PM,04:07 AM,06:31 AM,05:59 PM,4,16,16,16,4,5,47,0.1,1016,19,10,206,4,Busan
2018-01-30,19,9,0.0,11.6,4,93,04:57 PM,05:09 AM,06:31 AM,06:00 PM,5,15,15,15,7,7,52,0.0,1016,19,10,220,6,Busan
2018-01-31,18,8,0.0,11.6,4,97,06:01 PM,06:09 AM,06:31 AM,06:00 PM,3,15,14,15,5,6,48,0.1,1018,18,10,168,4,Busan
2018-02-01,18,9,0.0,11.6,4,88,07:04 PM,07:06 AM,06:31 AM,06:01 PM,4,15,15,15,5,7,48,0.1,1018,18,10,139,4,Busan
2018-02-02,19,9,0.0,11.6,4,81,08:04 PM,07:58 AM,06:30 AM,06:01 PM,2,15,15,15,7,5,44,1.7,1018,19,10,129,6,Busan
2018-02-03,16,8,0.0,11.6,4,73,09:01 PM,08:46 AM,06:30 AM,06:02 PM,0,12,12,12,7,7,44,1.3,1020,16,10,135,6,Busan
2018-02-04,16,6,0.0,11.6,4,66,09:55 PM,09:31 AM,06:30 AM,06:02 PM,-2,12,12,12,7,4,37,0.0,1020,16,10,141,6,Busan
