date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-10,-16,0.0,8.7,2,97,03:34 PM,05:46 AM,07:13 AM,04:11 PM,-20,-19,-13,-19,18,12,53,0.0,1028,-10,10,259,12,Changchun
2018-01-02,-11,-17,0.0,6.9,1,100,04:36 PM,06:54 AM,07:13 AM,04:12 PM,-23,-21,-15,-21,17,57,50,0.0,1033,-11,10,259,11,Changchun
2018-01-03,-10,-16,0.0,8.7,2,89,05:46 PM,07:54 AM,07:13 AM,04:13 PM,-20,-18,-13,-18,13,38,55,0.0,1036,-10,10,262,8,Changchun
2018-01-04,-8,-15,0.0,8.7,2,81,06:58 PM,08:45 AM,07:13 AM,04:14 PM,-18,-15,-10,-15,12,1,52,0.0,1033,-8,10,238,9,Changchun
2018-01-05,-8,-15,0.0,8.7,2,74,08:11 PM,09:28 AM,07:13 AM,04:15 PM,-20,-17,-11,-17,18,7,51,0.0,1024,-8,10,245,12,Changchun
2018-01-06,-7,-14,0.0,8.7,2,67,09:23 PM,10:05 AM,07:13 AM,04:16 PM,-17,-16,-10,-16,19,4,56,0.0,1025,-7,10,238,12,Changchun
2018-01-07,-3,-11,0.0,5.2,1,59,10:30 PM,10:37 AM,07:13 AM,04:17 PM,-16,-13,-7,-13,23,62,51,0.0,1020,-3,10,209,14,Changchun
2018-01-08,-6,-11,1.2,3.4,1,52,11:36 PM,11:07 AM,07:13 AM,04:18 PM,-10,-13,-8,-13,19,96,81,1.4,1010,-6,7,267,14,Changchun
2018-01-09,-12,-15,0.6,3.4,1,45,No moonrise,11:35 AM,07:13 AM,04:19 PM,-16,-20,-13,-20,20,100,78,0.7,1012,-12,8,269,15,Changchun
2018-01-10,-16,-21,0.0,3.4,1,38,12:38 AM,12:03 PM,07:12 AM,04:20 PM,-21,-25,-18,-25,17,79,76,0.0,1024,-16,10,329,11,Changchun
2018-01-11,-18,-23,0.0,8.7,2,30,01:40 AM,12:32 PM,07:12 AM,04:21 PM,-23,-26,-20,-26,13,17,76,0.0,1033,-18,10,285,9,Changchun
2018-01-12,-13,-22,0.0,6.9,2,23,02:40 AM,01:03 PM,07:12 AM,04:22 PM,-21,-24,-18,-24,18,42,73,0.0,1029,-13,10,189,12,Changchun
2018-01-13,-9,-18,0.0,5.2,1,16,03:38 AM,01:38 PM,07:11 AM,04:24 PM,-15,-17,-12,-17,17,41,82,0.0,1029,-9,10,143,9,Changchun
2018-01-14,-1,-11,0.4,6.9,2,9,04:34 AM,02:17 PM,07:11 AM,04:25 PM,-8,-13,-6,-13,36,47,83,0.4,1019,-1,9,228,22,Changchun
2018-01-15,-8,-14,0.1,6.9,2,1,05:27 AM,03:01 PM,07:10 AM,04:26 PM,-13,-16,-11,-16,15,52,82,0.1,1025,-8,9,214,9,Changchun
2018-01-16,-7,-13,0.0,8.7,2,0,06:16 AM,03:50 PM,07:10 AM,04:27 PM,-12,-14,-10,-14,13,51,83,0.0,1018,-7,10,183,7,Changchun
2018-01-17,-5,-13,0.0,5.2,2,0,07:01 AM,04:42 PM,07:09 AM,04:28 PM,-12,-15,-9,-15,24,56,82,0.1,1017,-5,10,219,15,Changchun
2018-01-18,-7,-16,0.0,8.7,2,6,07:41 AM,05:39 PM,07:09 AM,04:30 PM,-15,-17,-11,-17,20,2,73,0.0,1023,-7,10,223,13,Changchun
2018-01-19,-4,-12,0.0,8.7,2,13,08:16 AM,06:37 PM,07:08 AM,04:31 PM,-12,-15,-9,-15,28,4,76,0.0,1019,-4,10,243,16,Changchun
2018-01-20,-12,-19,0.0,8.7,2,20,08:49 AM,07:38 PM,07:07 AM,04:32 PM,-19,-21,-14,-21,18,0,66,0.0,1028,-12,10,274,13,Changchun
2018-01-21,-15,-21,0.0,8.7,2,28,09:19 AM,08:40 PM,07:07 AM,04:34 PM,-22,-21,-17,-21,7,25,67,0.0,1031,-15,10,305,5,Changchun
2018-01-22,-20,-24,0.0,8.7,2,35,09:47 AM,09:43 PM,07:06 AM,04:35 PM,-25,-28,-21,-28,13,12,72,0.0,1027,-20,10,280,9,Changchun
2018-01-23,-22,-26,0.0,5.2,2,42,10:15 AM,10:47 PM,07:05 AM,04:36 PM,-28,-33,-24,-33,19,50,73,0.0,1026,-22,10,270,13,Changchun
2018-01-24,-22,-27,0.0,8.7,2,49,10:43 AM,11:53 PM,07:04 AM,04:38 PM,-28,-32,-24,-32,14,14,72,0.0,1034,-22,10,293,10,Changchun
2018-01-25,-22,-27,0.0,7.0,2,57,11:15 AM,No moonset,07:03 AM,04:39 PM,-28,-31,-24,-31,13,31,74,0.0,1039,-22,10,275,9,Changchun
2018-01-26,-18,-28,0.0,8.7,2,64,11:49 AM,01:01 AM,07:02 AM,04:40 PM,-25,-29,-22,-29,13,2,74,0.0,1039,-18,10,256,10,Changchun
2018-01-27,-15,-24,0.0,8.7,2,71,12:29 PM,02:11 AM,07:01 AM,04:42 PM,-23,-28,-20,-28,22,17,71,0.0,1032,-15,10,243,14,Changchun
2018-01-28,-17,-23,0.0,8.7,2,78,01:17 PM,03:22 AM,07:01 AM,04:43 PM,-24,-29,-21,-29,22,29,72,0.0,1025,-17,10,249,14,Changchun
2018-01-29,-15,-23,0.0,8.7,2,86,02:13 PM,04:30 AM,07:00 AM,04:44 PM,-22,-27,-19,-27,23,19,76,0.0,1022,-15,10,246,13,Changchun
2018-01-30,-10,-19,0.0,5.4,2,93,03:19 PM,05:34 AM,06:59 AM,04:46 PM,-18,-21,-15,-21,21,55,79,0.0,1021,-10,10,248,12,Changchun
2018-01-31,-11,-18,0.0,8.7,2,97,04:30 PM,06:29 AM,06:57 AM,04:47 PM,-18,-20,-15,-20,12,29,75,0.0,1029,-11,10,247,7,Changchun
2018-02-01,-6,-16,0.1,3.7,1,88,05:44 PM,07:18 AM,06:56 AM,04:49 PM,-15,-17,-12,-17,14,91,76,0.1,1030,-6,10,242,8,Changchun
2018-02-02,-11,-18,0.1,5.4,2,81,06:58 PM,07:58 AM,06:55 AM,04:50 PM,-17,-21,-15,-21,15,59,81,0.1,1035,-11,9,292,10,Changchun
2018-02-03,-14,-21,0.1,3.7,1,73,08:09 PM,08:33 AM,06:54 AM,04:51 PM,-19,-24,-18,-24,13,84,89,0.1,1035,-14,8,341,9,Changchun
2018-02-04,-14,-22,0.0,5.4,2,66,09:19 PM,09:05 AM,06:53 AM,04:53 PM,-20,-22,-18,-22,10,61,83,0.0,1034,-14,10,234,6,Changchun
2018-02-05,-15,-22,0.0,5.4,1,58,10:24 PM,09:35 AM,06:52 AM,04:54 PM,-21,-23,-19,-23,11,85,86,0.0,1033,-15,7,264,7,Changchun
2018-02-06,-15,-22,0.0,3.8,1,51,11:29 PM,10:04 AM,06:50 AM,04:55 PM,-21,-22,-19,-22,8,67,84,0.0,1031,-15,9,85,5,Changchun
2018-02-07,-14,-23,0.0,8.7,2,43,No moonrise,10:33 AM,06:49 AM,04:57 PM,-21,-21,-18,-21,10,18,77,0.0,1029,-14,10,177,6,Changchun
2018-02-08,-6,-18,0.0,5.4,1,36,12:30 AM,11:04 AM,06:48 AM,04:58 PM,-17,-21,-12,-21,38,44,67,0.0,1019,-6,10,201,23,Changchun
2018-02-09,-3,-12,0.0,7.1,1,28,01:30 AM,11:38 AM,06:47 AM,05:00 PM,-11,-14,-7,-14,34,39,74,0.1,1016,-3,9,250,21,Changchun
2018-02-10,-11,-17,0.0,8.7,2,20,02:27 AM,12:15 PM,06:45 AM,05:01 PM,-22,-23,-14,-23,28,23,50,0.0,1023,-11,10,267,18,Changchun
2018-02-11,-14,-20,0.0,5.5,1,13,03:21 AM,12:58 PM,06:44 AM,05:02 PM,-25,-26,-17,-26,26,59,50,0.0,1018,-14,10,261,17,Changchun
2018-02-12,-11,-19,0.0,8.7,2,5,04:11 AM,01:45 PM,06:43 AM,05:04 PM,-22,-23,-15,-23,23,47,54,0.0,1017,-11,10,258,15,Changchun
2018-02-13,-7,-17,0.0,8.7,2,0,04:58 AM,02:36 PM,06:41 AM,05:05 PM,-20,-18,-12,-18,20,17,51,0.0,1016,-7,10,237,13,Changchun
2018-02-14,-7,-12,0.0,8.7,2,0,05:40 AM,03:31 PM,06:40 AM,05:07 PM,-18,-16,-10,-16,22,31,50,0.0,1017,-7,10,273,14,Changchun
2018-02-15,-5,-15,0.0,8.7,2,0,06:17 AM,04:29 PM,06:38 AM,05:08 PM,-20,-16,-10,-16,26,10,45,0.0,1021,-5,10,234,17,Changchun
