date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,10,8,0.0,5.5,2,97,05:02 PM,06:00 AM,07:20 AM,05:43 PM,1,9,9,9,8,77,55,0.0,1023,10,10,111,6,Changsha
2018-01-02,10,8,0.0,5.5,2,100,06:05 PM,07:06 AM,07:20 AM,05:44 PM,5,8,10,8,13,86,75,0.8,1023,10,9,231,10,Changsha
2018-01-03,7,3,0.0,3.8,2,89,07:12 PM,08:08 AM,07:20 AM,05:44 PM,3,2,5,2,23,100,86,4.4,1027,7,9,341,17,Changsha
2018-01-04,3,-1,0.0,3.8,1,81,08:19 PM,09:04 AM,07:20 AM,05:45 PM,-1,-3,1,-3,22,100,89,9.5,1027,3,9,336,16,Changsha
2018-01-05,3,-2,0.0,3.8,1,74,09:25 PM,09:54 AM,07:20 AM,05:46 PM,-2,-2,1,-2,14,95,81,0.2,1026,3,9,302,11,Changsha
2018-01-06,2,1,0.0,3.8,1,67,10:27 PM,10:38 AM,07:21 AM,05:47 PM,-0,-2,2,-2,16,100,88,1.1,1022,2,6,345,12,Changsha
2018-01-07,2,1,1.0,3.8,1,59,11:26 PM,11:18 AM,07:21 AM,05:47 PM,-1,-3,1,-3,21,99,85,2.5,1023,2,9,340,15,Changsha
2018-01-08,7,1,0.1,8.7,2,52,No moonrise,11:56 AM,07:21 AM,05:48 PM,-2,1,4,1,20,43,66,0.1,1028,7,9,353,16,Changsha
2018-01-09,10,1,0.0,8.7,3,45,12:23 AM,12:31 PM,07:21 AM,05:49 PM,0,10,10,10,3,0,53,0.0,1030,10,10,188,3,Changsha
2018-01-10,12,3,0.0,8.7,3,38,01:18 AM,01:07 PM,07:21 AM,05:50 PM,1,11,11,11,4,1,51,0.0,1031,12,10,110,3,Changsha
2018-01-11,12,4,0.0,8.7,3,30,02:12 AM,01:44 PM,07:21 AM,05:50 PM,0,9,10,9,7,16,52,0.0,1032,12,10,68,6,Changsha
