date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-2,-6,0.0,8.7,2,97,05:17 PM,06:47 AM,07:32 AM,05:22 PM,-20,-9,-4,-9,15,23,28,0.0,1033,-2,10,68,12,Charlotte(NC)
2018-01-02,-0,-9,0.0,8.7,2,100,06:22 PM,07:51 AM,07:32 AM,05:23 PM,-20,-5,-3,-5,7,2,28,0.0,1035,-0,10,61,6,Charlotte(NC)
2018-01-03,0,-5,0.0,5.4,1,89,07:32 PM,08:48 AM,07:33 AM,05:24 PM,-20,-4,-3,-4,8,50,25,0.0,1023,0,10,81,5,Charlotte(NC)
2018-01-04,-0,-6,0.0,8.7,2,81,08:40 PM,09:39 AM,07:33 AM,05:25 PM,-17,-8,-3,-8,21,2,35,0.0,1015,-0,10,309,15,Charlotte(NC)
2018-01-05,1,-8,0.0,8.7,2,74,09:48 PM,10:22 AM,07:33 AM,05:26 PM,-18,-7,-4,-7,12,7,34,0.0,1025,1,10,300,9,Charlotte(NC)
2018-01-06,-1,-8,0.0,8.7,2,67,10:51 PM,11:01 AM,07:33 AM,05:27 PM,-19,-5,-3,-5,8,2,28,0.0,1033,-1,10,149,6,Charlotte(NC)
2018-01-07,-1,-9,0.0,8.7,2,59,11:53 PM,11:37 AM,07:33 AM,05:27 PM,-20,-6,-4,-6,7,14,27,0.0,1036,-1,10,121,5,Charlotte(NC)
2018-01-08,3,-5,0.0,5.4,2,52,No moonrise,12:09 PM,07:33 AM,05:28 PM,-10,-2,-0,-2,6,63,52,0.1,1028,3,10,249,4,Charlotte(NC)
2018-01-09,15,2,0.0,8.7,3,45,12:52 AM,12:42 PM,07:33 AM,05:29 PM,6,8,8,8,8,42,90,0.0,1024,15,6,230,4,Charlotte(NC)
2018-01-10,14,7,0.0,7.0,2,38,01:49 AM,01:15 PM,07:33 AM,05:30 PM,7,9,10,9,12,75,85,0.1,1027,14,6,76,7,Charlotte(NC)
2018-01-11,17,9,0.0,3.7,3,30,02:45 AM,01:49 PM,07:33 AM,05:31 PM,12,12,13,12,17,100,96,0.0,1022,17,3,98,10,Charlotte(NC)
2018-01-12,18,12,0.0,3.8,4,23,03:41 AM,02:26 PM,07:32 AM,05:32 PM,15,16,16,16,22,86,93,0.4,1008,18,8,195,14,Charlotte(NC)
2018-01-13,9,-1,0.0,8.7,2,16,04:34 AM,03:06 PM,07:32 AM,05:33 PM,-2,2,5,2,19,15,62,0.0,1019,9,10,238,14,Charlotte(NC)
2018-01-14,2,-4,0.0,8.7,2,9,05:27 AM,03:49 PM,07:32 AM,05:34 PM,-14,-5,-1,-5,13,6,37,0.0,1034,2,10,42,10,Charlotte(NC)
2018-01-15,3,-6,0.0,8.7,2,1,06:17 AM,04:36 PM,07:32 AM,05:35 PM,-17,-3,-1,-3,8,10,29,0.0,1033,3,10,125,6,Charlotte(NC)
2018-01-16,8,-2,0.0,8.7,2,0,07:04 AM,05:27 PM,07:31 AM,05:36 PM,-6,2,3,2,7,19,51,0.0,1030,8,10,197,5,Charlotte(NC)
2018-01-17,2,-6,3.2,3.8,1,0,07:48 AM,06:19 PM,07:31 AM,05:37 PM,-3,-5,-1,-5,18,89,87,4.0,1026,2,7,165,12,Charlotte(NC)
2018-01-18,3,-11,0.0,8.7,2,6,08:28 AM,07:14 PM,07:31 AM,05:38 PM,-6,-6,-2,-6,12,0,80,0.0,1028,3,10,266,8,Charlotte(NC)
2018-01-19,10,-3,0.0,8.7,2,13,09:05 AM,08:10 PM,07:30 AM,05:39 PM,0,5,5,5,8,0,71,0.0,1024,10,10,246,5,Charlotte(NC)
2018-01-20,12,-1,0.0,8.7,3,20,09:40 AM,09:07 PM,07:30 AM,05:40 PM,3,7,8,7,11,0,73,0.0,1023,12,10,239,6,Charlotte(NC)
2018-01-21,18,5,0.0,8.7,4,28,10:13 AM,10:05 PM,07:30 AM,05:41 PM,7,11,12,11,8,14,77,0.0,1023,18,10,244,4,Charlotte(NC)
2018-01-22,16,8,0.0,8.7,4,35,10:46 AM,11:04 PM,07:29 AM,05:42 PM,9,12,13,12,13,35,78,0.0,1020,16,10,180,8,Charlotte(NC)
2018-01-23,17,8,0.0,8.7,4,42,11:19 AM,No moonset,07:29 AM,05:43 PM,8,13,14,13,27,39,68,1.7,1011,17,9,241,18,Charlotte(NC)
2018-01-24,12,4,0.0,8.7,3,49,11:53 AM,12:04 AM,07:28 AM,05:44 PM,-0,7,8,7,13,5,57,0.0,1022,12,10,264,9,Charlotte(NC)
2018-01-25,11,1,0.0,8.7,3,57,12:30 PM,01:06 AM,07:27 AM,05:45 PM,-1,8,8,8,6,0,52,0.0,1032,11,10,167,5,Charlotte(NC)
2018-01-26,12,2,0.0,5.4,3,64,01:13 PM,02:11 AM,07:27 AM,05:46 PM,-2,7,8,7,7,31,51,0.0,1037,12,10,167,5,Charlotte(NC)
2018-01-27,15,5,0.0,5.5,2,71,02:01 PM,03:18 AM,07:26 AM,05:47 PM,6,10,10,10,7,81,78,0.0,1033,15,10,122,5,Charlotte(NC)
2018-01-28,13,10,0.0,3.8,3,78,02:56 PM,04:24 AM,07:26 AM,05:48 PM,11,11,12,11,9,100,97,12.1,1023,13,5,175,6,Charlotte(NC)
2018-01-29,13,5,0.0,5.5,2,86,03:58 PM,05:29 AM,07:25 AM,05:49 PM,7,8,10,8,15,64,83,0.5,1017,13,8,36,11,Charlotte(NC)
2018-01-30,6,-0,0.5,8.7,2,93,05:05 PM,06:29 AM,07:24 AM,05:50 PM,-6,1,3,1,16,12,54,0.6,1025,6,10,284,12,Charlotte(NC)
2018-01-31,9,-3,0.0,8.7,2,97,06:14 PM,07:24 AM,07:24 AM,05:51 PM,-8,1,3,1,13,5,45,0.0,1027,9,10,159,9,Charlotte(NC)
2018-02-01,11,2,0.0,7.1,3,88,07:24 PM,08:11 AM,07:23 AM,05:52 PM,1,4,7,4,25,35,67,0.0,1020,11,10,219,14,Charlotte(NC)
2018-02-02,10,-2,0.0,8.7,2,81,08:31 PM,08:54 AM,07:22 AM,05:53 PM,-4,1,4,1,19,33,59,3.4,1025,10,10,290,14,Charlotte(NC)
2018-02-03,6,-4,0.0,8.7,2,73,09:37 PM,09:32 AM,07:21 AM,05:54 PM,-14,-1,1,-1,10,31,35,0.0,1031,6,10,95,7,Charlotte(NC)
2018-02-04,6,0,0.0,3.9,1,66,10:38 PM,10:07 AM,07:20 AM,05:55 PM,-1,0,2,0,12,79,79,0.2,1018,6,7,143,8,Charlotte(NC)
2018-02-05,9,1,0.0,8.7,2,58,11:39 PM,10:41 AM,07:20 AM,05:56 PM,1,4,6,4,12,3,73,0.0,1021,9,9,151,8,Charlotte(NC)
2018-02-06,15,2,0.0,8.7,3,51,No moonrise,11:15 AM,07:19 AM,05:57 PM,4,8,9,8,11,34,74,0.0,1027,15,9,184,7,Charlotte(NC)
2018-02-07,14,8,0.0,3.9,3,43,12:36 AM,11:49 AM,07:18 AM,05:58 PM,11,11,12,11,17,82,95,4.9,1021,14,6,220,10,Charlotte(NC)
2018-02-08,11,3,0.0,8.7,3,36,01:33 AM,12:25 PM,07:17 AM,05:59 PM,1,7,9,7,11,23,62,0.0,1028,11,10,99,8,Charlotte(NC)
2018-02-09,14,2,0.0,10.8,3,28,02:28 AM,01:04 PM,07:16 AM,06:00 PM,2,9,10,9,8,12,61,0.0,1030,14,10,144,6,Charlotte(NC)
2018-02-10,16,9,0.0,5.4,3,20,03:21 AM,01:46 PM,07:15 AM,06:01 PM,12,12,12,12,10,100,95,2.4,1022,16,5,156,6,Charlotte(NC)
2018-02-11,19,17,0.0,5.4,4,13,04:12 AM,02:32 PM,07:14 AM,06:02 PM,16,18,18,18,27,99,93,3.3,1017,19,9,204,16,Charlotte(NC)
2018-02-12,18,10,0.0,5.5,4,5,05:00 AM,03:21 PM,07:13 AM,06:03 PM,14,15,15,15,16,98,90,0.4,1025,18,8,142,10,Charlotte(NC)
2018-02-13,9,5,0.0,5.5,2,0,05:45 AM,04:13 PM,07:12 AM,06:04 PM,1,5,7,5,14,81,63,0.1,1037,9,10,67,10,Charlotte(NC)
