date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,24,0.0,8.7,7,97,05:16 PM,05:22 AM,06:31 AM,05:54 PM,21,27,27,25,27,20,76,0.9,1009,28,10,182,19,Chennai
2018-01-02,28,23,0.0,8.7,7,100,06:19 PM,06:26 AM,06:31 AM,05:54 PM,21,28,28,25,22,15,79,0.0,1010,28,10,109,15,Chennai
2018-01-03,27,24,0.0,8.7,7,89,07:24 PM,07:29 AM,06:32 AM,05:55 PM,21,27,27,25,22,13,75,0.0,1011,27,10,36,15,Chennai
2018-01-04,27,24,0.0,8.7,7,81,08:26 PM,08:28 AM,06:32 AM,05:55 PM,18,27,27,25,24,2,65,0.0,1013,27,10,49,16,Chennai
2018-01-05,26,23,0.0,8.7,6,74,09:26 PM,09:22 AM,06:32 AM,05:56 PM,16,26,26,25,23,0,59,0.0,1012,26,10,48,15,Chennai
2018-01-06,27,23,0.0,8.7,6,67,10:22 PM,10:11 AM,06:33 AM,05:56 PM,15,26,26,25,17,0,56,0.0,1011,27,10,48,12,Chennai
2018-01-07,27,22,0.0,8.7,6,59,11:16 PM,10:57 AM,06:33 AM,05:57 PM,16,26,26,24,20,0,59,0.0,1012,27,10,35,14,Chennai
2018-01-08,26,23,0.0,8.7,6,52,No moonrise,11:41 AM,06:33 AM,05:58 PM,18,26,26,24,26,14,68,0.0,1013,26,10,33,18,Chennai
2018-01-09,27,24,0.0,4.2,5,45,12:07 AM,12:21 PM,06:34 AM,05:58 PM,21,27,27,25,33,72,78,0.3,1014,27,10,33,23,Chennai
2018-01-10,26,24,0.0,5.7,5,38,12:56 AM,01:03 PM,06:34 AM,05:59 PM,22,27,27,25,28,79,85,4.1,1015,26,10,33,19,Chennai
2018-01-11,27,24,0.0,8.7,7,30,01:45 AM,01:44 PM,06:34 AM,05:59 PM,22,28,28,25,20,40,80,0.0,1014,27,10,36,14,Chennai
2018-01-12,28,24,0.0,11.6,7,23,02:33 AM,02:26 PM,06:34 AM,06:00 PM,21,28,28,26,12,5,74,0.0,1014,28,10,91,9,Chennai
2018-01-13,28,23,0.0,11.6,7,16,03:22 AM,03:10 PM,06:35 AM,06:00 PM,22,29,29,26,12,0,76,0.0,1013,28,10,67,9,Chennai
2018-01-14,27,23,0.0,11.6,6,9,04:10 AM,03:55 PM,06:35 AM,06:01 PM,21,28,28,26,15,8,76,0.0,1014,27,10,118,11,Chennai
2018-01-15,28,23,0.0,11.6,7,1,04:59 AM,04:42 PM,06:35 AM,06:01 PM,20,27,27,25,15,13,73,0.0,1014,28,10,48,10,Chennai
2018-01-16,27,24,0.0,11.6,7,0,05:47 AM,05:30 PM,06:35 AM,06:02 PM,20,27,27,26,12,6,73,0.0,1012,27,10,105,9,Chennai
2018-01-17,27,23,0.0,11.6,6,0,06:34 AM,06:19 PM,06:35 AM,06:02 PM,18,27,27,26,14,1,64,0.0,1013,27,10,60,10,Chennai
2018-01-18,27,23,0.0,11.6,6,6,07:20 AM,07:09 PM,06:35 AM,06:03 PM,18,27,27,25,18,2,63,0.0,1013,27,10,45,13,Chennai
2018-01-19,27,23,0.0,11.6,6,13,08:04 AM,07:58 PM,06:35 AM,06:04 PM,17,26,26,24,20,3,63,0.0,1014,27,10,35,14,Chennai
2018-01-20,26,22,0.0,11.6,6,20,08:47 AM,08:47 PM,06:35 AM,06:04 PM,17,26,26,24,19,10,65,0.0,1013,26,10,30,13,Chennai
2018-01-21,26,22,0.0,11.6,6,28,09:28 AM,09:36 PM,06:36 AM,06:05 PM,17,26,26,24,22,5,66,0.0,1012,26,10,74,15,Chennai
2018-01-22,26,23,0.0,11.6,6,35,10:09 AM,10:25 PM,06:36 AM,06:05 PM,17,26,26,24,19,18,66,0.0,1012,26,10,38,13,Chennai
2018-01-23,27,23,0.0,11.6,6,42,10:50 AM,11:16 PM,06:36 AM,06:06 PM,18,26,26,25,15,10,67,0.0,1011,27,10,92,10,Chennai
2018-01-24,27,23,0.0,11.6,6,49,11:33 AM,No moonset,06:36 AM,06:06 PM,19,27,27,25,14,5,67,0.0,1010,27,10,124,10,Chennai
2018-01-25,28,23,0.0,11.6,6,57,12:18 PM,12:08 AM,06:36 AM,06:06 PM,19,27,27,25,16,2,68,0.0,1010,28,10,78,11,Chennai
2018-01-26,28,23,0.0,11.6,7,64,01:06 PM,01:04 AM,06:36 AM,06:07 PM,19,28,28,26,15,0,67,0.0,1011,28,10,56,11,Chennai
2018-01-27,27,23,0.0,11.6,7,71,01:59 PM,02:01 AM,06:36 AM,06:07 PM,19,27,27,25,19,0,67,0.0,1011,27,10,48,14,Chennai
2018-01-28,27,23,0.0,11.6,6,78,02:55 PM,03:02 AM,06:35 AM,06:08 PM,19,26,26,25,23,2,71,0.0,1012,27,10,42,16,Chennai
2018-01-29,27,23,0.0,11.6,6,86,03:57 PM,04:04 AM,06:35 AM,06:08 PM,19,27,27,25,25,9,73,0.0,1014,27,10,40,18,Chennai
2018-01-30,27,23,0.0,11.6,6,93,05:00 PM,05:07 AM,06:35 AM,06:09 PM,18,26,26,25,22,0,67,0.0,1014,27,10,30,15,Chennai
2018-01-31,27,23,0.0,11.6,6,97,06:04 PM,06:08 AM,06:35 AM,06:09 PM,17,26,26,25,16,0,60,0.0,1014,27,10,29,11,Chennai
2018-02-01,28,22,0.0,11.6,6,88,07:06 PM,07:05 AM,06:35 AM,06:10 PM,16,27,27,26,10,0,54,0.0,1014,28,10,173,8,Chennai
2018-02-02,28,22,0.0,11.6,6,81,08:06 PM,07:58 AM,06:35 AM,06:10 PM,16,27,27,26,9,0,53,0.0,1013,28,10,169,7,Chennai
2018-02-03,27,22,0.0,11.6,6,73,09:02 PM,08:47 AM,06:35 AM,06:10 PM,16,27,27,26,13,1,56,0.0,1013,27,10,55,9,Chennai
2018-02-04,27,23,0.0,11.6,6,66,09:56 PM,09:33 AM,06:35 AM,06:11 PM,17,26,26,25,16,12,59,0.0,1014,27,10,58,11,Chennai
