date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-15,-20,0.0,8.7,2,97,04:27 PM,06:32 AM,07:18 AM,04:30 PM,-19,-27,-18,-27,23,24,92,0.0,1042,-15,10,286,18,Chicago(IL)
2018-01-02,-14,-21,0.0,8.7,2,100,05:35 PM,07:36 AM,07:19 AM,04:31 PM,-19,-26,-17,-26,27,12,84,0.0,1035,-14,10,241,20,Chicago(IL)
2018-01-03,-9,-13,0.1,3.4,1,89,06:45 PM,08:32 AM,07:19 AM,04:32 PM,-13,-18,-10,-18,28,77,80,0.1,1021,-9,9,277,20,Chicago(IL)
2018-01-04,-12,-15,0.0,8.7,2,81,07:58 PM,09:19 AM,07:19 AM,04:33 PM,-16,-22,-13,-22,27,17,81,0.0,1027,-12,10,321,19,Chicago(IL)
2018-01-05,-12,-16,0.0,8.7,2,74,09:08 PM,09:59 AM,07:19 AM,04:34 PM,-17,-22,-14,-22,25,15,78,0.0,1032,-12,10,317,17,Chicago(IL)
2018-01-06,-11,-16,0.0,8.7,2,67,10:16 PM,10:34 AM,07:18 AM,04:35 PM,-16,-19,-13,-19,19,12,75,0.0,1037,-11,10,278,12,Chicago(IL)
2018-01-07,-0,-13,1.2,5.2,1,59,11:21 PM,11:06 AM,07:18 AM,04:36 PM,-10,-14,-6,-14,38,94,76,1.4,1023,-0,9,195,25,Chicago(IL)
2018-01-08,1,-1,0.2,8.7,2,52,No moonrise,11:36 AM,07:18 AM,04:37 PM,-1,-5,-0,-5,27,53,91,0.2,1017,1,9,243,17,Chicago(IL)
2018-01-09,-0,-3,0.0,7.0,2,45,12:24 AM,12:05 PM,07:18 AM,04:38 PM,-3,-5,-1,-5,15,69,92,0.0,1024,-0,9,190,9,Chicago(IL)
2018-01-10,8,-1,0.0,3.5,1,38,01:25 AM,12:34 PM,07:18 AM,04:39 PM,3,-1,4,-1,47,95,95,0.2,1013,8,10,182,23,Chicago(IL)
2018-01-11,10,-1,0.0,3.5,2,30,02:24 AM,01:06 PM,07:17 AM,04:40 PM,6,4,7,4,47,99,93,2.2,1008,10,9,220,24,Chicago(IL)
2018-01-12,-4,-6,0.0,3.5,1,23,03:22 AM,01:40 PM,07:17 AM,04:41 PM,-9,-13,-5,-13,43,95,73,1.2,1021,-4,6,300,34,Chicago(IL)
2018-01-13,-8,-12,0.0,8.7,2,16,04:18 AM,02:18 PM,07:17 AM,04:42 PM,-18,-17,-10,-17,23,10,53,0.0,1036,-8,10,328,18,Chicago(IL)
2018-01-14,-7,-12,0.0,7.0,2,9,05:12 AM,03:00 PM,07:16 AM,04:44 PM,-15,-15,-9,-15,20,48,60,1.4,1036,-7,9,206,16,Chicago(IL)
2018-01-15,-6,-10,1.9,3.5,1,1,06:02 AM,03:47 PM,07:16 AM,04:45 PM,-9,-15,-7,-15,28,100,88,2.3,1025,-6,7,206,21,Chicago(IL)
2018-01-16,-5,-12,0.4,3.5,1,0,06:49 AM,04:38 PM,07:15 AM,04:46 PM,-10,-15,-8,-15,27,88,86,0.5,1033,-5,9,300,19,Chicago(IL)
2018-01-17,-7,-12,0.0,8.7,2,0,07:32 AM,05:33 PM,07:15 AM,04:47 PM,-11,-16,-9,-16,30,22,82,0.0,1033,-7,10,259,20,Chicago(IL)
2018-01-18,-1,-8,0.0,8.7,2,6,08:09 AM,06:29 PM,07:14 AM,04:48 PM,-8,-12,-4,-12,39,6,75,0.0,1021,-1,10,231,26,Chicago(IL)
2018-01-19,3,-2,0.0,8.7,2,13,08:44 AM,07:29 PM,07:14 AM,04:49 PM,-4,-5,0,-5,41,10,74,0.0,1013,3,10,215,24,Chicago(IL)
2018-01-20,3,1,0.0,8.7,2,20,09:16 AM,08:28 PM,07:13 AM,04:51 PM,0,-1,2,-1,29,37,85,0.0,1014,3,8,218,15,Chicago(IL)
2018-01-21,4,2,0.0,3.5,1,28,09:46 AM,09:30 PM,07:12 AM,04:52 PM,3,0,3,0,18,100,99,0.9,1015,4,1,167,9,Chicago(IL)
2018-01-22,8,4,0.0,3.5,2,35,10:15 AM,10:32 PM,07:12 AM,04:53 PM,5,2,6,2,40,74,94,7.5,1003,8,8,175,19,Chicago(IL)
2018-01-23,2,-2,0.7,3.5,1,42,10:44 AM,11:37 PM,07:11 AM,04:54 PM,-4,-5,-0,-5,25,78,79,0.8,1010,2,9,297,17,Chicago(IL)
2018-01-24,-1,-2,0.3,3.5,1,49,11:16 AM,No moonset,07:10 AM,04:56 PM,-6,-5,-2,-5,12,85,75,0.4,1026,-1,9,298,9,Chicago(IL)
2018-01-25,3,-3,0.0,8.7,2,57,11:50 AM,12:42 AM,07:10 AM,04:57 PM,-3,-4,0,-4,25,21,78,0.0,1027,3,10,169,15,Chicago(IL)
2018-01-26,8,2,0.0,8.7,3,64,12:28 PM,01:51 AM,07:09 AM,04:58 PM,-1,1,5,1,52,22,67,0.0,1021,8,10,190,26,Chicago(IL)
2018-01-27,7,3,0.0,8.7,3,71,01:14 PM,03:00 AM,07:08 AM,05:00 PM,-1,2,6,2,38,29,62,0.1,1020,7,10,247,19,Chicago(IL)
2018-01-28,3,-0,0.3,7.0,2,78,02:07 PM,04:09 AM,07:07 AM,05:01 PM,-2,-3,1,-3,22,44,77,0.3,1027,3,9,119,14,Chicago(IL)
2018-01-29,-1,-5,0.0,3.7,1,86,03:09 PM,05:15 AM,07:06 AM,05:02 PM,-8,-10,-3,-10,32,87,70,0.1,1031,-1,9,346,24,Chicago(IL)
2018-01-30,-1,-7,0.0,8.7,2,93,04:17 PM,06:14 AM,07:05 AM,05:03 PM,-12,-9,-4,-9,20,33,56,0.0,1030,-1,10,245,15,Chicago(IL)
2018-01-31,3,-1,0.0,5.4,1,97,05:30 PM,07:06 AM,07:04 AM,05:05 PM,-5,-4,1,-4,37,78,64,0.0,1010,3,10,224,23,Chicago(IL)
2018-02-01,1,-10,0.0,8.7,2,88,06:43 PM,07:51 AM,07:03 AM,05:06 PM,-13,-12,-5,-12,32,15,53,0.0,1019,1,10,298,24,Chicago(IL)
2018-02-02,-7,-14,0.0,8.7,2,81,07:54 PM,08:29 AM,07:02 AM,05:07 PM,-20,-17,-10,-17,21,17,47,0.0,1033,-7,10,276,16,Chicago(IL)
2018-02-03,2,-6,0.0,3.8,1,73,09:03 PM,09:03 AM,07:01 AM,05:09 PM,-12,-8,-2,-8,31,93,46,0.0,1018,2,10,207,21,Chicago(IL)
2018-02-04,-1,-11,0.3,3.8,1,66,10:09 PM,09:35 AM,07:00 AM,05:10 PM,-8,-13,-5,-13,33,84,81,2.2,1016,-1,7,260,25,Chicago(IL)
2018-02-05,-11,-16,2.5,5.5,2,58,11:13 PM,10:05 AM,06:59 AM,05:11 PM,-15,-19,-13,-19,16,54,81,2.9,1026,-11,7,242,12,Chicago(IL)
2018-02-06,-7,-12,0.0,5.5,1,51,No moonrise,10:35 AM,06:58 AM,05:13 PM,-12,-14,-9,-14,12,78,84,0.0,1030,-7,10,226,8,Chicago(IL)
2018-02-07,-7,-11,1.6,4.0,1,43,12:14 AM,11:07 AM,06:56 AM,05:14 PM,-10,-14,-8,-14,19,94,88,1.9,1029,-7,7,267,14,Chicago(IL)
2018-02-08,-7,-12,1.0,4.0,1,36,01:13 AM,11:41 AM,06:55 AM,05:15 PM,-11,-14,-9,-14,14,94,87,1.2,1032,-7,9,233,10,Chicago(IL)
2018-02-09,-3,-6,4.6,4.0,1,28,02:10 AM,12:17 PM,06:54 AM,05:16 PM,-5,-9,-4,-9,20,100,93,5.4,1024,-3,5,135,14,Chicago(IL)
2018-02-10,-5,-8,0.8,4.0,1,20,03:06 AM,12:58 PM,06:53 AM,05:18 PM,-7,-12,-6,-12,22,100,92,1.0,1024,-5,7,221,15,Chicago(IL)
2018-02-11,-5,-10,3.9,4.0,1,13,03:57 AM,01:43 PM,06:51 AM,05:19 PM,-7,-12,-6,-12,19,80,93,4.6,1019,-5,6,199,13,Chicago(IL)
2018-02-12,-5,-13,0.0,8.7,2,5,04:45 AM,02:32 PM,06:50 AM,05:20 PM,-11,-14,-9,-14,17,19,82,0.0,1039,-5,10,174,10,Chicago(IL)
2018-02-13,-1,-8,0.0,8.7,2,0,05:30 AM,03:26 PM,06:49 AM,05:22 PM,-7,-9,-5,-9,19,38,84,0.0,1036,-1,10,143,11,Chicago(IL)
2018-02-14,3,-3,0.0,5.6,2,0,06:09 AM,04:22 PM,06:47 AM,05:23 PM,-0,-4,1,-4,30,52,94,0.2,1019,3,9,208,15,Chicago(IL)
2018-02-15,4,2,0.0,4.0,1,0,06:45 AM,05:21 PM,06:46 AM,05:24 PM,3,0,3,0,26,95,99,0.0,1008,4,6,280,12,Chicago(IL)
2018-02-16,2,-3,0.0,7.2,2,2,07:18 AM,06:21 PM,06:45 AM,05:25 PM,-4,-4,-0,-4,21,40,76,0.0,1022,2,10,274,14,Chicago(IL)
2018-02-17,-0,-6,0.4,5.6,1,10,07:49 AM,07:23 PM,06:43 AM,05:27 PM,-7,-7,-3,-7,19,69,73,0.5,1020,-0,9,221,13,Chicago(IL)
2018-02-18,2,-5,0.0,8.7,2,17,08:18 AM,08:26 PM,06:42 AM,05:28 PM,-4,-6,-1,-6,27,27,82,0.0,1022,2,10,185,17,Chicago(IL)
2018-02-19,11,2,0.0,4.1,2,25,08:48 AM,09:30 PM,06:40 AM,05:29 PM,5,2,6,2,40,88,95,5.2,1011,11,8,184,19,Chicago(IL)
2018-02-20,13,2,0.0,4.1,2,32,09:18 AM,10:34 PM,06:39 AM,05:30 PM,8,6,9,6,38,100,95,40.7,1013,13,8,232,19,Chicago(IL)
2018-02-21,0,-2,3.9,8.7,2,40,09:51 AM,11:41 PM,06:37 AM,05:32 PM,-5,-6,-1,-6,23,40,74,4.6,1033,0,10,176,16,Chicago(IL)
2018-02-22,2,-1,0.0,7.2,2,47,10:27 AM,No moonset,06:36 AM,05:33 PM,-3,-4,1,-4,29,54,77,0.1,1034,2,10,60,18,Chicago(IL)
2018-02-23,4,2,0.0,5.7,1,55,11:09 AM,12:48 AM,06:34 AM,05:34 PM,1,-1,3,-1,26,86,89,0.4,1023,4,9,216,15,Chicago(IL)
2018-02-24,5,0,0.0,4.1,1,62,11:57 AM,01:55 AM,06:33 AM,05:35 PM,0,-2,2,-2,30,85,88,0.3,1017,5,9,116,17,Chicago(IL)
2018-02-25,8,1,1.2,8.7,2,70,12:53 PM,03:00 AM,06:31 AM,05:36 PM,-3,-2,3,-2,44,43,65,4.3,1012,8,9,238,27,Chicago(IL)
2018-02-26,9,0,0.0,8.7,2,77,01:56 PM,04:00 AM,06:30 AM,05:38 PM,-3,2,5,2,26,4,59,0.0,1024,9,10,226,14,Chicago(IL)
2018-02-27,12,5,0.0,8.7,3,85,03:05 PM,04:53 AM,06:28 AM,05:39 PM,-0,5,8,5,43,12,56,0.0,1021,12,10,198,21,Chicago(IL)
2018-02-28,10,4,0.0,5.7,2,93,04:17 PM,05:40 AM,06:27 AM,05:40 PM,4,5,7,5,30,68,78,0.2,1011,10,10,157,15,Chicago(IL)
2018-03-01,4,3,0.0,4.2,1,96,05:29 PM,06:21 AM,06:25 AM,05:41 PM,0,-1,3,-1,30,70,80,7.1,1014,4,10,184,20,Chicago(IL)
2018-03-02,5,0,0.0,8.7,2,100,06:40 PM,06:57 AM,06:24 AM,05:42 PM,-4,-1,2,-1,17,12,66,0.0,1030,5,10,198,11,Chicago(IL)
2018-03-03,4,1,0.0,8.7,2,89,07:48 PM,07:31 AM,06:22 AM,05:44 PM,-5,-1,2,-1,17,5,59,0.0,1034,4,10,70,11,Chicago(IL)
2018-03-04,5,1,0.0,8.7,2,82,08:54 PM,08:02 AM,06:20 AM,05:45 PM,-5,-1,3,-1,28,3,55,0.0,1031,5,10,103,18,Chicago(IL)
2018-03-05,3,0,3.1,7.2,2,74,09:59 PM,08:33 AM,06:19 AM,05:46 PM,-6,-4,2,-4,37,45,59,3.7,1020,3,9,109,26,Chicago(IL)
2018-03-06,4,0,0.6,4.2,1,67,11:00 PM,09:04 AM,06:17 AM,05:47 PM,-1,-2,2,-2,19,78,84,0.7,1007,4,9,215,13,Chicago(IL)
2018-03-07,0,-3,0.0,5.7,1,60,12:00 AM,09:38 AM,06:16 AM,05:48 PM,-7,-7,-1,-7,29,76,67,0.0,1015,0,10,315,23,Chicago(IL)
2018-03-08,-0,-4,0.0,7.2,2,53,No moonrise,10:13 AM,06:14 AM,05:49 PM,-9,-8,-2,-8,25,60,59,0.0,1018,-0,10,304,19,Chicago(IL)
2018-03-09,1,-3,0.0,8.7,2,45,12:57 AM,10:53 AM,06:12 AM,05:51 PM,-9,-4,-1,-4,12,32,54,0.0,1018,1,10,217,9,Chicago(IL)
2018-03-10,2,-1,0.0,8.7,2,38,01:51 AM,11:37 AM,06:11 AM,05:52 PM,-7,-1,1,-1,9,6,53,0.0,1020,2,10,80,7,Chicago(IL)
2018-03-11,2,0,0.0,8.7,2,31,02:40 AM,12:24 PM,06:09 AM,05:53 PM,-5,-2,1,-2,16,25,63,0.0,1023,2,10,89,12,Chicago(IL)
2018-03-12,4,1,0.2,7.2,2,24,03:26 AM,01:17 PM,06:07 AM,05:54 PM,-3,-1,2,-1,21,67,66,0.2,1020,4,10,269,14,Chicago(IL)
2018-03-13,1,-2,0.0,5.8,1,16,04:07 AM,02:12 PM,06:06 AM,05:55 PM,-7,-6,-1,-6,28,48,62,0.0,1022,1,10,335,21,Chicago(IL)
2018-03-14,5,-4,0.0,8.7,2,9,04:44 AM,03:10 PM,06:04 AM,05:56 PM,-8,-4,1,-4,26,21,54,0.0,1017,5,10,267,18,Chicago(IL)
2018-03-15,5,0,0.0,8.7,2,2,05:18 AM,04:10 PM,06:02 AM,05:57 PM,-3,-1,2,-1,20,7,68,0.0,1013,5,10,175,14,Chicago(IL)
2018-03-16,1,-2,0.0,5.8,2,0,05:50 AM,05:13 PM,06:01 AM,05:58 PM,-7,-5,-0,-5,22,44,62,0.0,1021,1,10,48,17,Chicago(IL)
2018-03-17,5,1,0.0,11.8,2,0,06:20 AM,06:16 PM,05:59 AM,06:00 PM,-4,-1,2,-1,19,45,61,0.0,1016,5,10,139,14,Chicago(IL)
2018-03-18,10,2,0.0,12.4,3,5,06:50 AM,07:21 PM,05:57 AM,06:01 PM,-4,5,6,5,11,18,46,0.0,1017,10,10,207,7,Chicago(IL)
2018-03-19,5,2,0.0,12.5,2,13,07:20 AM,08:26 PM,05:56 AM,06:02 PM,-3,-1,4,-1,34,25,64,0.0,1013,5,10,52,24,Chicago(IL)
2018-03-20,1,-2,0.0,12.5,2,20,07:53 AM,09:34 PM,05:54 AM,06:03 PM,-6,-6,0,-6,36,41,66,0.0,1013,1,10,31,29,Chicago(IL)
2018-03-21,2,-1,0.0,11.8,2,27,08:27 AM,10:41 PM,05:52 AM,06:04 PM,-6,-5,0,-5,27,57,62,0.0,1019,2,10,58,21,Chicago(IL)
2018-03-22,5,-1,0.0,12.5,2,34,09:08 AM,11:49 PM,05:51 AM,06:05 PM,-6,-1,2,-1,16,14,54,0.0,1027,5,10,200,12,Chicago(IL)
2018-03-23,3,1,0.0,12.6,2,42,09:53 AM,No moonset,05:49 AM,06:06 PM,-4,-1,2,-1,16,33,65,0.0,1028,3,10,37,12,Chicago(IL)
2018-03-24,3,1,0.0,9.2,1,49,10:46 AM,12:53 AM,05:47 AM,06:07 PM,-5,-4,2,-4,39,67,58,0.0,1024,3,10,78,26,Chicago(IL)
2018-03-25,3,-2,0.0,12.6,2,56,11:46 AM,01:53 AM,05:46 AM,06:08 PM,-9,-5,0,-5,30,11,50,0.0,1028,3,10,74,22,Chicago(IL)
2018-03-26,9,0,0.0,12.7,2,63,12:50 PM,02:47 AM,05:44 AM,06:09 PM,-2,0,4,0,30,31,67,0.0,1024,9,10,121,18,Chicago(IL)
2018-03-27,8,6,0.0,9.2,2,71,01:59 PM,03:35 AM,05:42 AM,06:11 PM,5,5,7,5,25,80,87,4.3,1016,8,9,224,13,Chicago(IL)
2018-03-28,7,3,0.0,12.7,3,78,03:09 PM,04:17 AM,05:40 AM,06:12 PM,2,4,6,4,13,44,80,0.2,1016,7,9,77,8,Chicago(IL)
2018-03-29,6,3,0.0,11.9,2,85,04:19 PM,04:54 AM,05:39 AM,06:13 PM,2,2,5,2,23,61,84,0.9,1014,6,9,142,14,Chicago(IL)
2018-03-30,5,1,0.0,10.6,1,93,05:28 PM,05:28 AM,05:37 AM,06:14 PM,-3,1,4,1,17,69,65,0.1,1023,5,10,81,12,Chicago(IL)
2018-03-31,10,4,0.0,10.6,2,96,06:35 PM,05:59 AM,05:35 AM,06:15 PM,0,2,6,2,42,58,66,1.6,1016,10,10,232,24,Chicago(IL)
2018-04-01,1,-3,0.0,10.6,1,89,07:41 PM,06:29 AM,05:34 AM,06:16 PM,-11,-4,-0,-4,16,61,45,0.0,1024,1,10,293,12,Chicago(IL)
2018-04-02,4,-2,0.0,10.6,1,81,08:44 PM,07:01 AM,05:32 AM,06:17 PM,-8,-2,1,-2,15,38,49,0.0,1019,4,10,187,11,Chicago(IL)
2018-04-03,3,2,0.3,8.1,1,74,09:46 PM,07:34 AM,05:30 AM,06:18 PM,1,-1,3,-1,24,100,91,4.9,1005,3,7,139,16,Chicago(IL)
2018-04-04,1,-3,0.0,10.6,1,66,10:45 PM,08:08 AM,05:29 AM,06:19 PM,-6,-7,-1,-7,35,69,67,0.7,1018,1,9,292,27,Chicago(IL)
2018-04-05,3,-3,0.1,12.9,2,59,11:42 PM,08:47 AM,05:27 AM,06:20 PM,-7,-3,0,-3,16,46,60,1.6,1022,3,10,227,12,Chicago(IL)
2018-04-06,2,-1,0.0,11.9,2,51,No moonrise,09:30 AM,05:25 AM,06:21 PM,-6,-4,1,-4,29,54,65,0.0,1015,2,10,284,21,Chicago(IL)
2018-04-07,1,-5,0.0,13.0,2,44,12:33 AM,10:16 AM,05:24 AM,06:23 PM,-12,-5,-1,-5,14,4,45,0.0,1021,1,10,262,11,Chicago(IL)
2018-04-08,2,-2,0.1,12.0,2,36,01:21 AM,11:06 AM,05:22 AM,06:24 PM,-9,-2,1,-2,10,41,49,0.1,1020,2,9,188,8,Chicago(IL)
2018-04-09,3,-1,1.0,8.2,1,28,02:03 AM,12:00 PM,05:20 AM,06:25 PM,-2,-1,1,-1,10,86,80,1.2,1022,3,8,135,8,Chicago(IL)
2018-04-10,6,-0,0.0,12.0,2,21,02:42 AM,12:57 PM,05:19 AM,06:26 PM,-4,0,3,0,15,44,63,0.0,1025,6,10,249,10,Chicago(IL)
2018-04-11,13,3,0.0,12.0,3,13,03:17 AM,01:56 PM,05:17 AM,06:27 PM,1,4,7,4,28,63,66,0.0,1015,13,10,176,15,Chicago(IL)
2018-04-12,16,5,0.0,13.1,4,6,03:49 AM,02:57 PM,05:15 AM,06:28 PM,5,8,11,8,37,47,71,0.5,1006,16,10,149,19,Chicago(IL)
2018-04-13,8,4,0.0,10.7,2,0,04:19 AM,04:00 PM,05:14 AM,06:29 PM,3,3,6,3,29,64,83,1.0,1007,8,8,73,16,Chicago(IL)
2018-04-14,3,2,0.0,8.2,1,0,04:49 AM,05:05 PM,05:12 AM,06:30 PM,1,-3,3,-3,50,100,88,9.9,1010,3,8,49,35,Chicago(IL)
2018-04-15,2,0,0.3,8.3,1,0,05:20 AM,06:12 PM,05:10 AM,06:31 PM,-0,-3,2,-3,26,100,88,12.6,1008,2,8,156,20,Chicago(IL)
2018-04-16,1,-2,0.8,8.3,1,1,05:51 AM,07:21 PM,05:09 AM,06:33 PM,-4,-6,-1,-6,28,100,76,0.9,1012,1,7,287,23,Chicago(IL)
2018-04-17,3,-1,0.1,12.0,2,9,06:26 AM,08:30 PM,05:07 AM,06:34 PM,-5,-4,1,-4,22,59,68,0.1,1014,3,10,253,17,Chicago(IL)
2018-04-18,2,0,4.3,10.8,1,17,07:05 AM,09:40 PM,05:06 AM,06:35 PM,-2,-3,1,-3,21,59,77,5.1,1012,2,8,137,16,Chicago(IL)
2018-04-19,8,1,0.3,13.3,2,24,07:50 AM,10:47 PM,05:04 AM,06:36 PM,-0,0,4,0,26,25,76,0.3,1025,8,9,253,16,Chicago(IL)
2018-04-20,11,3,0.0,13.3,3,32,08:41 AM,11:50 PM,05:03 AM,06:37 PM,-2,6,7,6,14,10,54,0.0,1032,11,10,203,8,Chicago(IL)
2018-04-21,9,5,0.0,8.4,2,39,09:39 AM,No moonset,05:01 AM,06:38 PM,-3,6,7,6,13,71,49,0.0,1031,9,10,86,7,Chicago(IL)
2018-04-22,11,6,0.0,13.4,3,47,10:42 AM,12:46 AM,05:00 AM,06:39 PM,-1,6,9,6,28,7,52,0.0,1027,11,10,61,15,Chicago(IL)
2018-04-23,11,6,0.0,11.0,3,54,11:50 AM,01:35 AM,04:58 AM,06:40 PM,-0,6,9,6,29,49,54,0.7,1021,11,9,45,16,Chicago(IL)
2018-04-24,13,8,0.0,11.0,2,62,12:58 PM,02:17 AM,04:57 AM,06:41 PM,7,9,10,9,15,63,84,0.0,1017,13,10,40,8,Chicago(IL)
2018-04-25,9,5,0.0,13.9,3,69,02:07 PM,02:55 AM,04:55 AM,06:43 PM,2,4,7,4,28,20,69,0.0,1018,9,10,55,20,Chicago(IL)
2018-04-26,14,5,0.0,13.3,3,77,03:14 PM,03:29 AM,04:54 AM,06:44 PM,1,10,10,10,13,19,52,0.0,1014,14,10,203,8,Chicago(IL)
2018-04-27,11,5,0.0,13.3,3,85,04:20 PM,03:59 AM,04:52 AM,06:45 PM,1,5,8,5,26,39,62,1.7,1009,11,10,168,18,Chicago(IL)
2018-04-28,8,4,0.0,14.0,3,92,05:26 PM,04:29 AM,04:51 AM,06:46 PM,-1,2,5,2,28,11,62,0.0,1020,8,10,179,21,Chicago(IL)
2018-04-29,10,4,0.0,14.0,3,100,06:30 PM,05:00 AM,04:49 AM,06:47 PM,-3,6,7,6,15,1,48,0.0,1027,10,10,145,10,Chicago(IL)
2018-04-30,19,7,0.0,14.0,4,100,07:33 PM,05:31 AM,04:48 AM,06:48 PM,0,12,13,12,40,10,43,0.0,1021,19,10,185,19,Chicago(IL)
