date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,21,0.0,4.1,5,97,04:42 PM,05:19 AM,06:32 AM,05:20 PM,19,21,24,21,7,56,87,1.5,1013,21,10,120,5,Chittagong
2018-01-02,25,20,0.0,8.7,6,100,05:46 PM,06:24 AM,06:33 AM,05:21 PM,19,22,23,22,11,44,83,1.5,1011,25,10,181,8,Chittagong
2018-01-03,25,19,0.0,8.7,6,89,06:51 PM,07:26 AM,06:33 AM,05:22 PM,16,22,23,22,13,20,71,0.2,1012,25,10,275,9,Chittagong
2018-01-04,24,15,0.0,8.7,5,81,07:57 PM,08:23 AM,06:33 AM,05:22 PM,12,20,20,20,19,0,60,0.0,1013,24,10,176,13,Chittagong
2018-01-05,25,15,0.0,8.7,5,74,09:00 PM,09:15 AM,06:33 AM,05:23 PM,15,21,22,21,14,0,68,0.0,1012,25,10,164,10,Chittagong
2018-01-06,24,14,0.0,8.7,5,67,09:59 PM,10:01 AM,06:34 AM,05:24 PM,14,20,21,20,14,0,66,0.0,1012,24,10,180,10,Chittagong
2018-01-07,24,14,0.0,8.7,5,59,10:56 PM,10:43 AM,06:34 AM,05:24 PM,11,19,19,19,21,0,60,0.0,1013,24,10,176,14,Chittagong
2018-01-08,24,13,0.0,8.7,5,52,11:51 PM,11:23 AM,06:34 AM,05:25 PM,8,18,18,18,26,0,55,0.0,1015,24,10,178,16,Chittagong
2018-01-09,23,12,0.0,8.7,5,45,No moonrise,12:01 PM,06:34 AM,05:26 PM,8,17,18,17,22,0,55,0.0,1016,23,10,174,14,Chittagong
2018-01-10,23,13,0.0,8.7,5,38,12:43 AM,12:39 PM,06:34 AM,05:26 PM,11,19,20,19,17,0,58,0.0,1016,23,10,175,11,Chittagong
2018-01-11,22,13,0.0,8.7,5,30,01:35 AM,01:17 PM,06:34 AM,05:27 PM,10,20,20,20,11,0,55,0.0,1015,22,10,172,8,Chittagong
2018-01-12,22,12,0.0,8.7,5,23,02:26 AM,01:57 PM,06:34 AM,05:28 PM,12,20,21,20,8,0,62,0.0,1014,22,10,140,6,Chittagong
2018-01-13,23,13,0.0,8.7,5,16,03:17 AM,02:38 PM,06:35 AM,05:28 PM,13,20,21,20,9,0,65,0.0,1015,23,10,129,7,Chittagong
2018-01-14,23,14,0.0,8.7,5,9,04:07 AM,03:23 PM,06:35 AM,05:29 PM,16,21,22,21,8,0,73,0.0,1014,23,10,176,7,Chittagong
2018-01-15,23,14,0.0,8.7,5,1,04:57 AM,04:09 PM,06:35 AM,05:30 PM,16,21,22,21,9,0,71,0.0,1014,23,10,178,7,Chittagong
