date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,14,9,0.0,10.6,4,97,05:27 PM,06:30 AM,07:49 AM,06:06 PM,2,12,12,12,6,29,50,0.0,1020,14,10,116,4,Chongqing
2018-01-02,13,10,0.0,10.6,4,100,06:30 PM,07:37 AM,07:49 AM,06:07 PM,-3,12,11,12,3,44,36,0.0,1021,13,10,31,3,Chongqing
2018-01-03,11,8,0.0,5.3,2,89,07:37 PM,08:38 AM,07:49 AM,06:07 PM,0,10,10,10,4,90,54,2.4,1023,11,9,134,4,Chongqing
2018-01-04,9,7,0.0,6.9,2,81,08:44 PM,09:34 AM,07:49 AM,06:08 PM,4,8,8,8,7,84,75,1.7,1022,9,10,112,6,Chongqing
2018-01-05,11,7,0.0,10.0,3,74,09:50 PM,10:22 AM,07:50 AM,06:09 PM,1,8,9,8,9,67,61,0.0,1019,11,10,56,8,Chongqing
2018-01-06,12,7,0.0,10.6,3,67,10:53 PM,11:06 AM,07:50 AM,06:09 PM,0,9,10,9,7,46,52,0.0,1016,12,10,88,5,Chongqing
2018-01-07,10,6,0.0,6.9,3,59,11:53 PM,11:46 AM,07:50 AM,06:10 PM,0,7,8,7,7,62,57,0.0,1021,10,10,256,6,Chongqing
2018-01-08,10,6,0.0,10.0,3,52,No moonrise,12:22 PM,07:50 AM,06:11 PM,-4,7,8,7,7,51,43,0.0,1030,10,10,246,6,Chongqing
2018-01-09,11,4,0.0,10.6,3,45,12:51 AM,12:58 PM,07:50 AM,06:12 PM,-8,9,10,9,6,2,29,0.0,1032,11,10,136,5,Chongqing
2018-01-10,12,5,0.0,10.6,3,38,01:46 AM,01:33 PM,07:50 AM,06:13 PM,-4,10,11,10,6,1,36,0.0,1033,12,10,158,5,Chongqing
2018-01-11,13,6,0.0,10.6,3,30,02:40 AM,02:08 PM,07:50 AM,06:13 PM,-3,11,11,11,3,8,38,0.0,1032,13,10,119,3,Chongqing
2018-01-12,15,7,0.0,10.0,4,23,03:34 AM,02:46 PM,07:50 AM,06:14 PM,-2,11,12,11,7,30,39,0.0,1027,15,10,90,6,Chongqing
2018-01-13,13,10,0.0,8.5,3,16,04:27 AM,03:26 PM,07:50 AM,06:15 PM,1,11,11,11,6,65,48,0.0,1025,13,10,115,5,Chongqing
2018-01-14,14,7,0.0,10.7,4,9,05:19 AM,04:08 PM,07:50 AM,06:16 PM,-0,11,11,11,6,14,45,0.0,1022,14,10,114,5,Chongqing
2018-01-15,12,8,0.0,10.0,4,1,06:09 AM,04:54 PM,07:50 AM,06:17 PM,1,11,11,11,6,42,50,0.0,1018,12,10,152,5,Chongqing
2018-01-16,13,8,0.0,10.7,4,0,06:58 AM,05:43 PM,07:50 AM,06:17 PM,2,10,11,10,11,26,54,0.0,1019,13,10,167,9,Chongqing
2018-01-17,13,6,0.0,10.7,4,0,07:44 AM,06:33 PM,07:49 AM,06:18 PM,3,11,11,11,5,8,57,0.0,1016,13,10,73,4,Chongqing
2018-01-18,12,9,0.0,10.0,4,6,08:27 AM,07:26 PM,07:49 AM,06:19 PM,1,11,11,11,6,57,49,0.0,1021,12,10,126,5,Chongqing
2018-01-19,14,8,0.0,10.0,4,13,09:08 AM,08:19 PM,07:49 AM,06:20 PM,3,12,12,12,5,46,54,0.0,1024,14,10,186,4,Chongqing
2018-01-20,11,10,0.0,5.4,3,20,09:46 AM,09:14 PM,07:49 AM,06:21 PM,4,11,11,11,5,92,62,0.2,1021,11,9,120,4,Chongqing
2018-01-21,15,9,0.0,10.7,4,28,10:21 AM,10:08 PM,07:49 AM,06:22 PM,5,12,12,12,5,46,64,0.0,1020,15,10,178,4,Chongqing
2018-01-22,17,9,0.0,10.8,4,35,10:57 AM,11:04 PM,07:48 AM,06:23 PM,5,14,14,14,6,19,59,0.0,1016,17,10,91,5,Chongqing
2018-01-23,14,11,0.0,6.9,4,42,11:32 AM,No moonset,07:48 AM,06:23 PM,5,12,13,12,7,70,61,0.0,1015,14,10,74,6,Chongqing
2018-01-24,11,10,0.0,5.4,3,49,12:08 PM,12:01 AM,07:48 AM,06:24 PM,7,10,11,10,9,88,77,1.5,1011,11,8,36,7,Chongqing
2018-01-25,9,6,0.0,6.9,2,57,12:46 PM,01:00 AM,07:47 AM,06:25 PM,3,7,8,7,8,84,69,0.4,1019,9,9,175,7,Chongqing
2018-01-26,8,5,0.0,8.5,3,64,01:29 PM,02:01 AM,07:47 AM,06:26 PM,-3,5,6,5,9,62,53,0.3,1024,8,9,67,8,Chongqing
2018-01-27,8,3,0.0,10.8,3,71,02:15 PM,03:04 AM,07:46 AM,06:27 PM,-7,5,6,5,7,25,39,0.0,1023,8,10,75,6,Chongqing
2018-01-28,9,3,0.0,10.8,3,78,03:08 PM,04:09 AM,07:46 AM,06:28 PM,-5,6,7,6,6,24,43,0.0,1028,9,10,139,5,Chongqing
2018-01-29,9,4,0.0,8.5,2,86,04:07 PM,05:14 AM,07:45 AM,06:29 PM,-3,6,7,6,5,50,51,0.0,1030,9,10,83,4,Chongqing
2018-01-30,10,4,0.0,10.1,3,93,05:12 PM,06:17 AM,07:45 AM,06:29 PM,-2,7,8,7,6,48,50,0.0,1026,10,10,147,5,Chongqing
2018-01-31,10,5,0.0,10.9,3,97,06:19 PM,07:15 AM,07:44 AM,06:30 PM,-8,8,8,8,7,26,32,0.0,1032,10,10,251,6,Chongqing
2018-02-01,10,4,0.0,10.9,3,88,07:27 PM,08:08 AM,07:44 AM,06:31 PM,-6,7,8,7,9,28,35,0.0,1027,10,10,150,7,Chongqing
2018-02-02,11,5,0.0,10.9,3,81,08:33 PM,08:56 AM,07:43 AM,06:32 PM,-5,8,9,8,6,32,38,0.0,1033,11,10,222,5,Chongqing
2018-02-03,12,5,0.0,10.9,3,73,09:37 PM,09:39 AM,07:43 AM,06:33 PM,-5,9,9,9,7,29,38,0.0,1030,12,10,128,5,Chongqing
2018-02-04,11,6,0.0,10.9,3,66,10:37 PM,10:18 AM,07:42 AM,06:34 PM,-6,8,9,8,6,38,36,0.0,1031,11,10,82,5,Chongqing
2018-02-05,10,7,0.0,10.9,3,58,11:36 PM,10:55 AM,07:41 AM,06:34 PM,-5,9,9,9,7,15,37,0.0,1033,10,10,130,5,Chongqing
2018-02-06,12,6,0.0,10.9,3,51,No moonrise,11:31 AM,07:41 AM,06:35 PM,-4,9,9,9,7,16,39,0.0,1027,12,10,130,6,Chongqing
2018-02-07,12,6,0.0,11.0,3,43,12:32 AM,12:07 PM,07:40 AM,06:36 PM,-3,10,10,10,6,19,40,0.0,1025,12,10,283,5,Chongqing
2018-02-08,15,7,0.0,11.0,4,36,01:27 AM,12:45 PM,07:39 AM,06:37 PM,-2,11,11,11,8,22,39,0.0,1018,15,10,94,6,Chongqing
2018-02-09,14,10,0.0,11.0,4,28,02:20 AM,01:24 PM,07:39 AM,06:38 PM,-0,12,12,12,9,43,43,0.0,1017,14,10,113,7,Chongqing
2018-02-10,12,9,0.0,7.0,3,20,03:13 AM,02:06 PM,07:38 AM,06:39 PM,2,10,11,10,6,84,55,0.0,1026,12,10,166,5,Chongqing
2018-02-11,13,7,0.0,11.0,3,13,04:04 AM,02:50 PM,07:37 AM,06:39 PM,-1,10,10,10,5,40,46,0.0,1031,13,10,94,4,Chongqing
2018-02-12,13,8,0.0,10.1,3,5,04:54 AM,03:38 PM,07:36 AM,06:40 PM,0,11,11,11,5,48,50,0.0,1031,13,10,58,4,Chongqing
2018-02-13,16,8,0.0,11.1,4,0,05:41 AM,04:28 PM,07:35 AM,06:41 PM,2,12,12,12,6,26,49,0.0,1022,16,10,85,5,Chongqing
2018-02-14,17,9,0.0,11.1,4,0,06:25 AM,05:20 PM,07:35 AM,06:42 PM,1,14,14,14,6,13,42,0.0,1014,17,10,65,5,Chongqing
2018-02-15,17,10,0.0,11.1,4,0,07:06 AM,06:13 PM,07:34 AM,06:43 PM,0,15,14,15,5,9,38,0.0,1018,17,10,209,4,Chongqing
2018-02-16,20,10,0.0,11.1,4,2,07:46 AM,07:08 PM,07:33 AM,06:43 PM,4,17,17,17,10,0,42,0.0,1016,20,10,59,7,Chongqing
2018-02-17,16,12,0.0,10.1,4,10,08:22 AM,08:04 PM,07:32 AM,06:44 PM,4,14,14,14,4,49,51,0.1,1011,16,10,151,3,Chongqing
2018-02-18,18,11,0.0,10.1,4,17,08:58 AM,09:00 PM,07:31 AM,06:45 PM,5,14,14,14,8,47,56,0.1,1016,18,10,213,7,Chongqing
2018-02-19,16,10,0.0,11.2,4,25,09:34 AM,09:57 PM,07:30 AM,06:46 PM,2,13,13,13,8,41,48,0.0,1019,16,10,199,7,Chongqing
2018-02-20,18,10,0.0,11.2,4,32,10:10 AM,10:54 PM,07:29 AM,06:46 PM,4,14,14,14,9,21,51,0.0,1018,18,10,92,8,Chongqing
2018-02-21,16,11,0.0,7.1,3,40,10:47 AM,11:54 PM,07:28 AM,06:47 PM,5,13,13,13,10,71,56,0.1,1021,16,10,64,8,Chongqing
2018-02-22,15,10,0.0,10.1,3,47,11:27 AM,No moonset,07:27 AM,06:48 PM,3,13,13,13,7,57,52,0.3,1025,15,9,164,6,Chongqing
2018-02-23,18,10,0.0,11.2,4,55,12:11 PM,12:55 AM,07:26 AM,06:49 PM,1,14,14,14,10,19,43,0.0,1018,18,10,67,8,Chongqing
2018-02-24,18,11,0.0,11.2,4,62,01:00 PM,01:57 AM,07:25 AM,06:49 PM,3,15,15,15,8,32,45,0.0,1022,18,10,179,6,Chongqing
2018-02-25,21,12,0.0,11.3,5,70,01:54 PM,03:00 AM,07:24 AM,06:50 PM,4,17,17,17,7,19,44,0.0,1022,21,10,85,6,Chongqing
2018-02-26,19,14,0.0,10.1,5,77,02:54 PM,04:01 AM,07:23 AM,06:51 PM,6,16,16,16,9,50,51,0.0,1017,19,10,76,7,Chongqing
2018-02-27,20,13,0.0,10.1,5,85,03:58 PM,05:00 AM,07:22 AM,06:51 PM,6,17,17,17,5,53,50,0.1,1013,20,10,94,4,Chongqing
2018-02-28,22,13,0.0,11.3,5,93,05:04 PM,05:54 AM,07:21 AM,06:52 PM,7,18,19,18,8,8,50,0.0,1013,22,10,87,6,Chongqing
2018-03-01,24,16,0.0,11.3,5,96,06:10 PM,06:43 AM,07:20 AM,06:53 PM,8,20,20,20,10,24,45,0.0,1008,24,10,171,8,Chongqing
2018-03-02,24,15,0.0,11.3,5,100,07:16 PM,07:29 AM,07:19 AM,06:53 PM,10,19,19,19,9,26,57,0.0,1007,24,10,58,7,Chongqing
