date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-12,-14,0.4,3.6,1,97,05:04 PM,07:07 AM,07:53 AM,05:08 PM,-14,-21,-13,-21,27,96,85,0.5,1036,-12,9,268,18,Cleveland(OH)
2018-01-02,-12,-16,0.1,8.7,2,100,06:10 PM,08:10 AM,07:54 AM,05:09 PM,-16,-23,-14,-23,31,65,87,0.2,1034,-12,9,232,21,Cleveland(OH)
2018-01-03,-8,-15,0.0,3.6,1,89,07:22 PM,09:06 AM,07:54 AM,05:10 PM,-14,-19,-11,-19,29,61,80,0.0,1022,-8,10,219,19,Cleveland(OH)
2018-01-04,-8,-14,0.8,3.6,1,81,08:33 PM,09:54 AM,07:54 AM,05:11 PM,-14,-20,-11,-20,29,96,83,1.0,1020,-8,7,312,22,Cleveland(OH)
2018-01-05,-14,-17,0.3,3.6,1,74,09:44 PM,10:34 AM,07:54 AM,05:12 PM,-18,-25,-16,-25,31,95,85,0.4,1026,-14,8,292,22,Cleveland(OH)
2018-01-06,-13,-16,0.2,3.6,1,67,10:51 PM,11:10 AM,07:53 AM,05:13 PM,-17,-23,-15,-23,25,90,82,0.2,1035,-13,10,291,16,Cleveland(OH)
2018-01-07,-4,-17,0.0,3.6,1,59,11:56 PM,11:42 AM,07:53 AM,05:14 PM,-14,-18,-11,-18,32,63,78,0.0,1030,-4,10,187,20,Cleveland(OH)
2018-01-08,1,-2,1.0,3.6,1,52,No moonrise,12:11 PM,07:53 AM,05:15 PM,-1,-5,0,-5,34,91,90,1.2,1017,1,8,225,22,Cleveland(OH)
2018-01-09,-0,-3,0.1,3.6,1,45,12:59 AM,12:41 PM,07:53 AM,05:16 PM,-2,-4,-1,-4,14,78,92,0.2,1026,-0,8,223,9,Cleveland(OH)
2018-01-10,8,-4,0.0,5.3,1,38,01:59 AM,01:11 PM,07:53 AM,05:17 PM,1,-2,2,-2,35,54,93,0.0,1022,8,10,163,17,Cleveland(OH)
2018-01-11,12,8,0.0,7.0,2,30,02:58 AM,01:43 PM,07:53 AM,05:18 PM,9,7,10,7,48,78,91,2.6,1015,12,10,184,23,Cleveland(OH)
2018-01-12,11,-8,0.0,3.6,1,23,03:56 AM,02:16 PM,07:52 AM,05:19 PM,1,-4,2,-4,37,96,93,3.6,1011,11,6,210,24,Cleveland(OH)
2018-01-13,-8,-13,0.2,3.6,1,16,04:52 AM,02:55 PM,07:52 AM,05:20 PM,-12,-17,-10,-17,29,77,80,0.5,1030,-8,8,337,20,Cleveland(OH)
2018-01-14,-9,-14,0.0,5.3,2,9,05:46 AM,03:37 PM,07:51 AM,05:21 PM,-13,-15,-11,-15,11,35,83,0.0,1040,-9,10,192,7,Cleveland(OH)
2018-01-15,-5,-12,0.5,3.6,1,1,06:37 AM,04:23 PM,07:51 AM,05:22 PM,-9,-13,-8,-13,19,99,89,0.6,1030,-5,8,161,13,Cleveland(OH)
2018-01-16,-6,-16,0.1,3.6,1,0,07:24 AM,05:15 PM,07:51 AM,05:23 PM,-12,-18,-11,-18,20,94,92,0.2,1032,-6,8,241,14,Cleveland(OH)
2018-01-17,-8,-17,0.1,5.3,2,0,08:06 AM,06:09 PM,07:50 AM,05:25 PM,-13,-19,-12,-19,23,71,93,0.1,1033,-8,8,227,15,Cleveland(OH)
2018-01-18,-4,-11,0.0,8.7,2,6,08:44 AM,07:06 PM,07:50 AM,05:26 PM,-10,-15,-7,-15,35,10,81,0.0,1023,-4,10,222,22,Cleveland(OH)
2018-01-19,1,-6,0.0,8.7,2,13,09:19 AM,08:04 PM,07:49 AM,05:27 PM,-5,-8,-2,-8,38,8,81,0.0,1017,1,10,210,23,Cleveland(OH)
2018-01-20,3,1,0.0,7.0,2,20,09:51 AM,09:04 PM,07:48 AM,05:28 PM,0,-3,2,-3,33,49,89,0.0,1016,3,10,224,20,Cleveland(OH)
2018-01-21,4,2,0.0,3.7,1,28,10:21 AM,10:05 PM,07:48 AM,05:29 PM,3,1,3,1,17,100,99,0.2,1019,4,0,196,8,Cleveland(OH)
2018-01-22,12,5,0.0,7.0,2,35,10:50 AM,11:07 PM,07:47 AM,05:31 PM,7,6,9,6,36,70,90,0.0,1011,12,8,176,17,Cleveland(OH)
2018-01-23,8,-1,0.1,3.7,1,42,11:20 AM,No moonset,07:46 AM,05:32 PM,1,-1,4,-1,36,86,83,2.1,1006,8,7,240,23,Cleveland(OH)
2018-01-24,-2,-4,0.3,3.7,1,49,11:51 AM,12:11 AM,07:46 AM,05:33 PM,-6,-7,-3,-7,15,99,77,0.4,1023,-2,9,323,11,Cleveland(OH)
2018-01-25,0,-5,0.0,7.0,2,57,12:25 PM,01:17 AM,07:45 AM,05:34 PM,-6,-6,-2,-6,13,53,77,0.0,1032,0,10,226,9,Cleveland(OH)
2018-01-26,7,-1,0.0,5.4,2,64,01:05 PM,02:25 AM,07:44 AM,05:36 PM,-2,-0,4,-0,37,27,67,0.0,1029,7,10,185,19,Cleveland(OH)
2018-01-27,7,4,0.0,3.7,2,71,01:50 PM,03:35 AM,07:43 AM,05:37 PM,2,2,6,2,46,69,77,1.6,1023,7,9,219,24,Cleveland(OH)
2018-01-28,5,1,0.0,8.7,2,78,02:43 PM,04:43 AM,07:42 AM,05:38 PM,-2,1,3,1,13,16,70,0.0,1027,5,10,215,8,Cleveland(OH)
2018-01-29,1,-5,0.2,3.7,1,86,03:45 PM,05:49 AM,07:42 AM,05:39 PM,-3,-6,-1,-6,23,90,87,1.2,1023,1,8,203,16,Cleveland(OH)
2018-01-30,-6,-8,0.2,3.8,1,93,04:53 PM,06:48 AM,07:41 AM,05:41 PM,-11,-14,-7,-14,26,87,75,0.6,1029,-6,8,297,20,Cleveland(OH)
2018-01-31,3,-7,0.0,8.7,1,97,06:06 PM,07:41 AM,07:40 AM,05:42 PM,-7,-8,-2,-8,37,69,67,0.0,1016,3,10,200,23,Cleveland(OH)
