date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-13,-17,0.0,5.3,1,97,05:14 PM,07:08 AM,07:54 AM,05:18 PM,-16,-21,-15,-21,16,68,89,0.0,1039,-13,9,288,11,Columbus(OH)
2018-01-02,-13,-19,0.0,8.7,2,100,06:20 PM,08:12 AM,07:54 AM,05:19 PM,-18,-22,-16,-22,14,20,86,0.0,1038,-13,10,232,9,Columbus(OH)
2018-01-03,-7,-15,0.1,7.0,2,89,07:31 PM,09:08 AM,07:54 AM,05:20 PM,-14,-17,-11,-17,17,41,78,0.1,1024,-7,10,226,11,Columbus(OH)
2018-01-04,-10,-12,0.2,5.3,1,81,08:41 PM,09:56 AM,07:54 AM,05:21 PM,-13,-18,-11,-18,21,92,84,0.2,1022,-10,10,308,15,Columbus(OH)
2018-01-05,-11,-16,0.2,3.6,1,74,09:51 PM,10:37 AM,07:54 AM,05:21 PM,-16,-20,-14,-20,17,85,84,0.2,1029,-11,10,289,11,Columbus(OH)
2018-01-06,-10,-16,0.1,3.6,1,67,10:58 PM,11:14 AM,07:54 AM,05:22 PM,-16,-17,-13,-17,10,47,80,0.1,1037,-10,10,275,7,Columbus(OH)
2018-01-07,-4,-15,0.0,5.3,1,59,No moonrise,11:47 AM,07:54 AM,05:23 PM,-13,-15,-9,-15,21,63,73,0.0,1031,-4,10,164,13,Columbus(OH)
2018-01-08,1,-2,2.3,3.6,1,52,12:02 AM,12:17 PM,07:54 AM,05:24 PM,-1,-4,0,-4,24,92,92,5.1,1020,1,8,227,15,Columbus(OH)
2018-01-09,0,-4,0.0,3.6,1,45,01:03 AM,12:47 PM,07:54 AM,05:25 PM,-2,-3,-1,-3,9,67,96,0.1,1027,0,2,189,5,Columbus(OH)
2018-01-10,8,-1,0.0,3.6,1,38,02:03 AM,01:18 PM,07:54 AM,05:26 PM,3,1,4,1,23,90,96,0.2,1021,8,6,147,11,Columbus(OH)
2018-01-11,12,9,0.0,3.7,3,30,03:01 AM,01:51 PM,07:53 AM,05:27 PM,9,8,10,8,29,94,93,3.0,1015,12,10,173,14,Columbus(OH)
2018-01-12,12,-6,1.5,3.7,1,23,03:58 AM,02:25 PM,07:53 AM,05:28 PM,3,-0,4,-0,31,94,91,15.7,1010,12,6,156,21,Columbus(OH)
2018-01-13,-8,-12,0.1,3.7,1,16,04:54 AM,03:04 PM,07:53 AM,05:30 PM,-12,-16,-10,-16,23,89,85,0.9,1032,-8,9,342,16,Columbus(OH)
2018-01-14,-9,-13,0.0,8.7,2,9,05:48 AM,03:47 PM,07:52 AM,05:31 PM,-13,-14,-11,-14,8,43,85,0.0,1039,-9,10,155,5,Columbus(OH)
2018-01-15,-3,-11,3.1,3.7,1,1,06:38 AM,04:33 PM,07:52 AM,05:32 PM,-8,-12,-7,-12,17,99,93,3.6,1029,-3,5,182,12,Columbus(OH)
2018-01-16,-5,-18,0.2,3.7,1,0,07:25 AM,05:24 PM,07:52 AM,05:33 PM,-14,-18,-13,-18,13,99,93,0.3,1035,-5,5,267,9,Columbus(OH)
2018-01-17,-9,-19,0.0,3.7,1,0,08:07 AM,06:18 PM,07:51 AM,05:34 PM,-14,-18,-14,-18,13,93,95,0.1,1036,-9,5,240,8,Columbus(OH)
2018-01-18,-4,-13,0.0,8.7,2,6,08:46 AM,07:14 PM,07:51 AM,05:35 PM,-10,-15,-9,-15,25,10,88,0.0,1027,-4,10,217,16,Columbus(OH)
2018-01-19,1,-8,0.0,8.7,2,13,09:22 AM,08:12 PM,07:50 AM,05:36 PM,-5,-9,-3,-9,27,7,89,0.0,1021,1,10,208,16,Columbus(OH)
2018-01-20,3,-0,0.0,5.4,2,20,09:55 AM,09:11 PM,07:50 AM,05:37 PM,0,-2,1,-2,26,55,93,0.0,1019,3,6,220,14,Columbus(OH)
2018-01-21,7,3,0.0,3.7,1,28,10:25 AM,10:11 PM,07:49 AM,05:38 PM,5,2,5,2,20,99,99,0.7,1019,7,1,200,10,Columbus(OH)
2018-01-22,13,7,0.0,8.7,4,35,10:55 AM,11:13 PM,07:48 AM,05:40 PM,8,8,10,8,29,65,90,4.0,1011,13,7,171,15,Columbus(OH)
2018-01-23,8,1,0.3,3.7,1,42,11:26 AM,No moonset,07:48 AM,05:41 PM,1,0,4,0,26,81,77,0.6,1010,8,9,250,19,Columbus(OH)
2018-01-24,0,-2,0.3,3.7,1,49,11:58 AM,12:15 AM,07:47 AM,05:42 PM,-5,-4,-1,-4,16,90,72,0.4,1025,0,9,293,12,Columbus(OH)
2018-01-25,2,-3,0.0,8.7,2,57,12:33 PM,01:21 AM,07:46 AM,05:43 PM,-6,-4,-1,-4,15,31,69,0.0,1033,2,10,209,10,Columbus(OH)
2018-01-26,10,1,0.0,8.7,2,64,01:13 PM,02:28 AM,07:46 AM,05:44 PM,-2,2,5,2,26,3,60,0.0,1030,10,10,187,14,Columbus(OH)
2018-01-27,7,6,0.0,3.8,2,71,01:59 PM,03:37 AM,07:45 AM,05:46 PM,3,4,7,4,26,80,80,6.8,1025,7,6,226,15,Columbus(OH)
2018-01-28,9,1,0.0,8.7,2,78,02:53 PM,04:44 AM,07:44 AM,05:47 PM,-3,5,6,5,8,5,56,0.0,1026,9,10,154,5,Columbus(OH)
2018-01-29,3,-3,0.3,3.8,1,86,03:55 PM,05:50 AM,07:43 AM,05:48 PM,-4,-2,1,-2,15,91,67,0.3,1024,3,8,262,12,Columbus(OH)
2018-01-30,-3,-7,0.2,8.7,2,93,05:03 PM,06:50 AM,07:42 AM,05:49 PM,-13,-10,-5,-10,17,42,55,0.2,1031,-3,9,279,13,Columbus(OH)
2018-01-31,6,-5,0.0,7.1,2,97,06:14 PM,07:42 AM,07:42 AM,05:50 PM,-8,-4,0,-4,27,58,57,0.0,1018,6,10,198,17,Columbus(OH)
2018-02-01,7,-5,0.3,3.8,1,88,07:27 PM,08:28 AM,07:41 AM,05:51 PM,-3,-2,2,-2,25,98,69,0.3,1015,7,9,260,17,Columbus(OH)
2018-02-02,-6,-11,0.0,5.4,1,81,08:36 PM,09:08 AM,07:40 AM,05:53 PM,-19,-14,-8,-14,18,38,40,0.0,1032,-6,10,289,15,Columbus(OH)
2018-02-03,1,-7,0.0,5.4,1,73,09:44 PM,09:43 AM,07:39 AM,05:54 PM,-15,-9,-4,-9,22,58,39,0.0,1026,1,10,199,15,Columbus(OH)
2018-02-04,2,-5,3.3,3.8,1,66,10:49 PM,10:16 AM,07:38 AM,05:55 PM,-3,-4,1,-4,24,100,80,3.8,1013,2,6,231,16,Columbus(OH)
2018-02-05,-4,-9,0.0,7.1,1,58,11:52 PM,10:47 AM,07:37 AM,05:56 PM,-12,-11,-7,-11,12,73,64,0.0,1026,-4,10,245,10,Columbus(OH)
2018-02-06,-2,-5,0.4,3.8,1,51,No moonrise,11:19 AM,07:36 AM,05:57 PM,-7,-5,-4,-5,7,91,77,0.5,1029,-2,9,194,5,Columbus(OH)
2018-02-07,-3,-7,4.1,3.8,1,43,12:52 AM,11:51 AM,07:35 AM,05:59 PM,-6,-9,-4,-9,17,87,90,4.8,1025,-3,8,216,12,Columbus(OH)
2018-02-08,-5,-11,0.0,10.7,2,36,01:50 AM,12:25 PM,07:33 AM,06:00 PM,-9,-12,-8,-12,13,55,90,0.0,1033,-5,8,245,8,Columbus(OH)
2018-02-09,3,-6,0.0,5.3,1,28,02:47 AM,01:03 PM,07:32 AM,06:01 PM,-3,-5,-1,-5,19,92,90,0.0,1025,3,9,166,10,Columbus(OH)
2018-02-10,3,-2,0.0,5.4,1,20,03:42 AM,01:44 PM,07:31 AM,06:02 PM,1,-1,2,-1,14,97,94,0.4,1019,3,6,168,8,Columbus(OH)
2018-02-11,3,-1,0.0,5.4,1,13,04:33 AM,02:29 PM,07:30 AM,06:03 PM,-1,-3,0,-3,17,99,89,1.4,1015,3,7,195,11,Columbus(OH)
2018-02-12,1,-4,0.0,10.8,2,5,05:21 AM,03:18 PM,07:29 AM,06:04 PM,-7,-5,-2,-5,14,25,66,0.0,1037,1,10,182,10,Columbus(OH)
2018-02-13,3,-5,0.0,8.5,2,0,06:05 AM,04:11 PM,07:28 AM,06:06 PM,-7,-5,-1,-5,16,41,66,0.0,1037,3,10,103,11,Columbus(OH)
2018-02-14,10,1,0.0,5.4,1,0,06:45 AM,05:07 PM,07:26 AM,06:07 PM,4,3,5,3,18,76,97,0.9,1023,10,4,202,9,Columbus(OH)
2018-02-15,16,11,0.0,5.4,3,0,07:23 AM,06:05 PM,07:25 AM,06:08 PM,12,13,13,13,25,98,95,8.8,1010,16,7,227,13,Columbus(OH)
2018-02-16,13,1,0.0,7.0,2,2,07:56 AM,07:05 PM,07:24 AM,06:09 PM,2,4,6,4,16,80,76,7.1,1017,13,10,281,12,Columbus(OH)
2018-02-17,2,-1,1.7,5.4,1,10,08:28 AM,08:05 PM,07:22 AM,06:10 PM,-3,-2,1,-2,11,69,79,1.9,1022,2,8,190,8,Columbus(OH)
2018-02-18,6,-1,0.1,8.5,1,17,08:59 AM,09:07 PM,07:21 AM,06:11 PM,-1,-0,2,-0,16,56,76,0.1,1027,6,10,203,11,Columbus(OH)
2018-02-19,17,3,0.0,7.0,3,25,09:30 AM,10:09 PM,07:20 AM,06:12 PM,9,9,11,9,32,56,89,0.9,1019,17,10,186,16,Columbus(OH)
2018-02-20,23,15,0.0,10.1,5,32,10:01 AM,11:13 PM,07:18 AM,06:14 PM,14,18,19,18,32,39,77,0.0,1020,23,10,200,19,Columbus(OH)
2018-02-21,18,4,0.0,7.0,3,40,10:34 AM,No moonset,07:17 AM,06:15 PM,9,10,12,10,23,76,84,4.7,1027,18,8,179,16,Columbus(OH)
2018-02-22,8,3,0.0,5.5,2,47,11:12 AM,12:18 AM,07:16 AM,06:16 PM,2,2,5,2,22,99,80,8.8,1032,8,9,62,16,Columbus(OH)
2018-02-23,15,6,0.0,5.5,3,55,11:54 AM,01:25 AM,07:14 AM,06:17 PM,9,9,11,9,19,94,93,3.4,1024,15,6,210,11,Columbus(OH)
2018-02-24,10,7,0.0,5.5,2,62,12:42 PM,02:31 AM,07:13 AM,06:18 PM,7,6,8,6,18,95,89,9.1,1019,10,8,59,13,Columbus(OH)
2018-02-25,15,7,0.0,5.5,3,70,01:39 PM,03:35 AM,07:11 AM,06:19 PM,5,9,11,9,28,92,67,13.8,1014,15,9,246,20,Columbus(OH)
2018-02-26,11,3,0.0,11.1,3,77,02:42 PM,04:35 AM,07:10 AM,06:20 PM,-4,7,8,7,8,15,46,0.0,1026,11,10,284,6,Columbus(OH)
2018-02-27,14,4,0.0,11.1,3,85,03:50 PM,05:30 AM,07:08 AM,06:21 PM,-3,8,9,8,16,13,43,0.0,1026,14,10,182,10,Columbus(OH)
2018-02-28,15,9,0.0,7.1,3,93,05:01 PM,06:17 AM,07:07 AM,06:23 PM,7,10,12,10,20,72,73,0.0,1014,15,10,198,13,Columbus(OH)
2018-03-01,12,2,0.0,5.6,2,96,06:12 PM,06:59 AM,07:05 AM,06:24 PM,7,6,9,6,26,100,88,18.7,1007,12,7,203,19,Columbus(OH)
2018-03-02,5,1,0.0,8.6,1,100,07:22 PM,07:37 AM,07:04 AM,06:25 PM,-3,-2,2,-2,23,53,69,0.1,1026,5,10,335,18,Columbus(OH)
2018-03-03,5,-1,0.0,11.2,2,89,08:29 PM,08:11 AM,07:02 AM,06:26 PM,-6,-2,2,-2,17,2,59,0.0,1033,5,10,140,12,Columbus(OH)
2018-03-04,7,-2,0.0,11.3,2,82,09:34 PM,08:43 AM,07:01 AM,06:27 PM,-8,-1,2,-1,16,2,49,0.0,1032,7,10,38,11,Columbus(OH)
