date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,7,5,0.0,2.7,2,97,03:35 PM,07:27 AM,08:39 AM,03:48 PM,4,2,6,2,46,93,86,0.9,992,7,8,222,29,Copenhagen
2018-01-02,5,4,0.0,4.7,1,100,04:40 PM,08:33 AM,08:38 AM,03:49 PM,3,1,5,1,31,64,91,0.0,1001,5,10,235,20,Copenhagen
2018-01-03,5,4,0.0,2.7,1,89,05:57 PM,09:26 AM,08:38 AM,03:51 PM,3,-0,4,-0,38,88,89,2.1,985,5,10,157,26,Copenhagen
2018-01-04,4,3,0.0,2.7,1,81,07:19 PM,10:07 AM,08:38 AM,03:52 PM,1,1,4,1,19,76,85,0.3,986,4,10,225,13,Copenhagen
2018-01-05,4,2,0.0,4.7,1,74,08:41 PM,10:38 AM,08:37 AM,03:53 PM,1,0,3,0,17,76,88,1.5,990,4,10,184,12,Copenhagen
2018-01-06,3,1,0.8,2.7,1,67,10:02 PM,11:04 AM,08:37 AM,03:55 PM,-1,-1,2,-1,20,69,80,1.0,1007,3,9,276,14,Copenhagen
2018-01-07,2,0,0.0,7.2,2,59,11:19 PM,11:25 AM,08:36 AM,03:56 PM,-5,-1,2,-1,19,1,60,0.0,1030,2,10,176,14,Copenhagen
2018-01-08,2,1,0.0,7.2,2,52,No moonrise,11:45 AM,08:35 AM,03:58 PM,-0,-0,3,-0,17,3,81,0.0,1035,2,10,219,11,Copenhagen
2018-01-09,5,2,0.0,7.2,2,45,12:33 AM,12:03 PM,08:35 AM,03:59 PM,-1,-2,3,-2,53,13,73,0.0,1026,5,10,113,34,Copenhagen
2018-01-10,4,3,0.0,2.9,1,38,01:45 AM,12:23 PM,08:34 AM,04:01 PM,1,-1,3,-1,36,89,87,0.4,1014,4,9,121,24,Copenhagen
2018-01-11,4,3,0.0,2.9,1,30,02:55 AM,12:44 PM,08:33 AM,04:02 PM,2,-1,3,-1,26,99,89,1.3,1020,4,10,86,17,Copenhagen
2018-01-12,3,2,0.0,2.9,1,23,04:03 AM,01:09 PM,08:32 AM,04:04 PM,-0,-3,2,-3,37,97,82,0.0,1032,3,10,99,26,Copenhagen
2018-01-13,2,0,0.0,2.9,1,16,05:08 AM,01:39 PM,08:31 AM,04:06 PM,-2,-5,1,-5,38,91,78,0.1,1035,2,8,122,27,Copenhagen
2018-01-14,1,-1,0.0,2.9,1,9,06:08 AM,02:14 PM,08:30 AM,04:08 PM,-4,-6,0,-6,37,96,75,0.0,1031,1,10,141,27,Copenhagen
2018-01-15,2,-1,0.0,6.8,2,1,07:03 AM,02:58 PM,08:29 AM,04:09 PM,-3,-7,1,-7,58,62,79,0.0,1011,2,10,162,42,Copenhagen
2018-01-16,3,2,0.3,2.9,1,0,07:50 AM,03:49 PM,08:28 AM,04:11 PM,1,-3,3,-3,45,98,90,0.4,985,3,9,204,31,Copenhagen
2018-01-17,2,1,0.0,6.8,2,0,08:29 AM,04:47 PM,08:27 AM,04:13 PM,-0,-3,1,-3,27,72,87,0.0,989,2,10,247,18,Copenhagen
2018-01-18,2,1,0.4,3.0,1,6,09:03 AM,05:51 PM,08:25 AM,04:15 PM,0,-3,1,-3,25,80,90,0.4,992,2,8,131,16,Copenhagen
2018-01-19,2,0,0.1,3.0,1,13,09:30 AM,06:58 PM,08:24 AM,04:17 PM,0,-1,1,-1,12,92,92,0.1,1002,2,9,223,8,Copenhagen
2018-01-20,2,1,0.6,3.0,1,20,09:53 AM,08:07 PM,08:23 AM,04:19 PM,0,-2,2,-2,17,100,91,0.7,1004,2,10,187,11,Copenhagen
2018-01-21,1,-0,0.1,8.0,2,28,10:14 AM,09:19 PM,08:21 AM,04:21 PM,-1,-1,1,-1,9,44,87,0.1,1012,1,10,103,6,Copenhagen
2018-01-22,1,0,0.0,3.0,1,35,10:33 AM,10:32 PM,08:20 AM,04:23 PM,-1,-4,1,-4,30,90,85,0.0,1013,1,10,155,21,Copenhagen
2018-01-23,3,1,0.0,3.0,1,42,10:52 AM,11:47 PM,08:18 AM,04:25 PM,-0,-4,2,-4,35,89,87,0.0,1017,3,10,167,23,Copenhagen
2018-01-24,8,4,0.0,3.0,2,49,11:12 AM,No moonset,08:17 AM,04:27 PM,5,2,7,2,63,100,91,1.2,1006,8,8,214,34,Copenhagen
2018-01-25,6,5,0.0,3.1,2,57,11:34 AM,01:03 AM,08:15 AM,04:29 PM,3,1,5,1,41,80,84,0.2,1008,6,10,227,24,Copenhagen
2018-01-26,5,3,0.0,8.2,2,64,12:01 PM,02:22 AM,08:14 AM,04:31 PM,3,1,4,1,18,51,93,0.0,1017,5,8,241,10,Copenhagen
2018-01-27,5,3,0.0,5.0,2,71,12:34 PM,03:43 AM,08:12 AM,04:33 PM,2,-0,4,-0,30,74,90,0.1,1024,5,10,235,19,Copenhagen
