date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,26,17,0.0,11.6,6,97,08:03 PM,05:43 AM,06:16 AM,08:25 PM,14,21,21,21,13,47,67,1.2,1011,26,9,146,10,Cordoba
2018-01-02,31,17,0.0,11.6,6,100,09:04 PM,06:46 AM,06:16 AM,08:25 PM,9,24,24,24,11,4,42,0.1,1009,31,10,227,8,Cordoba
2018-01-03,34,18,0.0,11.6,7,89,10:00 PM,07:53 AM,06:17 AM,08:25 PM,9,25,25,26,15,9,35,0.0,1008,34,10,325,10,Cordoba
2018-01-04,37,21,0.0,11.6,7,81,10:48 PM,09:01 AM,06:18 AM,08:25 PM,8,29,29,29,31,1,27,0.0,1003,37,10,304,21,Cordoba
2018-01-05,27,20,0.0,11.6,6,74,11:31 PM,10:08 AM,06:19 AM,08:25 PM,12,25,25,24,33,14,47,0.2,1006,27,10,210,23,Cordoba
2018-01-06,29,15,0.0,11.6,6,67,No moonrise,11:12 AM,06:19 AM,08:25 PM,6,22,22,23,15,9,36,0.0,1016,29,10,121,10,Cordoba
2018-01-07,32,17,0.0,11.6,6,59,12:10 AM,12:13 PM,06:20 AM,08:25 PM,7,24,24,25,21,14,32,0.1,1016,32,10,184,14,Cordoba
2018-01-08,33,19,0.0,11.6,7,52,12:46 AM,01:11 PM,06:21 AM,08:25 PM,9,25,25,25,21,9,37,0.5,1016,33,10,147,15,Cordoba
2018-01-09,32,17,0.0,11.6,6,45,01:21 AM,02:07 PM,06:22 AM,08:25 PM,7,25,25,26,14,10,31,0.0,1014,32,10,151,10,Cordoba
2018-01-10,33,20,0.0,11.6,7,38,01:55 AM,03:03 PM,06:23 AM,08:25 PM,11,27,27,27,15,24,38,0.8,1012,33,10,114,10,Cordoba
2018-01-11,33,21,0.0,10.5,6,30,02:30 AM,03:57 PM,06:24 AM,08:25 PM,15,29,29,28,15,29,49,2.1,1011,33,10,146,10,Cordoba
2018-01-12,34,22,0.0,11.6,6,23,03:07 AM,04:50 PM,06:24 AM,08:25 PM,18,29,29,27,12,27,59,5.8,1007,34,9,122,8,Cordoba
2018-01-13,23,19,0.0,9.3,5,16,03:46 AM,05:43 PM,06:25 AM,08:25 PM,17,22,23,22,19,45,77,14.9,1008,23,9,229,12,Cordoba
2018-01-14,26,17,0.0,11.6,6,9,04:28 AM,06:33 PM,06:26 AM,08:25 PM,11,21,21,21,22,16,56,0.7,1012,26,10,176,16,Cordoba
2018-01-15,28,15,0.0,11.6,6,1,05:14 AM,07:22 PM,06:27 AM,08:25 PM,11,22,23,22,12,9,50,0.0,1012,28,10,118,9,Cordoba
