date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,26,23,0.0,11.2,6,97,06:31 PM,06:43 AM,07:35 AM,06:52 PM,13,26,26,25,49,13,50,0.0,1013,26,10,42,25,Dakar
2018-01-02,25,23,0.0,5.6,5,100,07:35 PM,07:48 AM,07:36 AM,06:52 PM,13,25,25,24,52,69,52,0.0,1013,25,10,41,26,Dakar
2018-01-03,25,22,0.0,5.6,5,89,08:39 PM,08:49 AM,07:36 AM,06:53 PM,13,25,25,24,45,83,52,0.0,1013,25,10,81,23,Dakar
2018-01-04,25,22,0.0,10.1,6,81,09:42 PM,09:46 AM,07:36 AM,06:53 PM,14,25,25,24,45,43,53,0.0,1015,25,10,32,23,Dakar
2018-01-05,24,23,0.0,11.2,6,74,10:41 PM,10:38 AM,07:37 AM,06:54 PM,15,25,25,23,49,14,59,0.0,1015,24,10,108,25,Dakar
2018-01-06,23,22,0.0,8.6,5,67,11:38 PM,11:26 AM,07:37 AM,06:55 PM,15,25,25,23,48,45,63,0.0,1014,23,10,15,29,Dakar
2018-01-07,22,21,0.0,11.2,6,59,No moonrise,12:10 PM,07:37 AM,06:55 PM,16,21,22,21,48,12,75,0.0,1014,22,10,100,34,Dakar
2018-01-08,22,21,0.0,11.2,6,52,12:30 AM,12:52 PM,07:37 AM,06:56 PM,16,21,23,21,38,0,73,0.0,1015,22,10,104,26,Dakar
2018-01-09,23,21,0.0,11.2,6,45,01:22 AM,01:33 PM,07:38 AM,06:56 PM,14,25,25,22,51,0,62,0.0,1016,23,10,30,31,Dakar
2018-01-10,23,21,0.0,11.2,6,38,02:11 AM,02:13 PM,07:38 AM,06:57 PM,14,25,25,22,48,0,59,0.0,1016,23,10,77,30,Dakar
