date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,3,0,0.0,8.7,2,97,04:03 PM,05:48 AM,07:12 AM,04:42 PM,-11,-2,2,-2,18,6,38,0.0,1028,3,10,98,14,Dalian
2018-01-02,-0,-3,0.0,8.7,2,100,05:06 PM,06:55 AM,07:13 AM,04:43 PM,-13,-8,-2,-8,31,11,41,0.0,1034,-0,10,146,25,Dalian
2018-01-03,-2,-4,0.0,8.7,2,89,06:14 PM,07:56 AM,07:13 AM,04:43 PM,-12,-9,-3,-9,32,15,48,0.0,1037,-2,10,179,26,Dalian
2018-01-04,-2,-5,0.0,5.2,1,81,07:25 PM,08:49 AM,07:13 AM,04:44 PM,-12,-11,-4,-11,31,46,52,0.0,1032,-2,10,223,25,Dalian
2018-01-05,1,-4,0.0,8.7,2,74,08:35 PM,09:35 AM,07:13 AM,04:45 PM,-11,-7,-1,-7,27,28,47,0.0,1026,1,10,331,21,Dalian
2018-01-06,1,-2,0.0,7.0,2,67,09:43 PM,10:14 AM,07:13 AM,04:46 PM,-11,-5,-0,-5,22,30,45,0.0,1027,1,10,305,17,Dalian
2018-01-07,1,-0,0.1,3.5,1,59,10:48 PM,10:49 AM,07:13 AM,04:47 PM,-10,-0,1,-0,7,93,43,0.1,1022,1,9,163,5,Dalian
2018-01-08,2,-2,0.1,5.2,1,52,11:50 PM,11:22 AM,07:13 AM,04:48 PM,-8,-6,-0,-6,34,72,59,0.4,1014,2,7,304,26,Dalian
2018-01-09,-0,-3,0.0,3.5,1,45,No moonrise,11:52 AM,07:12 AM,04:49 PM,-11,-9,-2,-9,37,60,49,0.3,1017,-0,9,318,29,Dalian
2018-01-10,-5,-7,0.0,3.5,1,38,12:50 AM,12:23 PM,07:12 AM,04:50 PM,-14,-15,-6,-15,40,92,53,0.3,1025,-5,6,343,33,Dalian
2018-01-11,-7,-10,0.0,8.7,2,30,01:49 AM,12:55 PM,07:12 AM,04:51 PM,-17,-17,-9,-17,33,35,52,0.1,1034,-7,8,259,28,Dalian
2018-01-12,1,-6,0.0,8.7,2,23,02:46 AM,01:29 PM,07:12 AM,04:52 PM,-11,-7,-1,-7,31,12,49,0.0,1030,1,10,280,22,Dalian
2018-01-13,3,0,0.0,8.7,2,16,03:42 AM,02:05 PM,07:12 AM,04:53 PM,-3,-0,3,-0,18,7,63,0.0,1029,3,10,205,13,Dalian
2018-01-14,4,2,0.0,7.0,2,9,04:36 AM,02:46 PM,07:11 AM,04:54 PM,-3,-2,3,-2,37,24,66,0.0,1022,4,10,237,24,Dalian
2018-01-15,2,-1,0.0,7.0,2,1,05:29 AM,03:31 PM,07:11 AM,04:55 PM,-10,-3,1,-3,19,31,44,0.0,1025,2,10,68,14,Dalian
2018-01-16,3,1,0.0,3.5,1,0,06:17 AM,04:19 PM,07:11 AM,04:56 PM,-4,-1,2,-1,15,63,65,0.0,1019,3,10,139,11,Dalian
2018-01-17,2,1,0.0,7.0,2,0,07:03 AM,05:11 PM,07:10 AM,04:57 PM,-4,-0,2,-0,12,20,66,0.0,1019,2,10,273,9,Dalian
2018-01-18,2,0,0.0,8.7,2,6,07:44 AM,06:06 PM,07:10 AM,04:58 PM,-6,-1,2,-1,13,30,54,0.0,1026,2,10,165,10,Dalian
2018-01-19,4,2,0.0,8.7,2,13,08:21 AM,07:03 PM,07:09 AM,05:00 PM,-3,-1,3,-1,22,14,65,0.0,1023,4,10,246,15,Dalian
2018-01-20,2,-0,0.0,8.7,2,20,08:56 AM,08:01 PM,07:09 AM,05:01 PM,-12,-4,1,-4,22,11,39,0.0,1025,2,10,67,16,Dalian
2018-01-21,-1,-3,0.2,3.7,1,28,09:29 AM,09:00 PM,07:08 AM,05:02 PM,-10,-8,-2,-8,27,77,57,0.2,1025,-1,9,63,21,Dalian
2018-01-22,-4,-11,0.0,7.0,2,35,09:59 AM,10:00 PM,07:08 AM,05:03 PM,-13,-17,-8,-17,38,57,70,2.6,1024,-4,8,13,32,Dalian
2018-01-23,-9,-12,0.1,5.4,1,42,10:30 AM,11:01 PM,07:07 AM,05:04 PM,-17,-17,-10,-17,23,76,57,0.3,1029,-9,9,216,18,Dalian
2018-01-24,-10,-12,0.0,7.0,2,49,11:02 AM,No moonset,07:07 AM,05:05 PM,-17,-18,-11,-18,20,52,58,0.0,1033,-10,10,69,16,Dalian
2018-01-25,-10,-13,0.0,8.7,2,57,11:36 AM,12:04 AM,07:06 AM,05:06 PM,-19,-21,-12,-21,31,34,54,0.0,1038,-10,10,58,25,Dalian
2018-01-26,-11,-14,0.0,8.7,2,64,12:13 PM,01:10 AM,07:05 AM,05:08 PM,-18,-21,-12,-21,28,6,59,0.0,1038,-11,10,225,22,Dalian
2018-01-27,-6,-10,0.1,8.7,2,71,12:56 PM,02:17 AM,07:04 AM,05:09 PM,-15,-13,-7,-13,17,40,56,0.1,1032,-6,9,255,13,Dalian
2018-01-28,-5,-8,0.1,7.1,2,78,01:46 PM,03:25 AM,07:04 AM,05:10 PM,-15,-13,-6,-13,25,50,51,0.1,1027,-5,9,243,19,Dalian
2018-01-29,-3,-6,0.0,8.7,2,86,02:43 PM,04:32 AM,07:03 AM,05:11 PM,-14,-12,-5,-12,32,23,46,0.0,1027,-3,10,314,22,Dalian
2018-01-30,1,-3,0.0,8.7,2,93,03:48 PM,05:36 AM,07:02 AM,05:12 PM,-9,-6,-1,-6,28,10,52,0.0,1025,1,10,293,18,Dalian
2018-01-31,-1,-4,0.0,8.7,2,97,04:58 PM,06:32 AM,07:01 AM,05:13 PM,-13,-4,-1,-4,12,2,40,0.0,1029,-1,10,90,9,Dalian
2018-02-01,1,-3,0.0,8.7,2,88,06:09 PM,07:22 AM,07:00 AM,05:15 PM,-7,-2,0,-2,10,8,56,0.0,1030,1,10,214,8,Dalian
2018-02-02,-1,-7,0.0,7.1,2,81,07:20 PM,08:06 AM,06:59 AM,05:16 PM,-13,-12,-5,-12,33,47,52,0.2,1034,-1,9,179,25,Dalian
2018-02-03,-7,-9,0.0,8.7,2,73,08:28 PM,08:44 AM,06:58 AM,05:17 PM,-17,-15,-8,-15,31,13,46,0.0,1036,-7,10,306,23,Dalian
2018-02-04,-5,-8,0.0,7.1,2,66,09:34 PM,09:19 AM,06:58 AM,05:18 PM,-15,-12,-7,-12,19,23,50,0.0,1033,-5,10,257,14,Dalian
2018-02-05,-8,-9,0.0,7.1,2,58,10:37 PM,09:52 AM,06:57 AM,05:19 PM,-17,-16,-8,-16,28,36,52,0.0,1033,-8,10,223,21,Dalian
2018-02-06,-6,-9,0.0,8.7,2,51,11:38 PM,10:23 AM,06:56 AM,05:20 PM,-16,-13,-7,-13,20,8,48,0.0,1030,-6,10,267,15,Dalian
2018-02-07,-4,-7,0.5,4.0,1,43,No moonrise,10:55 AM,06:54 AM,05:22 PM,-11,-11,-5,-11,18,65,64,0.6,1027,-4,8,61,13,Dalian
2018-02-08,-0,-8,0.0,7.1,2,36,12:37 AM,11:29 AM,06:53 AM,05:23 PM,-10,-7,-3,-7,20,23,55,0.0,1024,-0,10,192,14,Dalian
2018-02-09,2,-1,0.0,8.7,2,28,01:35 AM,12:05 PM,06:52 AM,05:24 PM,-5,-5,-0,-5,28,30,68,0.0,1020,2,10,249,18,Dalian
2018-02-10,-2,-6,0.0,8.7,2,20,02:30 AM,12:44 PM,06:51 AM,05:25 PM,-16,-11,-4,-11,37,8,40,0.0,1027,-2,10,322,27,Dalian
2018-02-11,-4,-5,0.0,7.1,2,13,03:23 AM,01:27 PM,06:50 AM,05:26 PM,-16,-12,-5,-12,39,34,39,0.0,1025,-4,10,303,28,Dalian
2018-02-12,-2,-6,0.0,8.7,2,5,04:13 AM,02:14 PM,06:49 AM,05:27 PM,-13,-9,-3,-9,28,3,45,0.0,1023,-2,10,295,20,Dalian
2018-02-13,2,-2,0.0,8.7,2,0,04:59 AM,03:05 PM,06:48 AM,05:28 PM,-6,-3,1,-3,28,4,60,0.0,1016,2,10,212,16,Dalian
2018-02-14,2,-2,0.0,8.7,2,0,05:42 AM,03:59 PM,06:47 AM,05:30 PM,-10,-6,-1,-6,35,30,49,0.0,1021,2,10,212,23,Dalian
2018-02-15,-1,-4,0.0,8.7,2,0,06:21 AM,04:55 PM,06:45 AM,05:31 PM,-14,-5,-1,-5,17,15,39,0.0,1026,-1,10,156,12,Dalian
2018-02-16,0,-3,0.0,8.7,2,2,06:57 AM,05:54 PM,06:44 AM,05:32 PM,-11,-6,-1,-6,28,8,48,0.0,1022,0,10,186,19,Dalian
2018-02-17,0,-4,0.0,8.7,2,10,07:31 AM,06:53 PM,06:43 AM,05:33 PM,-12,-4,-1,-4,14,24,44,0.0,1027,0,10,154,10,Dalian
2018-02-18,3,0,0.0,5.6,1,17,08:02 AM,07:54 PM,06:42 AM,05:34 PM,-2,-0,2,-0,11,55,78,0.0,1026,3,10,176,7,Dalian
2018-02-19,1,-1,0.0,7.2,2,25,08:33 AM,08:55 PM,06:40 AM,05:35 PM,-2,-2,0,-2,11,41,81,0.0,1026,1,10,58,7,Dalian
2018-02-20,1,-2,0.0,7.2,2,32,09:05 AM,09:58 PM,06:39 AM,05:36 PM,-12,-4,-0,-4,17,48,40,0.0,1028,1,10,99,12,Dalian
2018-02-21,2,-2,0.0,8.7,2,40,09:38 AM,11:01 PM,06:38 AM,05:37 PM,-9,-2,1,-2,18,4,49,0.0,1025,2,10,249,12,Dalian
2018-02-22,2,1,0.0,7.2,2,47,10:13 AM,No moonset,06:36 AM,05:39 PM,-3,-2,2,-2,23,23,70,0.0,1019,2,10,245,15,Dalian
2018-02-23,4,-1,0.0,8.7,2,55,10:53 AM,12:06 AM,06:35 AM,05:40 PM,-5,-2,2,-2,23,37,60,0.0,1021,4,10,119,15,Dalian
2018-02-24,-2,-4,0.0,8.7,2,62,11:38 AM,01:13 AM,06:34 AM,05:41 PM,-16,-8,-3,-8,22,38,34,0.0,1033,-2,10,180,18,Dalian
2018-02-25,0,-3,0.0,8.7,2,70,12:30 PM,02:18 AM,06:32 AM,05:42 PM,-9,-3,-0,-3,10,10,50,0.0,1027,0,10,243,8,Dalian
2018-02-26,4,0,0.0,8.7,2,77,01:30 PM,03:20 AM,06:31 AM,05:43 PM,-0,1,3,1,16,19,79,0.0,1021,4,10,137,10,Dalian
2018-02-27,3,0,0.0,8.7,2,85,02:35 PM,04:18 AM,06:29 AM,05:44 PM,-2,-2,2,-2,25,50,75,0.0,1023,3,10,53,16,Dalian
2018-02-28,5,2,0.0,8.7,2,93,03:45 PM,05:10 AM,06:28 AM,05:45 PM,1,-1,3,-1,29,68,86,0.7,1011,5,9,192,18,Dalian
2018-03-01,-1,-2,0.0,8.7,2,96,04:55 PM,05:56 AM,06:27 AM,05:46 PM,-13,-7,-1,-7,36,6,39,0.0,1019,-1,10,309,28,Dalian
2018-03-02,4,-1,0.0,8.7,2,100,06:05 PM,06:36 AM,06:25 AM,05:47 PM,-5,-3,2,-3,38,11,61,0.0,1014,4,10,185,25,Dalian
2018-03-03,6,3,0.0,5.7,2,89,07:13 PM,07:13 AM,06:24 AM,05:48 PM,3,1,4,1,27,52,88,0.0,1009,6,10,155,15,Dalian
2018-03-04,4,-0,0.0,4.2,1,82,08:18 PM,07:47 AM,06:22 AM,05:49 PM,-6,-4,2,-4,38,79,58,0.4,1020,4,9,18,26,Dalian
2018-03-05,1,-2,0.0,8.7,2,74,09:22 PM,08:19 AM,06:21 AM,05:50 PM,-12,-7,-0,-7,39,7,40,0.0,1028,1,10,90,29,Dalian
2018-03-06,1,-2,0.0,8.7,2,67,10:23 PM,08:52 AM,06:19 AM,05:51 PM,-12,-4,-0,-4,19,40,40,0.0,1034,1,10,78,14,Dalian
2018-03-07,2,0,0.2,4.3,1,60,11:23 PM,09:26 AM,06:18 AM,05:52 PM,-5,-2,1,-2,15,100,61,0.3,1029,2,9,108,11,Dalian
2018-03-08,-2,-4,0.0,8.7,2,53,No moonrise,10:01 AM,06:16 AM,05:53 PM,-11,-11,-3,-11,43,15,55,0.0,1030,-2,10,265,34,Dalian
2018-03-09,3,-3,0.0,7.2,2,45,12:20 AM,10:40 AM,06:15 AM,05:54 PM,-8,-4,1,-4,25,35,52,0.0,1025,3,10,252,17,Dalian
2018-03-10,5,2,0.0,8.7,2,38,01:15 AM,11:22 AM,06:13 AM,05:55 PM,-2,2,4,2,17,6,63,0.0,1024,5,10,107,12,Dalian
2018-03-11,4,2,0.0,8.7,2,31,02:06 AM,12:07 PM,06:12 AM,05:56 PM,-2,-0,3,-0,28,16,68,0.0,1024,4,10,116,17,Dalian
2018-03-12,10,4,0.0,8.7,3,24,02:54 AM,12:57 PM,06:10 AM,05:57 PM,1,3,7,3,43,6,68,0.0,1015,10,10,187,21,Dalian
2018-03-13,11,6,0.0,8.7,3,16,03:39 AM,01:50 PM,06:09 AM,05:58 PM,4,8,10,8,27,3,68,0.0,1012,11,10,171,13,Dalian
2018-03-14,12,8,0.0,8.7,3,9,04:19 AM,02:45 PM,06:07 AM,05:59 PM,6,9,11,9,27,1,73,0.0,1012,12,10,152,13,Dalian
2018-03-15,7,-1,0.0,11.6,2,2,04:56 AM,03:43 PM,06:06 AM,06:00 PM,-4,-4,2,-4,55,35,64,0.1,1023,7,10,7,38,Dalian
2018-03-16,3,-1,0.0,11.6,2,0,05:31 AM,04:43 PM,06:04 AM,06:01 PM,-10,-3,2,-3,26,5,41,0.0,1030,3,10,159,20,Dalian
2018-03-17,4,1,0.0,7.4,1,0,06:03 AM,05:44 PM,06:03 AM,06:02 PM,-5,2,4,2,10,57,52,0.0,1026,4,10,200,7,Dalian
2018-03-18,6,3,0.0,8.8,2,5,06:34 AM,06:46 PM,06:01 AM,06:03 PM,0,3,5,3,11,58,71,0.0,1023,6,10,62,7,Dalian
2018-03-19,7,2,0.0,10.3,1,13,07:06 AM,07:50 PM,06:00 AM,06:04 PM,-4,-0,5,-0,45,58,56,0.0,1022,7,10,180,27,Dalian
2018-03-20,4,1,0.0,11.8,2,20,07:39 AM,08:54 PM,05:58 AM,06:05 PM,-7,-1,3,-1,23,47,47,0.0,1026,4,10,74,16,Dalian
2018-03-21,5,2,0.0,11.8,1,27,08:14 AM,10:00 PM,05:56 AM,06:06 PM,-5,1,4,1,15,55,52,0.0,1021,5,10,161,10,Dalian
2018-03-22,7,2,0.0,12.5,2,34,08:52 AM,11:06 PM,05:55 AM,06:07 PM,-5,3,5,3,16,10,50,0.0,1016,7,10,268,10,Dalian
2018-03-23,8,4,0.0,12.6,3,42,09:36 AM,No moonset,05:53 AM,06:08 PM,-2,6,7,6,14,31,54,0.1,1017,8,10,154,8,Dalian
2018-03-24,11,6,0.0,12.6,3,49,10:25 AM,12:11 AM,05:52 AM,06:09 PM,2,10,11,10,15,0,53,0.0,1021,11,10,228,9,Dalian
2018-03-25,13,8,0.0,12.6,4,56,11:21 AM,01:14 AM,05:50 AM,06:10 PM,1,8,11,8,35,0,52,0.0,1020,13,10,227,17,Dalian
2018-03-26,12,9,0.0,12.6,4,63,12:23 PM,02:12 AM,05:49 AM,06:11 PM,4,9,11,9,31,7,63,0.0,1017,12,10,189,16,Dalian
2018-03-27,14,9,0.0,12.7,4,71,01:29 PM,03:04 AM,05:47 AM,06:12 PM,6,10,12,10,40,2,68,0.0,1011,14,10,180,19,Dalian
2018-03-28,12,10,0.0,11.9,4,78,02:37 PM,03:50 AM,05:46 AM,06:13 PM,6,9,11,9,25,32,70,0.0,1013,12,10,113,12,Dalian
2018-03-29,11,9,0.0,12.7,3,85,03:46 PM,04:31 AM,05:44 AM,06:14 PM,-3,8,10,8,31,12,39,0.0,1024,11,10,57,16,Dalian
2018-03-30,11,7,0.0,12.7,3,93,04:53 PM,05:09 AM,05:42 AM,06:15 PM,-2,8,10,8,20,5,42,0.0,1023,11,10,118,11,Dalian
