date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,10,7,0.0,8.7,3,97,04:11 PM,05:33 AM,06:39 AM,04:38 PM,4,5,8,5,33,36,74,0.1,1013,10,10,239,24,Damascus
2018-01-02,14,8,0.0,8.7,4,100,05:16 PM,06:38 AM,06:39 AM,04:38 PM,5,8,10,8,26,12,70,0.0,1016,14,10,258,17,Damascus
2018-01-03,13,7,0.0,7.1,3,89,06:24 PM,07:38 AM,06:39 AM,04:39 PM,6,9,10,9,14,32,79,0.0,1017,13,10,233,9,Damascus
2018-01-04,11,6,0.0,7.1,3,81,07:33 PM,08:31 AM,06:39 AM,04:40 PM,4,5,8,5,28,45,76,0.1,1012,11,10,221,21,Damascus
2018-01-05,8,6,0.0,5.4,2,74,08:39 PM,09:18 AM,06:39 AM,04:41 PM,4,4,7,4,26,68,80,0.5,1007,8,8,222,18,Damascus
2018-01-06,12,5,0.0,8.7,3,67,09:44 PM,09:59 AM,06:40 AM,04:42 PM,4,9,9,9,8,30,72,0.0,1017,12,10,149,5,Damascus
2018-01-07,13,5,0.0,8.7,3,59,10:45 PM,10:36 AM,06:40 AM,04:42 PM,3,11,11,11,4,2,61,0.0,1027,13,10,164,3,Damascus
2018-01-08,16,5,0.0,8.7,4,52,11:44 PM,11:10 AM,06:40 AM,04:43 PM,1,12,12,12,6,0,48,0.0,1028,16,10,236,4,Damascus
2018-01-09,17,7,0.0,8.7,4,45,No moonrise,11:44 AM,06:40 AM,04:44 PM,1,12,12,12,7,9,48,0.0,1026,17,10,238,4,Damascus
2018-01-10,14,7,0.0,8.7,4,38,12:41 AM,12:17 PM,06:40 AM,04:45 PM,5,12,12,12,8,10,66,0.0,1023,14,10,123,6,Damascus
2018-01-11,15,8,0.0,8.7,4,30,01:37 AM,12:52 PM,06:39 AM,04:46 PM,-1,10,11,10,13,10,43,0.0,1018,15,10,140,8,Damascus
2018-01-12,17,9,0.0,8.7,4,23,02:31 AM,01:28 PM,06:39 AM,04:47 PM,0,11,12,11,14,1,46,0.0,1019,17,10,217,9,Damascus
2018-01-13,13,7,0.0,8.7,3,16,03:26 AM,02:07 PM,06:39 AM,04:48 PM,-0,9,10,9,16,0,50,0.0,1017,13,10,72,10,Damascus
2018-01-14,13,8,0.0,8.7,3,9,04:18 AM,02:50 PM,06:39 AM,04:49 PM,2,7,10,7,26,13,62,0.0,1014,13,10,249,18,Damascus
2018-01-15,14,7,0.0,8.7,3,1,05:09 AM,03:36 PM,06:39 AM,04:50 PM,3,8,9,8,19,9,67,0.0,1022,14,10,264,13,Damascus
2018-01-16,13,6,0.0,8.7,3,0,05:57 AM,04:25 PM,06:39 AM,04:50 PM,2,8,10,8,13,9,63,0.0,1023,13,10,248,9,Damascus
2018-01-17,12,6,0.0,8.7,3,0,06:41 AM,05:17 PM,06:38 AM,04:51 PM,3,6,9,6,21,11,69,0.0,1016,12,10,242,14,Damascus
2018-01-18,10,7,0.0,3.8,2,6,07:24 AM,06:11 PM,06:38 AM,04:52 PM,5,5,9,5,45,69,78,1.2,1008,10,10,221,32,Damascus
2018-01-19,8,4,0.0,8.7,3,13,08:02 AM,07:06 PM,06:38 AM,04:53 PM,-1,1,6,1,41,13,63,0.2,1008,8,10,274,31,Damascus
2018-01-20,13,3,0.0,8.7,3,20,08:38 AM,08:02 PM,06:37 AM,04:54 PM,-0,7,8,7,10,3,56,0.0,1022,13,10,212,6,Damascus
2018-01-21,11,5,0.0,3.8,2,28,09:13 AM,08:58 PM,06:37 AM,04:55 PM,1,8,9,8,10,94,58,0.0,1019,11,10,54,6,Damascus
2018-01-22,14,6,0.0,8.7,3,35,09:46 AM,09:56 PM,06:37 AM,04:56 PM,1,9,10,9,20,6,55,0.0,1011,14,10,179,15,Damascus
2018-01-23,12,7,0.0,8.7,3,42,10:19 AM,10:55 PM,06:36 AM,04:57 PM,5,6,9,6,31,46,72,0.6,1010,12,9,234,23,Damascus
2018-01-24,10,7,0.0,5.5,3,49,10:54 AM,11:56 PM,06:36 AM,04:58 PM,5,6,8,6,20,65,80,0.1,1014,10,10,230,14,Damascus
2018-01-25,10,6,0.0,3.8,2,57,11:32 AM,No moonset,06:35 AM,04:59 PM,4,4,8,4,30,65,80,0.2,1011,10,9,222,23,Damascus
