date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,25,0.0,10.2,7,97,04:45 PM,04:34 AM,05:49 AM,05:33 PM,22,29,29,26,11,46,80,0.0,1007,28,10,151,8,Davao
2018-01-02,29,24,0.0,11.6,7,100,05:49 PM,05:38 AM,05:50 AM,05:33 PM,23,30,30,27,7,19,80,0.0,1007,29,10,174,5,Davao
2018-01-03,30,24,0.0,11.6,7,89,06:53 PM,06:41 AM,05:50 AM,05:34 PM,22,30,30,27,8,18,74,0.1,1009,30,10,205,5,Davao
2018-01-04,30,24,0.0,11.6,7,81,07:55 PM,07:42 AM,05:51 AM,05:34 PM,23,30,30,27,12,19,76,0.2,1010,30,10,105,9,Davao
2018-01-05,30,24,0.0,11.6,7,74,08:53 PM,08:38 AM,05:51 AM,05:35 PM,22,30,30,27,9,19,74,0.0,1009,30,10,158,7,Davao
2018-01-06,29,24,0.0,11.6,7,67,09:48 PM,09:30 AM,05:51 AM,05:35 PM,22,29,29,26,12,23,77,0.6,1010,29,10,147,9,Davao
2018-01-07,30,24,0.0,11.6,7,59,10:39 PM,10:18 AM,05:52 AM,05:36 PM,21,30,30,27,8,14,72,0.0,1011,30,10,175,5,Davao
2018-01-08,28,24,0.0,10.2,7,52,11:28 PM,11:04 AM,05:52 AM,05:37 PM,21,28,28,26,14,27,76,0.1,1011,28,10,141,10,Davao
2018-01-09,28,24,0.0,11.6,7,45,No moonrise,11:47 AM,05:53 AM,05:37 PM,22,28,28,26,22,33,80,3.1,1011,28,10,183,16,Davao
2018-01-10,30,24,0.0,11.6,7,38,12:16 AM,12:30 PM,05:53 AM,05:37 PM,22,29,29,27,13,22,77,0.7,1010,30,10,148,10,Davao
2018-01-11,30,24,0.0,11.6,7,30,01:03 AM,01:13 PM,05:53 AM,05:38 PM,22,30,30,27,9,11,74,0.0,1010,30,10,157,7,Davao
2018-01-12,30,24,0.0,11.6,7,23,01:50 AM,01:56 PM,05:53 AM,05:38 PM,22,30,30,27,13,22,75,0.8,1010,30,10,153,9,Davao
2018-01-13,29,24,0.0,11.6,7,16,02:36 AM,02:41 PM,05:54 AM,05:39 PM,22,29,29,26,19,27,78,0.0,1009,29,10,140,13,Davao
2018-01-14,27,24,0.0,10.2,6,9,03:25 AM,03:27 PM,05:54 AM,05:39 PM,22,28,28,25,16,53,85,2.4,1009,27,10,223,11,Davao
2018-01-15,26,24,0.0,7.3,5,1,04:12 AM,04:14 PM,05:54 AM,05:40 PM,22,27,27,25,15,68,85,1.7,1009,26,9,263,11,Davao
2018-01-16,27,24,0.0,10.2,7,0,05:01 AM,05:02 PM,05:55 AM,05:40 PM,22,28,28,25,9,51,80,0.6,1008,27,9,174,6,Davao
2018-01-17,28,24,0.0,11.6,7,0,05:48 AM,05:51 PM,05:55 AM,05:41 PM,21,29,29,26,7,35,75,0.4,1008,28,10,186,5,Davao
2018-01-18,29,23,0.0,11.6,7,6,06:35 AM,06:39 PM,05:55 AM,05:41 PM,21,28,28,26,11,33,75,0.0,1010,29,10,150,8,Davao
2018-01-19,30,24,0.0,11.6,7,13,07:20 AM,07:27 PM,05:55 AM,05:42 PM,22,30,30,27,12,18,75,0.7,1009,30,10,154,9,Davao
2018-01-20,29,24,0.0,11.6,7,20,08:04 AM,08:14 PM,05:55 AM,05:42 PM,22,30,30,27,13,20,79,0.0,1008,29,10,144,10,Davao
2018-01-21,29,24,0.0,11.6,7,28,08:48 AM,09:02 PM,05:56 AM,05:42 PM,22,29,29,26,19,39,79,0.1,1008,29,10,222,14,Davao
2018-01-22,26,24,0.0,8.8,6,35,09:31 AM,09:49 PM,05:56 AM,05:43 PM,22,27,27,25,18,47,82,0.1,1008,26,10,225,12,Davao
2018-01-23,29,23,0.0,11.6,7,42,10:14 AM,10:37 PM,05:56 AM,05:43 PM,21,29,29,26,14,41,75,0.1,1008,29,10,185,10,Davao
