date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,11,0.0,8.7,5,97,05:01 PM,06:02 AM,07:14 AM,05:36 PM,3,21,21,21,4,0,32,0.0,1014,21,10,307,4,Delhi
2018-01-02,20,10,0.0,8.7,4,100,06:05 PM,07:07 AM,07:14 AM,05:36 PM,6,20,20,20,5,0,40,0.0,1015,20,10,276,4,Delhi
2018-01-03,21,10,0.0,8.7,4,89,07:12 PM,08:08 AM,07:15 AM,05:37 PM,6,20,20,20,7,0,44,0.0,1015,21,10,302,6,Delhi
2018-01-04,21,10,0.0,8.7,4,81,08:18 PM,09:03 AM,07:15 AM,05:38 PM,5,20,20,20,5,0,37,0.0,1015,21,10,206,4,Delhi
2018-01-05,21,11,0.0,8.7,4,74,09:24 PM,09:53 AM,07:15 AM,05:38 PM,5,19,19,19,4,2,39,0.0,1014,21,10,161,3,Delhi
2018-01-06,21,11,0.0,8.7,4,67,10:26 PM,10:36 AM,07:15 AM,05:39 PM,6,20,20,20,7,0,42,0.0,1013,21,10,320,6,Delhi
2018-01-07,20,10,0.0,8.7,4,59,11:26 PM,11:16 AM,07:15 AM,05:40 PM,4,18,18,18,11,0,41,0.0,1014,20,10,292,9,Delhi
2018-01-08,21,9,0.0,8.7,4,52,No moonrise,11:53 AM,07:15 AM,05:41 PM,2,19,19,19,8,0,34,0.0,1016,21,10,296,7,Delhi
2018-01-09,21,10,0.0,8.7,4,45,12:22 AM,12:28 PM,07:15 AM,05:41 PM,3,19,19,19,8,0,35,0.0,1018,21,10,296,7,Delhi
2018-01-10,23,10,0.0,8.7,5,38,01:18 AM,01:04 PM,07:15 AM,05:42 PM,-0,18,18,18,14,4,29,0.0,1018,23,10,285,10,Delhi
2018-01-11,22,10,0.0,8.7,5,30,02:11 AM,01:40 PM,07:16 AM,05:43 PM,-0,18,18,18,15,4,29,0.0,1016,22,10,285,11,Delhi
