date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,30,20,0.0,8.7,6,97,05:34 PM,05:30 AM,06:10 AM,05:46 PM,18,26,26,24,7,30,70,1.9,1012,30,10,176,4,Denver-Aurora(CO)
2018-01-02,29,21,0.0,8.7,6,100,06:38 PM,06:33 AM,06:11 AM,05:46 PM,20,26,26,24,7,39,80,11.1,1011,29,9,179,4,Denver-Aurora(CO)
2018-01-03,32,21,0.0,8.7,6,89,07:41 PM,07:35 AM,06:11 AM,05:47 PM,19,27,27,25,6,36,73,1.6,1010,32,10,159,4,Denver-Aurora(CO)
2018-01-04,30,21,0.0,8.7,6,81,08:41 PM,08:32 AM,06:11 AM,05:47 PM,20,27,27,25,6,32,76,0.0,1012,30,10,188,4,Denver-Aurora(CO)
2018-01-05,30,21,0.0,8.7,6,74,09:39 PM,09:26 AM,06:12 AM,05:48 PM,19,27,27,25,7,29,73,1.5,1013,30,10,177,4,Denver-Aurora(CO)
2018-01-06,33,21,0.0,8.7,7,67,10:32 PM,10:15 AM,06:12 AM,05:48 PM,17,27,27,25,8,16,61,0.0,1012,33,10,159,4,Denver-Aurora(CO)
2018-01-07,33,20,0.0,8.7,6,59,11:23 PM,11:01 AM,06:12 AM,05:49 PM,14,26,26,25,8,4,54,0.0,1011,33,10,153,5,Denver-Aurora(CO)
2018-01-08,32,20,0.0,8.7,6,52,No moonrise,11:44 AM,06:13 AM,05:49 PM,16,26,26,25,8,16,59,0.0,1010,32,10,175,5,Denver-Aurora(CO)
2018-01-09,30,21,0.0,8.7,6,45,12:12 AM,12:26 PM,06:13 AM,05:50 PM,18,27,27,24,7,38,70,7.0,1011,30,9,171,4,Denver-Aurora(CO)
2018-01-10,29,20,0.0,8.7,5,38,01:00 AM,01:08 PM,06:13 AM,05:50 PM,20,26,26,24,6,51,80,10.7,1011,29,9,169,4,Denver-Aurora(CO)
2018-01-11,31,20,0.0,8.7,6,30,01:48 AM,01:51 PM,06:14 AM,05:51 PM,19,26,26,25,8,36,72,0.5,1011,31,10,171,4,Denver-Aurora(CO)
2018-01-12,31,20,0.0,8.7,6,23,02:35 AM,02:34 PM,06:14 AM,05:51 PM,18,27,27,25,7,24,67,1.3,1011,31,10,178,4,Denver-Aurora(CO)
2018-01-13,31,21,0.0,8.7,6,16,03:23 AM,03:19 PM,06:14 AM,05:52 PM,18,27,27,25,7,28,67,0.8,1011,31,10,168,4,Denver-Aurora(CO)
2018-01-14,32,21,0.0,8.7,6,9,04:11 AM,04:06 PM,06:14 AM,05:52 PM,18,27,27,25,7,30,68,2.5,1011,32,10,127,4,Denver-Aurora(CO)
2018-01-15,34,21,0.0,8.7,7,1,04:59 AM,04:53 PM,06:15 AM,05:53 PM,17,27,27,26,9,18,60,0.1,1010,34,10,96,5,Denver-Aurora(CO)
2018-01-16,32,21,0.0,8.7,7,0,05:47 AM,05:42 PM,06:15 AM,05:53 PM,16,27,27,25,9,14,59,0.0,1011,32,10,132,5,Denver-Aurora(CO)
2018-01-17,34,21,0.0,8.7,7,0,06:34 AM,06:30 PM,06:15 AM,05:54 PM,16,27,27,26,9,23,56,0.2,1012,34,10,125,5,Denver-Aurora(CO)
2018-01-18,32,21,0.0,8.7,7,6,07:20 AM,07:20 PM,06:15 AM,05:54 PM,17,27,27,25,8,22,61,0.1,1011,32,10,170,4,Denver-Aurora(CO)
2018-01-19,33,21,0.0,8.7,7,13,08:04 AM,08:08 PM,06:15 AM,05:55 PM,18,28,28,26,11,21,62,3.7,1011,33,10,106,6,Denver-Aurora(CO)
2018-01-20,33,22,0.0,8.7,7,20,08:47 AM,08:56 PM,06:15 AM,05:55 PM,16,28,28,26,14,8,55,0.0,1010,33,10,105,9,Denver-Aurora(CO)
