date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-12,-16,0.1,5.2,2,97,05:07 PM,07:15 AM,08:01 AM,05:11 PM,-16,-21,-14,-21,21,66,85,0.1,1035,-12,10,279,14,Detroit(MI)
2018-01-02,-12,-16,0.1,5.2,2,100,06:14 PM,08:18 AM,08:01 AM,05:12 PM,-15,-23,-14,-23,29,56,89,0.1,1032,-12,10,234,20,Detroit(MI)
2018-01-03,-9,-16,0.3,3.4,1,89,07:25 PM,09:14 AM,08:01 AM,05:12 PM,-14,-20,-12,-20,27,62,86,0.4,1020,-9,9,230,18,Detroit(MI)
2018-01-04,-11,-17,0.0,3.4,1,81,08:37 PM,10:01 AM,08:01 AM,05:13 PM,-16,-22,-14,-22,25,55,84,0.0,1021,-11,10,326,16,Detroit(MI)
2018-01-05,-15,-19,0.0,6.9,2,74,09:49 PM,10:41 AM,08:01 AM,05:14 PM,-20,-26,-17,-26,26,41,80,0.0,1027,-15,10,305,17,Detroit(MI)
2018-01-06,-14,-17,0.0,8.7,2,67,10:57 PM,11:16 AM,08:01 AM,05:15 PM,-17,-21,-15,-21,13,41,84,0.0,1035,-14,9,294,9,Detroit(MI)
2018-01-07,-3,-16,0.5,5.2,1,59,No moonrise,11:48 AM,08:01 AM,05:16 PM,-12,-17,-10,-17,32,68,83,0.6,1027,-3,9,198,21,Detroit(MI)
2018-01-08,1,-2,2.1,5.2,1,52,12:02 AM,12:17 PM,08:01 AM,05:17 PM,-1,-5,0,-5,32,84,92,2.4,1015,1,9,235,20,Detroit(MI)
2018-01-09,0,-4,0.0,5.2,1,45,01:05 AM,12:45 PM,08:01 AM,05:18 PM,-2,-5,-2,-5,14,73,95,0.0,1026,0,6,217,9,Detroit(MI)
2018-01-10,6,-4,0.0,3.4,1,38,02:06 AM,01:15 PM,08:01 AM,05:20 PM,0,-3,1,-3,30,80,96,0.7,1020,6,4,168,15,Detroit(MI)
2018-01-11,10,6,0.0,3.5,2,30,03:06 AM,01:46 PM,08:00 AM,05:21 PM,8,5,8,5,46,95,95,0.6,1012,10,9,192,22,Detroit(MI)
2018-01-12,9,-8,0.0,3.5,1,23,04:04 AM,02:20 PM,08:00 AM,05:22 PM,-3,-7,-1,-7,36,100,85,2.9,1014,9,8,236,25,Detroit(MI)
2018-01-13,-9,-11,0.0,5.2,1,16,05:00 AM,02:58 PM,08:00 AM,05:23 PM,-15,-17,-10,-17,25,65,66,0.0,1032,-9,10,336,19,Detroit(MI)
