date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,36,25,0.0,11.6,7,97,05:54 PM,05:34 AM,06:28 AM,06:21 PM,21,32,32,29,9,6,65,0.1,1012,36,10,147,7,Douala
2018-01-02,36,25,0.0,11.6,7,100,06:58 PM,06:37 AM,06:28 AM,06:22 PM,21,32,32,29,9,7,62,0.0,1011,36,10,184,7,Douala
2018-01-03,36,24,0.0,11.6,7,89,08:01 PM,07:40 AM,06:29 AM,06:22 PM,21,31,31,29,8,5,63,0.0,1011,36,10,128,6,Douala
2018-01-04,35,25,0.0,11.6,7,81,09:01 PM,08:40 AM,06:29 AM,06:23 PM,20,31,31,29,7,6,63,0.0,1012,35,10,150,5,Douala
2018-01-05,31,25,0.0,11.6,7,74,09:57 PM,09:36 AM,06:29 AM,06:23 PM,21,30,30,28,10,15,69,2.0,1012,31,10,158,7,Douala
2018-01-06,33,24,0.0,11.6,7,67,10:49 PM,10:27 AM,06:30 AM,06:24 PM,20,30,30,28,8,13,65,0.0,1012,33,10,174,6,Douala
2018-01-07,33,24,0.0,11.6,7,59,11:39 PM,11:16 AM,06:30 AM,06:24 PM,20,30,30,28,9,16,64,0.0,1012,33,10,152,6,Douala
2018-01-08,35,25,0.0,11.6,7,52,No moonrise,12:01 PM,06:31 AM,06:25 PM,20,31,31,29,8,16,62,0.0,1013,35,10,191,6,Douala
2018-01-09,36,25,0.0,11.6,7,45,12:26 AM,12:45 PM,06:31 AM,06:25 PM,21,32,32,29,9,5,66,0.0,1013,36,10,151,7,Douala
2018-01-10,34,25,0.0,11.6,7,38,01:13 AM,01:29 PM,06:31 AM,06:26 PM,22,32,32,29,9,8,67,0.0,1012,34,10,206,7,Douala
2018-01-11,33,25,0.0,11.6,7,30,01:59 AM,02:13 PM,06:32 AM,06:26 PM,21,31,31,29,8,10,64,0.4,1012,33,10,249,6,Douala
2018-01-12,36,25,0.0,11.6,7,23,02:45 AM,02:57 PM,06:32 AM,06:27 PM,21,32,32,29,9,6,62,0.0,1012,36,10,196,6,Douala
