date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,23,19,0.0,8.7,6,97,05:09 PM,05:57 AM,07:04 AM,05:41 PM,10,23,25,23,7,0,45,0.0,1015,23,10,241,5,Dubai
2018-01-02,23,19,0.0,8.7,6,100,06:13 PM,07:02 AM,07:05 AM,05:41 PM,11,22,24,22,13,0,49,0.0,1013,23,10,220,9,Dubai
2018-01-03,22,20,0.0,8.7,6,89,07:20 PM,08:03 AM,07:05 AM,05:42 PM,13,21,23,21,26,12,60,0.0,1014,22,10,263,19,Dubai
2018-01-04,22,20,0.0,8.7,6,81,08:25 PM,08:59 AM,07:05 AM,05:43 PM,13,21,22,21,22,20,61,0.0,1016,22,10,255,16,Dubai
2018-01-05,22,19,0.0,8.7,6,74,09:29 PM,09:49 AM,07:05 AM,05:43 PM,12,21,22,21,18,3,58,0.0,1015,22,10,258,13,Dubai
2018-01-06,24,19,0.0,8.7,6,67,10:29 PM,10:34 AM,07:06 AM,05:44 PM,13,22,24,22,10,0,56,0.0,1014,24,10,238,8,Dubai
2018-01-07,25,20,0.0,8.7,6,59,11:28 PM,11:15 AM,07:06 AM,05:45 PM,11,23,23,22,24,0,50,0.0,1015,25,10,212,16,Dubai
2018-01-08,22,20,0.0,8.7,6,52,No moonrise,11:53 AM,07:06 AM,05:46 PM,12,21,22,21,28,11,58,2.4,1017,22,10,281,20,Dubai
2018-01-09,22,18,0.0,8.7,6,45,12:22 AM,12:30 PM,07:06 AM,05:46 PM,11,20,21,20,22,9,54,1.8,1019,22,10,79,16,Dubai
2018-01-10,22,19,0.0,8.7,6,38,01:17 AM,01:07 PM,07:06 AM,05:47 PM,8,21,22,21,27,8,45,0.0,1020,22,10,69,19,Dubai
2018-01-11,22,19,0.0,8.7,6,30,02:09 AM,01:44 PM,07:06 AM,05:48 PM,6,21,22,21,20,3,39,0.0,1022,22,10,11,14,Dubai
2018-01-12,23,20,0.0,8.7,6,23,03:01 AM,02:23 PM,07:06 AM,05:48 PM,7,21,22,21,17,0,39,0.0,1021,23,10,214,11,Dubai
2018-01-13,23,19,0.0,8.7,6,16,03:53 AM,03:04 PM,07:06 AM,05:49 PM,13,22,25,22,10,0,55,0.0,1018,23,10,269,8,Dubai
2018-01-14,23,19,0.0,8.7,6,9,04:43 AM,03:48 PM,07:06 AM,05:50 PM,15,22,24,22,8,5,67,0.0,1017,23,10,252,6,Dubai
2018-01-15,22,19,0.0,8.7,6,1,05:34 AM,04:34 PM,07:06 AM,05:51 PM,15,21,23,21,11,0,65,0.0,1017,22,10,241,8,Dubai
2018-01-16,24,20,0.0,8.7,6,0,06:21 AM,05:23 PM,07:06 AM,05:51 PM,13,22,23,22,30,0,58,0.0,1015,24,10,271,21,Dubai
2018-01-17,22,19,0.0,8.7,6,0,07:08 AM,06:13 PM,07:06 AM,05:52 PM,12,20,21,20,23,4,60,0.0,1014,22,10,246,16,Dubai
2018-01-18,21,18,0.0,8.7,5,6,07:51 AM,07:05 PM,07:06 AM,05:53 PM,11,20,21,20,17,3,57,0.0,1016,21,10,245,12,Dubai
2018-01-19,23,18,0.0,8.7,6,13,08:32 AM,07:58 PM,07:06 AM,05:54 PM,12,21,22,21,12,0,56,0.0,1017,23,10,111,9,Dubai
2018-01-20,23,19,0.0,8.7,6,20,09:11 AM,08:51 PM,07:06 AM,05:54 PM,12,22,23,22,12,1,55,0.0,1017,23,10,196,9,Dubai
2018-01-21,20,19,0.0,8.7,5,28,09:49 AM,09:44 PM,07:06 AM,05:55 PM,12,20,20,20,35,2,60,0.0,1017,20,10,277,26,Dubai
2018-01-22,22,18,0.0,8.7,6,35,10:25 AM,10:38 PM,07:05 AM,05:56 PM,11,21,22,21,13,0,53,0.0,1017,22,10,215,9,Dubai
2018-01-23,22,19,0.0,8.7,6,42,11:02 AM,11:33 PM,07:05 AM,05:57 PM,9,21,22,21,14,0,46,0.0,1016,22,10,176,10,Dubai
2018-01-24,22,18,0.0,8.7,6,49,11:41 AM,No moonset,07:05 AM,05:57 PM,12,21,23,21,11,0,58,0.0,1015,22,10,252,9,Dubai
2018-01-25,23,19,0.0,8.7,6,57,12:21 PM,12:30 AM,07:05 AM,05:58 PM,14,22,24,22,9,0,61,0.0,1015,23,10,266,8,Dubai
2018-01-26,24,19,0.0,8.7,6,64,01:06 PM,01:30 AM,07:04 AM,05:59 PM,15,23,25,23,7,0,60,0.0,1014,24,10,270,6,Dubai
2018-01-27,25,20,0.0,11.0,6,71,01:55 PM,02:31 AM,07:04 AM,06:00 PM,14,26,26,24,7,0,54,0.0,1013,25,10,270,5,Dubai
2018-01-28,24,21,0.0,11.0,6,78,02:49 PM,03:36 AM,07:04 AM,06:00 PM,15,23,24,23,19,1,61,0.0,1012,24,10,216,14,Dubai
2018-01-29,20,18,0.0,11.0,5,86,03:50 PM,04:40 AM,07:03 AM,06:01 PM,11,19,19,19,31,3,60,0.0,1016,20,10,280,23,Dubai
2018-01-30,20,18,0.0,11.0,5,93,04:54 PM,05:42 AM,07:03 AM,06:02 PM,11,19,19,19,26,19,59,0.0,1019,20,10,280,19,Dubai
2018-01-31,21,18,0.0,11.0,5,97,06:01 PM,06:41 AM,07:02 AM,06:02 PM,10,19,19,19,32,12,53,0.0,1020,21,10,292,24,Dubai
2018-02-01,22,19,0.0,11.0,6,88,07:07 PM,07:35 AM,07:02 AM,06:03 PM,10,20,21,20,18,12,52,0.0,1020,22,10,271,13,Dubai
