date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,8,6,0.0,6.8,3,97,04:05 PM,07:34 AM,08:40 AM,04:17 PM,3,2,7,2,55,21,75,0.1,997,8,10,268,38,Dublin
2018-01-02,10,5,0.0,4.8,2,100,05:12 PM,08:39 AM,08:40 AM,04:18 PM,5,4,8,4,53,80,80,3.4,998,10,10,227,36,Dublin
2018-01-03,9,7,0.0,4.8,3,89,06:26 PM,09:33 AM,08:40 AM,04:19 PM,3,3,8,3,68,58,72,0.2,993,9,10,264,47,Dublin
2018-01-04,11,6,0.0,6.8,2,81,07:47 PM,10:15 AM,08:39 AM,04:20 PM,4,3,7,3,42,79,81,3.4,991,11,10,233,31,Dublin
2018-01-05,6,4,0.0,4.9,3,74,09:07 PM,10:48 AM,08:39 AM,04:22 PM,2,3,5,3,20,66,79,0.8,992,6,10,243,14,Dublin
2018-01-06,7,6,0.0,4.9,2,67,10:24 PM,11:16 AM,08:39 AM,04:23 PM,2,2,6,2,42,53,74,0.7,1014,7,10,59,29,Dublin
2018-01-07,6,4,0.0,7.9,3,59,11:39 PM,11:40 AM,08:38 AM,04:24 PM,0,1,5,1,34,24,70,0.1,1029,6,10,80,23,Dublin
2018-01-08,5,4,0.0,7.9,2,52,No moonrise,12:01 PM,08:37 AM,04:26 PM,-1,-0,4,-0,34,26,70,0.0,1022,5,10,125,23,Dublin
2018-01-09,8,5,0.0,3.0,2,45,12:51 AM,12:22 PM,08:37 AM,04:27 PM,5,2,7,2,47,92,89,2.0,1002,8,10,158,33,Dublin
2018-01-10,7,5,0.0,7.9,3,38,02:00 AM,12:44 PM,08:36 AM,04:29 PM,4,4,6,4,16,24,83,0.0,1003,7,10,161,10,Dublin
2018-01-11,7,5,0.0,7.9,3,30,03:08 AM,01:08 PM,08:36 AM,04:30 PM,4,4,6,4,16,27,87,0.0,1020,7,10,163,10,Dublin
