date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-7,-26,0.0,7.8,2,97,04:32 PM,08:04 AM,08:50 AM,04:25 PM,-20,-24,-17,-24,25,11,78,0.0,1034,-7,10,208,12,Edmonton
2018-01-02,-2,-5,0.0,7.8,2,100,05:41 PM,09:07 AM,08:50 AM,04:26 PM,-6,-8,-4,-8,29,18,81,0.0,1026,-2,10,273,14,Edmonton
2018-01-03,-2,-4,0.0,7.8,2,89,06:58 PM,09:57 AM,08:50 AM,04:27 PM,-5,-6,-3,-6,21,16,81,0.0,1022,-2,10,268,10,Edmonton
2018-01-04,-1,-3,0.0,7.8,2,81,08:19 PM,10:35 AM,08:49 AM,04:29 PM,-5,-4,-2,-4,15,12,80,0.0,1019,-1,10,227,7,Edmonton
2018-01-05,-3,-6,0.0,6.8,2,74,09:39 PM,11:07 AM,08:49 AM,04:30 PM,-7,-9,-4,-9,22,17,83,0.0,1016,-3,10,155,11,Edmonton
2018-01-06,2,-2,0.0,7.8,2,67,10:56 PM,11:33 AM,08:49 AM,04:31 PM,-3,-4,-0,-4,28,45,79,0.0,1008,2,10,274,14,Edmonton
2018-01-07,-1,-4,0.0,7.9,2,59,No moonrise,11:55 AM,08:48 AM,04:33 PM,-5,-7,-2,-7,28,32,79,0.0,1011,-1,10,248,14,Edmonton
2018-01-08,-1,-6,0.0,7.9,2,52,12:09 AM,12:16 PM,08:48 AM,04:34 PM,-5,-7,-3,-7,17,49,87,0.0,1007,-1,10,161,9,Edmonton
2018-01-09,-6,-22,2.1,3.0,1,45,01:21 AM,12:37 PM,08:47 AM,04:36 PM,-16,-24,-15,-24,24,100,93,2.5,1015,-6,7,192,18,Edmonton
2018-01-10,-22,-26,0.1,3.0,1,38,02:30 AM,12:59 PM,08:46 AM,04:37 PM,-25,-32,-25,-32,14,100,93,0.1,1033,-22,6,325,10,Edmonton
2018-01-11,-24,-29,0.0,7.9,2,30,03:37 AM,01:24 PM,08:45 AM,04:39 PM,-28,-33,-27,-33,13,37,93,0.0,1039,-24,8,195,7,Edmonton
2018-01-12,-22,-29,0.0,8.0,2,23,04:42 AM,01:52 PM,08:45 AM,04:40 PM,-26,-33,-25,-33,17,19,91,0.0,1038,-22,10,163,9,Edmonton
2018-01-13,-1,-21,0.0,8.0,2,16,05:44 AM,02:24 PM,08:44 AM,04:42 PM,-11,-14,-9,-14,22,39,84,0.0,1026,-1,10,255,11,Edmonton
2018-01-14,-4,-18,0.0,6.8,2,9,06:41 AM,03:04 PM,08:43 AM,04:44 PM,-13,-16,-11,-16,16,44,88,0.0,1038,-4,10,104,9,Edmonton
2018-01-15,-9,-19,0.0,8.0,2,1,07:33 AM,03:50 PM,08:42 AM,04:45 PM,-16,-22,-14,-22,36,3,81,0.0,1038,-9,10,152,19,Edmonton
2018-01-16,-0,-11,0.0,8.1,2,0,08:18 AM,04:43 PM,08:41 AM,04:47 PM,-7,-7,-4,-7,18,2,80,0.0,1016,-0,10,197,9,Edmonton
2018-01-17,4,-1,0.0,6.8,2,0,08:56 AM,05:43 PM,08:40 AM,04:49 PM,-3,-3,1,-3,34,33,76,0.1,1011,4,10,230,16,Edmonton
2018-01-18,3,-0,0.0,6.8,2,6,09:29 AM,06:46 PM,08:39 AM,04:50 PM,-2,-2,1,-2,24,36,79,0.0,997,3,10,234,12,Edmonton
2018-01-19,1,-2,0.0,8.1,2,13,09:56 AM,07:52 PM,08:38 AM,04:52 PM,-4,-5,-1,-5,27,38,80,0.0,1000,1,10,267,13,Edmonton
2018-01-20,-3,-6,0.0,4.9,2,20,10:20 AM,09:01 PM,08:36 AM,04:54 PM,-5,-6,-5,-6,9,65,94,0.0,1010,-3,8,181,5,Edmonton
2018-01-21,-4,-7,0.0,8.2,2,28,10:42 AM,10:10 PM,08:35 AM,04:56 PM,-7,-10,-6,-10,21,48,90,0.0,1013,-4,9,107,12,Edmonton
2018-01-22,-3,-8,0.1,8.2,2,35,11:03 AM,11:22 PM,08:34 AM,04:58 PM,-7,-9,-5,-9,17,51,87,0.1,1012,-3,9,229,9,Edmonton
2018-01-23,-3,-6,0.0,8.7,2,42,11:24 AM,No moonset,08:33 AM,05:00 PM,-7,-9,-5,-9,19,26,81,0.0,1018,-3,10,219,9,Edmonton
2018-01-24,-5,-9,0.0,8.7,2,49,11:47 AM,12:35 AM,08:31 AM,05:02 PM,-8,-12,-7,-12,18,55,89,0.0,1011,-5,8,113,11,Edmonton
2018-01-25,-8,-9,2.4,3.3,1,57,12:12 PM,01:51 AM,08:30 AM,05:03 PM,-9,-13,-8,-13,13,100,95,2.8,1008,-8,5,134,10,Edmonton
2018-01-26,-9,-15,1.9,3.3,1,64,12:43 PM,03:08 AM,08:28 AM,05:05 PM,-13,-20,-12,-20,24,100,93,2.2,1020,-9,8,322,17,Edmonton
