date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,7,4,0.0,5.4,3,97,04:36 PM,05:58 AM,07:22 AM,05:19 PM,-2,2,5,2,25,43,58,0.0,1024,7,10,311,18,Fukuoka-Kitakyushu
2018-01-02,9,4,0.0,8.7,3,100,05:40 PM,07:04 AM,07:22 AM,05:20 PM,-3,4,6,4,17,1,53,0.0,1026,9,10,304,12,Fukuoka-Kitakyushu
2018-01-03,8,4,0.0,8.7,3,89,06:47 PM,08:06 AM,07:22 AM,05:20 PM,-2,3,6,3,22,16,55,0.0,1025,8,10,317,15,Fukuoka-Kitakyushu
2018-01-04,8,4,0.0,3.7,2,81,07:56 PM,09:00 AM,07:22 AM,05:21 PM,-3,5,6,5,8,61,55,0.0,1024,8,10,287,5,Fukuoka-Kitakyushu
2018-01-05,6,4,0.0,3.7,2,74,09:03 PM,09:49 AM,07:23 AM,05:22 PM,1,4,6,4,11,99,73,1.9,1018,6,10,225,7,Fukuoka-Kitakyushu
2018-01-06,8,5,0.0,8.7,3,67,10:08 PM,10:30 AM,07:23 AM,05:23 PM,-2,3,6,3,21,17,58,0.1,1019,8,10,305,14,Fukuoka-Kitakyushu
2018-01-07,9,4,0.0,8.7,3,59,11:11 PM,11:08 AM,07:23 AM,05:24 PM,0,5,7,5,13,61,64,0.0,1022,9,10,118,9,Fukuoka-Kitakyushu
2018-01-08,13,8,0.0,3.8,3,52,No moonrise,11:44 AM,07:23 AM,05:24 PM,9,9,11,9,24,99,92,5.0,1010,13,8,172,16,Fukuoka-Kitakyushu
2018-01-09,9,4,0.0,3.8,2,45,12:10 AM,12:17 PM,07:23 AM,05:25 PM,0,1,5,1,41,95,70,0.2,1012,9,10,277,31,Fukuoka-Kitakyushu
2018-01-10,5,2,0.0,3.8,1,38,01:08 AM,12:50 PM,07:23 AM,05:26 PM,-1,-1,4,-1,33,99,73,3.8,1016,5,10,273,25,Fukuoka-Kitakyushu
2018-01-11,1,-0,0.3,3.8,1,30,02:04 AM,01:24 PM,07:23 AM,05:27 PM,-5,-6,0,-6,32,100,67,0.7,1023,1,8,296,25,Fukuoka-Kitakyushu
2018-01-12,1,-1,0.9,3.8,1,23,02:59 AM,02:00 PM,07:22 AM,05:28 PM,-6,-5,-0,-5,26,93,65,1.1,1027,1,8,293,20,Fukuoka-Kitakyushu
2018-01-13,4,0,0.3,3.8,1,16,03:54 AM,02:38 PM,07:22 AM,05:29 PM,-3,-1,2,-1,22,88,65,0.3,1030,4,10,302,16,Fukuoka-Kitakyushu
2018-01-14,7,2,0.0,7.1,2,9,04:47 AM,03:20 PM,07:22 AM,05:30 PM,-1,4,5,4,9,49,64,0.0,1031,7,10,145,6,Fukuoka-Kitakyushu
2018-01-15,11,3,0.0,3.8,2,1,05:38 AM,04:05 PM,07:22 AM,05:31 PM,3,6,8,6,16,33,72,0.0,1026,11,10,194,10,Fukuoka-Kitakyushu
2018-01-16,14,7,0.0,7.1,4,0,06:27 AM,04:53 PM,07:22 AM,05:32 PM,7,10,11,10,16,41,80,0.3,1019,14,9,155,10,Fukuoka-Kitakyushu
2018-01-17,13,9,0.0,3.8,3,0,07:13 AM,05:44 PM,07:21 AM,05:33 PM,10,10,11,10,16,87,90,7.1,1013,13,9,252,11,Fukuoka-Kitakyushu
2018-01-18,11,7,0.0,3.8,3,6,07:55 AM,06:37 PM,07:21 AM,05:34 PM,6,8,9,8,12,53,79,0.1,1020,11,10,254,8,Fukuoka-Kitakyushu
2018-01-19,11,6,0.0,8.7,3,13,08:34 AM,07:33 PM,07:21 AM,05:35 PM,3,8,9,8,8,17,69,0.0,1021,11,10,171,5,Fukuoka-Kitakyushu
2018-01-20,10,6,0.0,8.7,3,20,09:11 AM,08:28 PM,07:20 AM,05:36 PM,2,8,9,8,10,13,60,0.0,1020,10,10,313,7,Fukuoka-Kitakyushu
2018-01-21,10,6,0.0,8.7,3,28,09:46 AM,09:25 PM,07:20 AM,05:36 PM,-0,7,8,7,12,16,58,0.0,1021,10,10,231,9,Fukuoka-Kitakyushu
2018-01-22,7,5,0.0,5.4,3,35,10:19 AM,10:22 PM,07:20 AM,05:37 PM,2,4,6,4,13,75,75,5.9,1015,7,10,150,9,Fukuoka-Kitakyushu
2018-01-23,8,2,0.0,3.8,1,42,10:52 AM,11:21 PM,07:19 AM,05:38 PM,-1,0,5,0,36,88,68,0.2,1017,8,10,277,26,Fukuoka-Kitakyushu
2018-01-24,1,-2,0.6,3.8,1,49,11:27 AM,No moonset,07:19 AM,05:39 PM,-6,-7,-1,-7,30,99,69,1.1,1022,1,7,306,25,Fukuoka-Kitakyushu
2018-01-25,1,-2,0.1,3.8,1,57,12:03 PM,12:21 AM,07:18 AM,05:40 PM,-6,-5,-0,-5,21,82,63,0.2,1022,1,10,305,16,Fukuoka-Kitakyushu
