date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,13,7,0.0,8.7,3,97,04:40 PM,05:31 AM,06:50 AM,05:23 PM,6,9,10,9,12,45,76,0.0,1024,13,10,40,9,Fuzhou
2018-01-02,16,9,0.0,5.6,3,100,05:44 PM,06:36 AM,06:50 AM,05:23 PM,10,12,13,12,9,78,83,0.0,1022,16,10,19,6,Fuzhou
2018-01-03,19,12,0.0,7.1,4,89,06:50 PM,07:38 AM,06:50 AM,05:24 PM,12,15,15,15,11,63,84,0.2,1021,19,10,122,8,Fuzhou
2018-01-04,15,12,0.0,4.0,3,81,07:56 PM,08:34 AM,06:51 AM,05:25 PM,12,13,14,13,7,89,88,0.0,1019,15,10,46,6,Fuzhou
2018-01-05,15,10,0.0,4.0,3,74,09:01 PM,09:26 AM,06:51 AM,05:26 PM,11,13,13,13,8,92,89,0.8,1019,15,9,85,6,Fuzhou
2018-01-06,10,8,0.0,4.0,2,67,10:02 PM,10:11 AM,06:51 AM,05:26 PM,9,9,9,9,10,100,94,10.3,1020,10,6,81,7,Fuzhou
2018-01-07,14,9,0.0,4.0,3,59,11:01 PM,10:52 AM,06:51 AM,05:27 PM,12,13,12,13,6,99,97,6.5,1016,14,3,243,4,Fuzhou
2018-01-08,15,7,0.0,5.6,3,52,11:57 PM,11:30 AM,06:51 AM,05:28 PM,12,12,13,12,8,86,95,2.6,1017,15,4,280,5,Fuzhou
2018-01-09,11,4,0.0,8.7,3,45,No moonrise,12:07 PM,06:51 AM,05:28 PM,3,7,8,7,7,9,69,0.0,1026,11,10,276,6,Fuzhou
2018-01-10,12,2,0.0,8.7,3,38,12:51 AM,12:43 PM,06:52 AM,05:29 PM,-0,8,8,8,8,4,57,0.0,1028,12,10,317,6,Fuzhou
2018-01-11,11,2,0.0,8.7,3,30,01:45 AM,01:20 PM,06:52 AM,05:30 PM,0,7,8,7,8,2,61,0.0,1030,11,10,183,7,Fuzhou
2018-01-12,10,2,0.0,8.7,3,23,02:36 AM,01:59 PM,06:52 AM,05:31 PM,1,6,7,6,9,5,67,0.0,1031,10,10,115,7,Fuzhou
