date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,5,3,0.0,2.7,1,97,03:44 PM,07:39 AM,08:47 AM,03:54 PM,2,1,4,1,23,84,88,0.2,990,5,10,246,13,Glasgow
2018-01-02,5,2,0.0,4.7,1,100,04:50 PM,08:44 AM,08:47 AM,03:55 PM,2,1,4,1,22,74,90,0.4,994,5,9,195,13,Glasgow
2018-01-03,6,3,0.0,2.7,2,89,06:07 PM,09:37 AM,08:47 AM,03:57 PM,3,1,5,1,30,68,87,1.5,983,6,9,230,18,Glasgow
2018-01-04,4,3,0.0,2.7,1,81,07:29 PM,10:16 AM,08:46 AM,03:58 PM,3,2,4,2,12,91,94,1.4,988,4,6,203,8,Glasgow
2018-01-05,3,1,0.0,2.7,1,74,08:52 PM,10:47 AM,08:46 AM,03:59 PM,1,1,3,1,10,75,93,0.6,992,3,7,74,7,Glasgow
2018-01-06,2,-1,0.0,7.6,2,67,10:12 PM,11:12 AM,08:45 AM,04:01 PM,-2,-3,1,-3,25,5,81,0.0,1018,2,10,29,15,Glasgow
2018-01-07,1,-2,0.0,7.6,2,59,11:30 PM,11:34 AM,08:44 AM,04:02 PM,-3,-0,1,-0,6,11,77,0.0,1032,1,10,62,4,Glasgow
2018-01-08,0,-3,0.0,7.6,2,52,No moonrise,11:53 AM,08:44 AM,04:04 PM,-4,-3,-0,-3,14,5,78,0.0,1025,0,10,76,9,Glasgow
2018-01-09,2,-2,0.0,2.9,1,45,12:44 AM,12:11 PM,08:43 AM,04:05 PM,-0,-3,1,-3,20,65,93,0.0,1005,2,9,76,12,Glasgow
2018-01-10,3,-0,0.0,6.8,1,38,01:56 AM,12:30 PM,08:42 AM,04:07 PM,1,1,2,1,9,58,93,1.3,1003,3,8,50,5,Glasgow
2018-01-11,3,-0,0.0,6.8,2,30,03:06 AM,12:52 PM,08:41 AM,04:09 PM,-0,1,2,1,9,39,87,0.0,1020,3,10,170,4,Glasgow
2018-01-12,4,-0,0.0,4.8,1,23,04:14 AM,01:17 PM,08:40 AM,04:10 PM,1,-0,2,-0,17,68,93,0.1,1022,4,7,104,9,Glasgow
2018-01-13,4,2,0.0,2.9,1,16,05:19 AM,01:47 PM,08:39 AM,04:12 PM,2,0,3,0,19,100,90,1.9,1015,4,10,120,12,Glasgow
2018-01-14,7,4,0.0,2.9,2,9,06:19 AM,02:22 PM,08:38 AM,04:14 PM,4,1,6,1,43,97,87,5.0,1008,7,9,187,28,Glasgow
2018-01-15,8,2,0.5,7.8,2,1,07:13 AM,03:06 PM,08:37 AM,04:16 PM,2,1,5,1,31,62,84,1.7,987,8,10,252,21,Glasgow
2018-01-16,2,-0,1.6,2.9,1,0,08:00 AM,03:58 PM,08:36 AM,04:17 PM,-3,-4,1,-4,32,84,75,3.2,982,2,7,258,20,Glasgow
2018-01-17,3,0,0.5,7.8,2,0,08:40 AM,04:56 PM,08:35 AM,04:19 PM,-2,-2,2,-2,31,63,73,0.8,993,3,9,260,19,Glasgow
2018-01-18,3,-0,0.0,3.0,1,6,09:12 AM,06:00 PM,08:34 AM,04:21 PM,-0,-2,1,-2,17,87,90,0.1,994,3,8,241,9,Glasgow
2018-01-19,2,-2,1.4,3.0,1,13,09:39 AM,07:08 PM,08:32 AM,04:23 PM,-2,-3,1,-3,23,82,86,1.7,999,2,9,239,12,Glasgow
2018-01-20,1,-3,0.0,7.9,2,20,10:02 AM,08:18 PM,08:31 AM,04:25 PM,-2,-2,0,-2,12,24,86,0.0,1002,1,10,291,6,Glasgow
2018-01-21,3,-2,0.1,3.0,1,28,10:22 AM,09:30 PM,08:30 AM,04:27 PM,-1,-2,0,-2,15,82,89,1.2,1005,3,8,130,9,Glasgow
2018-01-22,6,4,0.0,3.0,1,35,10:41 AM,10:42 PM,08:28 AM,04:29 PM,4,1,5,1,33,84,92,0.5,1004,6,10,245,18,Glasgow
2018-01-23,10,5,0.0,3.0,2,42,11:00 AM,11:58 PM,08:27 AM,04:31 PM,6,4,7,4,38,81,90,2.2,1000,10,9,210,23,Glasgow
2018-01-24,9,4,0.0,3.0,2,49,11:20 AM,No moonset,08:25 AM,04:33 PM,3,2,6,2,48,80,82,12.1,988,9,9,219,31,Glasgow
2018-01-25,6,2,0.0,4.9,1,57,11:42 AM,01:15 AM,08:23 AM,04:35 PM,2,1,4,1,21,58,87,0.1,997,6,10,147,13,Glasgow
2018-01-26,5,1,0.0,8.2,2,64,12:09 PM,02:34 AM,08:22 AM,04:37 PM,2,2,4,2,12,29,88,0.3,1017,5,8,198,7,Glasgow
2018-01-27,9,5,0.0,3.1,2,71,12:43 PM,03:54 AM,08:20 AM,04:40 PM,5,3,7,3,44,94,86,2.8,1012,9,9,229,28,Glasgow
2018-01-28,11,5,0.0,3.1,2,78,01:27 PM,05:12 AM,08:18 AM,04:42 PM,6,5,8,5,45,84,87,2.1,1016,11,9,242,28,Glasgow
2018-01-29,10,3,0.0,8.3,3,86,02:24 PM,06:22 AM,08:17 AM,04:44 PM,3,2,6,2,33,47,82,4.8,1019,10,10,268,21,Glasgow
2018-01-30,5,4,0.0,3.1,1,93,03:35 PM,07:21 AM,08:15 AM,04:46 PM,2,0,5,0,36,96,86,4.9,1018,5,9,227,23,Glasgow
2018-01-31,6,1,0.3,8.4,1,97,04:55 PM,08:08 AM,08:13 AM,04:48 PM,-0,-2,3,-2,34,57,80,1.9,994,6,10,262,21,Glasgow
2018-02-01,5,1,0.0,8.4,2,88,06:19 PM,08:44 AM,08:11 AM,04:50 PM,-1,-1,3,-1,33,24,75,0.0,1003,5,10,305,19,Glasgow
2018-02-02,5,1,0.0,8.4,2,81,07:44 PM,09:12 AM,08:09 AM,04:53 PM,1,1,3,1,14,32,87,0.0,1012,5,10,282,8,Glasgow
2018-02-03,5,2,0.0,5.0,1,73,09:05 PM,09:36 AM,08:07 AM,04:55 PM,2,1,3,1,13,86,91,1.4,1008,5,8,292,8,Glasgow
2018-02-04,5,0,0.0,8.5,2,66,10:24 PM,09:57 AM,08:06 AM,04:57 PM,1,2,2,2,7,36,90,0.0,1029,5,10,53,4,Glasgow
2018-02-05,3,-1,0.1,5.0,1,58,11:39 PM,10:16 AM,08:04 AM,04:59 PM,-1,-1,1,-1,14,56,88,0.1,1028,3,10,174,9,Glasgow
