date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,26,11,0.0,10.9,5,97,06:20 PM,06:52 AM,07:30 AM,06:24 PM,6,18,18,18,6,15,49,0.1,1019,26,10,156,4,Guadalajara
2018-01-02,24,12,0.0,10.9,5,100,07:25 PM,07:56 AM,07:31 AM,06:25 PM,8,18,18,18,6,19,54,0.0,1018,24,10,166,4,Guadalajara
2018-01-03,25,12,0.0,11.0,5,89,08:30 PM,08:56 AM,07:31 AM,06:26 PM,9,18,19,18,5,20,57,0.0,1017,25,10,181,4,Guadalajara
2018-01-04,25,12,0.0,11.0,5,81,09:34 PM,09:50 AM,07:31 AM,06:26 PM,9,19,19,19,6,24,54,0.0,1018,25,10,196,4,Guadalajara
2018-01-05,25,12,0.0,11.0,5,74,10:34 PM,10:39 AM,07:31 AM,06:27 PM,9,19,19,19,6,8,56,0.0,1019,25,10,240,4,Guadalajara
2018-01-06,27,11,0.0,11.0,5,67,11:32 PM,11:24 AM,07:32 AM,06:28 PM,6,19,19,19,6,3,44,0.0,1019,27,10,118,4,Guadalajara
2018-01-07,26,11,0.0,11.0,5,59,No moonrise,12:05 PM,07:32 AM,06:28 PM,5,21,20,21,5,1,38,0.0,1017,26,10,181,4,Guadalajara
2018-01-08,27,11,0.0,11.0,5,52,12:26 AM,12:45 PM,07:32 AM,06:29 PM,5,21,20,21,5,0,40,0.0,1017,27,10,140,4,Guadalajara
2018-01-09,27,12,0.0,11.0,5,45,01:20 AM,01:23 PM,07:32 AM,06:29 PM,3,21,20,21,6,0,33,0.0,1017,27,10,146,5,Guadalajara
2018-01-10,26,11,0.0,11.0,5,38,02:11 AM,02:02 PM,07:32 AM,06:30 PM,8,19,19,19,8,3,49,0.0,1016,26,10,249,6,Guadalajara
2018-01-11,26,10,0.0,11.0,5,30,03:02 AM,02:41 PM,07:33 AM,06:31 PM,6,19,19,19,5,2,46,0.0,1015,26,10,273,4,Guadalajara
2018-01-12,25,10,0.0,11.0,5,23,03:52 AM,03:22 PM,07:33 AM,06:32 PM,-1,19,18,19,8,0,28,0.0,1018,25,10,55,6,Guadalajara
2018-01-13,27,10,0.0,11.0,5,16,04:42 AM,04:05 PM,07:33 AM,06:32 PM,-2,20,20,20,6,0,25,0.0,1019,27,10,79,4,Guadalajara
2018-01-14,24,9,0.0,11.0,4,9,05:32 AM,04:51 PM,07:33 AM,06:33 PM,-0,17,18,17,8,1,32,0.0,1021,24,10,112,6,Guadalajara
2018-01-15,26,9,0.0,11.0,5,1,06:21 AM,05:39 PM,07:33 AM,06:34 PM,-2,18,18,18,6,9,27,0.0,1019,26,10,132,4,Guadalajara
2018-01-16,27,10,0.0,11.0,5,0,07:09 AM,06:28 PM,07:33 AM,06:34 PM,-2,20,19,20,5,1,26,0.0,1019,27,10,182,3,Guadalajara
2018-01-17,26,9,0.0,11.0,5,0,07:54 AM,07:18 PM,07:33 AM,06:35 PM,3,18,18,18,7,2,39,0.0,1020,26,10,156,5,Guadalajara
2018-01-18,24,9,0.0,11.0,5,6,08:37 AM,08:09 PM,07:33 AM,06:36 PM,4,17,17,17,9,5,46,0.0,1019,24,10,185,6,Guadalajara
2018-01-19,24,10,0.0,11.0,5,13,09:19 AM,09:00 PM,07:33 AM,06:36 PM,6,18,17,18,7,6,54,0.0,1017,24,10,217,5,Guadalajara
