date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,14,0.0,8.7,5,97,05:11 PM,05:51 AM,07:08 AM,05:53 PM,6,19,20,19,6,10,42,0.0,1021,21,10,93,5,Guangzhou
2018-01-02,23,17,0.0,5.5,5,100,06:14 PM,06:56 AM,07:09 AM,05:54 PM,9,21,22,21,7,79,47,0.0,1020,23,10,86,5,Guangzhou
2018-01-03,25,20,0.0,8.7,6,89,07:21 PM,07:58 AM,07:09 AM,05:54 PM,12,25,25,23,6,60,49,0.0,1019,25,10,91,5,Guangzhou
2018-01-04,25,20,0.0,5.5,5,81,08:26 PM,08:55 AM,07:09 AM,05:55 PM,15,25,25,23,9,75,60,0.0,1017,25,10,124,7,Guangzhou
2018-01-05,21,15,0.0,3.9,4,74,09:30 PM,09:47 AM,07:09 AM,05:56 PM,12,18,19,18,12,94,65,0.0,1017,21,10,71,10,Guangzhou
2018-01-06,15,14,0.0,3.9,3,67,10:29 PM,10:33 AM,07:10 AM,05:56 PM,11,15,15,15,10,100,76,7.6,1016,15,9,43,8,Guangzhou
2018-01-07,19,16,0.0,3.9,4,59,11:27 PM,11:16 AM,07:10 AM,05:57 PM,15,18,18,18,7,100,84,0.0,1015,19,10,86,6,Guangzhou
2018-01-08,17,8,0.0,3.9,3,52,No moonrise,11:55 AM,07:10 AM,05:58 PM,8,10,12,10,23,99,76,1.2,1019,17,10,267,18,Guangzhou
2018-01-09,10,7,0.0,3.9,2,45,12:21 AM,12:33 PM,07:10 AM,05:58 PM,0,7,9,7,16,76,56,1.3,1025,10,9,53,13,Guangzhou
2018-01-10,15,9,0.0,8.7,4,38,01:15 AM,01:10 PM,07:10 AM,05:59 PM,-4,11,12,11,16,44,33,0.0,1027,15,10,9,12,Guangzhou
2018-01-11,17,9,0.0,10.9,4,30,02:07 AM,01:48 PM,07:10 AM,06:00 PM,-3,14,14,14,16,7,30,0.0,1028,17,10,18,14,Guangzhou
2018-01-12,16,8,0.0,10.9,4,23,02:58 AM,02:27 PM,07:10 AM,06:00 PM,-3,13,14,13,13,6,31,0.0,1028,16,10,21,11,Guangzhou
2018-01-13,17,9,0.0,10.9,4,16,03:49 AM,03:09 PM,07:10 AM,06:01 PM,-3,14,14,14,7,30,33,0.0,1026,17,10,79,6,Guangzhou
2018-01-14,19,13,0.0,10.1,5,9,04:40 AM,03:53 PM,07:10 AM,06:02 PM,0,16,16,16,6,46,35,0.0,1023,19,10,133,5,Guangzhou
2018-01-15,21,14,0.0,10.9,5,1,05:30 AM,04:39 PM,07:11 AM,06:02 PM,4,20,20,20,5,7,34,0.0,1019,21,10,101,4,Guangzhou
2018-01-16,23,15,0.0,10.9,5,0,06:18 AM,05:27 PM,07:10 AM,06:03 PM,10,21,22,21,5,6,51,0.0,1016,23,10,219,5,Guangzhou
2018-01-17,24,16,0.0,10.9,6,0,07:05 AM,06:17 PM,07:10 AM,06:04 PM,12,23,23,23,6,6,50,0.0,1015,24,10,220,5,Guangzhou
2018-01-18,25,18,0.0,10.9,6,6,07:49 AM,07:08 PM,07:10 AM,06:04 PM,15,25,26,25,5,9,52,0.0,1017,25,10,66,4,Guangzhou
2018-01-19,25,21,0.0,10.1,6,13,08:31 AM,08:00 PM,07:10 AM,06:05 PM,14,25,25,23,10,65,57,0.1,1018,25,10,117,8,Guangzhou
2018-01-20,24,19,0.0,5.5,5,20,09:11 AM,08:52 PM,07:10 AM,06:06 PM,15,22,24,22,7,77,64,0.0,1017,24,10,83,5,Guangzhou
2018-01-21,21,20,0.0,7.0,5,28,09:50 AM,09:45 PM,07:10 AM,06:07 PM,16,21,22,21,4,85,72,0.1,1015,21,10,110,3,Guangzhou
2018-01-22,25,18,0.0,11.0,6,35,10:27 AM,10:37 PM,07:10 AM,06:07 PM,15,22,23,22,9,42,66,0.6,1015,25,9,227,7,Guangzhou
2018-01-23,21,18,0.0,11.0,5,42,11:05 AM,11:32 PM,07:10 AM,06:08 PM,12,20,21,20,6,40,59,0.0,1016,21,10,38,5,Guangzhou
2018-01-24,21,18,0.0,10.1,5,49,11:44 AM,No moonset,07:10 AM,06:09 PM,13,20,20,20,8,67,65,0.2,1015,21,9,145,6,Guangzhou
2018-01-25,20,18,0.0,5.5,4,57,12:24 PM,12:27 AM,07:09 AM,06:09 PM,14,19,19,19,7,80,72,0.3,1015,20,9,109,6,Guangzhou
2018-01-26,19,13,0.0,10.1,5,64,01:09 PM,01:26 AM,07:09 AM,06:10 PM,8,15,16,15,15,68,59,0.2,1019,19,9,135,12,Guangzhou
2018-01-27,18,11,0.0,7.0,4,71,01:58 PM,02:26 AM,07:09 AM,06:11 PM,4,15,15,15,9,67,47,0.0,1019,18,10,38,8,Guangzhou
2018-01-28,15,8,0.0,5.5,3,78,02:52 PM,03:30 AM,07:09 AM,06:11 PM,5,10,12,10,19,100,64,0.9,1018,15,9,222,16,Guangzhou
2018-01-29,8,6,0.0,5.5,2,86,03:52 PM,04:33 AM,07:08 AM,06:12 PM,0,5,7,5,19,92,62,0.9,1023,8,7,142,16,Guangzhou
2018-01-30,6,5,0.0,5.5,2,93,04:56 PM,05:37 AM,07:08 AM,06:13 PM,0,3,6,3,13,100,68,3.5,1023,6,8,95,11,Guangzhou
2018-01-31,8,6,0.0,7.0,2,97,06:02 PM,06:36 AM,07:08 AM,06:13 PM,2,4,7,4,20,77,72,2.1,1025,8,8,177,15,Guangzhou
2018-02-01,13,4,0.0,11.1,3,88,07:07 PM,07:31 AM,07:07 AM,06:14 PM,-1,8,10,8,14,12,47,0.0,1024,13,10,63,11,Guangzhou
2018-02-02,10,8,0.0,5.5,2,81,08:11 PM,08:21 AM,07:07 AM,06:15 PM,-1,7,9,7,17,95,49,0.3,1027,10,9,99,13,Guangzhou
2018-02-03,14,7,0.0,11.1,4,73,09:12 PM,09:07 AM,07:06 AM,06:15 PM,-4,9,11,9,18,43,35,0.0,1028,14,10,19,15,Guangzhou
2018-02-04,13,7,0.0,10.1,3,66,10:09 PM,09:49 AM,07:06 AM,06:16 PM,-8,7,10,7,18,68,29,0.0,1028,13,10,14,15,Guangzhou
2018-02-05,13,5,0.0,11.1,3,58,11:05 PM,10:29 AM,07:05 AM,06:17 PM,-9,8,10,8,17,19,25,0.0,1028,13,10,10,15,Guangzhou
2018-02-06,16,5,0.0,11.1,4,51,11:59 PM,11:08 AM,07:05 AM,06:17 PM,-5,13,14,13,10,1,28,0.0,1025,16,10,19,9,Guangzhou
2018-02-07,13,9,0.0,8.6,3,43,No moonrise,11:46 AM,07:04 AM,06:18 PM,-6,11,12,11,9,52,29,0.0,1022,13,10,63,7,Guangzhou
2018-02-08,18,11,0.0,11.2,4,36,12:51 AM,12:25 PM,07:04 AM,06:19 PM,-5,14,15,14,9,34,26,0.0,1019,18,10,80,8,Guangzhou
2018-02-09,19,14,0.0,5.6,4,28,01:44 AM,01:07 PM,07:03 AM,06:19 PM,8,17,17,17,6,78,55,0.0,1017,19,10,119,5,Guangzhou
2018-02-10,20,15,0.0,7.1,4,20,02:34 AM,01:50 PM,07:03 AM,06:20 PM,9,17,17,17,14,86,62,0.0,1019,20,10,136,11,Guangzhou
2018-02-11,19,12,0.0,11.2,4,13,03:25 AM,02:35 PM,07:02 AM,06:20 PM,3,14,15,14,16,53,47,0.0,1024,19,10,97,13,Guangzhou
2018-02-12,19,11,0.0,11.2,4,5,04:13 AM,03:23 PM,07:02 AM,06:21 PM,-2,15,16,15,12,13,31,0.0,1028,19,10,60,10,Guangzhou
2018-02-13,21,12,0.0,11.2,5,0,05:01 AM,04:12 PM,07:01 AM,06:22 PM,-2,18,18,18,8,12,26,0.0,1024,21,10,111,7,Guangzhou
2018-02-14,24,15,0.0,10.1,5,0,05:46 AM,05:03 PM,07:00 AM,06:22 PM,10,20,21,20,11,19,51,0.0,1019,24,10,152,10,Guangzhou
2018-02-15,25,17,0.0,10.1,5,0,06:29 AM,05:55 PM,07:00 AM,06:23 PM,15,22,22,22,4,39,68,0.0,1017,25,10,195,4,Guangzhou
2018-02-16,27,19,0.0,10.2,6,2,07:10 AM,06:47 PM,06:59 AM,06:23 PM,17,26,26,25,5,25,63,0.0,1015,27,10,224,4,Guangzhou
2018-02-17,24,20,0.0,8.7,6,10,07:50 AM,07:41 PM,06:58 AM,06:24 PM,17,26,26,24,14,35,63,0.0,1016,24,10,102,12,Guangzhou
2018-02-18,23,20,0.0,5.8,5,17,08:28 AM,08:34 PM,06:58 AM,06:24 PM,16,22,23,22,8,83,73,0.1,1018,23,10,137,6,Guangzhou
2018-02-19,28,20,0.0,10.2,6,25,09:06 AM,09:28 PM,06:57 AM,06:25 PM,18,25,25,24,7,65,70,0.1,1016,28,10,146,5,Guangzhou
2018-02-20,29,22,0.0,10.2,6,32,09:44 AM,10:23 PM,06:56 AM,06:25 PM,19,27,27,25,9,42,70,0.0,1014,29,10,171,7,Guangzhou
2018-02-21,22,17,0.0,5.9,5,40,10:24 AM,11:20 PM,06:55 AM,06:26 PM,15,20,22,20,10,92,70,1.0,1016,22,9,96,8,Guangzhou
2018-02-22,15,11,0.0,5.9,3,47,11:07 AM,No moonset,06:55 AM,06:26 PM,8,12,13,12,15,100,71,1.8,1020,15,8,55,13,Guangzhou
2018-02-23,20,11,0.0,8.7,5,55,11:53 AM,12:18 AM,06:54 AM,06:27 PM,7,16,16,16,7,66,57,0.0,1021,20,10,127,6,Guangzhou
2018-02-24,20,16,0.0,5.9,4,62,12:43 PM,01:19 AM,06:53 AM,06:27 PM,12,18,18,18,5,91,64,1.0,1020,20,10,46,5,Guangzhou
2018-02-25,22,18,0.0,8.7,4,70,01:39 PM,02:20 AM,06:52 AM,06:28 PM,14,20,20,20,12,68,68,0.2,1019,22,10,141,10,Guangzhou
2018-02-26,23,15,0.0,11.6,5,77,02:38 PM,03:21 AM,06:51 AM,06:28 PM,9,20,21,20,8,20,50,0.0,1020,23,10,88,7,Guangzhou
2018-02-27,26,18,0.0,10.2,6,85,03:42 PM,04:20 AM,06:51 AM,06:29 PM,14,22,23,22,11,38,61,0.1,1017,26,10,160,9,Guangzhou
