date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,23,0.0,11.6,7,97,06:18 PM,05:39 AM,06:16 AM,06:30 PM,20,27,27,25,9,39,73,0.1,1015,29,10,200,7,Guayaquil
2018-01-02,32,23,0.0,11.6,7,100,07:22 PM,06:42 AM,06:16 AM,06:31 PM,20,29,29,27,10,29,67,0.0,1013,32,10,226,8,Guayaquil
2018-01-03,32,24,0.0,10.2,7,89,08:22 PM,07:45 AM,06:17 AM,06:31 PM,20,30,30,27,9,42,65,0.4,1012,32,10,279,7,Guayaquil
2018-01-04,33,23,0.0,11.6,7,81,09:20 PM,08:45 AM,06:17 AM,06:32 PM,21,30,30,28,8,40,68,0.0,1013,33,10,203,6,Guayaquil
2018-01-05,31,24,0.0,11.6,7,74,10:13 PM,09:42 AM,06:18 AM,06:32 PM,21,29,29,27,7,66,72,0.8,1015,31,10,207,5,Guayaquil
2018-01-06,32,23,0.0,11.6,7,67,11:03 PM,10:35 AM,06:18 AM,06:33 PM,20,30,30,27,10,30,67,0.0,1015,32,10,215,7,Guayaquil
2018-01-07,33,23,0.0,11.6,7,59,11:50 PM,11:25 AM,06:18 AM,06:33 PM,19,29,29,27,12,25,64,0.0,1014,33,10,222,9,Guayaquil
2018-01-08,33,23,0.0,11.6,7,52,No moonrise,12:12 PM,06:19 AM,06:33 PM,19,29,29,27,12,23,63,0.0,1013,33,10,227,9,Guayaquil
2018-01-09,32,23,0.0,11.6,7,45,12:35 AM,12:58 PM,06:19 AM,06:34 PM,20,29,29,27,9,40,66,0.3,1013,32,9,240,7,Guayaquil
2018-01-10,32,22,0.0,11.6,7,38,01:19 AM,01:43 PM,06:20 AM,06:34 PM,19,29,29,27,9,34,67,0.1,1014,32,10,211,7,Guayaquil
2018-01-11,32,22,0.0,11.6,7,30,02:03 AM,02:28 PM,06:20 AM,06:35 PM,19,28,28,26,11,32,68,0.0,1014,32,10,219,8,Guayaquil
2018-01-12,32,22,0.0,11.6,7,23,02:48 AM,03:15 PM,06:21 AM,06:35 PM,20,29,29,27,9,43,66,0.4,1014,32,9,225,7,Guayaquil
2018-01-13,33,23,0.0,11.6,7,16,03:34 AM,04:02 PM,06:21 AM,06:35 PM,19,29,29,27,11,38,65,0.9,1014,33,10,224,8,Guayaquil
2018-01-14,31,23,0.0,7.5,7,9,04:20 AM,04:49 PM,06:21 AM,06:36 PM,20,28,28,26,9,60,69,3.7,1014,31,9,221,7,Guayaquil
2018-01-15,28,22,0.0,8.8,6,1,05:08 AM,05:38 PM,06:22 AM,06:36 PM,20,27,27,25,7,63,78,4.2,1015,28,10,137,5,Guayaquil
2018-01-16,29,23,0.0,8.8,6,0,05:56 AM,06:25 PM,06:22 AM,06:36 PM,20,28,28,26,5,67,73,1.0,1014,29,10,169,4,Guayaquil
2018-01-17,30,22,0.0,10.2,7,0,06:44 AM,07:13 PM,06:23 AM,06:36 PM,21,28,28,26,7,57,75,2.6,1014,30,10,209,5,Guayaquil
2018-01-18,31,23,0.0,7.5,7,6,07:32 AM,07:59 PM,06:23 AM,06:37 PM,21,28,28,26,6,53,73,6.7,1014,31,10,274,4,Guayaquil
2018-01-19,29,23,0.0,11.6,7,13,08:18 AM,08:44 PM,06:23 AM,06:37 PM,21,28,28,26,7,50,78,4.6,1013,29,9,247,5,Guayaquil
2018-01-20,28,23,0.0,10.2,5,20,09:05 AM,09:29 PM,06:24 AM,06:37 PM,21,27,27,25,7,58,78,1.2,1012,28,9,273,5,Guayaquil
2018-01-21,30,23,0.0,8.8,7,28,09:50 AM,10:13 PM,06:24 AM,06:38 PM,21,28,28,26,5,48,77,2.0,1011,30,10,292,4,Guayaquil
2018-01-22,31,23,0.0,10.2,7,35,10:36 AM,10:58 PM,06:24 AM,06:38 PM,21,29,29,27,8,57,74,4.0,1010,31,10,250,6,Guayaquil
2018-01-23,31,23,0.0,10.2,7,42,11:23 AM,11:45 PM,06:25 AM,06:38 PM,21,29,29,27,7,54,73,3.0,1011,31,10,252,5,Guayaquil
2018-01-24,31,23,0.0,10.2,7,49,12:11 PM,No moonset,06:25 AM,06:38 PM,21,29,29,27,10,48,73,0.7,1011,31,10,263,7,Guayaquil
2018-01-25,31,24,0.0,11.6,7,57,01:03 PM,12:32 AM,06:25 AM,06:38 PM,21,29,29,27,8,53,72,1.0,1011,31,10,256,6,Guayaquil
2018-01-26,30,23,0.0,8.8,7,64,01:57 PM,01:24 AM,06:25 AM,06:38 PM,21,29,29,27,10,49,73,4.2,1011,30,10,242,7,Guayaquil
