date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,4,-1,0.0,7.0,1,97,04:50 PM,06:17 AM,07:41 AM,05:31 PM,-5,-0,2,-0,10,51,63,0.0,1028,4,10,228,7,Gwangju
2018-01-02,7,-2,0.0,8.7,2,100,05:53 PM,07:24 AM,07:41 AM,05:32 PM,-3,2,3,2,8,14,62,0.0,1029,7,10,138,6,Gwangju
2018-01-03,2,-3,0.0,8.7,2,89,07:01 PM,08:25 AM,07:41 AM,05:33 PM,-7,-4,-1,-4,15,27,61,0.0,1030,2,10,303,10,Gwangju
2018-01-04,1,-3,0.0,5.4,1,81,08:10 PM,09:19 AM,07:41 AM,05:34 PM,-10,-3,-1,-3,10,61,51,0.0,1027,1,10,182,7,Gwangju
2018-01-05,3,-1,0.0,7.0,2,74,09:18 PM,10:06 AM,07:42 AM,05:34 PM,-7,-2,0,-2,12,72,61,0.0,1021,3,10,294,9,Gwangju
2018-01-06,5,-2,0.0,8.7,2,67,10:24 PM,10:48 AM,07:42 AM,05:35 PM,-4,-1,1,-1,12,10,68,0.0,1023,5,10,344,9,Gwangju
2018-01-07,4,-2,0.0,5.4,2,59,11:27 PM,11:25 AM,07:42 AM,05:36 PM,-5,0,1,0,7,55,63,0.2,1022,4,9,73,4,Gwangju
2018-01-08,4,2,0.0,5.4,1,52,No moonrise,11:59 AM,07:42 AM,05:37 PM,1,1,3,1,13,93,87,2.2,1013,4,9,253,8,Gwangju
2018-01-09,2,-1,0.0,3.7,1,45,12:27 AM,12:32 PM,07:42 AM,05:38 PM,-5,-5,0,-5,30,90,70,0.0,1015,2,9,292,21,Gwangju
2018-01-10,0,-5,1.0,3.7,1,38,01:25 AM,01:05 PM,07:41 AM,05:39 PM,-5,-7,-2,-7,24,91,78,1.1,1018,0,9,301,17,Gwangju
2018-01-11,-4,-7,0.8,3.7,1,30,02:22 AM,01:39 PM,07:41 AM,05:40 PM,-8,-10,-5,-10,17,100,83,0.9,1026,-4,7,327,13,Gwangju
2018-01-12,-4,-10,0.3,3.8,1,23,03:18 AM,02:13 PM,07:41 AM,05:41 PM,-10,-11,-7,-11,11,81,85,0.3,1031,-4,9,148,8,Gwangju
2018-01-13,3,-10,0.0,8.7,2,16,04:12 AM,02:51 PM,07:41 AM,05:41 PM,-6,-4,-3,-4,6,49,82,0.0,1032,3,10,153,4,Gwangju
2018-01-14,5,-4,0.0,8.7,2,9,05:06 AM,03:33 PM,07:41 AM,05:42 PM,-2,-1,1,-1,11,36,83,0.0,1030,5,10,121,7,Gwangju
2018-01-15,9,2,0.0,8.7,2,1,05:57 AM,04:18 PM,07:41 AM,05:43 PM,3,4,5,4,8,29,84,0.0,1025,9,10,202,5,Gwangju
2018-01-16,6,1,0.0,3.8,1,0,06:46 AM,05:06 PM,07:40 AM,05:44 PM,3,3,5,3,10,78,92,5.3,1018,6,6,76,5,Gwangju
2018-01-17,7,3,0.0,7.1,2,0,07:32 AM,05:58 PM,07:40 AM,05:45 PM,3,4,5,4,8,66,90,0.2,1017,7,7,263,5,Gwangju
2018-01-18,8,1,0.0,8.7,2,6,08:14 AM,06:51 PM,07:40 AM,05:46 PM,1,3,5,3,10,41,80,0.0,1023,8,10,316,7,Gwangju
2018-01-19,6,-1,0.0,5.4,2,13,08:53 AM,07:47 PM,07:39 AM,05:47 PM,-6,1,3,1,10,26,58,0.0,1024,6,10,216,7,Gwangju
2018-01-20,7,-2,0.0,8.7,2,20,09:29 AM,08:43 PM,07:39 AM,05:48 PM,-5,1,3,1,9,12,56,0.0,1023,7,10,175,6,Gwangju
2018-01-21,8,-2,0.0,8.7,2,28,10:03 AM,09:41 PM,07:39 AM,05:49 PM,-6,2,3,2,7,50,56,0.0,1023,8,10,77,4,Gwangju
2018-01-22,8,2,0.0,7.1,1,35,10:36 AM,10:38 PM,07:38 AM,05:50 PM,-2,2,4,2,14,82,64,0.7,1017,8,8,148,9,Gwangju
2018-01-23,2,-7,0.2,3.8,1,42,11:09 AM,11:38 PM,07:38 AM,05:51 PM,-8,-9,-4,-9,25,93,69,0.2,1022,2,10,292,19,Gwangju
2018-01-24,-6,-11,0.2,7.1,2,49,11:42 AM,No moonset,07:37 AM,05:52 PM,-16,-14,-8,-14,18,67,56,0.2,1028,-6,9,184,14,Gwangju
2018-01-25,-6,-10,0.1,7.1,1,57,12:17 PM,12:39 AM,07:37 AM,05:53 PM,-15,-15,-8,-15,21,65,57,0.2,1029,-6,10,264,16,Gwangju
2018-01-26,-5,-9,0.2,5.4,1,64,12:57 PM,01:42 AM,07:36 AM,05:54 PM,-13,-15,-8,-15,26,72,66,0.2,1028,-5,8,343,20,Gwangju
2018-01-27,0,-10,0.0,8.7,2,71,01:42 PM,02:48 AM,07:35 AM,05:55 PM,-18,-8,-5,-8,9,21,40,0.0,1028,0,10,177,7,Gwangju
2018-01-28,1,-4,0.0,7.1,2,78,02:32 PM,03:55 AM,07:35 AM,05:56 PM,-12,-6,-2,-6,16,67,50,0.0,1023,1,10,207,12,Gwangju
2018-01-29,-2,-5,0.2,3.8,1,86,03:31 PM,05:01 AM,07:34 AM,05:57 PM,-9,-9,-4,-9,20,91,67,0.2,1023,-2,9,334,15,Gwangju
2018-01-30,0,-6,0.1,8.7,2,93,04:35 PM,06:04 AM,07:34 AM,05:58 PM,-9,-6,-3,-6,9,50,64,0.1,1027,0,9,181,7,Gwangju
2018-01-31,4,-3,0.0,7.1,2,97,05:43 PM,07:02 AM,07:33 AM,05:59 PM,-6,-1,0,-1,6,41,65,0.0,1028,4,10,227,4,Gwangju
2018-02-01,3,-3,0.0,10.7,2,88,06:53 PM,07:53 AM,07:32 AM,06:00 PM,-8,-2,0,-2,11,6,57,0.0,1028,3,10,179,8,Gwangju
2018-02-02,3,-5,0.0,10.0,2,81,08:02 PM,08:39 AM,07:31 AM,06:01 PM,-12,-4,-1,-4,12,22,44,0.0,1028,3,10,171,9,Gwangju
2018-02-03,-2,-5,0.1,5.4,1,73,09:09 PM,09:19 AM,07:31 AM,06:02 PM,-9,-8,-3,-8,24,84,65,0.2,1028,-2,8,327,18,Gwangju
2018-02-04,-4,-6,0.4,5.4,1,66,10:12 PM,09:56 AM,07:30 AM,06:03 PM,-10,-12,-5,-12,27,100,68,0.5,1028,-4,8,331,21,Gwangju
2018-02-05,-3,-7,0.3,5.4,1,58,11:13 PM,10:30 AM,07:29 AM,06:04 PM,-10,-10,-5,-10,17,96,72,0.4,1027,-3,9,292,13,Gwangju
2018-02-06,-5,-9,0.7,5.4,1,51,No moonrise,11:04 AM,07:28 AM,06:05 PM,-10,-11,-6,-11,16,99,78,0.8,1026,-5,7,256,12,Gwangju
2018-02-07,-1,-10,0.0,10.8,2,43,12:12 AM,11:38 AM,07:27 AM,06:06 PM,-10,-9,-5,-9,12,36,71,0.0,1026,-1,10,220,9,Gwangju
2018-02-08,5,-7,0.0,10.8,2,36,01:10 AM,12:13 PM,07:26 AM,06:07 PM,-11,-3,-1,-3,6,22,52,0.0,1024,5,10,87,4,Gwangju
