date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,11,3,0.0,8.7,3,97,04:28 PM,05:35 AM,06:56 AM,05:10 PM,2,10,10,10,7,2,59,0.0,1027,11,10,117,6,Hangzhou
2018-01-02,13,8,0.0,5.5,4,100,05:32 PM,06:41 AM,06:56 AM,05:11 PM,6,11,11,11,7,72,71,0.4,1025,13,9,156,5,Hangzhou
2018-01-03,10,5,0.0,4.0,2,89,06:39 PM,07:43 AM,06:56 AM,05:11 PM,6,6,8,6,18,100,87,6.2,1028,10,10,118,13,Hangzhou
2018-01-04,5,4,0.0,4.0,1,81,07:47 PM,08:38 AM,06:56 AM,05:12 PM,3,3,5,3,13,100,90,14.4,1025,5,9,116,9,Hangzhou
2018-01-05,5,2,0.0,5.5,1,74,08:52 PM,09:28 AM,06:57 AM,05:13 PM,2,2,4,2,11,73,84,0.3,1026,5,9,179,9,Hangzhou
2018-01-06,6,2,0.0,7.1,2,67,09:56 PM,10:11 AM,06:57 AM,05:14 PM,1,3,4,3,7,69,80,1.3,1024,6,8,86,6,Hangzhou
2018-01-07,8,4,0.0,4.0,2,59,10:56 PM,10:50 AM,06:57 AM,05:14 PM,4,5,6,5,9,90,87,0.9,1019,8,8,305,7,Hangzhou
2018-01-08,5,0,0.0,8.7,2,52,11:54 PM,11:27 AM,06:57 AM,05:15 PM,-1,0,4,0,19,33,72,0.3,1023,5,9,313,14,Hangzhou
2018-01-09,7,-0,0.0,8.7,2,45,No moonrise,12:02 PM,06:57 AM,05:16 PM,-4,3,5,3,12,1,53,0.0,1027,7,10,275,10,Hangzhou
2018-01-10,8,1,0.0,8.7,2,38,12:50 AM,12:36 PM,06:57 AM,05:17 PM,-3,3,5,3,14,1,55,0.0,1030,8,10,299,11,Hangzhou
2018-01-11,6,-0,0.0,8.7,2,30,01:45 AM,01:12 PM,06:57 AM,05:18 PM,-4,5,6,5,8,2,51,0.0,1033,6,10,332,6,Hangzhou
2018-01-12,5,-2,0.0,8.7,2,23,02:38 AM,01:49 PM,06:57 AM,05:19 PM,-8,3,5,3,7,0,42,0.0,1036,5,10,245,6,Hangzhou
2018-01-13,7,-1,0.0,5.6,2,16,03:32 AM,02:28 PM,06:57 AM,05:19 PM,-9,4,5,4,6,25,36,0.0,1033,7,10,131,5,Hangzhou
2018-01-14,12,1,0.0,8.7,3,9,04:24 AM,03:11 PM,06:57 AM,05:20 PM,-4,7,7,7,8,9,45,0.0,1027,12,10,184,5,Hangzhou
2018-01-15,15,4,0.0,8.7,3,1,05:15 AM,03:56 PM,06:57 AM,05:21 PM,4,12,12,12,6,6,63,0.0,1022,15,10,144,5,Hangzhou
2018-01-16,16,8,0.0,8.7,4,0,06:03 AM,04:45 PM,06:56 AM,05:22 PM,7,11,12,11,10,58,74,0.2,1017,16,9,254,7,Hangzhou
2018-01-17,12,7,0.0,8.7,3,0,06:49 AM,05:36 PM,06:56 AM,05:23 PM,6,10,11,10,6,39,74,0.0,1020,12,10,92,5,Hangzhou
2018-01-18,10,6,0.0,4.0,2,6,07:33 AM,06:28 PM,06:56 AM,05:24 PM,6,8,8,8,7,71,85,0.5,1023,10,9,37,6,Hangzhou
2018-01-19,10,7,0.0,4.0,2,13,08:13 AM,07:22 PM,06:56 AM,05:25 PM,6,8,8,8,6,96,86,0.0,1024,10,10,73,5,Hangzhou
2018-01-20,9,7,0.0,4.0,2,20,08:50 AM,08:16 PM,06:55 AM,05:25 PM,6,7,8,7,7,100,89,3.8,1023,9,9,85,5,Hangzhou
2018-01-21,8,6,0.0,4.0,2,28,09:27 AM,09:12 PM,06:55 AM,05:26 PM,6,7,8,7,8,100,93,10.5,1020,8,8,89,6,Hangzhou
2018-01-22,11,5,0.0,8.7,3,35,10:01 AM,10:07 PM,06:55 AM,05:27 PM,6,10,10,10,5,22,79,0.0,1020,11,10,175,4,Hangzhou
2018-01-23,7,4,0.0,4.0,2,42,10:36 AM,11:05 PM,06:55 AM,05:28 PM,4,5,7,5,10,65,82,0.2,1024,7,10,42,8,Hangzhou
2018-01-24,3,1,1.9,4.0,1,49,11:12 AM,No moonset,06:54 AM,05:29 PM,-2,-1,2,-1,16,100,72,2.3,1027,3,7,50,12,Hangzhou
2018-01-25,1,-0,7.6,4.0,1,57,11:50 AM,12:03 AM,06:54 AM,05:30 PM,-1,-3,1,-3,17,100,91,9.0,1028,1,6,36,12,Hangzhou
2018-01-26,1,-1,1.1,4.0,1,64,12:31 PM,01:05 AM,06:53 AM,05:31 PM,-3,-4,-0,-4,15,95,82,1.3,1032,1,9,26,11,Hangzhou
2018-01-27,-0,-2,1.3,4.0,1,71,01:18 PM,02:08 AM,06:53 AM,05:32 PM,-1,-2,-1,-2,7,100,93,6.2,1027,-0,5,134,5,Hangzhou
2018-01-28,2,-1,0.7,4.1,1,78,02:10 PM,03:13 AM,06:52 AM,05:33 PM,-1,-3,1,-3,14,96,92,1.4,1027,2,7,332,10,Hangzhou
2018-01-29,1,-5,0.0,8.7,2,86,03:09 PM,04:18 AM,06:52 AM,05:33 PM,-4,-3,-0,-3,9,8,79,0.0,1031,1,10,288,8,Hangzhou
2018-01-30,2,-5,0.0,7.2,2,93,04:13 PM,05:22 AM,06:51 AM,05:34 PM,-4,1,2,1,5,15,66,0.0,1030,2,10,140,4,Hangzhou
2018-01-31,1,-2,0.1,5.6,1,97,05:21 PM,06:20 AM,06:51 AM,05:35 PM,-4,-1,0,-1,6,63,74,0.2,1031,1,9,328,5,Hangzhou
2018-02-01,5,-3,0.0,8.7,2,88,06:29 PM,07:13 AM,06:50 AM,05:36 PM,-3,3,4,3,5,12,63,0.0,1031,5,10,164,4,Hangzhou
2018-02-02,7,-1,0.0,8.7,2,81,07:36 PM,08:00 AM,06:50 AM,05:37 PM,-3,2,3,2,10,23,65,0.0,1033,7,10,314,7,Hangzhou
2018-02-03,2,-2,0.0,8.7,2,73,08:39 PM,08:43 AM,06:49 AM,05:38 PM,-7,-3,-0,-3,14,20,61,0.0,1036,2,10,300,11,Hangzhou
2018-02-04,2,-3,0.0,8.7,2,66,09:41 PM,09:22 AM,06:48 AM,05:39 PM,-11,-2,1,-2,10,17,44,0.0,1035,2,10,257,8,Hangzhou
2018-02-05,5,-3,0.0,8.7,2,58,10:39 PM,09:59 AM,06:48 AM,05:39 PM,-8,3,4,3,6,3,42,0.0,1033,5,10,314,6,Hangzhou
2018-02-06,6,-1,0.0,8.7,2,51,11:36 PM,10:35 AM,06:47 AM,05:40 PM,-6,3,5,3,8,6,47,0.0,1030,6,10,179,6,Hangzhou
2018-02-07,8,-1,0.0,7.2,2,43,No moonrise,11:11 AM,06:46 AM,05:41 PM,-7,4,5,4,5,31,45,0.0,1026,8,10,183,4,Hangzhou
2018-02-08,9,0,0.0,8.7,2,36,12:31 AM,11:48 AM,06:45 AM,05:42 PM,-3,5,6,5,8,16,52,0.0,1025,9,10,131,5,Hangzhou
2018-02-09,10,1,0.0,4.1,2,28,01:25 AM,12:27 PM,06:45 AM,05:43 PM,1,6,7,6,6,68,68,1.0,1021,10,10,206,4,Hangzhou
2018-02-10,9,3,0.0,7.2,2,20,02:18 AM,01:08 PM,06:44 AM,05:44 PM,2,5,7,5,12,52,71,0.7,1026,9,9,250,9,Hangzhou
2018-02-11,10,1,0.0,8.7,3,13,03:09 AM,01:53 PM,06:43 AM,05:44 PM,-2,7,8,7,8,2,52,0.0,1030,10,10,266,6,Hangzhou
2018-02-12,10,1,0.0,8.7,2,5,03:59 AM,02:40 PM,06:42 AM,05:45 PM,-6,6,7,6,12,1,40,0.0,1031,10,10,314,10,Hangzhou
2018-02-13,14,1,0.0,8.7,3,0,04:46 AM,03:30 PM,06:41 AM,05:46 PM,-2,10,11,10,9,0,43,0.0,1025,14,10,190,7,Hangzhou
2018-02-14,19,5,0.0,8.7,4,0,05:30 AM,04:22 PM,06:41 AM,05:47 PM,3,13,14,13,8,25,51,0.0,1018,19,10,160,6,Hangzhou
2018-02-15,12,6,0.0,4.2,2,0,06:11 AM,05:16 PM,06:40 AM,05:48 PM,5,8,9,8,11,91,76,1.6,1020,12,9,74,8,Hangzhou
2018-02-16,8,4,0.0,4.2,2,2,06:50 AM,06:11 PM,06:39 AM,05:48 PM,4,6,6,6,7,89,87,3.3,1021,8,9,77,5,Hangzhou
2018-02-17,12,3,0.0,8.7,3,10,07:28 AM,07:07 PM,06:38 AM,05:49 PM,4,8,9,8,9,8,75,0.0,1023,12,10,90,8,Hangzhou
2018-02-18,11,5,0.0,4.2,2,17,08:03 AM,08:03 PM,06:37 AM,05:50 PM,6,8,9,8,8,75,84,0.8,1020,11,7,196,6,Hangzhou
2018-02-19,8,6,0.0,4.2,2,25,08:38 AM,09:00 PM,06:36 AM,05:51 PM,6,6,7,6,8,100,92,3.7,1021,8,8,57,6,Hangzhou
2018-02-20,8,5,0.0,4.2,2,32,09:14 AM,09:58 PM,06:35 AM,05:51 PM,5,5,6,5,11,100,89,7.4,1022,8,8,37,9,Hangzhou
2018-02-21,7,4,0.0,4.2,2,40,09:51 AM,10:58 PM,06:34 AM,05:52 PM,3,5,6,5,7,98,82,0.7,1025,7,8,62,6,Hangzhou
2018-02-22,10,5,0.0,5.7,2,47,10:30 AM,11:59 PM,06:33 AM,05:53 PM,3,7,8,7,4,48,75,0.0,1025,10,10,110,3,Hangzhou
2018-02-23,15,3,0.0,8.7,3,55,11:14 AM,No moonset,06:32 AM,05:54 PM,4,12,12,12,8,2,62,0.0,1023,15,10,159,6,Hangzhou
2018-02-24,11,6,0.0,5.7,2,62,12:02 PM,01:02 AM,06:31 AM,05:54 PM,6,9,10,9,7,65,78,5.2,1023,11,9,174,5,Hangzhou
2018-02-25,11,6,0.0,5.7,2,70,12:56 PM,02:04 AM,06:30 AM,05:55 PM,6,8,9,8,11,71,85,2.4,1026,11,9,144,8,Hangzhou
2018-02-26,15,5,0.0,7.2,3,77,01:56 PM,03:06 AM,06:29 AM,05:56 PM,7,12,12,12,7,23,75,0.0,1024,15,10,149,5,Hangzhou
2018-02-27,19,6,0.0,8.7,4,85,03:00 PM,04:05 AM,06:28 AM,05:57 PM,9,15,15,15,11,17,68,0.0,1017,19,10,155,8,Hangzhou
2018-02-28,15,10,0.0,5.7,3,93,04:06 PM,04:59 AM,06:27 AM,05:57 PM,10,13,14,13,16,42,77,0.4,1011,15,10,260,12,Hangzhou
2018-03-01,18,8,0.0,8.7,4,96,05:13 PM,05:48 AM,06:26 AM,05:58 PM,8,13,14,13,14,18,70,0.0,1017,18,10,122,11,Hangzhou
2018-03-02,13,7,0.0,4.3,2,100,06:18 PM,06:33 AM,06:25 AM,05:59 PM,7,9,10,9,9,76,81,3.8,1016,13,10,106,7,Hangzhou
2018-03-03,22,9,0.0,8.7,5,89,07:21 PM,07:14 AM,06:24 AM,05:59 PM,12,16,17,16,7,27,78,1.9,1011,22,10,183,5,Hangzhou
2018-03-04,30,14,0.0,11.6,6,82,08:22 PM,07:53 AM,06:22 AM,06:00 PM,16,22,22,22,12,25,75,4.1,1007,30,10,216,8,Hangzhou
2018-03-05,13,7,0.0,7.3,2,74,09:22 PM,08:29 AM,06:21 AM,06:01 PM,5,7,9,7,19,82,76,1.8,1021,13,9,263,15,Hangzhou
2018-03-06,11,4,0.0,11.6,3,67,10:19 PM,09:06 AM,06:20 AM,06:01 PM,3,7,8,7,12,40,69,0.1,1027,11,10,61,9,Hangzhou
2018-03-07,9,7,0.0,5.9,2,60,11:15 PM,09:44 AM,06:19 AM,06:02 PM,7,7,9,7,10,100,87,2.3,1023,9,8,167,7,Hangzhou
2018-03-08,10,5,0.0,7.3,2,53,No moonrise,10:22 AM,06:18 AM,06:03 PM,4,5,8,5,17,74,78,0.0,1027,10,10,334,13,Hangzhou
2018-03-09,12,2,0.0,11.6,3,45,12:09 AM,11:03 AM,06:17 AM,06:03 PM,2,10,10,10,7,0,57,0.0,1028,12,10,166,6,Hangzhou
2018-03-10,18,3,0.0,11.6,4,38,01:02 AM,11:47 AM,06:16 AM,06:04 PM,5,14,14,14,7,1,55,0.0,1024,18,10,155,5,Hangzhou
2018-03-11,21,7,0.0,11.6,4,31,01:53 AM,12:33 PM,06:14 AM,06:05 PM,4,14,15,14,8,44,53,0.0,1023,21,10,145,5,Hangzhou
2018-03-12,23,12,0.0,11.6,5,24,02:40 AM,01:23 PM,06:13 AM,06:05 PM,6,18,18,18,9,24,49,0.0,1019,23,10,192,6,Hangzhou
2018-03-13,26,12,0.0,11.6,5,16,03:26 AM,02:14 PM,06:12 AM,06:06 PM,11,20,20,20,10,15,57,0.0,1016,26,10,174,6,Hangzhou
2018-03-14,25,15,0.0,11.6,5,9,04:08 AM,03:07 PM,06:11 AM,06:07 PM,13,20,21,20,9,40,64,0.0,1015,25,10,165,6,Hangzhou
2018-03-15,21,15,0.0,7.4,4,2,04:48 AM,04:02 PM,06:10 AM,06:07 PM,15,19,19,19,9,67,79,2.7,1013,21,9,147,6,Hangzhou
2018-03-16,11,5,0.0,7.4,2,0,05:26 AM,04:58 PM,06:09 AM,06:08 PM,4,6,8,6,14,77,78,0.6,1024,11,8,97,11,Hangzhou
2018-03-17,18,5,0.0,11.6,4,0,06:02 AM,05:55 PM,06:07 AM,06:08 PM,7,11,12,11,11,27,74,0.0,1022,18,10,99,9,Hangzhou
2018-03-18,20,11,0.0,7.4,4,5,06:38 AM,06:52 PM,06:06 AM,06:09 PM,11,15,15,15,9,69,80,4.8,1015,20,10,218,7,Hangzhou
2018-03-19,11,8,0.0,6.0,3,13,07:14 AM,07:52 PM,06:05 AM,06:10 PM,8,9,10,9,13,100,86,0.4,1017,11,9,94,10,Hangzhou
2018-03-20,9,5,0.0,6.0,2,20,07:51 AM,08:52 PM,06:04 AM,06:10 PM,5,6,8,6,17,89,80,0.4,1019,9,9,325,13,Hangzhou
2018-03-21,11,4,0.0,10.2,2,27,08:30 AM,09:54 PM,06:03 AM,06:11 PM,3,5,7,5,18,48,72,0.0,1021,11,10,301,14,Hangzhou
2018-03-22,18,4,0.0,11.6,4,34,09:12 AM,10:56 PM,06:01 AM,06:12 PM,6,13,13,13,5,15,62,0.0,1019,18,10,187,4,Hangzhou
2018-03-23,22,8,0.0,12.1,4,42,09:59 AM,11:59 PM,06:00 AM,06:12 PM,8,17,17,17,7,8,57,0.0,1020,22,10,170,5,Hangzhou
2018-03-24,24,11,0.0,11.8,5,49,10:51 AM,No moonset,05:59 AM,06:13 PM,8,17,18,17,8,53,55,0.0,1021,24,10,138,5,Hangzhou
2018-03-25,21,14,0.0,9.2,4,56,11:48 AM,01:00 AM,05:58 AM,06:13 PM,10,18,18,18,6,77,62,0.1,1023,21,10,212,4,Hangzhou
2018-03-26,21,14,0.0,12.6,5,63,12:48 PM,01:58 AM,05:57 AM,06:14 PM,13,17,18,17,7,49,75,0.8,1021,21,8,168,5,Hangzhou
2018-03-27,25,12,0.0,12.6,5,71,01:52 PM,02:52 AM,05:55 AM,06:15 PM,13,20,20,20,7,6,67,0.0,1018,25,10,145,5,Hangzhou
2018-03-28,28,13,0.0,12.6,5,78,02:56 PM,03:41 AM,05:54 AM,06:15 PM,14,23,24,23,8,4,58,0.0,1015,28,10,150,6,Hangzhou
2018-03-29,27,15,0.0,12.6,6,85,04:01 PM,04:26 AM,05:53 AM,06:16 PM,12,21,21,21,8,37,59,0.0,1016,27,10,106,6,Hangzhou
2018-03-30,24,15,0.0,11.9,5,93,05:04 PM,05:08 AM,05:52 AM,06:16 PM,14,19,20,19,12,52,75,0.0,1019,24,10,70,9,Hangzhou
2018-03-31,27,13,0.0,12.7,5,96,06:05 PM,05:47 AM,05:51 AM,06:17 PM,13,21,21,21,7,20,64,0.0,1017,27,8,130,5,Hangzhou
2018-04-01,30,16,0.0,12.7,6,89,07:06 PM,06:23 AM,05:49 AM,06:18 PM,13,23,24,23,6,22,54,0.1,1014,30,10,163,4,Hangzhou
2018-04-02,29,18,0.0,12.7,6,81,08:04 PM,07:00 AM,05:48 AM,06:18 PM,16,25,25,24,7,34,62,0.3,1012,29,10,181,5,Hangzhou
2018-04-03,29,18,0.0,12.7,6,74,09:02 PM,07:38 AM,05:47 AM,06:19 PM,17,26,26,24,9,28,66,0.2,1012,29,10,183,6,Hangzhou
2018-04-04,20,12,0.0,8.0,4,66,09:58 PM,08:16 AM,05:46 AM,06:20 PM,13,17,17,17,12,73,81,2.0,1016,20,10,44,9,Hangzhou
2018-04-05,19,8,0.0,8.0,3,59,10:52 PM,08:57 AM,05:45 AM,06:20 PM,9,12,13,12,14,93,79,4.5,1015,19,10,165,10,Hangzhou
2018-04-06,16,8,0.0,12.8,4,51,11:45 PM,09:40 AM,05:43 AM,06:21 PM,5,12,12,12,16,35,62,0.3,1024,16,9,320,12,Hangzhou
2018-04-07,15,7,0.0,12.8,4,44,No moonrise,10:25 AM,05:42 AM,06:21 PM,-1,12,12,12,14,1,43,0.0,1026,15,10,300,11,Hangzhou
2018-04-08,22,6,0.0,12.8,4,36,12:34 AM,11:14 AM,05:41 AM,06:22 PM,5,17,17,17,13,0,44,0.0,1019,22,10,207,10,Hangzhou
2018-04-09,27,11,0.0,12.8,5,28,01:21 AM,12:04 PM,05:40 AM,06:23 PM,8,22,23,22,10,0,43,0.0,1016,27,10,178,8,Hangzhou
2018-04-10,30,14,0.0,12.8,6,21,02:04 AM,12:57 PM,05:39 AM,06:23 PM,12,25,25,24,14,2,47,0.0,1011,30,10,210,10,Hangzhou
2018-04-11,31,17,0.0,12.9,6,13,02:44 AM,01:51 PM,05:38 AM,06:24 PM,15,24,24,24,10,31,62,3.0,1012,31,10,124,7,Hangzhou
2018-04-12,24,15,0.0,12.9,5,6,03:23 AM,02:46 PM,05:37 AM,06:24 PM,15,19,20,19,13,54,76,0.0,1013,24,10,72,10,Hangzhou
2018-04-13,22,16,0.0,10.6,4,0,03:59 AM,03:42 PM,05:35 AM,06:25 PM,16,19,19,19,10,83,86,7.0,1012,22,10,128,7,Hangzhou
2018-04-14,17,11,0.0,9.4,3,0,04:35 AM,04:39 PM,05:34 AM,06:26 PM,10,13,14,13,17,81,79,0.5,1015,17,9,327,13,Hangzhou
2018-04-15,19,10,0.0,12.9,4,0,05:11 AM,05:39 PM,05:33 AM,06:26 PM,6,15,15,15,10,11,56,0.0,1020,19,10,251,7,Hangzhou
2018-04-16,16,9,0.0,13.0,4,1,05:48 AM,06:40 PM,05:32 AM,06:27 PM,3,14,14,14,6,29,48,0.0,1021,16,10,87,5,Hangzhou
2018-04-17,23,8,0.0,13.0,5,9,06:26 AM,07:43 PM,05:31 AM,06:28 PM,7,20,20,20,5,0,45,0.0,1020,23,10,143,4,Hangzhou
2018-04-18,27,11,0.0,13.0,5,17,07:08 AM,08:47 PM,05:30 AM,06:28 PM,11,23,23,23,6,0,49,0.0,1017,27,10,154,5,Hangzhou
2018-04-19,29,14,0.0,13.0,6,24,07:55 AM,09:52 PM,05:29 AM,06:29 PM,13,25,26,25,7,0,50,0.0,1015,29,10,140,6,Hangzhou
2018-04-20,29,15,0.0,13.0,6,32,08:46 AM,10:55 PM,05:28 AM,06:29 PM,13,25,25,25,10,21,51,0.0,1015,29,10,152,7,Hangzhou
2018-04-21,30,18,0.0,13.0,6,39,09:42 AM,11:55 PM,05:27 AM,06:30 PM,16,25,25,24,12,47,62,0.1,1012,30,10,165,9,Hangzhou
2018-04-22,30,20,0.0,13.1,6,47,10:42 AM,No moonset,05:26 AM,06:31 PM,19,27,27,26,8,33,71,5.4,1010,30,9,152,6,Hangzhou
2018-04-23,23,15,0.0,8.2,4,54,11:45 AM,12:50 AM,05:25 AM,06:31 PM,18,20,21,20,13,89,90,15.0,1009,23,9,306,9,Hangzhou
2018-04-24,18,13,0.0,8.2,4,62,12:48 PM,01:40 AM,05:24 AM,06:32 PM,12,16,16,16,16,75,78,0.0,1016,18,10,337,12,Hangzhou
2018-04-25,23,12,0.0,13.1,5,69,01:51 PM,02:25 AM,05:23 AM,06:33 PM,10,19,19,19,8,10,61,0.0,1016,23,10,174,6,Hangzhou
2018-04-26,25,13,0.0,13.1,5,77,02:53 PM,03:06 AM,05:22 AM,06:33 PM,12,21,21,21,5,30,57,0.0,1015,25,10,92,4,Hangzhou
2018-04-27,26,17,0.0,13.1,6,85,03:54 PM,03:45 AM,05:21 AM,06:34 PM,13,23,24,23,6,19,54,0.0,1018,26,10,195,5,Hangzhou
2018-04-28,29,16,0.0,13.2,6,92,04:53 PM,04:21 AM,05:20 AM,06:35 PM,13,24,24,24,6,11,54,0.0,1016,29,10,149,4,Hangzhou
2018-04-29,29,18,0.0,10.7,5,100,05:52 PM,04:57 AM,05:19 AM,06:35 PM,17,26,26,24,10,52,66,0.4,1011,29,9,206,7,Hangzhou
2018-04-30,29,21,0.0,13.2,6,100,06:50 PM,05:34 AM,05:18 AM,06:36 PM,21,28,28,26,6,36,75,3.9,1011,29,10,160,4,Hangzhou
2018-05-01,30,22,0.0,12.0,7,89,07:47 PM,06:11 AM,05:17 AM,06:37 PM,21,28,28,26,9,59,75,5.2,1010,30,9,261,6,Hangzhou
