date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,19,15,0.0,4.1,4,97,04:45 PM,05:18 AM,06:33 AM,05:27 PM,14,18,18,18,7,86,77,0.1,1019,19,10,130,5,Hanoi
2018-01-02,21,17,0.0,4.1,4,100,05:49 PM,06:23 AM,06:34 AM,05:27 PM,17,19,20,19,10,86,84,0.2,1017,21,10,124,7,Hanoi
2018-01-03,22,18,0.0,4.1,4,89,06:55 PM,07:26 AM,06:34 AM,05:28 PM,18,20,21,20,7,87,86,0.4,1017,22,10,128,5,Hanoi
2018-01-04,23,19,0.0,4.1,5,81,08:00 PM,08:23 AM,06:34 AM,05:29 PM,19,21,22,21,9,99,88,0.4,1015,23,9,141,6,Hanoi
2018-01-05,25,20,0.0,4.1,5,74,09:02 PM,09:15 AM,06:35 AM,05:29 PM,19,22,22,22,13,97,87,0.4,1013,25,10,127,10,Hanoi
2018-01-06,22,19,0.0,4.1,5,67,10:02 PM,10:02 AM,06:35 AM,05:30 PM,18,21,21,21,16,97,85,0.4,1012,22,10,136,12,Hanoi
2018-01-07,24,19,0.0,4.1,5,59,10:58 PM,10:45 AM,06:35 AM,05:31 PM,20,22,23,22,15,96,89,1.0,1011,24,10,131,11,Hanoi
2018-01-08,24,11,0.0,4.1,4,52,11:52 PM,11:26 AM,06:35 AM,05:31 PM,15,17,19,17,25,100,82,0.0,1015,24,7,74,18,Hanoi
2018-01-09,14,9,0.0,4.1,3,45,No moonrise,12:04 PM,06:35 AM,05:32 PM,4,10,11,10,16,93,62,0.6,1025,14,9,34,12,Hanoi
2018-01-10,14,12,0.0,4.1,3,38,12:44 AM,12:42 PM,06:36 AM,05:33 PM,3,13,13,13,11,92,50,0.0,1027,14,10,131,8,Hanoi
2018-01-11,15,13,0.0,4.1,3,30,01:36 AM,01:21 PM,06:36 AM,05:33 PM,3,14,14,14,9,81,46,0.0,1027,15,10,311,6,Hanoi
2018-01-12,17,13,0.0,4.1,3,23,02:26 AM,02:01 PM,06:36 AM,05:34 PM,3,15,15,15,9,73,44,0.0,1026,17,10,209,6,Hanoi
2018-01-13,18,13,0.0,5.6,5,16,03:17 AM,02:42 PM,06:36 AM,05:35 PM,6,16,16,16,6,66,54,0.0,1023,18,10,153,5,Hanoi
2018-01-14,20,13,0.0,7.2,5,9,04:07 AM,03:27 PM,06:36 AM,05:35 PM,9,17,17,17,11,61,62,0.0,1021,20,10,227,8,Hanoi
2018-01-15,21,15,0.0,4.1,4,1,04:56 AM,04:13 PM,06:36 AM,05:36 PM,13,18,19,18,12,86,73,0.0,1017,21,10,136,9,Hanoi
2018-01-16,21,17,0.0,5.7,4,0,05:45 AM,05:01 PM,06:36 AM,05:37 PM,16,19,19,19,9,89,84,0.1,1015,21,10,102,7,Hanoi
2018-01-17,23,18,0.0,4.1,4,0,06:31 AM,05:51 PM,06:36 AM,05:37 PM,17,20,20,20,12,89,84,0.5,1014,23,9,116,9,Hanoi
2018-01-18,22,17,0.0,4.1,4,6,07:16 AM,06:42 PM,06:36 AM,05:38 PM,17,20,20,20,14,80,84,0.2,1015,22,8,126,10,Hanoi
2018-01-19,26,19,0.0,8.7,6,13,07:59 AM,07:34 PM,06:36 AM,05:39 PM,16,22,23,22,14,31,68,0.2,1017,26,10,133,10,Hanoi
2018-01-20,23,18,0.0,4.1,4,20,08:39 AM,08:24 PM,06:36 AM,05:39 PM,17,20,21,20,10,65,84,0.0,1015,23,10,107,7,Hanoi
2018-01-21,26,19,0.0,4.1,5,28,09:18 AM,09:17 PM,06:36 AM,05:40 PM,19,22,23,22,10,69,82,0.3,1013,26,8,128,7,Hanoi
2018-01-22,24,20,0.0,4.1,5,35,09:57 AM,10:08 PM,06:36 AM,05:41 PM,18,22,23,22,13,68,82,0.7,1013,24,10,130,10,Hanoi
2018-01-23,27,20,0.0,8.7,6,42,10:35 AM,11:02 PM,06:36 AM,05:41 PM,18,24,24,23,18,46,76,0.1,1012,27,10,135,13,Hanoi
2018-01-24,28,20,0.0,8.7,6,49,11:15 AM,11:57 PM,06:35 AM,05:42 PM,18,24,24,23,22,46,76,0.2,1010,28,10,154,17,Hanoi
2018-01-25,26,21,0.0,5.7,5,57,11:57 AM,No moonset,06:35 AM,05:43 PM,19,25,25,23,22,63,78,0.2,1011,26,10,149,17,Hanoi
2018-01-26,24,20,0.0,5.7,5,64,12:42 PM,12:55 AM,06:35 AM,05:43 PM,18,22,24,22,21,81,79,0.1,1013,24,10,130,15,Hanoi
2018-01-27,20,18,0.0,4.2,4,71,01:32 PM,01:55 AM,06:35 AM,05:44 PM,16,19,19,19,22,99,86,1.6,1013,20,9,121,16,Hanoi
2018-01-28,18,10,0.0,4.2,4,78,02:26 PM,02:57 AM,06:35 AM,05:45 PM,13,16,16,16,19,100,82,0.0,1013,18,10,64,14,Hanoi
2018-01-29,13,9,0.0,4.2,3,86,03:27 PM,04:01 AM,06:34 AM,05:45 PM,3,9,11,9,22,100,60,0.0,1021,13,10,36,17,Hanoi
2018-01-30,13,8,0.0,4.2,3,93,04:30 PM,05:04 AM,06:34 AM,05:46 PM,2,9,11,9,13,90,57,0.0,1020,13,10,40,10,Hanoi
2018-01-31,12,8,0.0,5.7,2,97,05:36 PM,06:03 AM,06:34 AM,05:46 PM,3,8,10,8,18,84,62,0.1,1025,12,10,176,14,Hanoi
2018-02-01,18,10,0.0,8.7,4,88,06:41 PM,06:59 AM,06:33 AM,05:47 PM,0,13,14,13,11,30,40,0.0,1022,18,10,101,8,Hanoi
2018-02-02,15,13,0.0,7.2,4,81,07:44 PM,07:50 AM,06:33 AM,05:48 PM,3,13,14,13,17,46,49,0.0,1026,15,10,39,12,Hanoi
2018-02-03,17,10,0.0,8.7,4,73,08:43 PM,08:36 AM,06:33 AM,05:48 PM,0,12,13,12,14,35,41,0.0,1027,17,10,58,10,Hanoi
2018-02-04,17,10,0.0,8.7,4,66,09:40 PM,09:19 AM,06:32 AM,05:49 PM,1,13,13,13,12,36,43,0.0,1026,17,10,41,9,Hanoi
