date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-13,-19,0.0,6.9,2,97,03:22 PM,05:46 AM,07:15 AM,03:59 PM,-18,-18,-16,-18,6,62,90,0.0,1027,-13,9,236,3,Harbin
2018-01-02,-15,-21,0.0,3.3,1,100,04:24 PM,06:54 AM,07:15 AM,04:00 PM,-19,-24,-18,-24,14,92,92,0.0,1031,-15,6,248,8,Harbin
2018-01-03,-13,-18,0.0,5.1,1,89,05:35 PM,07:54 AM,07:15 AM,04:01 PM,-17,-23,-16,-23,16,71,92,0.0,1034,-13,7,251,9,Harbin
2018-01-04,-12,-19,0.0,8.7,2,81,06:48 PM,08:44 AM,07:15 AM,04:02 PM,-17,-22,-16,-22,17,10,86,0.0,1031,-12,10,214,10,Harbin
2018-01-05,-11,-18,0.0,8.7,2,74,08:02 PM,09:27 AM,07:14 AM,04:03 PM,-18,-22,-16,-22,19,17,86,0.0,1022,-11,10,250,10,Harbin
2018-01-06,-10,-19,0.0,8.7,2,67,09:15 PM,10:02 AM,07:14 AM,04:04 PM,-17,-21,-15,-21,19,19,88,0.0,1023,-10,8,222,10,Harbin
2018-01-07,-7,-15,0.0,3.3,1,59,10:24 PM,10:33 AM,07:14 AM,04:05 PM,-13,-17,-11,-17,23,46,84,0.0,1019,-7,10,200,12,Harbin
2018-01-08,-6,-10,1.7,3.3,1,52,11:31 PM,11:01 AM,07:14 AM,04:06 PM,-9,-12,-8,-12,13,99,93,2.0,1008,-6,5,203,8,Harbin
2018-01-09,-11,-22,0.4,3.3,1,45,No moonrise,11:28 AM,07:14 AM,04:07 PM,-18,-25,-16,-25,22,100,90,0.5,1010,-11,9,337,15,Harbin
2018-01-10,-20,-28,0.0,5.1,2,38,12:35 AM,11:55 AM,07:13 AM,04:09 PM,-25,-33,-24,-33,20,71,91,0.0,1023,-20,9,315,11,Harbin
2018-01-11,-22,-30,0.0,6.9,2,30,01:37 AM,12:23 PM,07:13 AM,04:10 PM,-28,-34,-27,-34,17,47,89,0.0,1032,-22,10,264,9,Harbin
2018-01-12,-18,-28,0.0,5.1,1,23,02:38 AM,12:54 PM,07:12 AM,04:11 PM,-25,-31,-24,-31,19,58,88,0.0,1030,-18,10,171,11,Harbin
2018-01-13,-16,-25,0.0,6.9,2,16,03:37 AM,01:28 PM,07:12 AM,04:12 PM,-21,-24,-20,-24,14,29,88,0.0,1030,-16,10,153,8,Harbin
2018-01-14,-3,-13,1.0,3.4,1,9,04:34 AM,02:06 PM,07:12 AM,04:13 PM,-9,-15,-8,-15,34,89,88,1.2,1017,-3,8,224,21,Harbin
2018-01-15,-13,-21,0.0,6.9,1,1,05:28 AM,02:49 PM,07:11 AM,04:15 PM,-18,-23,-17,-23,15,61,93,0.0,1024,-13,6,213,8,Harbin
2018-01-16,-11,-16,0.4,5.2,1,0,06:16 AM,03:38 PM,07:10 AM,04:16 PM,-15,-18,-14,-18,12,82,93,0.5,1020,-11,6,74,7,Harbin
2018-01-17,-7,-16,0.2,3.4,1,0,07:01 AM,04:31 PM,07:10 AM,04:17 PM,-12,-17,-12,-17,19,95,93,0.2,1016,-7,5,199,11,Harbin
2018-01-18,-13,-20,0.0,8.7,2,6,07:41 AM,05:29 PM,07:09 AM,04:19 PM,-18,-22,-16,-22,16,22,91,0.0,1023,-13,8,206,9,Harbin
2018-01-19,-10,-18,0.0,8.7,2,13,08:15 AM,06:28 PM,07:08 AM,04:20 PM,-17,-22,-15,-22,22,28,88,0.0,1018,-10,10,221,12,Harbin
2018-01-20,-17,-25,0.0,6.9,2,20,08:47 AM,07:30 PM,07:08 AM,04:21 PM,-23,-30,-21,-30,25,12,82,0.0,1025,-17,10,268,14,Harbin
2018-01-21,-20,-27,0.0,6.9,2,28,09:16 AM,08:32 PM,07:07 AM,04:23 PM,-26,-32,-24,-32,18,14,87,0.0,1030,-20,10,243,10,Harbin
2018-01-22,-23,-28,0.0,6.9,2,35,09:43 AM,09:37 PM,07:06 AM,04:24 PM,-28,-34,-26,-34,17,23,85,0.0,1026,-23,10,245,9,Harbin
2018-01-23,-25,-31,0.0,3.5,1,42,10:09 AM,10:42 PM,07:05 AM,04:25 PM,-30,-36,-28,-36,15,75,87,0.0,1025,-25,10,256,9,Harbin
2018-01-24,-25,-33,0.0,7.0,2,49,10:37 AM,11:50 PM,07:04 AM,04:27 PM,-31,-36,-29,-36,13,38,89,0.0,1033,-25,10,305,7,Harbin
2018-01-25,-25,-34,0.0,7.0,2,57,11:07 AM,No moonset,07:03 AM,04:28 PM,-31,-38,-30,-38,16,30,88,0.0,1038,-25,10,292,9,Harbin
2018-01-26,-21,-32,0.0,8.7,2,64,11:40 AM,12:59 AM,07:02 AM,04:30 PM,-29,-36,-27,-36,22,34,86,0.0,1036,-21,10,250,12,Harbin
2018-01-27,-19,-27,0.0,7.0,2,71,12:19 PM,02:10 AM,07:01 AM,04:31 PM,-25,-33,-24,-33,22,24,86,0.0,1030,-19,10,234,12,Harbin
2018-01-28,-20,-28,0.0,5.2,2,78,01:06 PM,03:22 AM,07:00 AM,04:33 PM,-27,-34,-25,-34,21,48,86,0.0,1022,-20,10,236,12,Harbin
2018-01-29,-19,-27,0.0,7.0,2,86,02:02 PM,04:31 AM,06:59 AM,04:34 PM,-25,-32,-23,-32,21,46,88,0.0,1020,-19,10,230,12,Harbin
2018-01-30,-16,-24,0.0,5.3,1,93,03:07 PM,05:35 AM,06:58 AM,04:36 PM,-22,-27,-21,-27,16,46,88,0.0,1020,-16,10,253,9,Harbin
2018-01-31,-15,-25,0.0,8.7,2,97,04:19 PM,06:29 AM,06:57 AM,04:37 PM,-22,-25,-20,-25,13,34,88,0.0,1028,-15,10,239,7,Harbin
2018-02-01,-10,-21,0.0,3.7,1,88,05:34 PM,07:17 AM,06:56 AM,04:39 PM,-18,-22,-16,-22,17,61,88,0.0,1031,-10,9,191,9,Harbin
2018-02-02,-13,-22,0.0,5.4,2,81,06:49 PM,07:56 AM,06:54 AM,04:40 PM,-19,-22,-18,-22,10,74,93,0.0,1034,-13,8,279,6,Harbin
2018-02-03,-17,-25,0.0,3.7,1,73,08:02 PM,08:30 AM,06:53 AM,04:41 PM,-22,-27,-21,-27,13,89,95,0.0,1034,-17,5,320,7,Harbin
2018-02-04,-16,-27,0.0,5.4,1,66,09:13 PM,09:01 AM,06:52 AM,04:43 PM,-23,-28,-22,-28,13,71,93,0.0,1033,-16,5,320,7,Harbin
2018-02-05,-18,-27,0.0,5.4,2,58,10:20 PM,09:29 AM,06:51 AM,04:44 PM,-24,-30,-23,-30,14,63,92,0.0,1033,-18,6,326,8,Harbin
2018-02-06,-19,-28,0.0,7.0,1,51,11:25 PM,09:57 AM,06:49 AM,04:46 PM,-25,-28,-24,-28,8,49,90,0.0,1032,-19,8,293,5,Harbin
2018-02-07,-17,-28,0.0,7.0,2,43,No moonrise,10:25 AM,06:48 AM,04:47 PM,-23,-28,-22,-28,16,46,90,0.0,1029,-17,8,249,8,Harbin
2018-02-08,-9,-21,0.0,8.7,2,36,12:28 AM,10:55 AM,06:47 AM,04:49 PM,-17,-24,-15,-24,37,10,81,0.0,1017,-9,10,188,21,Harbin
2018-02-09,-5,-19,0.0,5.4,1,28,01:29 AM,11:28 AM,06:45 AM,04:50 PM,-13,-19,-11,-19,30,45,86,0.0,1015,-5,9,236,18,Harbin
2018-02-10,-14,-21,0.1,7.1,2,20,02:26 AM,12:05 PM,06:44 AM,04:52 PM,-20,-26,-18,-26,23,69,84,0.1,1019,-14,9,228,14,Harbin
2018-02-11,-17,-24,0.1,3.8,1,13,03:22 AM,12:46 PM,06:42 AM,04:53 PM,-23,-29,-21,-29,18,86,84,0.1,1015,-17,9,268,11,Harbin
2018-02-12,-15,-26,0.1,3.8,1,5,04:12 AM,01:33 PM,06:41 AM,04:55 PM,-23,-25,-21,-25,11,89,87,0.1,1016,-15,10,240,7,Harbin
2018-02-13,-12,-23,0.0,8.7,2,0,04:58 AM,02:24 PM,06:39 AM,04:56 PM,-20,-24,-18,-24,18,28,82,0.0,1015,-12,10,216,10,Harbin
2018-02-14,-11,-20,0.0,8.7,2,0,05:40 AM,03:21 PM,06:38 AM,04:58 PM,-18,-21,-16,-21,16,28,81,0.0,1016,-11,10,254,9,Harbin
2018-02-15,-9,-20,0.0,7.1,2,0,06:16 AM,04:20 PM,06:36 AM,04:59 PM,-17,-21,-15,-21,21,31,81,0.0,1019,-9,10,212,12,Harbin
2018-02-16,-11,-21,0.1,4.0,1,2,06:49 AM,05:22 PM,06:35 AM,05:01 PM,-16,-22,-14,-22,28,62,86,0.2,1014,-11,10,268,17,Harbin
2018-02-17,-12,-23,0.0,7.1,2,10,07:19 AM,06:25 PM,06:33 AM,05:02 PM,-20,-24,-18,-24,15,43,85,0.0,1024,-12,10,262,9,Harbin
2018-02-18,-10,-21,0.0,8.7,2,17,07:47 AM,07:30 PM,06:31 AM,05:04 PM,-18,-21,-16,-21,15,10,79,0.0,1026,-10,10,237,9,Harbin
2018-02-19,-9,-19,0.0,7.1,2,25,08:14 AM,08:35 PM,06:30 AM,05:05 PM,-17,-20,-15,-20,15,51,80,0.0,1024,-9,10,253,9,Harbin
2018-02-20,-11,-20,0.0,7.1,2,32,08:41 AM,09:42 PM,06:28 AM,05:07 PM,-18,-22,-16,-22,16,22,81,0.0,1024,-11,10,277,9,Harbin
2018-02-21,-8,-20,0.0,7.2,2,40,09:10 AM,10:50 PM,06:27 AM,05:08 PM,-17,-20,-14,-20,20,45,78,0.0,1019,-8,10,208,11,Harbin
2018-02-22,-9,-18,0.0,8.7,2,47,09:41 AM,11:59 PM,06:25 AM,05:10 PM,-17,-19,-14,-19,15,18,81,0.0,1017,-9,10,215,9,Harbin
2018-02-23,-9,-19,0.0,8.7,2,55,10:17 AM,No moonset,06:23 AM,05:11 PM,-17,-20,-15,-20,14,52,83,0.0,1024,-9,10,171,8,Harbin
2018-02-24,-10,-22,0.0,8.7,2,62,10:59 AM,01:08 AM,06:21 AM,05:12 PM,-18,-21,-16,-21,14,9,80,0.0,1033,-10,10,244,8,Harbin
2018-02-25,-8,-19,0.0,4.1,1,70,11:50 AM,02:16 AM,06:20 AM,05:14 PM,-17,-19,-13,-19,16,68,76,0.0,1029,-8,10,109,8,Harbin
2018-02-26,-7,-17,0.0,8.7,2,77,12:48 PM,03:20 AM,06:18 AM,05:15 PM,-15,-19,-12,-19,23,45,79,0.0,1029,-7,10,66,13,Harbin
2018-02-27,-7,-18,0.0,8.7,2,85,01:55 PM,04:16 AM,06:16 AM,05:17 PM,-16,-19,-13,-19,16,41,81,0.0,1029,-7,10,73,9,Harbin
2018-02-28,-6,-16,3.1,4.1,1,93,03:08 PM,05:06 AM,06:15 AM,05:18 PM,-12,-16,-10,-16,23,88,87,3.6,1013,-6,7,114,15,Harbin
2018-03-01,-9,-17,0.3,4.2,1,96,04:22 PM,05:48 AM,06:13 AM,05:20 PM,-14,-20,-12,-20,27,79,87,0.4,1008,-9,9,291,19,Harbin
2018-03-02,-8,-19,0.0,7.2,1,100,05:37 PM,06:24 AM,06:11 AM,05:21 PM,-15,-18,-13,-18,17,35,82,0.0,1010,-8,10,209,10,Harbin
2018-03-03,-2,-16,3.7,4.2,1,89,06:49 PM,06:57 AM,06:09 AM,05:22 PM,-11,-17,-10,-17,31,97,90,4.3,1006,-2,7,147,21,Harbin
