date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-12,-18,0.0,8.7,2,97,04:25 PM,06:30 AM,07:18 AM,04:31 PM,-21,-22,-15,-22,19,6,62,0.0,1027,-12,10,303,13,Hartford(CT)
2018-01-02,-8,-15,0.0,6.9,2,100,05:32 PM,07:34 AM,07:18 AM,04:31 PM,-15,-16,-11,-16,16,34,70,0.0,1027,-8,10,265,10,Hartford(CT)
2018-01-03,-4,-12,0.0,8.7,2,89,06:43 PM,08:29 AM,07:18 AM,04:32 PM,-13,-11,-8,-11,9,42,67,0.0,1024,-4,10,192,5,Hartford(CT)
2018-01-04,-4,-7,0.3,3.4,1,81,07:55 PM,09:17 AM,07:18 AM,04:33 PM,-8,-13,-6,-13,39,95,82,7.7,998,-4,5,169,26,Hartford(CT)
2018-01-05,-10,-16,0.0,5.2,2,74,09:06 PM,09:58 AM,07:18 AM,04:34 PM,-17,-22,-14,-22,30,60,76,0.0,1005,-10,10,283,19,Hartford(CT)
2018-01-06,-13,-18,0.0,8.7,2,67,10:13 PM,10:33 AM,07:18 AM,04:35 PM,-19,-25,-16,-25,26,14,75,0.0,1020,-13,10,286,17,Hartford(CT)
2018-01-07,-12,-22,0.0,8.7,2,59,11:19 PM,11:05 AM,07:18 AM,04:36 PM,-19,-21,-15,-21,16,15,76,0.0,1032,-12,10,260,10,Hartford(CT)
2018-01-08,-2,-10,0.0,5.2,2,52,No moonrise,11:35 AM,07:18 AM,04:37 PM,-8,-11,-5,-11,21,67,81,0.0,1021,-2,10,214,14,Hartford(CT)
2018-01-09,3,-5,0.0,8.7,2,45,12:21 AM,12:04 PM,07:18 AM,04:38 PM,-3,-5,-1,-5,19,21,86,0.0,1020,3,10,274,11,Hartford(CT)
2018-01-10,1,-8,0.0,8.7,2,38,01:22 AM,12:33 PM,07:18 AM,04:39 PM,-4,-4,-2,-4,11,14,86,0.0,1031,1,10,193,6,Hartford(CT)
2018-01-11,8,-0,0.0,3.5,1,30,02:21 AM,01:05 PM,07:17 AM,04:41 PM,4,2,4,2,18,78,97,0.0,1027,8,2,192,9,Hartford(CT)
2018-01-12,15,7,0.0,3.5,3,23,03:20 AM,01:39 PM,07:17 AM,04:42 PM,11,10,12,10,31,100,97,1.7,1013,15,7,185,16,Hartford(CT)
2018-01-13,15,-7,0.0,8.7,2,16,04:15 AM,02:17 PM,07:17 AM,04:43 PM,-1,-2,3,-2,30,53,76,1.6,1010,15,10,273,21,Hartford(CT)
2018-01-14,-6,-11,0.0,8.7,2,9,05:10 AM,02:59 PM,07:16 AM,04:44 PM,-21,-14,-8,-14,16,2,35,0.0,1036,-6,10,260,13,Hartford(CT)
