date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,26,17,0.0,8.7,6,97,05:48 PM,06:29 AM,07:11 AM,05:56 PM,18,22,23,22,14,29,82,0.0,1019,26,10,207,10,Havana
2018-01-02,22,19,0.0,5.5,5,100,06:53 PM,07:33 AM,07:11 AM,05:56 PM,16,20,21,20,28,83,77,0.6,1018,22,9,265,20,Havana
2018-01-03,23,18,0.0,5.5,5,89,07:59 PM,08:32 AM,07:11 AM,05:57 PM,17,20,21,20,25,67,80,1.4,1016,23,10,333,17,Havana
2018-01-04,19,17,0.0,3.9,4,81,09:03 PM,09:27 AM,07:12 AM,05:58 PM,14,18,18,18,23,81,79,1.3,1019,19,10,183,16,Havana
2018-01-05,17,14,0.0,3.9,4,74,10:05 PM,10:15 AM,07:12 AM,05:58 PM,12,16,16,16,25,73,73,1.0,1024,17,10,35,16,Havana
2018-01-06,21,14,0.0,7.1,5,67,11:04 PM,10:59 AM,07:12 AM,05:59 PM,13,18,18,18,24,54,73,1.8,1023,21,10,64,15,Havana
2018-01-07,23,17,0.0,10.1,5,59,11:59 PM,11:40 AM,07:12 AM,06:00 PM,14,19,20,19,33,23,71,0.0,1022,23,10,66,21,Havana
2018-01-08,26,17,0.0,10.9,6,52,No moonrise,12:18 PM,07:13 AM,06:00 PM,17,21,22,21,18,10,76,0.0,1018,26,10,139,12,Havana
2018-01-09,26,18,0.0,10.9,6,45,12:53 AM,12:56 PM,07:13 AM,06:01 PM,19,22,24,22,10,21,81,0.2,1016,26,10,68,7,Havana
2018-01-10,27,20,0.0,10.9,6,38,01:46 AM,01:33 PM,07:13 AM,06:02 PM,19,25,25,23,10,29,78,1.5,1015,27,10,113,7,Havana
2018-01-11,27,19,0.0,10.9,6,30,02:37 AM,02:12 PM,07:13 AM,06:02 PM,19,24,24,23,10,11,79,0.0,1015,27,10,133,6,Havana
2018-01-12,27,21,0.0,10.9,6,23,03:29 AM,02:52 PM,07:13 AM,06:03 PM,20,26,26,24,23,30,82,0.6,1015,27,10,202,15,Havana
2018-01-13,24,20,0.0,10.1,6,16,04:19 AM,03:35 PM,07:13 AM,06:04 PM,17,21,23,21,25,58,74,0.0,1019,24,10,296,17,Havana
2018-01-14,20,17,0.0,10.1,5,9,05:10 AM,04:20 PM,07:13 AM,06:04 PM,13,18,18,18,34,56,72,0.0,1023,20,10,137,24,Havana
2018-01-15,22,17,0.0,10.1,4,1,05:59 AM,05:07 PM,07:13 AM,06:05 PM,15,19,19,19,30,64,76,0.7,1023,22,10,25,21,Havana
2018-01-16,25,18,0.0,7.0,6,0,06:46 AM,05:57 PM,07:13 AM,06:06 PM,17,21,22,21,29,60,80,1.0,1022,25,10,53,19,Havana
2018-01-17,23,20,0.0,10.9,6,0,07:32 AM,06:47 PM,07:13 AM,06:07 PM,14,21,22,21,33,59,65,0.0,1022,23,10,27,23,Havana
