date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,13,4,0.0,8.7,3,97,04:37 PM,05:50 AM,07:11 AM,05:18 PM,-3,6,9,6,22,14,46,0.0,1025,13,10,116,15,Hefei
2018-01-02,11,7,0.0,5.4,3,100,05:41 PM,06:56 AM,07:11 AM,05:19 PM,4,7,9,7,16,71,68,0.9,1025,11,8,53,11,Hefei
2018-01-03,8,1,3.3,3.8,1,89,06:48 PM,07:58 AM,07:12 AM,05:19 PM,2,0,5,0,37,100,83,8.9,1031,8,9,52,27,Hefei
2018-01-04,1,-0,11.2,3.8,1,81,07:56 PM,08:53 AM,07:12 AM,05:20 PM,-0,-5,0,-5,27,100,95,13.1,1028,1,6,45,19,Hefei
2018-01-05,0,-2,0.2,5.4,1,74,09:03 PM,09:42 AM,07:12 AM,05:21 PM,-1,-3,-0,-3,12,79,94,0.2,1029,0,6,116,9,Hefei
2018-01-06,3,-1,0.0,5.4,2,67,10:07 PM,10:24 AM,07:12 AM,05:22 PM,-1,-2,1,-2,18,74,85,0.6,1025,3,9,65,13,Hefei
2018-01-07,2,1,0.0,3.8,1,59,11:08 PM,11:03 AM,07:12 AM,05:22 PM,0,-3,1,-3,20,97,92,0.3,1022,2,9,274,15,Hefei
2018-01-08,2,-1,0.0,8.7,2,52,No moonrise,11:39 AM,07:12 AM,05:23 PM,-4,-5,0,-5,32,30,73,0.0,1026,2,10,291,23,Hefei
2018-01-09,6,-1,0.0,8.7,2,45,12:06 AM,12:13 PM,07:12 AM,05:24 PM,-3,-1,3,-1,23,0,66,0.0,1027,6,10,276,16,Hefei
2018-01-10,4,-2,0.0,8.7,2,38,01:03 AM,12:47 PM,07:12 AM,05:25 PM,-2,-1,3,-1,15,0,71,0.0,1031,4,10,260,12,Hefei
2018-01-11,3,-2,0.0,8.7,2,30,01:58 AM,01:22 PM,07:12 AM,05:26 PM,-1,0,3,0,11,0,77,0.0,1035,3,10,207,10,Hefei
2018-01-12,1,-5,0.0,8.7,2,23,02:53 AM,01:58 PM,07:12 AM,05:27 PM,-6,-0,2,-0,8,0,57,0.0,1036,1,10,81,7,Hefei
2018-01-13,5,-2,0.0,7.1,2,16,03:47 AM,02:37 PM,07:12 AM,05:28 PM,-5,-0,3,-0,18,39,56,0.0,1031,5,10,131,11,Hefei
2018-01-14,9,2,0.0,8.7,2,9,04:39 AM,03:20 PM,07:12 AM,05:28 PM,-2,4,6,4,15,19,57,0.0,1025,9,10,148,9,Hefei
2018-01-15,13,4,0.0,8.7,3,1,05:30 AM,04:05 PM,07:12 AM,05:29 PM,1,8,9,8,12,20,58,0.0,1022,13,10,109,8,Hefei
2018-01-16,8,4,0.0,3.8,2,0,06:18 AM,04:53 PM,07:11 AM,05:30 PM,3,5,7,5,12,67,78,1.6,1019,8,9,325,8,Hefei
2018-01-17,10,3,0.0,8.7,3,0,07:04 AM,05:45 PM,07:11 AM,05:31 PM,5,9,10,9,7,1,73,0.0,1020,10,10,156,6,Hefei
2018-01-18,10,4,0.0,8.7,3,6,07:47 AM,06:37 PM,07:11 AM,05:32 PM,4,7,9,7,11,16,71,0.0,1025,10,10,54,9,Hefei
2018-01-19,9,6,0.0,7.1,3,13,08:27 AM,07:32 PM,07:11 AM,05:33 PM,4,8,8,8,5,45,77,0.1,1025,9,10,136,4,Hefei
2018-01-20,10,5,0.0,8.7,3,20,09:04 AM,08:27 PM,07:10 AM,05:34 PM,4,8,9,8,9,12,71,0.0,1023,10,10,80,7,Hefei
2018-01-21,9,5,0.0,3.8,2,28,09:40 AM,09:23 PM,07:10 AM,05:35 PM,4,6,7,6,11,88,78,0.4,1021,9,9,81,8,Hefei
2018-01-22,10,4,0.0,8.7,3,35,10:14 AM,10:19 PM,07:10 AM,05:36 PM,5,9,9,9,8,3,75,0.0,1021,10,10,175,7,Hefei
2018-01-23,5,3,0.0,3.9,1,42,10:48 AM,11:17 PM,07:09 AM,05:37 PM,-0,1,4,1,20,67,74,0.0,1025,5,10,51,15,Hefei
2018-01-24,2,-1,1.9,5.5,1,49,11:23 AM,No moonset,07:09 AM,05:38 PM,-6,-5,0,-5,28,77,65,2.3,1028,2,8,76,21,Hefei
2018-01-25,-1,-3,0.9,3.9,1,57,12:00 PM,12:16 AM,07:08 AM,05:38 PM,-4,-8,-2,-8,34,100,90,5.1,1031,-1,6,58,24,Hefei
2018-01-26,-1,-5,0.0,3.9,1,64,12:41 PM,01:19 AM,07:08 AM,05:39 PM,-5,-8,-3,-8,21,88,85,0.0,1034,-1,10,57,15,Hefei
2018-01-27,-2,-4,3.3,3.9,1,71,01:27 PM,02:22 AM,07:08 AM,05:40 PM,-4,-8,-3,-8,20,89,91,3.9,1029,-2,6,98,14,Hefei
2018-01-28,-2,-6,0.4,3.9,1,78,02:19 PM,03:29 AM,07:07 AM,05:41 PM,-4,-7,-3,-7,18,80,91,0.5,1030,-2,7,333,13,Hefei
2018-01-29,-1,-8,0.0,7.1,2,86,03:18 PM,04:34 AM,07:06 AM,05:42 PM,-6,-7,-4,-7,12,15,86,0.0,1033,-1,10,295,8,Hefei
