date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,3,-0,0.9,1.5,1,97,03:14 PM,08:04 AM,09:25 AM,03:24 PM,-0,-4,1,-4,29,100,91,1.9,995,3,7,158,20,Helsinki
2018-01-02,4,3,0.0,1.5,1,100,04:19 PM,09:11 AM,09:24 AM,03:25 PM,2,-2,3,-2,41,98,92,0.9,996,4,9,218,26,Helsinki
2018-01-03,3,1,0.2,1.5,1,89,05:39 PM,10:02 AM,09:23 AM,03:27 PM,1,-2,2,-2,30,97,92,0.8,1001,3,9,167,20,Helsinki
2018-01-04,2,1,0.7,1.5,1,81,07:07 PM,10:37 AM,09:23 AM,03:29 PM,1,-3,2,-3,31,100,92,0.8,998,2,8,118,21,Helsinki
2018-01-05,3,2,1.3,1.5,1,74,08:35 PM,11:03 AM,09:22 AM,03:30 PM,1,-2,3,-2,37,99,90,3.9,993,3,9,153,23,Helsinki
2018-01-06,2,-1,0.9,1.5,1,67,10:02 PM,11:23 AM,09:21 AM,03:32 PM,-0,-4,1,-4,29,100,90,1.6,995,2,6,250,20,Helsinki
2018-01-07,1,-3,0.0,3.7,2,59,11:25 PM,11:39 AM,09:20 AM,03:34 PM,-6,-8,-1,-8,49,40,68,0.0,1011,1,10,291,34,Helsinki
2018-01-08,0,-2,0.0,5.8,2,52,No moonrise,11:54 AM,09:19 AM,03:36 PM,-5,-7,-1,-7,41,37,72,0.0,1021,0,9,304,29,Helsinki
2018-01-09,2,-1,0.0,5.8,2,45,12:45 AM,12:07 PM,09:18 AM,03:38 PM,-2,-4,1,-4,28,42,84,0.0,1026,2,10,294,18,Helsinki
2018-01-10,-1,-2,0.0,5.8,2,38,02:02 AM,12:22 PM,09:17 AM,03:40 PM,-3,-4,-1,-4,14,12,83,0.0,1026,-1,10,317,9,Helsinki
2018-01-11,-1,-3,0.0,5.8,2,30,03:18 AM,12:38 PM,09:15 AM,03:42 PM,-4,-6,-2,-6,19,36,86,0.1,1030,-1,10,61,13,Helsinki
2018-01-12,-2,-4,0.0,5.8,2,23,04:30 AM,12:58 PM,09:14 AM,03:44 PM,-6,-7,-3,-7,18,66,82,0.0,1041,-2,10,162,12,Helsinki
2018-01-13,-2,-4,0.1,1.6,1,16,05:40 AM,01:23 PM,09:13 AM,03:46 PM,-6,-6,-3,-6,11,90,78,0.1,1044,-2,10,233,7,Helsinki
2018-01-14,-3,-5,0.1,1.6,1,9,06:45 AM,01:55 PM,09:11 AM,03:48 PM,-7,-8,-3,-8,16,86,76,0.1,1040,-3,10,182,11,Helsinki
2018-01-15,-5,-6,0.1,5.8,2,1,07:42 AM,02:36 PM,09:10 AM,03:51 PM,-9,-12,-6,-12,26,62,77,0.1,1029,-5,10,175,20,Helsinki
2018-01-16,-4,-7,0.0,3.7,2,0,08:29 AM,03:28 PM,09:08 AM,03:53 PM,-11,-14,-5,-14,45,38,67,0.0,1010,-4,10,158,34,Helsinki
2018-01-17,-3,-6,0.5,1.6,1,0,09:06 AM,04:28 PM,09:06 AM,03:55 PM,-8,-13,-5,-13,37,84,79,0.7,1000,-3,7,139,29,Helsinki
2018-01-18,-2,-4,1.5,1.6,1,6,09:36 AM,05:37 PM,09:05 AM,03:57 PM,-5,-7,-3,-7,17,100,86,1.8,998,-2,6,143,13,Helsinki
2018-01-19,-1,-5,0.6,1.7,1,13,09:58 AM,06:49 PM,09:03 AM,04:00 PM,-4,-5,-2,-5,9,92,90,0.7,1004,-1,8,114,6,Helsinki
2018-01-20,-1,-4,0.1,1.8,1,20,10:16 AM,08:04 PM,09:01 AM,04:02 PM,-4,-7,-3,-7,17,100,90,0.2,1009,-1,9,21,12,Helsinki
2018-01-21,-5,-7,0.0,2.8,1,28,10:32 AM,09:21 PM,08:59 AM,04:05 PM,-8,-11,-6,-11,18,80,89,0.0,1013,-5,10,298,12,Helsinki
2018-01-22,-3,-9,0.7,2.8,1,35,10:46 AM,10:38 PM,08:57 AM,04:07 PM,-7,-10,-5,-10,17,100,89,0.9,1012,-3,8,219,12,Helsinki
2018-01-23,-0,-10,0.0,2.8,1,42,11:00 AM,11:59 PM,08:55 AM,04:10 PM,-9,-11,-6,-11,19,78,85,0.0,1020,-0,10,262,13,Helsinki
2018-01-24,3,-4,0.0,2.8,1,49,11:15 AM,No moonset,08:53 AM,04:12 PM,-2,-8,-1,-8,52,100,90,3.2,1008,3,9,193,36,Helsinki
2018-01-25,5,3,0.0,2.9,1,57,11:32 AM,01:22 AM,08:51 AM,04:15 PM,2,-2,4,-2,65,96,88,6.1,998,5,10,219,39,Helsinki
2018-01-26,3,3,0.0,2.9,1,64,11:53 AM,02:46 AM,08:49 AM,04:17 PM,2,-2,3,-2,38,94,93,0.0,1013,3,10,224,23,Helsinki
2018-01-27,3,1,0.6,2.9,1,71,12:20 PM,04:12 AM,08:47 AM,04:20 PM,1,-2,2,-2,30,86,90,0.8,1017,3,9,225,19,Helsinki
2018-01-28,1,-0,0.6,2.9,1,78,01:00 PM,05:35 AM,08:44 AM,04:22 PM,-1,-4,1,-4,26,92,89,0.7,1011,1,9,167,18,Helsinki
2018-01-29,1,-1,0.3,2.9,1,86,01:54 PM,06:49 AM,08:42 AM,04:25 PM,-1,-5,-0,-5,22,100,91,0.3,1003,1,9,59,16,Helsinki
2018-01-30,-1,-4,0.8,3.0,1,93,03:05 PM,07:48 AM,08:40 AM,04:28 PM,-4,-7,-2,-7,21,100,87,1.0,1003,-1,7,35,15,Helsinki
2018-01-31,-2,-4,0.0,4.9,1,97,04:29 PM,08:31 AM,08:38 AM,04:30 PM,-5,-6,-3,-6,15,84,84,0.1,1010,-2,10,196,11,Helsinki
2018-02-01,1,-2,2.2,3.0,1,88,06:00 PM,09:02 AM,08:35 AM,04:33 PM,-2,-7,-1,-7,40,94,91,6.3,1000,1,7,139,29,Helsinki
2018-02-02,2,-0,0.1,3.0,1,81,07:30 PM,09:26 AM,08:33 AM,04:36 PM,-0,-2,1,-2,16,96,92,0.1,1003,2,6,180,11,Helsinki
2018-02-03,0,-8,0.8,3.0,1,73,08:58 PM,09:44 AM,08:30 AM,04:38 PM,-6,-10,-4,-10,24,100,90,0.9,1011,0,6,57,18,Helsinki
2018-02-04,-7,-9,0.0,8.1,2,66,10:22 PM,10:00 AM,08:28 AM,04:41 PM,-9,-16,-8,-16,35,38,86,0.0,1024,-7,10,24,26,Helsinki
2018-02-05,-6,-8,0.0,6.8,2,58,11:43 PM,10:14 AM,08:25 AM,04:44 PM,-9,-16,-7,-16,38,41,83,0.0,1026,-6,10,14,28,Helsinki
2018-02-06,-6,-9,1.2,3.1,1,51,No moonrise,10:28 AM,08:23 AM,04:46 PM,-9,-14,-7,-14,24,100,86,1.5,1013,-6,6,72,19,Helsinki
2018-02-07,-3,-6,1.1,3.1,1,43,01:01 AM,10:45 AM,08:20 AM,04:49 PM,-7,-9,-4,-9,18,94,85,1.3,1012,-3,6,231,13,Helsinki
2018-02-08,-2,-5,0.7,3.1,1,36,02:16 AM,11:03 AM,08:18 AM,04:52 PM,-5,-9,-3,-9,27,83,84,0.8,1020,-2,9,200,18,Helsinki
