date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,7,2,0.0,8.7,2,97,04:28 PM,05:52 AM,07:17 AM,05:11 PM,-2,2,4,2,16,19,62,0.0,1023,7,10,307,12,Hiroshima
2018-01-02,9,1,0.0,8.7,2,100,05:32 PM,06:59 AM,07:17 AM,05:12 PM,-1,4,6,4,13,7,60,0.0,1025,9,10,296,10,Hiroshima
2018-01-03,6,3,0.0,5.4,2,89,06:39 PM,08:00 AM,07:17 AM,05:12 PM,-2,1,5,1,21,52,63,0.0,1024,6,10,285,15,Hiroshima
2018-01-04,8,2,0.0,3.7,1,81,07:48 PM,08:55 AM,07:17 AM,05:13 PM,-2,4,5,4,4,80,65,0.0,1024,8,10,57,3,Hiroshima
2018-01-05,7,3,0.0,3.7,1,74,08:56 PM,09:43 AM,07:17 AM,05:14 PM,0,4,5,4,5,75,73,0.7,1017,7,8,114,3,Hiroshima
2018-01-06,8,3,0.0,8.7,2,67,10:01 PM,10:24 AM,07:17 AM,05:15 PM,-0,3,5,3,18,15,67,0.1,1018,8,10,303,13,Hiroshima
2018-01-07,8,2,0.0,7.0,2,59,11:04 PM,11:02 AM,07:17 AM,05:16 PM,0,5,5,5,7,39,70,0.0,1022,8,10,159,5,Hiroshima
2018-01-08,10,5,0.0,3.8,2,52,No moonrise,11:37 AM,07:17 AM,05:17 PM,5,6,7,6,11,96,90,9.2,1011,10,9,131,7,Hiroshima
2018-01-09,9,3,0.0,3.8,2,45,12:04 AM,12:10 PM,07:17 AM,05:17 PM,-0,1,5,1,31,62,71,0.6,1009,9,9,273,23,Hiroshima
2018-01-10,4,1,0.0,3.8,2,38,01:02 AM,12:43 PM,07:17 AM,05:18 PM,-2,-1,3,-1,22,52,73,0.3,1014,4,10,265,16,Hiroshima
2018-01-11,1,-2,0.0,3.8,2,30,01:58 AM,01:17 PM,07:17 AM,05:19 PM,-8,-6,-1,-6,23,54,62,0.0,1021,1,10,287,18,Hiroshima
2018-01-12,1,-3,0.2,7.1,2,23,02:53 AM,01:52 PM,07:17 AM,05:20 PM,-8,-4,-1,-4,13,47,58,0.2,1026,1,10,285,10,Hiroshima
2018-01-13,3,-2,0.0,3.8,2,16,03:48 AM,02:30 PM,07:17 AM,05:21 PM,-5,-2,1,-2,14,51,67,0.1,1028,3,10,288,10,Hiroshima
2018-01-14,6,-1,0.0,7.1,2,9,04:41 AM,03:12 PM,07:17 AM,05:22 PM,-2,2,3,2,7,23,70,0.0,1031,6,10,210,4,Hiroshima
2018-01-15,9,-0,0.0,7.1,2,1,05:33 AM,03:57 PM,07:17 AM,05:23 PM,2,5,5,5,8,24,77,0.0,1026,9,10,212,5,Hiroshima
2018-01-16,13,4,0.0,8.7,3,0,06:21 AM,04:45 PM,07:16 AM,05:24 PM,6,8,9,8,12,47,86,0.0,1020,13,9,231,8,Hiroshima
2018-01-17,14,8,0.0,3.8,3,0,07:07 AM,05:37 PM,07:16 AM,05:25 PM,10,10,11,10,16,78,90,17.0,1013,14,7,231,10,Hiroshima
2018-01-18,12,5,0.0,7.1,3,6,07:50 AM,06:30 PM,07:16 AM,05:26 PM,6,9,9,9,7,15,81,0.0,1020,12,10,295,5,Hiroshima
2018-01-19,11,3,0.0,8.7,3,13,08:29 AM,07:25 PM,07:15 AM,05:27 PM,4,9,9,9,6,8,73,0.1,1020,11,10,102,4,Hiroshima
2018-01-20,11,3,0.0,8.7,3,20,09:05 AM,08:21 PM,07:15 AM,05:28 PM,3,9,9,9,5,7,67,0.0,1020,11,10,207,4,Hiroshima
2018-01-21,9,3,0.0,8.7,3,28,09:40 AM,09:18 PM,07:15 AM,05:29 PM,-1,4,6,4,12,21,63,0.0,1021,9,10,183,8,Hiroshima
2018-01-22,4,1,0.0,3.8,1,35,10:13 AM,10:15 PM,07:14 AM,05:30 PM,-0,1,3,1,11,68,77,3.4,1016,4,10,177,8,Hiroshima
2018-01-23,6,-0,0.0,8.7,2,42,10:46 AM,11:15 PM,07:14 AM,05:31 PM,-2,-1,3,-1,28,38,67,0.1,1015,6,10,273,20,Hiroshima
2018-01-24,-1,-3,0.0,3.8,1,49,11:20 AM,No moonset,07:13 AM,05:32 PM,-9,-8,-2,-8,31,85,59,0.0,1020,-1,10,299,26,Hiroshima
2018-01-25,2,-2,0.0,5.5,1,57,11:56 AM,12:15 AM,07:13 AM,05:33 PM,-7,-5,-0,-5,19,73,62,0.0,1020,2,10,306,15,Hiroshima
2018-01-26,2,-2,0.0,3.8,1,64,12:35 PM,01:18 AM,07:12 AM,05:34 PM,-6,-5,-0,-5,23,64,63,0.0,1019,2,10,305,17,Hiroshima
2018-01-27,5,-1,0.0,5.5,1,71,01:20 PM,02:23 AM,07:12 AM,05:35 PM,-5,-0,2,-0,9,44,64,0.0,1024,5,10,181,7,Hiroshima
