date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:09 AM,06:01 PM,17,22,23,22,19,38,74,0.4,1019,23,10,76,14,Honolulu(HI)
2018-01-02,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,16,21,21,21,23,35,76,0.3,1019,23,10,71,17,Honolulu(HI)
2018-01-03,23,20,0.0,10.9,6,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,16,21,22,21,26,31,73,0.2,1020,23,10,73,20,Honolulu(HI)
2018-01-04,23,20,0.0,10.9,6,81,09:21 PM,09:37 AM,07:10 AM,06:03 PM,16,21,22,21,28,29,74,0.2,1020,23,10,70,21,Honolulu(HI)
2018-01-05,23,20,0.0,10.9,6,74,10:21 PM,10:25 AM,07:10 AM,06:04 PM,16,21,22,21,27,28,75,0.1,1021,23,10,74,21,Honolulu(HI)
2018-01-06,23,21,0.0,10.9,6,67,11:18 PM,11:09 AM,07:11 AM,06:04 PM,17,22,23,22,31,48,75,0.4,1022,23,10,69,23,Honolulu(HI)
2018-01-07,23,21,0.0,10.9,6,59,No moonrise,11:50 AM,07:11 AM,06:05 PM,17,22,23,22,32,32,75,0.3,1020,23,10,74,24,Honolulu(HI)
2018-01-08,24,21,0.0,11.0,6,52,12:13 AM,12:28 PM,07:11 AM,06:06 PM,17,25,25,22,24,37,73,0.0,1018,24,10,83,18,Honolulu(HI)
2018-01-09,25,21,0.0,11.0,6,45,01:05 AM,01:07 PM,07:11 AM,06:06 PM,18,25,25,23,7,17,74,0.1,1017,25,10,67,6,Honolulu(HI)
2018-01-10,25,20,0.0,11.0,6,38,01:57 AM,01:45 PM,07:11 AM,06:07 PM,18,25,25,23,9,8,74,0.1,1018,25,10,88,7,Honolulu(HI)
2018-01-11,25,21,0.0,11.0,6,30,02:48 AM,02:24 PM,07:11 AM,06:08 PM,19,25,25,23,10,29,79,0.0,1018,25,10,62,7,Honolulu(HI)
2018-01-12,26,20,0.0,11.0,6,23,03:39 AM,03:06 PM,07:12 AM,06:08 PM,18,25,25,23,6,17,77,0.0,1017,26,10,246,5,Honolulu(HI)
2018-01-13,25,21,0.0,11.0,6,16,04:29 AM,03:49 PM,07:12 AM,06:09 PM,18,25,25,23,8,9,74,0.0,1017,25,10,211,6,Honolulu(HI)
2018-01-14,25,20,0.0,11.0,6,9,05:19 AM,04:35 PM,07:12 AM,06:10 PM,18,24,24,23,9,13,74,0.0,1018,25,10,69,6,Honolulu(HI)
