date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,22,14,0.0,12.9,5,97,05:55 PM,04:43 AM,05:35 AM,06:26 PM,16,18,19,18,7,56,88,8.4,1013,22,8,235,4,Huambo
2018-01-02,23,15,0.0,12.9,4,100,06:58 PM,05:46 AM,05:35 AM,06:27 PM,16,18,19,18,8,35,88,8.4,1013,23,8,231,5,Huambo
2018-01-03,24,14,0.0,12.9,5,89,07:59 PM,06:51 AM,05:36 AM,06:27 PM,15,19,19,19,9,21,81,1.9,1012,24,9,156,6,Huambo
2018-01-04,25,15,0.0,12.9,5,81,08:54 PM,07:54 AM,05:37 AM,06:27 PM,15,19,20,19,12,35,81,6.9,1013,25,9,92,8,Huambo
2018-01-05,22,16,0.0,12.9,5,74,09:45 PM,08:55 AM,05:37 AM,06:28 PM,16,18,19,18,10,46,88,7.7,1013,22,8,100,7,Huambo
2018-01-06,23,15,0.0,12.9,5,67,10:32 PM,09:52 AM,05:38 AM,06:28 PM,16,19,20,19,4,27,82,5.1,1012,23,9,184,2,Huambo
2018-01-07,25,14,0.0,12.9,4,59,11:16 PM,10:46 AM,05:38 AM,06:28 PM,15,19,19,19,7,30,83,1.8,1013,25,8,259,4,Huambo
2018-01-08,27,14,0.0,12.9,5,52,11:58 PM,11:38 AM,05:39 AM,06:29 PM,15,20,20,20,6,32,79,12.6,1014,27,9,255,4,Huambo
2018-01-09,24,15,0.0,12.9,5,45,No moonrise,12:27 PM,05:39 AM,06:29 PM,16,19,20,19,6,29,82,6.9,1014,24,8,223,4,Huambo
2018-01-10,24,16,0.0,12.9,4,38,12:39 AM,01:16 PM,05:40 AM,06:29 PM,16,19,20,19,6,36,81,9.0,1013,24,10,107,4,Huambo
2018-01-11,25,16,0.0,12.9,5,30,01:20 AM,02:04 PM,05:41 AM,06:29 PM,15,19,19,19,7,43,83,2.2,1013,25,10,136,4,Huambo
2018-01-12,21,15,0.0,12.9,5,23,02:02 AM,02:53 PM,05:41 AM,06:29 PM,15,18,19,18,6,48,85,5.1,1013,21,10,120,4,Huambo
2018-01-13,21,16,0.0,9.3,4,16,02:45 AM,03:42 PM,05:42 AM,06:30 PM,16,18,18,18,5,68,91,12.1,1013,21,7,250,3,Huambo
2018-01-14,21,15,0.0,11.9,4,9,03:30 AM,04:30 PM,05:42 AM,06:30 PM,16,18,18,18,7,57,90,14.2,1014,21,7,285,5,Huambo
2018-01-15,23,14,0.0,12.9,5,1,04:16 AM,05:19 PM,05:43 AM,06:30 PM,16,18,19,18,5,46,87,9.1,1014,23,7,262,3,Huambo
2018-01-16,23,16,0.0,11.9,5,0,05:05 AM,06:06 PM,05:43 AM,06:30 PM,16,18,19,18,5,55,85,5.6,1014,23,8,224,3,Huambo
2018-01-17,23,16,0.0,11.9,4,0,05:53 AM,06:52 PM,05:44 AM,06:30 PM,16,19,20,19,6,64,86,10.6,1013,23,9,198,4,Huambo
2018-01-18,23,15,0.0,12.9,5,6,06:42 AM,07:37 PM,05:44 AM,06:30 PM,16,18,19,18,6,43,88,8.5,1013,23,7,211,3,Huambo
2018-01-19,22,16,0.0,10.6,4,13,07:32 AM,08:20 PM,05:45 AM,06:30 PM,17,18,19,18,3,70,90,15.3,1012,22,7,139,2,Huambo
2018-01-20,21,16,0.0,11.9,5,20,08:21 AM,09:02 PM,05:45 AM,06:31 PM,17,18,18,18,6,59,91,12.6,1012,21,7,310,4,Huambo
2018-01-21,22,15,0.0,12.9,5,28,09:10 AM,09:43 PM,05:46 AM,06:31 PM,16,18,19,18,10,59,88,5.8,1013,22,6,290,7,Huambo
2018-01-22,23,14,0.0,12.8,5,35,09:59 AM,10:24 PM,05:47 AM,06:31 PM,15,18,19,18,9,56,81,0.6,1013,23,8,252,6,Huambo
2018-01-23,25,15,0.0,12.8,4,42,10:49 AM,11:06 PM,05:47 AM,06:31 PM,17,19,19,19,5,48,87,11.1,1012,25,7,233,3,Huambo
2018-01-24,20,16,0.0,9.3,4,49,11:41 AM,11:51 PM,05:48 AM,06:31 PM,16,17,17,17,7,76,93,6.2,1013,20,6,289,5,Huambo
2018-01-25,22,14,0.0,12.8,4,57,12:34 PM,No moonset,05:48 AM,06:31 PM,15,18,19,18,8,52,84,3.8,1013,22,6,280,5,Huambo
2018-01-26,23,14,0.0,12.8,5,64,01:32 PM,12:37 AM,05:48 AM,06:31 PM,16,18,19,18,6,48,88,14.1,1013,23,8,264,3,Huambo
2018-01-27,25,15,0.0,12.8,5,71,02:31 PM,01:29 AM,05:49 AM,06:30 PM,16,19,20,19,6,42,84,8.3,1012,25,7,100,4,Huambo
2018-01-28,23,16,0.0,12.8,5,78,03:33 PM,02:24 AM,05:49 AM,06:30 PM,17,19,20,19,6,45,87,14.3,1012,23,9,164,4,Huambo
2018-01-29,24,16,0.0,12.8,4,86,04:36 PM,03:24 AM,05:50 AM,06:30 PM,17,19,20,19,6,53,88,5.8,1013,24,8,260,4,Huambo
2018-01-30,24,16,0.0,11.9,4,93,05:38 PM,04:27 AM,05:50 AM,06:30 PM,17,19,20,19,7,55,87,8.1,1013,24,7,204,4,Huambo
2018-01-31,22,16,0.0,12.8,4,97,06:36 PM,05:31 AM,05:51 AM,06:30 PM,17,19,20,19,7,45,90,11.2,1011,22,6,297,4,Huambo
2018-02-01,25,15,0.0,12.8,4,88,07:31 PM,06:34 AM,05:51 AM,06:30 PM,16,19,20,19,9,33,81,1.4,1011,25,8,283,6,Huambo
2018-02-02,27,15,0.0,12.8,6,81,08:21 PM,07:35 AM,05:52 AM,06:30 PM,16,20,21,20,6,31,78,2.4,1011,27,8,245,4,Huambo
2018-02-03,23,17,0.0,11.9,5,73,09:08 PM,08:32 AM,05:52 AM,06:30 PM,17,19,20,19,7,70,89,14.2,1013,23,8,248,4,Huambo
2018-02-04,24,17,0.0,12.8,5,66,09:52 PM,09:27 AM,05:52 AM,06:29 PM,17,19,20,19,7,50,90,14.1,1012,24,7,238,4,Huambo
2018-02-05,24,16,0.0,12.8,5,58,10:34 PM,10:18 AM,05:53 AM,06:29 PM,17,19,20,19,9,43,89,10.3,1011,24,9,292,5,Huambo
2018-02-06,24,16,0.0,12.8,5,51,11:17 PM,11:09 AM,05:53 AM,06:29 PM,17,19,20,19,10,52,87,6.4,1011,24,6,272,6,Huambo
2018-02-07,24,15,0.0,12.8,5,43,11:59 PM,11:59 AM,05:53 AM,06:29 PM,17,19,20,19,10,45,87,4.8,1011,24,7,276,7,Huambo
2018-02-08,24,16,0.0,12.7,5,36,No moonrise,12:48 PM,05:54 AM,06:28 PM,17,19,19,19,12,44,90,11.1,1011,24,6,275,7,Huambo
2018-02-09,25,16,0.0,12.7,5,28,12:42 AM,01:37 PM,05:54 AM,06:28 PM,16,19,20,19,10,35,86,7.1,1011,25,8,243,6,Huambo
2018-02-10,24,15,0.0,12.7,5,20,01:27 AM,02:25 PM,05:55 AM,06:28 PM,16,19,19,19,8,24,85,5.7,1011,24,8,231,5,Huambo
2018-02-11,24,14,0.0,12.7,5,13,02:12 AM,03:14 PM,05:55 AM,06:27 PM,16,19,20,19,7,17,83,5.7,1012,24,9,226,4,Huambo
2018-02-12,24,14,0.0,12.7,5,5,03:00 AM,04:02 PM,05:55 AM,06:27 PM,16,19,20,19,9,24,82,4.6,1013,24,9,179,6,Huambo
2018-02-13,23,15,0.0,12.7,5,0,03:49 AM,04:48 PM,05:55 AM,06:27 PM,16,19,20,19,12,29,86,10.4,1014,23,9,137,7,Huambo
2018-02-14,22,15,0.0,12.7,5,0,04:38 AM,05:34 PM,05:56 AM,06:26 PM,17,19,19,19,9,47,88,8.5,1014,22,7,65,5,Huambo
2018-02-15,23,16,0.0,12.7,5,0,05:28 AM,06:18 PM,05:56 AM,06:26 PM,17,19,20,19,6,59,89,10.2,1014,23,8,231,3,Huambo
2018-02-16,25,15,0.0,12.7,5,2,06:17 AM,07:01 PM,05:56 AM,06:26 PM,16,20,20,20,3,40,83,10.2,1014,25,8,200,2,Huambo
2018-02-17,23,16,0.0,12.7,5,10,07:07 AM,07:43 PM,05:57 AM,06:25 PM,17,19,20,19,7,49,87,10.6,1013,23,9,256,4,Huambo
2018-02-18,23,15,0.0,12.7,5,17,07:56 AM,08:24 PM,05:57 AM,06:25 PM,16,19,19,19,9,44,86,8.2,1012,23,7,186,6,Huambo
2018-02-19,23,16,0.0,12.7,5,25,08:46 AM,09:06 PM,05:57 AM,06:24 PM,16,19,20,19,6,60,86,9.9,1013,23,8,133,4,Huambo
2018-02-20,23,16,0.0,10.6,5,32,09:38 AM,09:50 PM,05:57 AM,06:24 PM,17,18,19,18,6,66,90,9.8,1012,23,7,138,4,Huambo
2018-02-21,25,16,0.0,12.7,4,40,10:30 AM,10:34 PM,05:58 AM,06:23 PM,17,20,20,20,5,53,86,17.9,1011,25,6,209,3,Huambo
2018-02-22,23,16,0.0,12.7,5,47,11:25 AM,11:23 PM,05:58 AM,06:23 PM,16,19,20,19,11,45,87,7.9,1011,23,10,273,7,Huambo
2018-02-23,24,15,0.0,11.9,5,55,12:22 PM,No moonset,05:58 AM,06:22 PM,16,19,19,19,9,59,85,5.7,1011,24,8,284,6,Huambo
2018-02-24,19,15,0.0,10.5,4,62,01:21 PM,12:15 AM,05:58 AM,06:22 PM,16,17,17,17,7,66,91,7.7,1013,19,7,268,4,Huambo
2018-02-25,24,15,0.0,11.9,4,70,02:21 PM,01:11 AM,05:58 AM,06:21 PM,16,18,18,18,9,58,89,24.5,1013,24,7,252,5,Huambo
2018-02-26,23,13,0.0,12.6,5,77,03:21 PM,02:10 AM,05:59 AM,06:21 PM,15,18,19,18,10,35,85,5.7,1013,23,8,228,6,Huambo
2018-02-27,25,14,0.0,12.6,5,85,04:19 PM,03:12 AM,05:59 AM,06:20 PM,16,19,19,19,6,31,84,3.8,1013,25,9,234,4,Huambo
2018-02-28,23,16,0.0,12.6,5,93,05:15 PM,04:14 AM,05:59 AM,06:20 PM,16,19,19,19,10,49,83,4.1,1014,23,10,255,6,Huambo
2018-03-01,25,15,0.0,12.6,5,96,06:07 PM,05:15 AM,05:59 AM,06:19 PM,15,19,19,19,9,37,80,0.9,1014,25,9,260,6,Huambo
2018-03-02,24,15,0.0,12.6,5,100,06:55 PM,06:14 AM,05:59 AM,06:19 PM,15,18,19,18,13,41,83,1.6,1013,24,7,269,9,Huambo
2018-03-03,25,14,0.0,12.6,5,89,07:42 PM,07:10 AM,05:59 AM,06:18 PM,15,18,19,18,12,40,82,3.2,1012,25,7,244,8,Huambo
2018-03-04,18,14,0.0,10.4,4,82,08:26 PM,08:05 AM,06:00 AM,06:18 PM,15,16,16,16,10,68,94,10.4,1012,18,5,281,7,Huambo
2018-03-05,19,13,0.0,11.7,5,74,09:09 PM,08:57 AM,06:00 AM,06:17 PM,14,16,15,16,8,69,90,0.4,1012,19,6,289,6,Huambo
2018-03-06,23,11,0.0,12.2,5,67,09:52 PM,09:49 AM,06:00 AM,06:16 PM,13,17,17,17,7,48,79,0.1,1014,23,8,324,5,Huambo
2018-03-07,25,13,0.0,12.2,5,60,10:36 PM,10:39 AM,06:00 AM,06:16 PM,12,18,18,18,9,11,71,0.0,1015,25,9,223,6,Huambo
2018-03-08,26,12,0.0,12.2,5,53,11:21 PM,11:29 AM,06:00 AM,06:15 PM,11,19,19,19,9,2,63,0.0,1015,26,10,262,5,Huambo
2018-03-09,26,13,0.0,12.2,5,45,No moonrise,12:18 PM,06:00 AM,06:15 PM,10,19,19,19,9,2,59,0.0,1014,26,10,267,6,Huambo
2018-03-10,27,13,0.0,12.1,5,38,12:06 AM,01:08 PM,06:00 AM,06:14 PM,11,19,19,19,10,2,61,0.0,1014,27,10,262,6,Huambo
2018-03-11,28,13,0.0,12.1,5,31,12:54 AM,01:56 PM,06:00 AM,06:13 PM,9,20,19,20,9,3,54,0.0,1014,28,10,248,5,Huambo
2018-03-12,26,13,0.0,12.1,5,24,01:42 AM,02:43 PM,06:00 AM,06:13 PM,12,20,20,20,7,8,61,0.5,1015,26,10,181,5,Huambo
2018-03-13,24,15,0.0,11.6,5,16,02:31 AM,03:29 PM,06:01 AM,06:12 PM,15,19,20,19,11,34,80,9.4,1014,24,9,139,7,Huambo
2018-03-14,24,16,0.0,11.6,5,9,03:21 AM,04:13 PM,06:01 AM,06:12 PM,16,19,19,19,10,37,85,9.6,1013,24,8,138,6,Huambo
2018-03-15,22,16,0.0,8.8,4,2,04:10 AM,04:57 PM,06:01 AM,06:11 PM,17,18,19,18,5,68,90,12.7,1013,22,9,156,3,Huambo
2018-03-16,23,16,0.0,10.2,4,0,05:00 AM,05:39 PM,06:01 AM,06:10 PM,17,18,19,18,6,69,92,15.7,1012,23,7,240,4,Huambo
2018-03-17,24,15,0.0,11.6,5,0,05:50 AM,06:21 PM,06:01 AM,06:10 PM,16,19,20,19,6,46,85,1.8,1012,24,8,308,4,Huambo
2018-03-18,22,15,0.0,10.2,4,5,06:41 AM,07:04 PM,06:01 AM,06:09 PM,16,18,18,18,6,57,91,5.1,1012,22,5,313,4,Huambo
2018-03-19,23,14,0.0,11.6,5,13,07:33 AM,07:48 PM,06:01 AM,06:08 PM,16,18,18,18,6,57,88,0.2,1012,23,5,329,4,Huambo
2018-03-20,23,15,0.0,11.6,4,20,08:26 AM,08:33 PM,06:01 AM,06:08 PM,16,19,20,19,6,61,87,8.6,1013,23,7,303,4,Huambo
2018-03-21,20,16,0.0,7.4,4,27,09:21 AM,09:21 PM,06:01 AM,06:07 PM,16,18,18,18,4,80,93,6.3,1015,20,5,270,3,Huambo
2018-03-22,23,15,0.0,10.2,4,34,10:17 AM,10:11 PM,06:01 AM,06:06 PM,17,19,20,19,5,62,88,8.4,1014,23,7,173,3,Huambo
2018-03-23,22,15,0.0,10.2,4,42,11:16 AM,11:06 PM,06:01 AM,06:06 PM,17,19,19,19,6,57,89,7.9,1013,22,8,242,4,Huambo
